"","COS7OA_3","COS7OA_2","COS7OA_1","COSOADGAT1i_3","COSOADGAT1i_2","COSOADGAT1i_1"
"Hex1Cer(d18:1_22:2)",11300000,4124086.31,8074534.182,28500000,22600000,63200000
"Hex1Cer(d18:2_24:0)",2.2e+07,10600000,1.08e+08,18900000,1099958.878,1.5e+07
"Hex1Cer(d42:2+O)",1.3e+07,8682150.048,1.2e+07,5139470.896,47600000,5264629.67
"Hex1Cer(d18:1_24:4)",1224158.456,276761.956,417598.046,13500000,36100000,12100000
"Hex1Cer(d18:1_24:5)",74609.1792,14921.83584,346107.445,10400000,3.1e+07,9810768.002
"Hex1Cer(d18:1_26:4)",144909.1461,161011.32,73982.02,3491835.94,8716504.582,3364339.823
"Hex1Cer(t18:0_14:0)",9815295.729,7812582.398,14900000,24800000,43800000,23100000
"Hex1Cer(t18:0_16:0)",1.97e+08,1.42e+08,2e+08,4.52e+08,1.09e+09,4.14e+08
"Hex1Cer(t18:0_16:0+O)",3521074.419,1992406.371,4870780.183,2870097.046,6357164.045,2046701.193
"Hex1Cer(t18:0_18:0)",4.2e+07,30700000,3.6e+07,67800000,1.15e+08,58500000
"Hex1Cer(t18:0_20:0)",8604116.873,7764627.894,6882818.276,14900000,2.8e+07,9693831.301
"Hex1Cer(t18:0_22:0)",88100000,68900000,1.1e+08,1.18e+08,1.91e+08,1.09e+08
"Hex1Cer(t18:0_22:0+O)",9190679.162,2585561.059,14400000,11200000,29900000,10400000
"Hex1Cer(t18:0_22:1)",39700000,26700000,24300000,54100000,1.3e+08,49200000
"Hex1Cer(t18:1_22:0)",5194996.938,3408581.358,22600000,6162221.257,13400000,4114136.352
"Hex1Cer(t18:0_24:0)",1.9e+08,1.42e+08,1.75e+08,2e+08,1.61e+08,1.75e+08
"Hex1Cer(t18:1_24:1)",6244779.404,3999815.775,11500000,4313083.68,5418111.984,3971452.855
"Hex2Cer(d18:1_14:0)",8778370.891,6661600.015,8256765.887,10700000,29200000,13400000
"Hex2Cer(d18:0_16:0)",31800000,25700000,32300000,68100000,64900000,55400000
"Hex2Cer(d18:2_16:0)",4814726.072,3189189.215,3453881.649,8191049.375,18200000,7169516.704
"Hex2Cer(d18:1_16:1)",2777512.467,1826481.251,1692027.45,3060405.171,8659529.647,3712694.714
"Hex2Cer(d18:0_18:1)",3466608.113,1855633.247,2265936.997,8856932.971,1.9e+07,4531259.473
"Hex2Cer(d18:1_18:0)",2.8e+07,2.1e+07,32200000,3.1e+07,58300000,29900000
"Hex2Cer(d18:1_20:0)",4372480.646,3232266.158,5437715.889,5481200.13,13100000,5013225.746
"Hex2Cer(d18:1_20:1)",3831340.959,1806003.245,3121454.859,4914110.5,12300000,4633833.63
"Hex2Cer(d18:0_22:0)",2269258.591,1451399.145,1236652.204,3816055.096,5144433.625,2390625.27
"Hex2Cer(d18:0_22:1)",4270714.272,2934673.295,3988762.67,5333604.814,15500000,5591067.025
"Hex2Cer(d18:1_22:1)",38600000,25100000,35500000,31900000,88400000,32500000
"Hex2Cer(d18:1_22:3)",248758.906,325557.47,41009.13,4243281.333,5913954.394,3240627.108
"Hex2Cer(d18:0_24:1)",9321624.117,6613978.806,7211633.504,9934931.823,2.2e+07,7236640.177
"Hex2Cer(d42:1)",4575568.687,2767006.68,2352806.427,3709711.309,3004878.859,2956577.59
"Hex2Cer(d18:2_24:0)",10200000,7597666.908,10800000,1.5e+07,26300000,1.1e+07
"Hex2Cer(d18:1_24:2)",2.9e+07,16700000,19100000,22600000,66300000,2e+07
"Hex2Cer(d18:2_24:1)",5359554.515,2993529.407,2746792.847,661541.0184,3956541.961,4681615.355
"Hex2Cer(d18:1_24:3)",3138010.01,1419559.737,491837.485,4595848.084,1.5e+07,5148478.207
"Hex2Cer(d18:1_24:4)",2925330.516,2456599.949,2567935.376,20900000,56600000,18200000
"Hex2Cer(d18:1_24:5)",2342567.104,1468985.639,1661403.114,16100000,42300000,15200000
"Hex2Cer(d18:1_26:0)",6357525.756,3680347.955,4341000.284,5148403.813,3626312.438,4660534.258
"Hex2Cer(d18:1_26:1)",16700000,12100000,14800000,14300000,14500000,12200000
"Hex2Cer(d20:2_24:1)",13100000,7879839.251,8217107.346,6001371.474,2.1e+07,5138633.469
"Hex2Cer(d18:1_26:3)",331388.027,262408.176,276582.339,1537147.644,3974875.803,688872.5049
"Hex2Cer(d18:1_26:4)",1602812.946,1271001.657,2655092.312,4438287.378,1.5e+07,4783199.841
"Hex2Cer(d18:1_26:5)",3526790.02,1893337.247,2644486.6,7393807.192,24400000,7793929.153
"Hex2Cer(t18:0_14:0)",8778370.891,6661600.015,8256765.887,10700000,29200000,13400000
"Hex2Cer(t34:0)",1345213.22,1017930.87,1066746.608,1435890.297,2842858.949,1142419.161
"Hex2Cer(t18:1_16:0)",4809764.838,3268600.056,3882579.492,8184436.811,18200000,7181492.202
"Hex2Cer(t18:0_18:0)",28200000,21100000,32400000,31800000,58300000,29700000
"Hex2Cer(t18:0_18:1)",30900000,2.3e+07,33900000,64800000,1.29e+08,58900000
"Hex2Cer(t18:0_20:0)",4372480.646,3232266.158,5437715.889,5481200.13,13100000,5013225.746
"Hex2Cer(t18:0_22:0)",63900000,46100000,76100000,66200000,1.49e+08,53600000
"Hex2Cer(t18:0_22:1)",38600000,25100000,35500000,31900000,88400000,32500000
"Hex2Cer(t18:1_22:0)",4302311.692,2187814.908,8013748.617,4175738.912,14100000,3637832.277
"Hex2Cer(t18:0_24:0)",1.41e+08,1.01e+08,1.27e+08,1.37e+08,1.04e+08,1.17e+08
"Hex2Cer(t18:1_24:0)",11500000,8628141.984,11200000,1.5e+07,26300000,11100000
"Hex2Cer(t18:1_24:1)",2.9e+07,16700000,1.9e+07,20100000,66500000,20400000
"Hex2Cer(t18:0_24:4)",2925390.334,2457003.241,2569160.282,20800000,55600000,18200000
"Hex2Cer(t18:0_26:1)",16700000,12200000,14800000,14300000,14500000,12200000
"Hex2Cer(t20:1_24:1)",14400000,8587795.332,8242663.87,7079108.438,2.1e+07,6018540.292
"Hex3Cer(d18:1_16:0)",2713911.495,1842597.396,2858101.289,2128836.14,3737176.62,2097912.493
"Hex3Cer(d42:1+O)",4133767.925,2871399.432,3941972.093,2658389.142,6383179.871,2148398.264
"Hex3Cer(d18:1_24:1)",4133767.925,2871399.432,3941972.093,2658389.142,6383179.871,2148398.264
"Hex3Cer(t18:0_16:0)",2713911.495,1842597.396,2858101.289,2128836.14,3737176.62,2097912.493
"Hex3Cer(t18:0_24:1)",4133767.925,2871399.432,3941972.093,2658389.142,6383179.871,2148398.264
"LPC(16:0e)",18200000,3197562.602,64100000,7817793.243,2.4e+07,6162872.206
"LPC(16:1e)",17900000,11500000,16900000,16200000,22200000,12800000
"LPC(18:0e)",6760095.636,1567343.958,15300000,5241820.816,6348824.099,3087275.179
"LPC(18:2)",846447.4152,861681.0756,942448.5534,452809.9962,1377166.861,307792.5099
"LPC(18:2e)",4279465.765,2544899.826,5669345.565,3209587.338,4993144.746,2888666.467
"LPC(20:0e)",672040.4778,556482.2895,94001.0175,384667.98,1154463.87,23403.7725
"LPC(20:1e)",6336888.986,4789068.117,5346801.531,2548227.574,9905213.627,4925090.008
"LPC(20:5)",2253985.359,1397053.967,1448935.512,279410.7934,5199478.319,2961157.718
"LPC(22:1)",4408972.899,2177717.086,4454805.026,4717559.334,10900000,5514386.737
"LPC(24:1)",2220872.487,274432.681,1547213.741,321279.2775,666337.9251,1147123.61
"LPC(28:0)",22300000,14800000,23600000,30100000,35600000,25400000
"LPC(32:1)",31100000,18500000,21500000,19300000,33800000,19500000
"LSM(d20:2)",2412423.233,1801483.544,1954652.408,1937529.445,3241794.323,1545670.23
"MG(18:0)",7509021.918,1045044.923,8873594.144,2444011.209,3882995.462,7395530.515
"MG(18:3)",62134.7313,1362702.67,100045.02,52691.7882,13200000,54547.8909
"PA(38:5)",6.2e+08,4.29e+08,4.23e+08,4.79e+08,6.7e+08,4.24e+08
"PC(16:0)",2366189.826,3472064.237,3499637.716,9689881.153,3656314.911,4834314.999
"PC(20:1)",3544172.363,3019896.303,3211060.699,16700000,24200000,10500000
"PC(24:0)",10400000,2949797.342,28200000,1644611.635,9186492.145,4408081.053
"PC(24:1)",3269257.801,706100.023,3.2e+07,752270.233,6922243.122,322778.873
"PC(16:0_10:0)",2990159.191,761765.898,4805040.251,188870.942,2320480.37,562744.048
"PC(26:1)",272987.931,38797.974,414044.7552,125335.545,254618.205,7759.5948
"PC(28:0)",18700000,12200000,27500000,12600000,2.7e+07,13800000
"PC(20:0e_8:0)",22300000,14800000,23600000,30100000,35600000,25400000
"PC(30:0e)",1.17e+08,70700000,1.03e+08,85500000,1.64e+08,82200000
"PC(20:0_10:1)",52400000,32100000,40800000,37100000,70700000,36600000
"PC(18:1_12:0)",20500000,13600000,1.4e+07,14400000,37200000,13200000
"PC(12:0e_18:1)",657751.7955,160904.1744,2010145.287,300466.995,258732.1761,63133.7814
"PC(14:1e_18:0)",3.87e+08,2.37e+08,3.26e+08,2.69e+08,5.82e+08,2.5e+08
"PC(14:1e_18:1)",78400000,47600000,62200000,55500000,1.25e+08,54400000
"PC(32:4e)",4549150.958,2952878.411,6153177.151,4361945.514,8357282.183,4257275.007
"PC(34:0e)",1.09e+08,74500000,1.25e+08,85600000,2.22e+08,77900000
"PC(16:1e_18:0)",1.24e+08,60600000,74700000,77400000,1.16e+08,69200000
"PC(18:4_16:0)",28300000,17400000,12900000,17500000,23300000,15800000
"PC(34:5)",1882776.154,1466297.929,1571324.893,8085394.318,12800000,6710159.378
"PC(12:1e_22:5)",54100000,31500000,2.7e+07,2.5e+07,4.5e+07,30200000
"PC(20:2e_16:0)",7.91e+08,4.43e+08,6.21e+08,4.22e+08,8.52e+08,4.19e+08
"PC(36:2e)",1.81e+08,98800000,1.26e+08,9.6e+07,2.64e+08,1.02e+08
"PC(18:2e_18:0)",81200000,47600000,67900000,84400000,2.2e+08,85400000
"PC(18:3e_18:0)",38700000,24700000,35100000,26800000,47700000,24100000
"PC(18:1_18:3)",4.44e+08,5.05e+08,4.67e+08,5.03e+08,3.86e+08,5.15e+08
"PC(18:4_18:0)",3493487.205,2757270.952,1249801.468,1451580.529,11600000,687667.9818
"PC(18:3e_18:1)",60300000,50800000,45600000,36900000,67400000,48800000
"PC(26:1_10:4)",42100000,40700000,39100000,10800000,20800000,3326249.895
"PC(36:7)",2221766.416,1048384.634,1256715.126,4128952.202,7410208.241,3524809.361
"PC(38:0)",1876588.653,1216413.061,1650675.48,4462743.161,9022399.473,3723992.268
"PC(38:1e)",32700000,19300000,25800000,29100000,51300000,24200000
"PC(38:3e)",6797965.045,4648589.633,11600000,4364977.566,9471463.537,3814625.223
"PC(20:4e_18:0)",49500000,28900000,1.03e+08,32100000,62200000,24400000
"PC(20:4e_18:1)",6847232.37,31600000,38800000,24400000,45400000,27300000
"PC(38:7)",17400000,13100000,11700000,22600000,49300000,22300000
"PC(38:8)",4009230.824,2401087.374,2246120.681,5238254.807,5650627.018,4363962.064
"PC(40:10)",1824197.658,36132.812,19800000,36132.812,811479.4635,180664.06
"PC(40:2)",3.97e+08,2.45e+08,2.77e+08,2.9e+08,7.4e+08,3.04e+08
"PC(20:2_20:4)",23700000,14800000,12400000,42200000,59100000,39700000
"PC(18:1_22:6)",53900000,31500000,34800000,77300000,1.47e+08,77300000
"PC(40:8)",22800000,15500000,18500000,40600000,82800000,38200000
"PC(40:9)",1218570.029,762072.436,1121895.564,3980076.381,9142321.206,3625282.729
"PC(42:11)",782717.074,690326.067,626602.456,4839596.598,9038232.691,3820953.803
"PC(42:2)",1.33e+08,87600000,58900000,39600000,53500000,3.9e+07
"PC(42:4e)",45900000,24900000,26400000,25400000,38100000,21800000
"PC(42:5e)",29500000,15500000,23600000,6538078.271,37800000,13900000
"PC(22:2_20:4)",11700000,8802573.596,6417608.246,21400000,35300000,23400000
"PC(44:11)",3835293.843,2604714.059,3742431.711,5996593.941,14400000,7321192.79
"PC(44:12)",3025757.482,1679858.787,1832794.325,3238152.165,7533305.439,4082360.589
"PC(44:4)",1775154.774,1444982.626,486695.218,2712996.367,8764935.564,6141664.021
"PC(44:6e)",16800000,10300000,11400000,5696157.381,7786203.433,7273044.183
"PC(44:8)",2651992.346,1805136.504,544097.477,8420187.529,24800000,8034021.948
"PC(44:9)",53400000,28700000,38100000,86200000,1e+08,78300000
"PE(20:3e)",13300000,8272440.584,12400000,8284058.581,12800000,7031664.711
"PE(32:0)",6667707.896,5827936.648,4739499.414,5794798.182,5857532.027,5967167.647
"PE(16:0p_16:0)",18200000,12700000,17300000,13400000,21800000,13100000
"PE(32:1)",2457539.187,1684309.124,1397071.584,2070295.161,1180212.465,1512380.983
"PE(32:1e)",3175908.083,2141991.732,2321546.753,2270652.07,1405424.226,2248335.35
"PE(18:1p_14:0)",12300000,8223166.62,7048159.244,6629619.61,21600000,6953708.623
"PE(32:2e)",12300000,8223166.62,7048159.244,6629619.61,21600000,6953708.623
"PE(34:0)",6265540.843,5254647.489,4021495.69,5413206.833,1234841.465,4260475.928
"PE(18:0p_16:0)",10200000,7709869.608,8397151.016,11100000,17400000,8864350.493
"PE(34:2e)",40300000,26400000,24700000,26900000,37500000,2.9e+07
"PE(18:1p_16:1)",7874397.794,5388069.499,4575093.476,5529434.741,12100000,5074726.25
"PE(16:0p_18:2)",4558229.728,7084845.283,6528069.536,6075672.706,11700000,7676272.375
"PE(34:3e)",7874397.794,5388069.499,4575093.476,5529434.741,12100000,5074726.25
"PE(18:0_18:0)",19500000,12900000,12800000,12300000,33500000,11800000
"PE(20:0p_16:0)",5208664.083,3517413.823,5218221.617,5605421.179,259142.831,4022537.018
"PE(36:1)",1.96e+08,1.47e+08,1.24e+08,1.5e+08,1.42e+08,1.31e+08
"PE(18:0p_18:1)",43700000,30300000,34400000,36200000,81800000,34100000
"PE(18:1p_18:1)",1.78e+08,1.05e+08,1.14e+08,83200000,2.15e+08,98200000
"PE(18:0p_18:2)",370005.9213,5825214.592,4829734.272,4803205.498,15200000,5582087.53
"PE(16:0_20:3)",44100000,28200000,30600000,3.3e+07,92200000,664736.7261
"PE(36:3e)",12600000,31300000,7837888.891,6656456.451,32400000,1501896.982
"PE(18:1p_18:2)",11900000,8020440.694,8972260.879,7903811.895,23100000,11200000
"PE(36:5e)",79500000,51300000,52200000,46600000,73500000,5.5e+07
"PE(20:0p_18:1)",9352711.289,6867726.271,7438044.781,9075659.678,2582734.142,8885515.83
"PE(38:2)",39100000,24700000,20700000,19200000,21100000,20100000
"PE(18:1p_20:1)",14200000,5504811.001,6956825.135,2789753.857,6565418.818,3161313.76
"PE(16:0p_22:3)",12100000,7571465.117,6383869.624,7680230.925,20300000,7772768.117
"PE(16:0p_22:4)",72800000,56500000,54900000,4.9e+07,1.83e+08,65700000
"PE(18:0p_20:4)",2.2e+08,1.44e+08,1.63e+08,1.24e+08,3.53e+08,1.34e+08
"PE(38:5)",8483704.452,30741.4062,4669647.838,3821347.154,4537399.829,261575.5896
"PE(16:0p_22:5)",6.67e+08,4.31e+08,4.5e+08,3.25e+08,1.03e+09,3.68e+08
"PE(18:1p_20:5)",42400000,21100000,25300000,22200000,95300000,32400000
"PE(16:0p_22:6)",1.9e+08,1.19e+08,1.35e+08,67200000,2.13e+08,9e+07
"PE(40:2)",20900000,16300000,11600000,8574908.756,9325410.905,8774179.39
"PE(40:4)",10100000,6808762.464,6925519.731,8196883.488,1.1e+07,8617616.565
"PE(18:0p_22:4)",22900000,13500000,18100000,13600000,58600000,15100000
"PE(20:0p_20:4)",31500000,2.2e+07,18500000,20500000,72900000,19300000
"PE(18:0p_22:5)",1.16e+08,7.9e+07,8.1e+07,65300000,2.02e+08,78700000
"PE(40:7)",59600000,46300000,4.1e+07,36500000,5.5e+07,38700000
"PE(18:1p_22:6)",2.39e+08,1.54e+08,1.53e+08,48600000,1.75e+08,68800000
"PE(20:0p_22:5)",6883445.928,4654992.889,2459515.453,5384033.108,1.8e+07,6335104.427
"PE(42:6)",2661950.812,1602270.564,952146.654,1780270.63,3261623.218,2715980.653
"PE(20:0p_22:6)",1.5e+07,8429457.444,6298318.101,5100702.156,16200000,5738628.897
"PE(42:7e)",5630307.649,2765781.638,1414540.92,552317.6934,1836295.24,868627.6035
"PG(34:1)",29600000,25700000,24700000,25600000,28700000,24900000
"PG(36:2)",35600000,26700000,26500000,16200000,20100000,7007938.527
"PI(34:1)",950030.34,2243957.32,867801.379,2530083.594,675790.0071,758717.4549
"PI(36:3)",1947760.104,2364171.148,1060300.415,4787778.309,5654386.123,4304009.732
"PI(38:3)",1339578.052,2220866.475,618798.102,1164793.761,722264.4813,715131.733
"PI(38:4)",2070768.785,1921929.902,726637.3212,4251390.104,4265039.776,3152300.885
"PI(20:1_20:4)",1399660.219,2145500.711,659341.833,2090059.642,1132037.22,1355185.22
"PS(22:4_22:4)",1871731.301,1054895.126,1442232.038,4880113.302,10900000,4889537.954
"SM(d30:1)",4336974.113,3107325.203,3167490.204,4142807.632,9197097.837,3291746.219
"SM(d18:1_16:0)",8.35e+09,5.1e+09,7.01e+09,6.33e+09,1.05e+10,5.3e+09
"SM(d34:5)",330619.898,365922.725,704600.408,382815.288,1376957.361,2165358.669
"SM(d36:5)",488868.3663,7283628.825,9579141.652,8532860.484,12100000,8078603.215
"SM(d38:3)",13500000,9165806.255,6058579.771,6686509.916,13800000,8474891.764
"SM(d40:3)",52400000,30300000,23700000,25700000,60100000,2.4e+07
"SM(d20:1_24:1)",61400000,47200000,4.9e+07,34100000,43200000,34100000
"SM(t32:1)",1246542.741,970672.246,1277036.279,1164176.976,2220032.525,803580.978
"SM(t38:3)",1409422.148,862907.877,790769.013,1558578.332,259660.481,137958.6975
"SPH(d16:1)",18600000,21800000,35500000,12200000,29400000,11200000
"SPH(d18:0)",10900000,8775022.337,12700000,21100000,23200000,16600000
"SPH(d18:1)",7724662.154,9209775.627,14800000,1544932.4308,33400000,9355636.372
"SPH(d20:1)",11400000,14500000,16300000,10700000,23700000,11800000
"SPH(d20:2)",1114154.665,1000855.954,1229071.48,112730.884,4095056.526,755728.529
"SPH(d22:2)",6031221.842,4246903.196,7291124.31,2302280.73,5786037.405,3818450.508
"SPH(d24:0)",1073404.488,717796.517,4973213.785,926476.427,2177472.095,1331793.819
"SPH(t16:0)",4.47e+08,2.91e+08,4.15e+08,4.34e+08,4.8e+08,3.6e+08
"SPH(t20:0)",78700000,49900000,77300000,71900000,85600000,69200000
"SPH(t20:1)",22440.075,59209.562,351147.204,74026.949,1327544.876,135105.805
"TG(4:0_6:0_16:0)",13392.4467,117123.5775,14300000,62838.4425,119150.1,143794.11
"TG(4:0_12:0_16:0)",542634.353,444875.457,19300000,262038.53,457765.0509,843626.214
"TG(34:1e)",6150674.564,1214375.4,2525375.708,2156726.502,344598.492,1636729.311
"TG(16:0_6:0_12:2)",115818.293,35989.2,13100000,7197.84,222307.566,40797.714
"TG(34:2e)",16700000,1598002.911,421794.0225,24400000,1.03e+08,25300000
"TG(18:0_8:0_10:0)",6535236.711,153673.689,10700000,513084.431,11800000,4468950.075
"TG(12:0_12:0_12:0)",10900000,7425991.465,10300000,6476734.869,27300000,7252902.012
"TG(4:0_16:0_16:0)",3811984.105,3517693.552,6629759.962,8263963.596,43700000,3194711.463
"TG(36:1)",59802.853,34209.93,22800000,86899.157,68657.28,6841.986
"TG(6:0_12:0_18:1)",1943596.139,80827.9794,66100000,116703.809,1000366.646,203874.537
"TG(18:0_8:0_10:1)",229620.9897,8189.2944,1e+07,40946.472,1230336.101,59974.362
"TG(36:1e)",12900000,935584.671,1852172.495,1389263.82,6930199.043,1593119.704
"TG(8:0_10:1_18:2)",0.0674,0.0674,8940029.148,0.0674,0.0674,0.337
"TG(12:0_12:0_14:0)",9682214.301,8343965.574,11200000,7843478.506,1.92e+08,9335641.711
"TG(4:0_16:1_18:1)",16400000,10600000,13100000,174922.618,8328178.234,132260.73
"TG(38:4e)",2e+07,15700000,17800000,46600000,1.41e+08,43600000
"TG(38:5e)",69300000,45900000,58600000,96900000,3.27e+08,89500000
"TG(38:6e)",1197178.739,2337125.925,4039042.668,12200000,24500000,6550433.96
"TG(16:0_8:0_16:0)",13700000,21500000,29200000,1.8e+07,1.88e+08,21200000
"TG(40:0e)",18800000,3854136.299,10700000,6363133.44,19700000,13900000
"TG(16:0_6:0_18:1)",1803909.872,1337432.715,12800000,832951.994,5770484.097,296244.27
"TG(40:4e)",6591451.145,4111517.808,6723944.279,3290290.693,1560126.628,2916857.162
"TG(40:5e)",25500000,15600000,20100000,90800000,3.06e+08,80200000
"TG(40:7e)",69400000,45900000,47800000,88800000,2.59e+08,88600000
"TG(16:0_12:0_14:0)",19600000,24600000,31800000,33500000,80100000,34200000
"TG(16:0_8:0_18:1)",1.6e+07,9272301.829,4.7e+07,4449103.492,9428404.681,3848288.904
"TG(4:0_18:1_20:1)",11600000,5942100.232,12600000,1024685.086,4136634.457,734006.894
"TG(42:4e)",2811222.215,1143191.65,1592464.729,9326290.973,11200000,8207713.848
"TG(42:5e)",14400000,9419589.18,11100000,57900000,1.51e+08,57100000
"TG(42:6e)",27400000,16500000,2e+07,63100000,2.53e+08,65500000
"TG(16:0_14:0_14:0)",30800000,55200000,43900000,43500000,1.61e+08,73400000
"TG(16:1_14:0_14:0)",25500000,23700000,32100000,21400000,26300000,18300000
"TG(44:5e)",2704470.816,2904396.976,970321.128,8135322.567,10100000,7748079.366
"TG(16:2e_10:4_18:2)",823183.055,400522.583,262833.67,646173.86,20700000,313910.95
"TG(16:0_14:0_16:0)",70300000,66200000,1.67e+08,1.21e+08,1.5e+08,1.22e+08
"TG(16:0_14:0_16:1)",83800000,6.3e+07,1.16e+08,60300000,82900000,50200000
"TG(10:0_18:1_18:1)",73200000,53400000,65800000,7630551.555,20900000,6744119.659
"TG(16:1_14:0_18:1)",2.78e+08,1.98e+08,2.81e+08,93500000,1.73e+08,92600000
"TG(12:0e_18:1_18:1)",27600000,12200000,27500000,1989642.679,44200000,3602659.426
"TG(16:1_16:1_16:1)",4.6e+07,39600000,44200000,22800000,5.5e+07,27700000
"TG(18:1e_16:0_16:0)",44500000,27500000,42100000,11300000,2044669.181,9837452.397
"TG(16:0_16:1_18:1)",197112.0339,681377.0976,2332221.629,1541761.383,2424050.599,888929.6625
"TG(14:0e_18:1_18:1)",52300000,36100000,40600000,9197051.216,1543488.067,6273727.565
"TG(16:1_16:1_18:1)",5.57e+08,3.75e+08,4.44e+08,1.1e+08,2.3e+08,1.35e+08
"TG(16:0_14:0_20:3)",19500000,1166591.79,3.2e+07,12800000,35400000,11100000
"TG(18:1_14:2_18:1)",73100000,60600000,45200000,22200000,1.17e+08,2.2e+07
"TG(16:0_14:0_20:4)",40800000,24800000,22700000,15400000,21500000,10700000
"TG(14:0_18:2_18:3)",28300000,15700000,11200000,8016361.351,3363889.575,7795044.567
"TG(18:0_16:0_18:0)",14500000,4.5e+07,11900000,492396.015,1.4e+07,11100000
"TG(18:0e_16:0_18:1)",14700000,25800000,43900000,106020.467,1067825.424,28200000
"TG(18:1e_16:0_18:1)",2.3e+08,1.37e+08,1.55e+08,21300000,6678303.257,20100000
"TG(20:1e_16:1_16:1)",54200000,38100000,38200000,4401108.231,3518745.977,7448609.132
"TG(16:0_16:1_20:3)",1634732.672,326946.5344,87500000,326946.5344,326946.5344,326946.5344
"TG(16:0_14:0_22:4)",6457837.276,5841.0144,1.29e+08,2.284,27609.5082,42883.3158
"TG(16:0_16:0_20:4)",49200000,48300000,4.1e+07,30900000,38200000,23800000
"TG(16:0_18:1_18:3)",33600000,30400000,90600000,24900000,31800000,20100000
"TG(18:1_14:0_20:4)",72600000,74900000,98200000,29600000,1.7e+07,2.3e+07
"TG(16:1_18:2_18:3)",6240844.768,4593421.11,2056881.372,1530155.778,42800000,1886483.434
"TG(16:1_16:1_20:4)",92800000,60200000,46100000,25100000,18500000,23100000
"TG(18:1_12:0_22:6)",20300000,13500000,4936556.479,7145020.951,20200000,6976394.934
"TG(18:0_18:0_18:0)",28200000,51200000,24100000,18200000,22100000,22700000
"TG(18:0_18:0_18:1)",966268.4382,13100000,3312591.762,0.1508,0.754,0.1508
"TG(16:0_16:0_22:3)",175843.95,17.226,20700000,3.4452,3.4452,3.4452
"TG(18:0_16:0_20:4)",11400000,37800000,4841836.516,7107411.793,27600000,10400000
"TG(16:0_16:0_22:4)",44700000,32500000,88700000,15700000,8385562.263,12400000
"TG(54:4e)",26500000,2.1e+07,3488259.607,473143.2249,4251778.157,5410225.955
"TG(18:1_18:1_18:3)",414437.5368,14026.0418,67300000,70130.209,767542.2696,14026.0418
"TG(54:5e)",52400000,35400000,43100000,1.5e+07,10700000,13400000
"TG(18:3_18:2_18:2)",74100000,8249776.268,22500000,31300000,4.78e+08,16700000
"TG(18:1_14:0_22:6)",1.34e+08,97500000,59700000,42900000,1.2e+07,13700000
