Metabolites,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
Methionine sulfoxide,46171.59709,35835.92528,77069.48499,104359.6519,119716.2023,71949.06236,60337.78402,96259.78374,120294.2622,77622.38499,78871.04589,43865.60595,106287.9655,123777.9981,40505.86347,217863.865,192172.8884,146473.9613
phenylalanine,1963539.304,1669010.756,2291719.196,2210760.326,3272997.206,3399619.589,2193420.744,2295674.876,3678454.249,2468702.628,2830804.787,1425892.191,2747995.993,2639786.705,1533233.566,3943228.612,4621820.789,3821462.528
Pyridoxamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pyridoxine,487832.5684,628520.7137,593398.9386,782939.5831,1301988.816,1259112.163,784874.2897,993096.4088,1920949.193,671360.1229,908000.1615,465308.9391,614608.535,671925.8797,301957.0916,1050354.038,1521073.464,1068670.49
1-Methyl-Histidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-acetyl-L-ornithine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
arginine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
citrulline,152191.3658,117394.7216,212972.6367,127699.2918,275404.2715,234981.9653,126800.4979,237074.9179,410963.6536,123781.8491,161123.3499,110330.7277,150887.4488,223781.0178,147759.2618,157230.3003,200884.8163,212099.2412
N-carbamoyl-L-aspartate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
glucosamine,N/A,120229.9949,N/A,N/A,38953.9306,158918.7356,166000.2043,242047.8191,389265.5218,45500.8725,50578.41845,47237.9236,N/A,35465.38193,N/A,71987.74496,102301.4063,64149.96155
tyrosine,832927.5548,665726.0617,797984.3701,968193.8893,810053.2238,1005913.482,814856.6064,886973.7347,971134.7896,838159.9088,1187271.221,729340.3343,945046.0638,972840.9619,360713.5264,1403018.788,1537980.136,1414773.371
Phosphorylcholine,7013679.27,5697410.195,6543860.838,8095339.429,8554577.428,7822475.738,6907147.528,6574427.391,10452687.62,9241902.18,9753736.394,5089233.856,10077884.72,10584122.5,4067012.844,11468180.34,13065901.74,8121223.18
