Metabolites,D0_1,D0_2,D0_3,D2_1,D2_2,D2_3,D4_1,D4_2,D4_3,D6_1,D6_2,D6_3,D8_1,D8_2,D8_3,D10_1,D10_2,D10_3
glyoxylate,N/A,18294.35167,N/A,N/A,10447.47858,N/A,N/A,43705.73799,13443.289,8707.293678,6522.011296,4128.387893,4518.224472,N/A,129252.7209,6623.504868,4869.529532,8222.305942
glycolate,N/A,N/A,N/A,N/A,3144.661667,N/A,N/A,N/A,5025.837592,N/A,7221.995627,N/A,N/A,N/A,19993.91135,N/A,N/A,N/A
pyruvate,60682.63937,26716.87053,N/A,5926.925274,25164.71962,7788.613239,17400.14067,62784.97243,N/A,13547.56584,N/A,6181.715471,18755.68957,43928.59557,77358.3125,N/A,10267.13609,27163.12746
lactate,1315244.084,1306876.538,1732226.791,1608091.91,2624966.825,2927129.127,2678833.643,2486486.613,3867926.898,2516121.177,2811419.701,1772689.464,2434315.367,3119936.77,4210605.848,3914886.41,5052114.533,3811347.024
2-oxobutanoate,12791.89244,41225.14793,24604.71691,15095.76973,N/A,38213.58019,6543.624666,67154.84747,31129.96798,17294.88706,14452.18982,N/A,20132.38148,32527.07452,173773.0521,24828.53218,38974.40487,28392.66564
acetoacetate,23352.77912,33959.9867,19037.16025,15137.99294,21298.56201,37092.04554,18910.31329,68392.94851,28306.83856,23066.87655,32453.73316,16430.6422,32489.28894,30746.81959,192518.5255,20468.94695,24854.64162,35294.33044
glycerate,24889.07575,137697.8161,46218.2771,24097.44419,53489.15077,77365.07277,21290.95787,274481.0415,39972.77423,84903.31865,62803.57747,43380.53874,56980.60798,107485.4031,1586375.908,74207.88455,92101.72437,67476.71812
uracil,204254.2467,164375.9018,111514.6359,42483.80205,39680.83946,68593.56219,59463.84343,95648.2212,26545.8066,46338.95505,45331.3282,20946.33083,55890.24455,83324.85524,196683.0274,49011.77759,31444.75441,39236.17948
fumarate,151566.4249,618627.3077,149668.4278,148081.2115,187175.4917,176667.1887,348351.8501,1432125.321,310543.543,293903.6922,255718.0505,167858.8185,273773.5691,238628.4695,5028143.694,348016.6597,334098.9729,284102.5777
Maleic acid,193583.7348,700753.4406,144688.5437,191399.9894,208754.5869,198689.2086,338412.753,1537501.485,328600.1431,289938.8003,302019.1863,164862.6627,238883.4983,317597.5188,5198042.928,331791.5479,418309.531,266627.7204
2-keto-isovalerate,165711.8839,715373.6335,191382.7403,153306.7448,223926.5809,202575.5396,426987.3038,1553433.504,334125.0233,274617.6001,346221.1901,154895.4903,305416.0389,366211.8905,4853056.502,382274.105,485291.7899,314567.2441
Guanidoacetic acid,22438.54203,69212.38477,29165.33458,17770.02099,28767.59122,67586.51289,19514.96358,134002.614,34478.75539,72946.0083,35280.90607,31418.23378,19427.44226,90154.43575,456553.312,23912.63472,48914.3273,23603.18583
succinate,146546.8307,286850.5747,149498.3352,129263.5812,319216.8436,329585.2728,395892.1402,619150.691,422288.4671,524340.0775,578279.8395,406544.2413,321794.6063,544833.5883,1818442.077,609101.2143,642933.1881,1062574.722
Methylmalonic acid,179355.6629,318572.4711,200434.9619,167790.2495,336958.8831,444251.6025,447780.989,750606.383,462400.1151,623611.2618,620186.2488,441370.6852,346708.716,623112.2663,2255796.969,699178.3305,787126.1937,1081539.195
3-S-methylthiopropionate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4097.594235,N/A,N/A,N/A,N/A,5753.195564,19442.474,N/A,3918.805,N/A
nicotinate,139723.0155,273064.4525,261729.6852,160357.5357,151108.2767,183098.3265,197669.1438,156796.9591,175867.7258,152623.7269,154502.9533,130517.6768,140206.7283,146658.5226,305096.065,167426.4016,181578.4374,197959.2035
taurine,6625018.17,5227562.329,5392653.8,6035028.968,7172977.71,6553689.12,10175638.47,9711456.731,12436010.79,18786762.05,19552884.68,11925891.11,20181796.47,18830525.92,12255282.53,24956371.91,24726368.66,23099401.31
Pyroglutamic acid,87031.97081,89459.38222,122592.0755,150130.7681,203690.8321,254496.907,160377.022,160362.0072,301644.2692,122559.3334,178969.7834,68586.68589,114301.8309,110869.3052,149903.8024,210857.9501,276716.7312,150460.9016
Citraconic acid,617357.1597,213959.6749,64549.2971,101088.6207,168948.8132,115157.3561,226582.9543,640774.7077,200248.28,90269.98187,222455.2183,116466.861,209330.7495,217746.4055,690620.2326,197283.5786,177194.1624,145073.2883
2-ketohaxanoic acid,N/A,18467.38458,12213.32074,12992.52003,10045.40796,7355.10386,12786.45056,43660.35621,N/A,7139.365115,7140.477831,6241.965755,9601.627873,10053.18601,62070.68885,19048.85415,15988.99606,23456.91453
N-Acetyl-L-alanine,536486.9549,439664.499,464400.063,301511.523,300964.24,331978.0121,582248.1082,713315.9986,867945.7581,964324.0009,886338.6535,636034.8187,822450.6704,831278.2406,501075.5125,938292.0715,852658.8541,811153.1154
oxaloacetate,44788.79318,81371.65001,72022.29287,47000.76906,98060.17126,126632.4526,70018.94721,95691.94504,69991.12932,146455.9685,124913.8993,157752.6785,120948.6835,165167.5325,533947.8756,162408.7855,169942.3959,225465.3746
Hydroxyisocaproic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
malate,1415951.365,5271499.684,975824.0319,1580264.988,1723985.348,2131562.655,3437080.647,15797599.32,2640624.162,2736116.631,2716090.409,1778066.398,2294510.376,2007228.732,47756073.59,3048766.522,3315775.224,2437167.005
hypoxanthine,152421.9394,99883.32152,129697.8612,18697.64586,12561.37625,14962.27323,3923.6585,18215.79307,15328.27958,14001.10219,10592.8803,N/A,13109.46216,17213.79703,40720.05357,30943.45491,31748.21742,18076.73461
anthranilate,220852.7115,130958.061,75931.2041,74389.85143,88980.87441,141599.7782,67900.38847,248349.264,326936.2096,25352.17503,55814.62669,40086.6989,49905.74632,68703.07722,231362.5907,26169.47718,62087.68567,54340.56898
p-aminobenzoate,226024.1577,157127.3801,85339.63698,73215.57078,66244.96188,115532.7501,52810.255,215694.9272,303004.6295,44321.08765,27779.72507,41890.1177,33837.73156,62936.30397,214154.4575,39880.37217,59898.02921,59618.93168
p-hydroxybenzoate,238660.6003,738330.6008,125353.4764,62631.30397,74380.70496,88094.67946,80890.72644,1106460.61,438183.6624,119255.7014,79158.0117,85993.96652,101773.9649,153305.6423,7527863.006,179490.5687,164606.2098,231503.6384
acetylphosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carbamoyl phosphate,958357.5668,722047.7978,928348.335,1394254.231,1771188.132,1469169.202,1733789.263,1466727.392,2475853.367,1587106.24,1784723.822,1212509.62,1612552.763,1334613.332,434625.8737,2079858.688,2234438.91,1668391.534
a-ketoglutarate,195403.0999,187283.4098,198649.3475,172390.0034,242048.1109,203501.4769,134250.9359,134410.1291,186585.309,261726.2014,229945.5707,181825.2363,218106.5452,270162.0927,135196.6469,417238.5558,387623.3646,394722.5596
Phenylpropiolic acid,516175.3476,382517.0326,484332.8285,524850.8644,598032.3405,489504.6184,370071.2376,355768.2332,529657.9825,621031.8449,530528.6577,465881.7285,610626.8919,625856.7548,312633.9592,877107.8773,1044556.793,877500.171
2-oxo-4-methylthiobutanoate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Hydroxy-2-methylbutanedioic acid,99115.51941,148887.1843,63226.4127,64835.44634,175534.6222,302115.9198,64655.15097,413605.0309,97735.14382,195202.9937,169472.8508,125981.212,169937.6248,559134.2938,1050189.276,208134.2763,232314.0398,355262.4754
3-methylphenylacetic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
xanthine,758781.751,651799.863,975566.3071,199815.4315,193960.845,134437.4532,78485.69193,125017.3328,95976.92605,57409.31856,55951.55276,28628.00473,48901.66829,85250.66447,169385.0011,104799.8847,65837.29275,23316.4689
Hydroxyphenylacetic acid,23312.14532,92112.37575,65447.65992,61916.69223,65880.01125,224582.6669,43671.57336,64521.85807,76526.36749,120367.6994,102145.5068,141155.9174,99247.2181,174979.9441,324047.6787,147473.8943,162503.9167,153010.3346
"2,3-dihydroxybenzoic acid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
orotate,43955.92941,50237.06853,39139.52602,23195.40124,32456.44561,78515.32668,N/A,46616.83428,23252.14425,41812.09232,22525.20895,20836.11697,26920.20792,81368.69805,193392.6105,53277.25619,49825.14858,55465.18354
dihydroorotate,N/A,36047.31956,40097.47927,38875.03141,58862.73674,51712.03675,48520.88645,65142.05174,70965.62214,70338.08068,82068.4191,48834.60643,69617.37408,84210.69281,141232.1912,95064.74035,94720.92635,49666.51059
allantoin,8372.871557,N/A,8251.632861,5972.876501,15338.01265,35528.28543,10707.87803,11687.92142,25815.84773,12072.03151,12565.43855,5486.011667,11789.6371,25072.93997,14974.7298,14224.85849,37232.77349,20305.04415
Aminoadipic acid,28505.10096,20831.86264,20361.42592,28600.98115,34230.11754,50297.50793,36924.23111,48171.52358,38478.17937,38786.1408,52735.38348,37427.0573,55690.58478,74776.93978,152607.7992,61320.15268,48150.52617,73767.54546
Indole-3-carboxylic acid,37500.39683,24160.57693,29521.03433,34585.66236,27315.11724,32132.35012,37876.63705,31593.63662,45398.94533,41845.27118,64005.69985,23365.30799,63501.42807,43221.83849,25890.48991,52713.96181,77929.76558,48888.80781
phenylpyruvate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3014.290888
Atrolactic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phenyllactic acid,14509.31797,11764.17499,11008.68435,10921.42491,16440.3951,21936.81075,12348.99994,18484.45578,31460.67465,11425.12383,15917.56387,N/A,12952.33313,19449.75731,32185.26118,45570.04899,26349.73973,22540.44666
quinolinate,70275.13564,137917.3347,94916.55195,44395.51667,77701.56016,153309.7913,102220.0553,82756.43474,62079.24105,255727.5221,174956.3705,151357.8766,134902.0103,174407.817,956964.0647,280097.5274,240382.6808,161408.8596
phosphoenolpyruvate,20442.92901,8966.90021,15752.12145,20217.26638,37216.10359,12595.58183,19111.69253,21776.74696,25375.53892,46247.68362,49170.30398,22491.86324,57127.23419,21893.73196,72670.42485,57652.70985,88626.36395,28257.53706
Uric acid,15703.47476,7852.422987,6219.08957,15513.09654,32567.18077,33961.58066,66964.419,84795.61334,80092.57955,108870.2609,62132.06538,22521.61718,87428.81087,50661.34106,32062.30226,53473.74804,80030.07443,28285.37466
dihydroxy-acetone-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-glyceraldehdye-3-phosphate,12972.43367,7304.457922,8040.665248,8417.1965,13801.23227,14721.28599,7474.883828,15784.56773,8128.453398,22100.25034,29416.16646,20375.9607,18059.46279,26658.40007,5896.947218,18055.2601,29562.92863,34381.52344
sn-glycerol-3-phosphate,263564.4778,231495.2234,218163.1541,121069.9098,118779.9168,131323.5222,386357.2262,405343.0548,540003.8488,605306.1196,600789.8566,360972.411,426265.5688,410592.5645,277875.8498,520061.1474,543950.2736,515344.2725
shikimate,110594.3684,88744.98893,64472.23265,53565.01621,98697.99287,94041.38875,487091.7714,490871.1228,542805.6753,150526.5466,242838.0374,145504.3237,77206.32263,104980.3866,855050.2043,22863.59375,68658.69276,76188.34539
aconitate,82597.04014,68331.74679,25789.14491,86200.97496,126171.1752,125784.5696,166504.719,126187.1214,133885.4455,144181.9542,105886.4741,77301.79545,105956.591,110290.8915,117171.1364,88308.06852,157130.1776,116560.0565
allantoate,N/A,5334.514214,N/A,5493.895,4706.35,6445.008528,6281.44,5496.26,N/A,4583.385249,N/A,N/A,N/A,N/A,14095.62544,5183.300299,4706.35,N/A
Ascorbic acid,18769.52344,N/A,49949.60183,44066.60646,75423.92355,91389.09358,39163.89756,63270.19915,119838.0267,43694.96653,38893.36017,33096.63955,41292.78269,44417.15181,62516.67512,61965.80373,106234.8774,47809.86735
2-Isopropylmalic acid,474488.5469,659774.7873,441241.2506,446833.0337,358940.9787,1987450.938,481091.9589,1093572.047,367831.7784,544401.7905,749197.6884,548503.6276,505825.8647,1427140.365,2934324.818,499796.9271,590738.8706,608954.431
N-carbamoyl-L-aspartate-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyrophosphate,35658.66549,56063.91914,104258.7316,197943.2452,376828.9406,298863.4987,311630.0053,83324.78127,1487217.459,184797.991,328295.1406,187440.9084,242226.7638,77005.56535,276542.1137,220808.1952,262042.5851,172151.2729
glucono-?-lactone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
myo-inositol,1294801.009,1249375.481,875758.7901,2291921.115,2509330.067,2756139.781,4776802.337,6262997.633,5408592.233,6658625.256,5351840.306,4415608.221,4874950.157,4734604.467,3895454.109,6239104.023,5421714.253,5332560.54
hydroxyphenylpyruvate,3916.44,N/A,9432.659008,19045.86934,19386.95236,16325.46912,6273.556667,7554.575253,21355.11226,N/A,6886.213976,N/A,9937.75203,6444.12796,9427.991584,16195.42105,20265.81484,16918.61868
homocysteic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4-Pyridoxic acid,564731.1427,662968.4065,1691117.142,1287392.005,1290640.331,1861869.959,1152479.125,1022621.627,1043706.963,1516895.239,1530182.074,1732109.169,2142644.823,1590607.315,3295658.659,1449184.958,2372181.334,2306147.775
3-phosphoglycerate,115004.2067,97375.51215,115971.7906,39762.63172,309813.3978,344572.9936,42507.80794,74704.79291,59347.48976,157529.9086,150883.7451,182552.5063,528947.6504,980010.4324,642099.7423,690635.588,379114.4862,669772.004
Indoleacrylic acid,10817.55697,57861.93649,N/A,N/A,12718.31351,N/A,N/A,102140.5632,N/A,N/A,N/A,N/A,N/A,N/A,330061.4814,N/A,N/A,N/A
Kynurenic acid,N/A,48586.60762,N/A,N/A,N/A,34995.64425,N/A,51860.1416,41005.62932,N/A,N/A,N/A,N/A,59990.56439,127933.2001,N/A,26649.26944,55716.22592
citrate-isocitrate,22653616.57,6056667.745,2624867.586,5742640.95,7716765.02,5838297.333,9589378.761,28413320.24,6132905.916,6899281.201,8116044.726,5188054.512,7559279.495,7468941.808,18955829.02,7360653.054,9203060.743,7324698.733
isocitrate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
citrate,9505055.592,2169894.251,1229772.647,2112165.377,3130921.562,2876954.876,4112737.366,12442086.7,2322206.335,2260434.873,3039093.246,2653691.511,3503249.929,2966658.464,10691288.01,3777277.203,3368045.666,2329001.472
2-dehydro-D-gluconate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-gluconate,124991.5763,151070.0203,85199.84542,55083.19684,66613.4481,89157.59878,131825.0555,359417.2154,110868.0699,149041.8917,215040.7665,119705.5142,208882.6337,143193.8582,760343.1148,203737.6324,206110.9124,159172.8331
D-erythrose-4-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xanthurenic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lipoate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-glucarate,7759.987642,6204.262438,5640.412172,N/A,N/A,N/A,N/A,55835.91462,N/A,7849.875556,8340.09285,7524.424612,N/A,13938.08554,82924.74083,11265.91969,N/A,N/A
deoxyribose-phosphate,46591.90707,18391.48794,65914.13773,55290.12488,62316.26297,51006.23936,46158.45208,23535.40401,81419.76049,53766.07191,63542.60236,63383.85447,68296.22747,54120.249,N/A,36496.19633,73868.84576,63442.82017
pantothenate,538973.408,586335.4176,631163.5287,2059337.576,2729070.303,2668943.365,1471695.759,1293427.619,2118428.403,837451.4927,898796.1963,549251.3829,893109.2869,2353162.267,539754.8976,1096319.68,1506771.543,1104032.978
prephenate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deoxyuridine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ribose-phosphate,32354.27671,16800.86457,23851.23016,21343.80385,20917.95459,17919.5457,51596.67783,46903.82357,46811.90391,75761.84745,61028.50753,36231.67233,130899.835,90344.91588,36118.13737,107001.6631,106638.8704,32723.88742
thymidine,20442.2814,N/A,N/A,N/A,N/A,N/A,35174.96242,29639.51274,39909.65576,38404.66772,41043.70016,20900.01092,26978.03741,30349.29276,N/A,41114.89404,31293.98306,37878.08435
uridine,182854.9048,151487.4322,164249.8702,42044.20278,61935.20653,60255.87244,79844.15662,101116.5868,50900.1838,39990.7229,99557.73846,99887.9336,30448.06028,97577.16454,601454.2291,62831.00485,92681.96328,57745.46191
deoxyinosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
shikimate-3-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
D-glucono-?-lactone-6-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4019.533328
hexose-phosphate,277422.7224,226192.2159,270702.9821,289993.3935,303556.2732,331628.3196,752918.6641,643353.6302,695251.0552,568963.8113,568146.8777,413328.1324,731393.7784,589835.3893,141572.2296,688760.8539,653615.2379,699056.5279
glucose-1-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
glucose-6-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fructose-6-phosphate,6409.243791,11798.10871,8214.791331,17242.18927,13458.9561,13029.73719,45661.01586,32238.71486,45754.82531,27754.62182,20305.34091,21892.52984,49776.56887,33024.4796,N/A,31783.02782,27469.93525,23290.48343
"1,3-diphopshateglycerate",17052.76001,15305.11726,36045.31666,28686.96325,29306.6947,40480.4757,N/A,N/A,21865.4359,N/A,N/A,37352.75062,29702.48146,33238.35682,N/A,39114.50801,41705.08985,N/A
"2,3-Diphosphoglyceric acid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S-ribosyl-L-homocysteine-nega,18633.83437,19467.71429,9362.162332,9365.659916,40661.61756,28444.98383,54683.332,70761.3427,25622.95042,42676.74718,43047.10632,24947.86103,67906.82661,145054.3091,119042.068,96189.28,79049.06458,37528.76107
inosine,65932.34934,33734.18021,40334.76172,4076.78382,10378.42309,7642.076354,45304.29228,42887.05448,35031.29333,49090.79362,29154.85487,21201.04308,35830.50955,123942.3625,78308.56531,85829.26963,73194.53456,31254.99072
6-phospho-D-gluconate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5919.543567,N/A,N/A,N/A,N/A,N/A,N/A
xanthosine,23848.17559,15496.83344,22868.93617,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33526.49093,59485.95689,N/A,N/A,N/A
D-sedoheptulose-1-7-phosphate,18911.89542,18145.34552,37719.1977,N/A,36959.52513,24543.724,44706.39112,44876.46155,54034.65587,42665.34629,28742.69573,33022.50209,61591.43501,52654.53853,15741.0974,38443.56352,57170.86978,32510.77628
N-acetyl-glucosamine-1-phosphate,56944.0896,51235.94886,121734.1751,282369.0541,252490.8093,487791.8521,570927.8784,538553.5316,586325.8942,123439.3295,121532.3853,79963.53267,173379.4294,132828.9442,98507.06911,145892.7683,183940.3522,112317.4999
glutathione-nega,48354.64484,42205.67648,34691.63111,108765.583,250183.2407,173527.7062,275262.5448,180745.9681,298282.5039,429336.4322,701554.3196,340070.7996,683945.2458,565054.8119,28844.65016,563722.5614,327661.901,487101.734
dUMP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6299.571667,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Geranyl-PP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3750.978776,N/A,N/A,N/A,N/A,N/A,3924.323333
dTMP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cyclic-AMP,N/A,N/A,N/A,3143.996833,N/A,8145.528232,6224.839222,N/A,3143.996833,10832.84328,8250.633586,5113.596852,18698.96102,8724.563394,5591.86226,9652.209105,10407.91992,N/A
"fructose-1,6-bisphosphate",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
trehalose-sucrose,59893.33576,1115602.687,147644.4571,40937.63115,128025.9831,205929.3678,124254.7949,3348096.211,369584.552,113537.5567,120216.6786,95339.27557,67098.04353,548119.264,15775468.02,88436.82808,104423.6644,465973.6758
Cellobiose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
orotidine-5-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"trans, trans-farnesyl diphosphate",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S-adenosyl-L-homocysteine-nega,N/A,9139.858602,8189.871793,N/A,N/A,N/A,8247.068401,N/A,N/A,4393.802418,7643.947952,7704.326318,16284.99299,N/A,N/A,14108.05421,9391.415,4339.201012
dCDP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-phosphoribosyl-1-pyrophosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deoxycholic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dTDP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CDP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UDP-nega,67398.42929,10967.04511,49273.64645,81058.45881,208258.1922,126118.4503,96601.01456,92263.16326,138133.3341,107985.528,164452.5245,66873.89384,154656.9474,62377.53325,9493.795231,150649.7022,157494.3211,87320.85388
Cholic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3934.571667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
trehalose-6-Phosphate,83597.62596,36901.74988,45394.38191,21040.46251,28717.97487,37879.60652,26378.00193,71771.75723,118043.7135,109175.7371,144431.5658,40940.12989,223805.7732,76147.49014,21948.06198,172807.2176,153830.8266,109499.2733
Thiamine pyrophosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
adenosine 5-phosphosulfate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6299.571667,N/A,4722.116667,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADP-nega,95060.76299,56021.81631,74130.66756,119720.008,123369.6008,92880.03062,146828.3855,122221.1824,293001.8032,148411.2758,323250.5012,126044.7231,250584.8908,105939.5143,9108.32082,178233.6567,235322.933,200828.5715
dGDP-nega,125420.3616,49293.22642,52960.39725,102662.8188,170449.979,135561.6536,178585.2687,110794.3288,254953.0206,123408.1479,309635.2056,77667.22427,294434.9199,97899.57648,23963.67821,128196.192,166827.4268,173446.0838
IDP-nega,15097.85486,N/A,6345.603645,15286.79401,49595.02162,21237.66241,20148.83387,21074.38875,52967.0337,21152.38143,53963.02781,13300.65873,52445.09451,7518.263909,N/A,27532.15073,26559.3714,21967.05733
GDP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CDP-ethanolamine,6350.960821,N/A,N/A,9843.596901,7858.90868,7733.014541,N/A,4872.222507,9599.153947,16527.64671,17881.74959,6052.069851,18104.73031,13945.36592,9226.262147,10852.88909,17290.5012,10119.89016
FMN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cholesteryl sulfate,49023.74681,78284.99604,49322.36741,34100.20121,50179.38623,49958.28687,40214.968,38548.52553,43196.04542,47125.39712,113226.0992,25604.63484,72678.74567,55089.79558,38390.99782,78883.20057,87287.60911,100139.2899
dCTP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dUTP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dTTP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CTP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UTP-nega,317411.2079,63531.67885,67267.57366,317578.5747,776492.7879,411271.5342,266368.0465,312570.74,711358.1017,422929.0411,724343.199,284802.4478,803233.9519,188669.0188,12628.80283,629090.596,698632.4387,305244.3216
CDP-choline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dATP-nega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taurodeoxycholic acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13248.5523,N/A,N/A
ATP-nega,688776.0236,198653.3934,223851.4006,572690.0353,1181840.215,620198.987,737328.0453,743702.4532,1555137.045,703247.0076,1347421.671,536978.0952,1810979.077,321565.1568,21521.0163,1157699.217,1223054.864,551071.4162
