conditions,samples
Day0,D0_1
Day0,D0_2
Day0,D0_3
Day2,D2_1
Day2,D2_2
Day2,D2_3
Day4,D4_1
Day4,D4_2
Day4,D4_3
Day6,D6_1
Day6,D6_2
Day6,D6_3
Day8,D8_1
Day8,D8_2
Day8,D8_3
Day10,D10_1
Day10,D10_2
Day10,D10_3
