LipidIon,D0_1,D0_2,D0_3,D4_1,D4_2,D4_3
Cer(d18:1_24:0),1.20E+08,3.09E+08,2.64E+08,8.87E+08,6.00E+08,2.77E+08
Cer(d18:1_24:1),3.16E+08,4.37E+08,4.68E+08,1.74E+09,1.18E+09,5.51E+08
Cer(d18:1_26:0),1489863.024,9428890.461,7349854.641,23700000,17200000,5028725.134
Cer(d18:1_26:1),9842161.137,15600000,17500000,56200000,43200000,32400000
Cer(d18:2_14:0),564121.123,0,568430.194,5253523.151,4392628.346,3417554.444
Cer(d18:2_16:0),13800000,12600000,18100000,95500000,78800000,81300000
Cer(d18:2_16:0+O),1803626.276,1180319.722,1167373.566,25700000,15200000,12400000
Cer(d18:2_16:1),1975450.598,2987806.645,4461529.197,64300000,44400000,37100000
Cer(d18:2_18:0),1714359.812,0,0,15700000,9016810.641,9093926.15
Cer(d18:2_22:0),9162234.936,5895012.588,4463885.583,68800000,53700000,42200000
Cer(d18:2_24:0),59200000,1.03E+08,1.10E+08,3.21E+08,2.24E+08,1.26E+08
Cer(d18:2_24:1),57300000,58800000,40800000,4.64E+08,3.38E+08,2.79E+08
Cer(d20:0_18:0),14100000,96700000,43500000,1.08E+08,83600000,1.07E+08
Cer(d28:0),35400000,48700000,59600000,50500000,49600000,71600000
Cer(d30:0),2.02E+08,58200000,2.98E+08,1.28E+08,1.29E+08,1.73E+08
Cer(d32:0),3.38E+08,4.69E+08,7.58E+08,3.93E+08,4.06E+08,4.84E+08
Cer(d34:0),44600000,1.35E+08,1.22E+08,1.81E+08,2.01E+08,2.30E+08
Cer(d36:1+O),0,0,0,3361793.389,2046857.959,932853.92
Cer(d36:2),4435981.626,3152777.493,1.20E+07,9942759.634,4574367.649,2595802.164
Cer(d38:1),6486635.374,7706208.825,4899436.872,1.40E+08,86400000,85100000
Cer(d38:2),302895.126,5554434.113,751191.8238,24500000,15500000,0
Cer(d40:1),68400000,1.33E+08,1.21E+08,6.58E+08,4.17E+08,3.94E+08
Cer(d40:3),866909.253,0,0,5826762.578,0,1856648.547
Cer(d42:1),1.91E+08,4.20E+08,4.03E+08,1.49E+09,1.01E+09,4.31E+08
Cer(d42:2),4.73E+08,7.52E+08,7.87E+08,2.83E+09,1.95E+09,8.87E+08
Cer(d42:3),1.12E+08,88500000,63200000,7.94E+08,5.45E+08,5.38E+08
Cer(d44:2),9854234.931,18900000,18600000,68900000,52500000,40500000
Cer(d44:3),4597163.684,9941896.246,10600000,24900000,17500000,18800000
Cer(t16:0_16:1),0,0,0,6444225.355,5755534.267,5399114.846
Cer(t18:0_16:0),3.13E+08,2.53E+08,1.56E+08,1.53E+09,1.08E+09,1.03E+09
Cer(t18:0_18:0),18900000,38500000,35600000,2.02E+08,1.31E+08,1.27E+08
Cer(t18:0_20:0),5829086.278,13300000,2519828.209,56300000,49500000,49200000
Cer(t18:0_22:0),37100000,8.10E+07,73100000,3.65E+08,2.52E+08,2.15E+08
Cer(t18:0_24:0),1.20E+08,2.76E+08,2.59E+08,8.81E+08,6.01E+08,2.77E+08
Cer(t18:0_24:1),3.11E+08,4.52E+08,4.86E+08,1.68E+09,1.17E+09,5.49E+08
Cer(t18:1_16:0),20600000,11300000,15700000,1.47E+08,78500000,67900000
Cer(t18:1_16:1),1975450.598,2987806.645,4461529.197,64300000,44400000,37100000
Cer(t18:1_22:0),9162234.936,6766264.612,5540124.352,68800000,53700000,42200000
Cer(t18:1_24:0),59200000,1.02E+08,1.13E+08,2.54E+08,2.24E+08,1.27E+08
Cer(t18:1_24:1),75900000,1.24E+08,40800000,4.65E+08,3.38E+08,3.22E+08
Cer(t20:0_26:0),2779499.441,4886601.527,4474284.715,4740693.537,3224503.305,1075031.505
Cer(t34:0),32100000,49300000,50300000,47700000,45800000,54800000
Cer(t36:0),6324603.324,4030499.67,5477064.525,15600000,31600000,2.30E+07
ChE(),2991990.014,2.80E+08,2.93E+08,2.02E+09,1.55E+09,2.24E+09
ChE(18:1),0,18100000,23600000,1.77E+08,1.39E+08,1.79E+08
ChE(20:4),657681.06,39400000,54900000,1.06E+08,99200000,1.25E+08
ChE(20:5),0,17100000,19400000,36200000,25900000,31400000
ChE(22:6),807279.519,98300000,1.04E+08,2.66E+08,2.24E+08,2.88E+08
Co(Q10),2988277.079,52700000,59800000,1.54E+08,95700000,44600000
Co(Q9),41600000,3.15E+08,3.59E+08,9.00E+08,8.07E+08,3.83E+08
DG(16:0_14:0),15500000,1708890.851,3865691.909,1.40E+07,19400000,17600000
DG(16:0_16:0),9006516.65,17700000,26500000,95100000,86100000,89600000
DG(16:0_16:1),21200000,9007771.069,16100000,1.43E+08,1.50E+08,1.86E+08
DG(16:0_18:1),90600000,29500000,30600000,2.24E+08,2.04E+08,2.41E+08
DG(16:0_22:6),1.57E+08,6631990.569,12600000,74100000,58500000,4.00E+07
DG(16:1_14:0),3276523.419,0,0,12800000,18800000,7383027.571
DG(16:1_18:1),7831931.273,6380906.67,12200000,2.15E+08,2.08E+08,2.41E+08
DG(18:0_18:0),33500000,50600000,50600000,68800000,57700000,28100000
DG(18:0_18:2),3.39E+08,2892514.863,2130511.622,6881737.738,13600000,1.60E+07
DG(18:0_20:3),24200000,37300000,26200000,3.36E+08,2.20E+08,1.56E+08
DG(18:0_20:4),2.12E+08,95400000,1.46E+08,1.74E+09,1.19E+09,4.51E+08
DG(18:0_20:5),2052567.703,4044414.832,1671458.23,98500000,57800000,1.30E+07
DG(18:0_22:3),4447837.812,7312804.383,12800000,25700000,17600000,12200000
DG(18:0_22:5),26700000,15800000,12200000,1.98E+08,1.31E+08,53200000
DG(18:0e),0,0,0,378683.324,291682.129,1171278.356
DG(18:1_18:1),58100000,16800000,24600000,2.32E+08,2.04E+08,1.56E+08
DG(18:1_20:3),2135903.475,6630264.091,10300000,1.15E+08,87700000,64700000
DG(18:1_20:4),14500000,16700000,34400000,3.77E+08,2.97E+08,2.64E+08
DG(18:1_22:6),7549977.455,10200000,9196191.577,83100000,61800000,42800000
DG(20:0e),0,0,0,1120385.267,1557025.409,2625295.886
DG(22:2e),0,0,0,0,0,0
DG(24:0e),0,0,360916.191,1.10E+07,12100000,10200000
