,DGAT1i+2i,DGAT1i+2i,DGAT1i+2i,DGAT1i,DGAT1i,DGAT1i,DGAT2i,DGAT2i,DGAT2i,OA,OA,OA
Metabolite.name,1i_2i_01,1i_2i_02,1i_2i_03,1i_01,1i_02,1i_03,2i_01,2i_02,2i_03,OA_01,OA_02,OA_03
PG 16:3_26:4,3253595,2492688,2780459,3083166,3213916,2700148,1971125,3312497,2045719,1243491,2477027,2316467
PC 42:4|PC 18:1_24:3,45017572,52001644,43856768,11193567,12902390,15651265,13217007,11969435,7587414,6597500,10822222,10751081
PC 40:1,11082615,34626272,82721496,3147047,2157494,3740723,13790212,10285346,14188261,52881132,75201424,64495572
DG 16:4_38:10,2760333,8349532,82721496,3147047,40408,301282,3331928,36450328,47185588,13995659,18373630,65137380
TG 52:7|TG 14:0_16:1_22:6,49192560,45081736,27938664,97312528,102178856,118289288,88948096,110500256,88364976,69222000,80967208,61908684
SM 8:0;2O/38:2,20494270,19730278,16309976,38432580,38977336,51729564,33314752,19992554,36471092,20784560,26083180,31143260
PC 40:0,5395536,7216024,3972502,222555,240434,591590,0,514888,0,26371,273736,9296
PC 42:3|PC 18:1_24:2,43503624,40132712,29411742,10838616,16050848,18498992,777975,12277609,5849874,9824425,4611101,9166159
TG 52:6|TG 16:2_18:2_18:2,102799920,149982960,156433248,54174488,64767036,23333896,117980448,114544040,116629296,140829808,136313136,143451968
TG 52:6|TG 14:1_18:1_20:4,225306416,208232416,195649568,429073536,495977568,635118528,376684320,548470400,489078464,294109824,347456576,331763872
TG 52:5|TG 16:0_18:2_18:3,1023933248,1066876608,864672576,1475254272,1582157312,1748564608,1570268032,2097462784,1798116736,1365825792,1583875072,1449168768
LPC 44:8-SN1,11348163,14074842,10017066,14593763,17288546,20642636,14405858,15842764,14324622,10398488,13862680,14978795
PC 42:1,6079034,23796196,66362016,408468,0,0,6144669,21706260,29634944,39622612,56020516,42257984
TG 52:4|TG 16:1_18:1_18:2,1998431616,2092303872,2199121664,2764169216,2808688896,3168635136,2859081728,3535481600,3273078784,2363608320,2696036864,2661283840
LPC 44:7-SN1,27776156,33774616,27409902,26157924,31259722,36718884,33609288,32445870,29862402,31702986,34842068,34454992
DG 10:0_44:10,10617424,10891113,20472198,14645484,18297098,11949195,18842264,12070846,12668115,20022124,15585823,17759834
PC 42:10,7490614,7604446,9472363,2583433,2844162,4390414,4337519,6073682,6145189,4512920,6496223,5426592
SM 46:9;2O,5984312,5666677,3025353,10162754,9300193,12411834,5732198,6427719,6773149,1427525,2729076,5761818
SM 8:1;2O/40:11,2320758,10096958,8566655,1296906,2781522,393746,10929675,8460707,9635483,19595182,27752504,4979872
PC 42:9,5616978,7226163,5926534,2199630,1746264,3348327,3997317,3768220,1895087,3014832,4241268,3199230
DG 10:0_44:8,8494547,4194550,2071622,1275900,2974067,736214,3925359,5998600,10232283,9442447,4511455,982663
TG 52:3|TG 18:0_16:1_18:2,94182328,118371344,131308096,53118212,43112808,31957962,98071040,85296272,84510360,102754392,119750672,93994704
TG 52:3|TG 14:0_20:1_18:2,7478826,7692966,9308074,42437232,45165136,54254888,23000042,51231424,37404676,24874894,17429604,27380458
PC 42:8,2143615,3630615,530357,0,0,433268,0,60376,0,0,0,0
TG 52:0|TG 16:0_18:0_18:0,63346912,50876972,86627808,232188416,92416528,72785024,44545692,87639920,77778192,32352808,31866528,56101880
PI 36:4,5409800,12854968,8556107,7560162,7911702,13656045,12638284,16745180,16488114,11389504,13869153,19742848
TG 52:2|TG 16:0_18:1_18:1,18656176,19254146,18550458,45496628,31959174,37993396,35868892,34730092,37346308,32705408,38998844,33919124
TG 52:2|TG 22:0_14:1_16:1,53401912,58735752,55463160,55020392,26751104,53030532,59849164,73579656,71800528,48030572,60875408,83110384
PC 42:7,18594686,54487072,28569122,22310618,17471210,39507484,31106604,50549276,51058540,36883196,43136476,68990352
PC 44:10|PC 22:4_22:6,25807970,36644352,28666004,7357544,8136898,11262678,9191075,11269631,8870109,8541747,7220283,9097307
PC 44:10|PC 22:5_22:5,29175744,31573154,29225862,14454605,16435137,21647978,20336590,18716828,18140174,18218676,21221558,18779394
PI 36:1,103821472,379450336,188511136,137228000,111978640,300993248,189174400,342827584,378072512,202095776,221017216,487676384
LPC 42:0,5867930,22595128,20049876,4545896,3778755,1997531,16884354,31486294,11815969,21022320,26490062,19082636
DG 18:0_36:6,10221555,2522715,2195408,45097448,36254124,38356260,19050916,23496110,20798952,9649322,22577362,19522810
SM 46:6;2O,17644856,46823820,87244096,3749432,3158357,7194582,14139826,68008512,25001484,55685996,81151520,55108588
TG 8:0_8:0_36:1,4431385,4415818,4395985,3833269,4390360,4205437,4330958,2849503,3406033,4608828,3663959,6082300
TG 52:1|TG 18:0_18:0_16:1,26680788,11497896,13485187,97620928,86976024,116707216,70230624,86433728,89425688,58930452,81747040,73125672
PC 44:9,122750928,120604976,114211592,87735968,95369800,89642912,64609340,55691516,64234784,69789304,71357320,62366620
TG 8:0_16:4_30:8,2477736,2934713,1365744,2673096,2317607,3489903,3324039,2449312,3018029,1360342,2589696,3154372
LPC 44:2-SN1,10259853,63335844,89239096,6188303,4114956,8401830,15026265,26526120,54611092,107928344,141511712,121658080
DG 16:0_38:5,29941398,17629258,5760230,73342888,88298016,108776912,36072636,94280976,71915560,26905020,35058244,40287348
SM 46:2;3O,29881682,35580296,36856612,31487742,35645204,30044116,44594780,37121208,31204848,38412860,29288246,29771152
TG 8:0_8:0_36:0,95514472,65893756,42910348,363227264,377280768,404936544,209272576,324343424,249327968,169753920,207291888,216988288
PG 22:5_22:6,18640128,21153512,19989210,9192956,10019470,11702092,5672538,5699676,4255103,5326968,6590204,5533821
PC 42:5,17468844,16116193,15603650,1169492,2297939,3627075,1050963,0,0,0,1904052,0
DG 18:1_36:3,878722,709387,223995,10147685,10327685,18733630,12108968,30546214,25664592,8157264,9072000,10380188
DG 10:0_44:4,7135178,6015732,1406945,20759802,24665776,29519084,12838906,40670988,34442608,12997163,12554362,14170274
SM 46:1;3O,101971456,89782352,72965712,25130264,42546444,26440346,27562884,58865496,69110624,52054568,45971948,19025128
PS 42:5,6584416,10263862,6051591,1159145,1650894,2646141,1008058,450227,779564,1017463,593683,578945
LPC 44:0-SN1,23188678,34165712,43527128,17973622,15943880,7837503,35889712,34066664,28040730,42936392,39838556,40965284
DG 18:1_36:2,42793280,25002874,14287309,349500928,428079616,528308800,272756768,1019863872,775055040,213732144,242027600,325125248
PE 46:10,11916009,19757984,16064036,4553082,1859336,3309740,13678325,5809131,9171706,14757272,19768976,14188304
PS 42:4,19625246,18556356,18407906,22373594,23595922,21059812,15531290,18462822,16510442,15770880,18965378,15153143
PC 42:3,24524508,63032816,48769240,45431180,44488528,52596024,43413452,40067352,28178312,33798344,32128182,39746124
TG 8:0_8:0_38:9,4071803,726515,2296713,10133230,11471229,12399685,6991354,13754934,8582015,5902901,2016957,7289720
TG 54:9|TG 18:3_18:3_18:3,12957269,16685733,16313522,3774494,4746749,3019948,16859672,15431344,15233279,17219536,20539534,18297652
DG 18:1_36:1,6584036,3410440,742123,32231954,41246884,54365632,14336728,85558056,55489504,8825266,11765308,18869424
PC 20:2_24:3,5667088,13393898,21250828,1805991,3864872,453481,6696284,5471520,7055366,15710691,13378483,2516680
PC 18:0_26:5,11666007,13987051,13871038,1341080,3644858,1155031,46812,9437,0,581892,567828,368203
TG 54:8|TG 18:2_18:3_18:3,159619440,197628720,242356656,98612312,80366104,57233300,256273360,205577088,195502256,203670512,221110128,232717504
TG 54:8|TG 16:1_18:3_20:4,91795368,78384656,64679648,189097408,214779360,258023600,179423024,234770320,207218032,146834176,164767264,165496720
PC 20:0_24:4,4060778,16766957,29207730,1897705,710405,0,12261435,8291014,6845246,7660228,15039858,9664821
TG 54:7|TG 18:2_18:2_18:3,1138079104,1503910784,1872450432,710658112,610731840,434322432,1478390144,1293853824,1270464768,1487678848,1298511232,1526180352
TG 54:7|TG 14:1_18:1_22:5,407072640,306880800,135858256,708278016,814548288,935946688,536966464,814254720,715919104,478127776,561886272,518807552
DG 16:2_40:11,35601020,24592122,25741830,7307410,11267927,7495452,17816256,31990566,22201986,32583554,24185390,21222414
TG 54:6|TG 16:1_18:1_20:4,686033728,534575456,604834752,3075624448,3714545920,4174365184,2604293376,3953619712,3306246912,1797726208,2458462208,2221766912
DG 12:0_44:12,13093057,41915184,35803048,8231733,6617674,3628395,22753580,21753702,21695464,54608344,35121204,36175436
TG 54:5|TG 18:1_18:2_18:2,5074534912,5199853568,5296643072,3959269376,3747537152,4015890432,4440810496,4897778176,4679241728,4058185216,4315960320,4460323840
TG 54:5|TG 18:0_18:2_18:3,602373312,486289632,461071104,1930853120,2049632640,2246675968,1742318976,2572253184,2284472576,1592552704,1852027392,1762223616
PI 38:6,5358680,16833562,10605688,4028653,4053603,7765200,4598071,6000616,5571952,6308263,6074416,6380648
PG 22:2_22:2,10002336,40415868,41029708,304065,420509,135782,1222516,16105127,8278624,10067190,11559750,8427559
PS 44:12,6288138,3693782,1974767,6647604,6935028,4178020,2937069,2816287,5440961,438730,3140007,3350897
PC 44:11,2934624,5630996,2701877,790659,704048,2164308,2497553,1751164,2528756,885303,1594665,2050211
PG 26:1_18:2,8093254,19976996,40790236,3032258,2058093,2068843,7793529,20209180,25612880,31441996,42271088,36080196
DG 12:0_44:10,2854138,10657645,7833194,788869,906273,0,11583230,1720749,5381646,11319152,3816581,11464237
SM 8:1;2O/42:12,6095703,5894546,6289106,5811153,6302974,8459518,7249424,8517709,6025854,5874820,7313290,6238188
SM 48:10;2O,8628188,19585582,28483662,0,0,1347448,4383589,39291920,20408622,32723946,51871340,28803518
PC 44:10,328190,2142501,17702326,1204492,1201041,551507,4644600,1705574,8563878,45977864,26897140,8783052
PI 38:4,208229872,641051712,378158528,301493472,260523056,567125632,362114624,567994304,593022912,460044224,442176960,700200512
PG 24:0_20:2,10212147,19415872,26306114,2680952,3142836,2084705,7926518,12979484,24625932,27281036,33578096,24354150
SM 48:9;2O,24383142,61412476,117175040,7286599,3972947,12464712,23724812,111831024,47348800,84115232,118699672,82769112
SM 48:6;3O,14206063,30165080,28205086,15162054,13608607,9296101,28877766,37375768,29968278,38717224,40053512,41420408
PI 38:3,7532932,41339284,15134329,12722328,8657135,29505184,16697946,34257476,30610750,25280818,16814356,46585720
TG 54:1|TG 16:0_18:0_20:1,98412088,87059184,69908784,240089248,257723584,299824160,77363744,238591168,193099728,64533460,72711880,86557264
TG 8:0_10:0_36:3,37236908,20016416,18245376,118415856,168439744,155674528,58881712,178578816,68696928,68126056,65990580,70920576
TG 54:3|TG 16:1_16:1_22:1,94259088,81754264,54670080,250573904,300699872,354060928,184996416,262347536,224430864,145027808,168694192,156695840
PS 44:9,4608978,1471089,69887,4795467,3421218,3795920,3764075,2449538,3233686,2671460,3031775,981104
DG 12:0_44:7,64091588,47708904,27082098,50209888,107889776,50024580,123589472,209288272,153393648,102701104,134936512,128573912
TG 54:0|TG 14:0_16:0_24:0,18217104,18326064,43371092,40662264,30810852,16934778,15117146,26765280,22939888,3293483,10554330,18515990
TG 54:2|TG 18:0_16:1_20:1,33846856,21676544,16199888,132292696,153755264,187352224,65467792,97130064,80268008,49794612,62668444,62600736
PS 44:8,1802639,0,2369565,1408858,601523,0,0,451601,516113,856696,412474,0
PC 44:7,33822476,31889824,25418056,23218138,26269614,25371698,12817137,9211392,11697497,13537042,12345364,10375359
DG 12:0_44:6,4373726,30840502,10090524,4180055,7749606,1558048,9598009,6617766,5270978,23012758,14330365,16392287
DG 18:1_38:5,71298432,51367944,27100566,191417072,214260304,276929504,136776640,321702592,259050336,109951720,132384456,152650448
PS 44:7,27383688,25442746,24748952,24539872,29054200,29027274,23266980,22561632,22382556,23298164,22046394,21586950
PS 24:4_22:6,6066319,4147093,3140616,7465100,4761058,6167316,5183550,5054568,5064583,5861636,5261866,3360782
PI 38:2,5320328,24245438,11621218,7148418,6359254,18816596,10202037,23808798,21938904,19003626,18522594,27182334
TG 54:0|TG 18:0_18:0_18:0,13467955,4885285,5677420,53538356,80955224,85287976,18057172,41914308,41794704,15638084,19959224,24934950
PI 38:1,5228214,12259711,6496566,7138960,3243364,11951027,8908298,8070782,11457748,5483062,3140324,13509560
PC 44:4,16526156,16238793,17702392,9768998,10495338,19597568,45113,2995561,1765492,2037466,8117558,2607643
TG 56:10|TG 18:1_16:3_22:6,12973493,12196292,10728617,22778282,28607094,35390872,27105954,34970636,29188874,18903122,22602196,18714016
TG 16:1_20:4_20:5,8920609,9624922,5561716,16718762,18322884,19285970,10887980,12867777,8730722,6723549,6657498,9368134
DG 18:1_38:2,708855,0,0,10068339,11584083,15252873,3803873,32018228,21435772,2843655,3747607,8310043
SM 48:3;2O,4700712,1818983,4830118,9283307,11296456,12627246,9873601,9999212,9304192,965163,3464088,6865222
SM 48:0;3O,5956374,12001917,21043090,0,441228,5570895,1263434,4265236,15741459,14539576,25680258,16189721
PC 44:3,22716628,34164520,30352238,24827470,31049604,33081388,24831904,25332296,23348940,20372418,20628890,22778466
TG 56:9|TG 18:1_16:3_22:5,54355368,58489800,48846836,94095528,119406288,158904832,97561248,136592096,118236952,94986176,111393968,95999584
TG 16:0_20:4_20:5,17909920,10004198,15975754,40891356,44602256,58052960,56387032,58370252,57882304,35504520,51539656,46112620
TG 56:8|TG 18:1_18:2_20:5,628117504,548717568,448475840,2133253504,2404064512,3089286656,2341602816,3312740608,2832541440,1948984576,2438278400,2095116928
PC 46:4|PC 18:1_28:3,10979667,13665334,15211436,1984706,4116321,3760192,7887888,10335647,16628586,26604418,14528189,5246482
TG 56:7|TG 16:1_18:1_22:5,2249394688,1936647424,1704860672,8041204736,9438670848,11670062080,5465907200,7859124224,6914159104,4856157184,5476678656,4805811200
TG 56:7|TG 16:0_18:1_22:6,434202944,297093376,252373776,1515664512,1640076544,2017593088,1787131008,2352916992,2010276096,1227288576,1638200192,1476209792
PE 22:5_28:5,20982122,31763490,46143924,1102014,7359144,2918300,3904935,11236011,15105487,26769994,21646758,10939934
TG 56:6|TG 16:1_18:1_22:4,8465215488,6671344640,5359783936,23638441984,26776983552,30872977408,15835064320,22520244224,20134936576,13219193856,15308931072,14500834304
TG 56:8|TG 18:0_18:3_20:5,14289532,31602448,61678276,8907859,5017409,5944484,7830623,12959989,21287770,31239588,18436476,13189314
TG 56:8|TG 16:0_20:3_20:5,3588612,35976396,39913776,5694580,1353546,1695807,21999142,53613772,11760481,18278748,46337032,31844768
PI 40:7,2503183,8924978,6466676,2930564,3262820,4408110,3744952,4128056,6067638,4666287,3725120,7947982
TG 56:5|TG 16:0_18:1_22:4,3290705920,2475744000,1867262976,11347374080,13282840576,15441770496,6041986048,9588381696,8642732032,4998718976,6595537408,6096961536
TG 8:0_10:0_38:7,75071984,95134312,80708944,15851805,36978728,26410368,36685800,64567220,92441480,134934368,87156288,22488762
PC 46:12,0,3637970,11796239,0,0,193155,2610826,7700592,1909716,10003448,22369642,20070788
PI 40:6,5747443,33265918,16753678,5344839,10522688,32925280,19103934,32624694,29369542,19597346,18882962,31592036
TG 56:4|TG 18:0_18:1_20:3,1029030848,760312320,409030560,3026612992,3308637952,3719897344,1626933760,2818397952,2524824064,1422770560,1676318976,1721040896
TG 56:6|TG 18:1_18:1_20:4,26235950,18294866,17586408,97864720,92495184,105118624,67525344,83408576,84668880,59205204,62769828,54211904
SM 8:0;2O/42:0,4025709,6207232,7289306,3094685,4086666,5976714,4571072,6181698,3707209,3257445,2506111,5082200
PI 40:5,11723080,39894440,24836956,16679462,14760397,33866944,19099398,41667180,46583184,33151442,33928448,45520316
TG 56:3|TG 18:0_18:1_20:2,431362784,288303360,212032896,1235116544,687262144,1333266176,799488576,1117698944,1063712512,690734336,853631744,867140608
PI 40:7,2241151,3427168,149326,10814192,1721720,3042550,1047849,4218161,9413075,1278354,3120974,5092574
PC 46:10,79405600,279019456,975918208,21030218,27690280,20424414,276277888,205105536,397276992,2254779904,1422172672,547024256
PI 40:4,3803362,18400736,9200087,5047875,3822958,14272207,6577230,15043064,12512662,9237760,7668188,18331968
DG 22:1_36:8,8083164,9520890,4897742,38907004,39607556,53508184,36379540,63105180,64751116,47688872,57506448,37003556
TG 56:2|TG 18:0_18:1_20:1,195140720,128048560,72395328,1030070208,1191294080,1508674048,287137088,954392960,779725120,239527264,281252640,355094592
SM 50:9;2O,34374804,109676008,94911648,6167284,15722630,14863637,51854396,90662176,69338616,120662544,124712296,30969852
TG 56:4|TG 18:0_18:2_20:2,83318272,70828960,55505924,266193568,309923232,334337472,180965024,259161184,204741392,165507232,188547088,169094016
TG 8:0_10:0_38:4,8439073,9823937,8662327,6820836,8362910,9022226,6364248,7736552,7421670,5661910,7745796,8460976
PS 46:10,7317248,8586536,6860278,8669409,9625514,8245022,8450638,4409093,7595146,6814618,7148086,8619648
PI 40:3,42271044,38554732,36584536,55120408,57901344,51607756,48356676,47133988,47184696,65396736,54043268,50884540
DG 36:2_22:6,25652230,20896708,16896374,39363744,41643540,41945800,83661248,148713136,132809824,59062692,91991512,96435912
TG 56:3|TG 18:0_20:1_18:2,64947080,51575756,34389412,240971552,264820400,315419648,96221816,144459568,130198008,74411504,103346720,92278440
DG 18:1_40:6,29192402,19758842,11227775,104187104,125387496,153062352,108308064,241639024,202554160,94232208,105299560,116222656
SM 8:0;2O/44:10,372328544,546148160,474072768,61875152,160457648,97330072,185062816,297116704,499393664,865752832,514700928,150813328
SM 50:7;2O,3000219,2930456,12346487,272252,0,175636,4903692,1947971,2617452,3891402,2664615,3067361
TG 8:0_10:0_38:2,15507614,12520395,10544443,51232416,59171908,75841992,44234240,65251260,39429364,21613820,52025620,53463940
PI 40:1,2338166,5916576,5107394,5432342,3867587,1806072,14898773,10828342,13987362,15137962,20581826,22284378
DG 14:0_44:6,16912702,36277708,33127520,5297183,8631745,2697167,23729472,12738936,16179399,34801788,34509728,26746840
DG 18:1_40:5,14779268,8523418,1880002,36426020,42980648,50352872,18355812,58103592,44867696,12447987,17840528,22640356
TG 16:4_16:4_26:7,3164207,2585182,22867810,0,354273,0,0,2274291,1415964,10824043,4496902,6158160
SM 8:0;2O/44:9,5611971,10768147,10805121,2745244,1922518,2939104,4319370,3407746,11474440,26902454,15931273,1155393
PC 46:6,5082188,8094040,7314344,11525541,14241054,15561476,5557238,7871594,3524246,4546000,5960428,7572316
PI 40:0,5222242,20231754,16759183,496288,3385316,887036,6156141,5538674,9708208,32823332,11135150,7948876
TG 8:0_18:5_32:9,5616750,15407174,15711299,2459744,2040939,2395156,13980375,13508624,12137865,26550484,15778847,19481986
SM 8:0;2O/44:8,12909173,45459048,68565536,11766280,7814663,6559558,32263856,23512334,14568938,29046824,54630504,36835572
TG 18:1_20:5_20:5,30859688,15228804,1785080,23181374,25573856,14501916,31829622,48072652,39382140,35677944,22113068,6261779
TG 58:11|TG 16:1_20:4_22:6,59870428,50661272,46722880,80386744,99539856,118611016,104296608,142902048,103484224,87552184,91783200,88845688
PC 46:4,183792688,227958176,218615760,170041280,193821264,232215776,162024128,155023056,146091488,147940672,175681040,159218656
DG 18:5_42:12,2075860,14625160,12784951,3183864,2821103,6406143,7687896,24240950,4747550,9974234,17594206,10666348
TG 58:10|TG 16:1_20:4_22:5,242528752,236913584,222821728,363280640,445854048,583647424,291286400,388451808,331307008,267844800,279526944,255832464
TG 58:10|TG 16:0_20:4_22:6,20872140,12489393,11791887,52017088,55244532,73609640,66614952,85637344,83145864,60265500,75042736,62282056
SM 50:3;2O,7347444,14901622,46294980,5676204,2292030,509581,10813045,4643562,3928958,10234148,6244242,6824012
SM 50:0;3O,11558824,22598988,21617888,8590067,9856456,11505653,16639821,17671400,19644646,13240114,19358920,17269178
PC 20:2_28:4,131973920,211545184,166019056,131339736,152635216,170293872,129283104,152922528,123379848,115158992,125156648,121326024
TG 58:9|TG 18:1_18:3_22:5,646110528,669036736,563547072,1546962432,1829469056,2405809664,1148239104,1552064256,1325118976,1056955264,1260562944,1037021888
TG 8:0_14:1_36:10,40231456,60410692,55165008,36247056,39537204,46980384,38902056,44999636,30978214,30579516,31317910,33211574
TG 58:8|TG 18:1_18:1_22:6,4537798656,3782335744,2814162688,18879313920,21440638976,26920810496,14463076352,18783111168,16708858880,11486111744,14329502720,12651833344
TG 58:10|TG 18:2_18:3_22:5,11455782,29689240,22849648,5029044,9134555,12027951,20875666,41715460,26900978,36875048,37264304,22277506
TG 14:1_18:2_26:7,98055864,137361072,105777656,23889962,37882084,47280416,65712196,74810432,130616784,238708640,139617024,30259938
TG 18:2_20:3_20:4,1421068,18207968,40670736,8671651,682628,897473,15802521,15611638,7796308,17627718,20587774,19269118
PS 46:1,33809384,90648400,149596320,22137670,28652994,33519978,52273632,94035904,66250952,301202240,108016784,71568760
PC 20:0_28:3,12212879,35347364,25126052,6809174,2678318,1440844,19057466,9992117,7979877,25085672,9946285,32706956
PC 46:0,156267728,185583776,160080400,43357376,83735272,65722976,64187684,130001848,163980368,224522176,145515440,52377000
TG 58:6|TG 18:0_18:1_22:5,5668883968,4425014272,3178582528,17968070656,20790896640,23953350656,7466981888,11912085504,10988272640,6220738560,7960321536,7464309248
TG 58:8|TG 20:2_20:2_18:4,6427466,22716322,26100278,12632632,5561426,2823059,14419393,37184024,23526594,23744000,38121144,32318596
TG 18:2_20:3_20:3,4471878,4417498,17834816,25913690,3283683,4221274,36169764,5285212,23635008,32901626,53476016,84670600
TG 58:8|TG 18:2_20:3_20:3,1228028,22675488,17397356,5134892,84940,762592,34729196,34811332,6260960,8790479,10619521,14736332
TG 58:5|TG 18:1_20:1_20:3,787704320,528010272,344299872,2504580352,2892828672,3547921152,913710720,1825695744,1594293760,824188864,955697472,989757440
SM 52:12;2O,6265307,4868350,6036780,4583938,6555012,6406920,0,0,0,0,0,0
SM 52:9;3O,36709264,36738428,41986692,42483588,41997752,23246500,1172329,7534022,4969448,8451600,4624154,293600
TG 58:4|TG 18:0_18:1_22:3,169351824,103686632,73209192,745687808,835697536,1003836160,275439200,686108160,600770688,233260624,302487296,337936128
SM 12:2;2O/42:12,69097264,48188156,50201220,18594452,48844476,45379584,32328890,39553532,64166672,100460840,51063476,17862916
TG 58:6|TG 18:1_18:1_22:4,33104676,21442150,13375160,79618976,101118312,110373016,36375524,47585876,58103568,27283428,38526660,29626494
PI 42:7,5673486,5148160,5099532,3175492,5793116,3818693,151545,0,134061,0,0,262655
TG 60:15|TG 20:5_20:5_20:5,255579616,218533552,203740112,250662000,274512096,306092608,44664404,66123564,72175632,74498040,37916452,17298240
TG 8:0_12:0_38:1,2184344,2862280,2835957,6182325,5656551,6194094,5599,5145752,4094123,1011702,1598438,2114808
SM 52:8;2O,42225238016,46987161600,44584943616,12351286272,22415251456,17970026496,26374936576,33787940864,50463117312,63499747328,47022600192,18056937472
TG 8:0_14:0_36:3,5713560,3907531,1434243,15245856,14145312,21443416,2091493,8551658,5350646,1342368,3221127,3191700
PC 48:8,5546672,266058,2757070,4080932,2215264,6660104,0,274923,0,0,0,0
DG 16:0_44:7,5731950,4583108,6771699,752657,1637877,0,4466126,4763936,3836128,4671749,8221986,4614934
DG 16:0_44:6,7539620,4932290,1303768,13048219,19029196,23309848,2383605,22945062,11417736,2175946,1203888,5227922
SM 52:6;2O,11014448,43938124,45335592,2182075,6646934,3405540,25822992,42050532,24841302,58769112,53785052,27751864
SM 52:3;3O,18618650,16655891,20484018,40484880,46475908,46822988,46411668,21252312,21211174,15799165,27896190,42544084
PC 48:6,79874688,89626400,71964728,85028432,96932616,109944448,58823872,63109012,57076408,36554292,46218472,46827520
TG 60:12|TG 16:1_22:5_22:6,128615408,120066888,100425448,233272528,269391488,342431904,240646496,274941568,260693776,207922752,236214048,236043056
TG 8:0_16:4_36:10,3698714,3775717,2691666,3025566,4904960,4743519,657911,2294720,2805714,1657301,2809846,777698
SM 52:5;2O,4110224,3153452,0,7108132,11728573,13034606,14924069,17364898,20361420,18702212,16083986,14151411
PE 52:12,102226816,120729824,124455240,98739944,108759040,110452632,11058059,11501247,10152973,17688796,15759154,11453714
TG 60:11|TG 18:1_20:4_22:6,601295296,567666432,447087776,1228377856,1473121920,1811393280,1062183872,1373421184,1197862272,926356992,1105143040,1004155136
PI 42:1,24400512,33629924,37772296,23928196,21031328,25393512,2179852,3537332,2273583,350925,111921,5142887
PI 44:12,1249138,1225361,1473590,1656782,1799684,1810072,0,0,0,0,0,0
DG 18:5_44:12,5777382,19935576,12787219,3826561,4139868,1574306,7657134,7584336,11046936,41551312,23249836,2499740
TG 60:10|TG 18:1_20:4_22:5,948259712,898121536,814110784,1959731968,2283108608,2835404800,1188559616,1567796736,1303702912,1144410240,1324134656,1145850752
TG 60:12|TG 18:2_20:5_22:5,13439477,42497276,34872348,13237529,14131421,10386968,22141912,49258296,23108044,41089124,32001558,26969802
SM 52:0;3O,5334882,6389679,6873326,27177120,37622744,54269092,67906568,83725616,78520968,60698624,80227360,77157624
PC 48:3,141209120,203542544,158951552,134989216,146450976,177734432,107178064,127911256,121038704,83872856,94514560,106281568
TG 60:9|TG 18:1_20:3_22:5,736140416,639481152,545674752,1255729920,1459520384,1874887936,653363520,894158400,771400768,636628608,717677760,668130496
TG 60:11|TG 20:3_20:3_20:5,21490746,35393552,43422280,5408687,12113980,8291869,18375744,18626610,37366576,78293616,39728432,12953941
PI 44:10,1194202,2580624,1951822,997493,1916130,1852418,0,151718,0,0,0,0
TG 60:8|TG 18:1_20:1_22:6,459337504,362737088,274284224,1161507456,1314077568,1490842240,752270272,1154993920,995957760,605968640,866978944,732602368
TG 60:8|TG 18:1_20:3_22:4,333977344,261357104,219235376,546979904,583964416,622022528,305376000,434027776,387651296,318788128,356330368,344209088
TG 14:0_20:3_26:7,550179200,716755712,725403200,102856248,308472192,204392480,248466496,426349248,705693440,1155061632,630623872,161442416
DG 20:2_42:12,3413031,1965583,922184,33196684,41717684,65072908,22300766,17542306,17521526,15134910,21625316,17747756
TG 60:7|TG 18:1_20:1_22:5,843993920,651477120,458150176,1632390912,1932496896,2203937792,910374464,1537542400,1387318784,900469440,1123115776,1052457280
TG 60:9|TG 20:3_20:3_20:3,91453264,83805312,78154784,24139838,44915924,37569604,48334848,57571220,97086032,124210688,88621008,32138346
SM 52:0;2O,4906362,3882472,2202545,20663868,25990664,36585092,22349216,41359068,34995656,14363527,16604505,18848568
DG 18:1_44:12,5318562,10254451,12475506,1285715,67276,23152,746427,8068228,7266880,12589919,14389605,12310378
TG 60:6|TG 18:1_20:1_22:4,671425792,432367680,301142080,1712689280,1967611904,2526945536,558707264,1128280576,958860928,509193248,586322304,620856896
TG 8:0_14:0_38:8,108538912,122305064,129676880,40002264,67870184,52605660,49767556,85090336,125762512,163463136,120231152,37060992
PS 48:0,199146656,311189024,172053472,177286160,161406080,152116992,502367072,365966976,552193408,854352576,628589696,507971040
TG 60:5|TG 18:1_20:1_22:3,80596560,53683192,32988052,230526576,268827232,298938880,71109160,178936128,156490896,64527656,73350976,89161520
SM 54:12;2O,24411594,17207478,16389793,28226782,37658456,39203036,1145089,1283801,1392512,520418,742035,336402
TG 60:7|TG 18:0_18:1_24:6,258105744,235641584,195470688,75093256,142762560,132001240,107738216,174590784,251279696,285526400,221170928,70655360
TG 8:0_14:0_38:4,8571076,5053806,2172592,7060672,21085596,5462622,5637040,297497,10090964,14680602,22234442,8164148
TG 60:4|TG 18:1_18:1_24:2,31688120,23472160,11753140,136698240,167131072,195172240,46566396,148868576,114575128,36637928,44685496,53070868
SM 12:2;2O/44:12,493967200,418711488,402970144,288971328,459445120,442394208,417833024,423785472,473759936,456635808,425892192,239097424
SM 54:11;2O,2102132,13637189,9568471,1503236,1182503,857096,7966298,17572186,5983945,14543710,16986638,8973128
