,DGAT1i+2i,DGAT1i+2i,DGAT1i+2i,DGAT1i,DGAT1i,DGAT1i,DGAT2i,DGAT2i,DGAT2i,OA,OA,OA
Metabolite.name,1i_2i_01,1i_2i_02,1i_2i_03,1i_01,1i_02,1i_03,2i_01,2i_02,2i_03,OA_01,OA_02,OA_03
DG 30:0,1182174,13697880,1542374,131094,8110190,9160022,34076752,32587440,27066350,33471198,29150354,34017980
SM 18:0;2O/6:0,53996412,203710080,104400464,22890434,93705992,49489796,131258688,13361166,92548928,43824660,55837008,50958644
LPC 22:6/0:0,6847136,96799936,7545372,1589766,1755436,2390722,3314480,3213672,4163499,2902832,3152647,3054280
LPC 22:5/0:0,486329,78639400,713460,242993,0,507049,240664,263558,443212,0,1203038,1326844
LPC 22:5-SN1,2975677,12253384,5237010,1994672,2856821,3135132,4893358,6152260,5804121,5936387,6804366,4500860
TG 8:0_8:0_14:1,11131396,13701801,10111578,10376950,9935738,11689833,1658832,812245,687684,1257824,389724,723717
PE 22:1,17872162,19676146,17957770,12766600,12953249,22916492,13646475,13477141,18313958,11483871,7368490,11187640
LPC 22:4/0:0,2292045,14170710,4117349,172536,783007,631073,302848,8072,561130,533401,175873,0
DG 16:3_16:4,7046694,6999475,6076006,15555296,12011085,8477154,9060625,11522130,6327886,8513218,10480782,24726496
LPC 22:1/0:0,14830813,20353438,23332792,5103500,5939206,6713010,5498055,5194468,6953436,4714898,5467798,5354836
LPC 22:0-SN1,4353790,6715056,5019862,3215739,4493120,4741822,5492638,5094328,3538666,4315820,4817910,4918460
DG 10:0_22:3,11865581,12501562,12891518,7978122,8702702,7717614,23555272,33398932,31244128,32462206,23811134,26882916
DG 8:0_24:3,4752389,3450541,4726682,3288030,3758078,4213156,3895190,5244264,5346617,2860250,4857244,3429601
PI 14:0,495141,0,357876,233067,1075550,937604,969290,1179208,804187,0,7958,524380
DG 8:0_24:2,25621126,81250624,75108240,16538379,19400962,8508162,76277624,64882776,60002760,121857808,72771384,91014400
PS 20:3,494203,583889,0,440530,409915,995882,243171,192080,508417,241445,325082,148682
DG 32:1|DG 14:0_18:1,48321528,94805424,116833656,41527468,45182732,40483180,144939392,115404200,104076968,214112480,150090512,139441392
DG 32:0|DG 16:0_16:0,40565168,69488080,72029136,34599356,39427260,32483384,70204720,60886984,51218432,80926336,86613136,123538648
LPE 26:2,2170806784,2229773824,2193905408,1979162368,2067410560,2421228800,2031054976,2167815424,2270162176,1968092416,2011234560,2020447360
LPE 26:1,3577317,4737962,4153797,3147938,4262516,4734984,3569266,3479766,4244817,3380817,3956318,4102690
TG 8:0_8:0_16:3,25311352,85826624,133556496,7196456,3503336,4900264,45093300,76478504,92553816,133167144,171171856,163365728
PE 24:3,6989001,9209812,6004230,4971650,5255664,11183708,5253941,6688924,7508040,4520271,2932981,4227344
TG 8:0_8:0_16:2,3791519,2864684,3377444,1152024,151745,986771,3363077,1774824,2677063,5886832,5399690,1988727
PE 24:2,5058200,3022276,3143800,1363100,3461001,8628198,833619,1772399,3243234,532592,1575000,1574291
LPC 22:0,3950226,1234474,0,4770686,3888148,6644837,2343040,6500488,4668338,7443094,6892094,1911078
LPC 24:1-SN1,2367516,4069288,1785698,630877,709199,2018952,1906801,3697441,1536711,1797231,2493106,2532525
DG 16:2_18:2,4558852,19624600,13779113,789758,0,1392758,20658410,9121146,8271924,27013146,22792204,27671684
DG 34:3|DG 16:1_18:2,20013748,74580328,73631016,15186996,2608763,2063803,15541081,47024876,46551152,91220096,57512848,72516240
DG 34:3|DG 16:0_18:3,229198032,406720992,415289728,189154160,205882624,161782016,366726944,334930432,298401504,546325376,340423872,437769120
PI 16:0,2351083,1149458,618836,397550,1408675,191393,1246153,2228068,948519,0,2368441,433896
SM 26:3;2O,436987744,427078112,439372512,504425440,509578912,471094016,496134304,526352576,472113856,604617664,574346816,620959936
DG 8:0_26:2,1074380,0,0,0,31997144,5671694,16905512,9636295,5291206,9766026,0,0
