conditions,samples
DGAT1i+2i,1i_2i_01
DGAT1i+2i,1i_2i_02
DGAT1i+2i,1i_2i_03
DGAT1i,1i_01
DGAT1i,1i_02
DGAT1i,1i_03
DGAT2i,2i_01
DGAT2i,2i_02
DGAT2i,2i_03
OA,OA_01
OA,OA_02
OA,OA_03
