"CL(78:15)",3549530.593,3370222.99,935286.834,3938605.263,5696133.437,6127611.57,3428157.908,3654307.265,3675823.105,3033086.612,"CL(18:2_22:6_16:1_22:6)","CL"
"CL(78:8)",56400000,86800000,60100000,77400000,7.1e+07,51900000,44100000,38200000,68800000,39600000,"CL(78:8)","CL"
"CL(80:2)",40500000,52400000,44900000,51100000,4.8e+07,4.2e+07,41400000,37300000,39400000,36300000,"CL(80:2)","CL"
"CL(80:5)",53500000,63600000,59700000,64900000,63500000,60800000,55900000,67700000,60200000,59600000,"CL(80:5)","CL"
"CL(80:6)",2239280.357,3395126.903,1057724.191,3440233.343,2038192.198,1673249.317,1704425.679,1841115.94,856158.348,420282.488,"CL(80:6)","CL"
"CL(80:7)",48300000,44500000,58700000,61800000,62800000,27500000,37800000,33200000,40500000,34900000,"CL(80:7)","CL"
"CL(82:4)",47800000,54800000,52100000,55500000,50200000,66900000,58100000,76600000,53700000,51200000,"CL(82:4)","CL"
"CL(82:5)",2.44e+08,2.6e+08,2.56e+08,2.73e+08,2.61e+08,3.23e+08,3.02e+08,3.1e+08,2.83e+08,2.77e+08,"CL(24:2_20:0_20:3_18:0)","CL"
"CL(82:6)",7.97e+08,9.26e+08,8.23e+08,7.88e+08,8.7e+08,1.06e+09,9.96e+08,9.91e+08,9.6e+08,8.83e+08,"CL(82:6)","CL"
"CL(82:8)",4680131.682,3699639.84,2903125.04,2871096.265,2405048.7,829948.848,2028616.7,2514368.919,2456105.108,2416716,"CL(82:8)","CL"
"CL(86:10)",1.25e+08,1.03e+08,1.57e+08,1.83e+08,1.73e+08,74200000,1.39e+08,42200000,1.27e+08,2.34e+08,"CL(86:10)","CL"
"CL(86:11)",1.57e+08,2.58e+08,2.53e+08,91800000,2.33e+08,1.46e+08,2.6e+08,1.88e+08,3.44e+08,4.19e+08,"CL(86:11)","CL"
"CL(86:12)",67100000,59300000,59300000,81100000,59700000,52200000,54900000,51800000,48500000,53300000,"CL(86:12)","CL"
"CL(86:13)",17100000,33800000,30200000,18800000,3.4e+07,15100000,17500000,20800000,20900000,5.1e+07,"CL(86:13)","CL"
"CL(86:15)",1.12e+08,1.78e+08,1.49e+08,1.21e+08,1.25e+08,2.98e+08,2.95e+08,2.13e+08,2.39e+08,1.79e+08,"CL(86:15)","CL"
"CL(86:2)",3.2e+07,45900000,3.9e+07,35300000,41300000,42900000,44200000,42500000,35300000,30300000,"CL(86:2)","CL"
"CL(86:8)",35700000,3.7e+07,37900000,54200000,35500000,52400000,24700000,23100000,27700000,35900000,"CL(86:8)","CL"
"CL(88:24)",4532119.26,5954333.836,158628.2722,6450913.818,6802460.372,4734060.477,13500000,10900000,9417777.186,11500000,"CL(88:24)","CL"
"Cer(32:0)",2.16e+08,1.91e+08,2.14e+08,1.97e+08,2.15e+08,2.72e+08,1.94e+08,2.22e+08,2.89e+08,1.64e+08,"Cer(d32:0)","Cer"
