"subclass","48hrs_1","12hrs_1","24hrs_1","24hrs_2","24hrs_3","24hrs_4","24hrs_5","Veh_1","Veh_2","Veh_3","Veh_4","48hrs_2","Veh_5","48hrs_3","48hrs_4","48hrs_5","12hrs_2","12hrs_3","12hrs_4","12hrs_5"
"Hex1Cer(42:5)",1.06e+08,97100000,1.03e+08,1.13e+08,1.05e+08,97100000,93600000,78700000,74200000,78100000,80400000,1.02e+08,7.7e+07,1.05e+08,1.23e+08,1.05e+08,61100000,68300000,71800000,73100000
"Hex1Cer(42:6)",2.48e+08,87500000,9.8e+07,1.26e+08,1.15e+08,85200000,1.27e+08,7.9e+07,86500000,90200000,80300000,2.53e+08,8.6e+07,1.77e+08,2.24e+08,1.93e+08,97500000,84200000,1e+08,8.8e+07
"Hex1Cer(42:7)",31100000,16800000,24400000,2.9e+07,22700000,2.3e+07,23700000,13800000,20100000,13700000,17500000,42200000,15400000,35700000,37800000,34400000,15400000,18900000,19600000,16600000
"Hex1Cer(42:8)",5053976.076,10200000,4854118.958,6575635.808,10400000,7170758.571,6943426.925,12500000,9046961.582,10500000,11300000,7708193.836,11400000,6470061.861,6361639.694,4675217.442,9587099.6,8060214.214,13400000,10200000
"Hex1Cer(44:5)",1520165.959,1926599.092,1123695.587,958507.8564,2798211.552,874743.899,1910471.301,974781.045,134946.6598,3445169.302,1273176.664,2166821.052,1972030.497,674733.299,3393666.011,2220500.524,1809022.111,1692556.524,1523780.624,1619492.165
"Hex2Cer(34:2)",6389610.034,2925272.236,2176611.968,4583499.834,1818572.548,2096252.629,5212457.063,3988349.158,2701874.649,5465723.383,2880720.055,4830012.587,2171115.28,5655997.287,7645211.668,4948208.753,631308.552,1544029.354,3028293.924,2917266.561
"Hex2Cer(34:4)",4743779.207,1473832.339,6365906.997,2840583.214,1200639.958,6393497.89,9470909.476,1152540.016,3740964.296,1969306.667,5089755.866,7202541.755,2065482.677,289452.3654,57890.47308,5608597.309,8560280.641,5591261.915,2592664.587,2456588.256
"Hex2Cer(36:6)",4181332.465,247456.7804,30500000,18600000,247456.7804,20400000,16800000,9155045.583,16800000,7058570.355,5640063.863,2696788.815,12600000,8437781.658,5574728.247,10200000,11600000,2148535.173,1237283.902,1580954.004
"Hex2Cer(38:7)",929049.637,185809.9274,9453319.983,5762963.187,185809.9274,7287798.337,5294481.732,1903223.923,6867806.62,3929290.622,1890789.811,1067177.694,5544068.41,1100815.076,185809.9274,937838.28,5132006.237,185809.9274,1044232.348,185809.9274
"Hex2Cer(40:4)",14500000,4937123.897,6433504.195,12800000,1891159.061,9282069.439,19500000,5120588.998,13700000,6383174.791,2208047.847,3388692.715,3938828.71,5392582.95,8635780.418,15800000,9297845.327,4766056.843,13500000,10100000
"Hex2Cer(40:6)",17690605.827,7438269.586,7210411.979,14174231.388,10630558.329,11331730.812,23607594.649,9057604.166,17752021.35,10436897.752,7376203.384,6279117.218,7607233.948,9635941.981,16093704.628,26200000,10353868.811,7510438.389,10437889.5,10729411.846
"Hex2Cer(42:2)",3450219.679,2408439.868,2301101.308,2917050.216,1850448.487,2050344.348,2759161.304,1546937.649,1089949.594,1361002.04,1153441.971,1303100.012,1228150.258,2908787.39,3021089.573,3855514.675,2283929.029,1023539.674,3455493.328,1513508.845
"LPA(16:0)",6875323.246,3368820.338,5378698.098,1937004.135,4591698.669,5886591.242,5311215.952,2563089.756,3113567.421,6370807.879,5787736.328,275539.0101,1241837.313,4705962.31,5709673.591,4087042.603,2187924.431,6268408.235,3892497.036,5896232.234
"LPC(14:0)",75900000,1.17e+08,68400000,1.32e+08,98800000,96600000,77700000,34800000,41600000,46700000,4.3e+07,71800000,48200000,58400000,79900000,56800000,2.53e+08,1.31e+08,1.31e+08,1.35e+08
"LPC(16:0)",9.07e+10,7.41e+10,6.07e+10,7.74e+10,7.67e+10,7.05e+10,6.06e+10,4.64e+10,4.28e+10,5.61e+10,5.58e+10,7.6e+10,5.25e+10,6.55e+10,7.08e+10,5.39e+10,1.08e+11,7.86e+10,6.41e+10,7.77e+10
"LPC(16:1)",4.3e+08,8.22e+08,4.96e+08,7.62e+08,6.16e+08,6.59e+08,3.84e+08,3e+08,1.93e+08,3.09e+08,3.57e+08,2.49e+08,3.64e+08,2.09e+08,2.62e+08,2.56e+08,2.24e+09,9.32e+08,8.05e+08,1.12e+09
"LPC(18:0)",4.23e+10,3.69e+10,3.24e+10,3.77e+10,4.26e+10,3.71e+10,3.08e+10,3.04e+10,3.19e+10,3.65e+10,4.17e+10,5.5e+10,3.62e+10,3.51e+10,3.32e+10,3.13e+10,4.53e+10,3.52e+10,2.83e+10,3.39e+10
"LPC(18:1)",5.22e+09,4.67e+09,3.16e+09,5.25e+09,5.21e+09,4.31e+09,3.06e+09,2.66e+09,2.42e+09,3.1e+09,3.34e+09,4.13e+09,4.02e+09,2.78e+09,3.49e+09,2.06e+09,9.6e+09,4.76e+09,4.38e+09,5.32e+09
"LPC(18:2)",5.59e+09,7.49e+09,5.96e+09,9.3e+09,7.86e+09,7.71e+09,5.82e+09,6.05e+09,5.17e+09,6.67e+09,6.14e+09,4.87e+09,8.29e+09,4.76e+09,6.67e+09,4.8e+09,1.12e+10,7.35e+09,6.18e+09,6.51e+09
"LPC(18:3)",2.03e+09,1.73e+09,3.94e+08,1.81e+09,1.9e+09,1.86e+09,1.69e+09,1.55e+09,1.92e+09,1.67e+09,3.13e+08,2e+09,1.93e+09,2.03e+09,1.92e+09,1.93e+09,1.04e+08,1.87e+09,1.88e+09,1.71e+09
"LPC(20:0)",7.43e+08,4.84e+08,4.52e+08,4.41e+08,5.51e+08,5.65e+08,3.59e+08,1.38e+09,9.66e+08,1.02e+09,1.26e+09,5.23e+08,8.85e+08,4.92e+08,4e+08,2.78e+08,8.81e+08,6.86e+08,4.1e+08,5.15e+08
"LPC(20:1)",3.2e+08,3.54e+08,2.18e+08,3.09e+08,3.45e+08,3.26e+08,1.8e+08,3.13e+08,2.46e+08,3.01e+08,3.87e+08,2.97e+08,3.94e+08,1.84e+08,2e+08,1.5e+08,6.24e+08,3.4e+08,3.27e+08,3.67e+08
"LPC(20:2)",1.21e+08,1.2e+08,72300000,1.16e+08,1.02e+08,1.15e+08,78600000,75500000,71400000,96500000,90700000,1.17e+08,1.15e+08,67300000,88400000,5.4e+07,2.05e+08,1.18e+08,1.16e+08,1.11e+08
"LPC(20:3)",1.31e+09,2.47e+09,2.2e+09,3.23e+09,2.79e+09,2.43e+09,2.42e+09,1.87e+09,1.63e+09,2.08e+09,2.47e+09,2.66e+09,2.08e+09,2.03e+09,1.82e+09,2.5e+09,2.98e+09,2.39e+09,2.25e+09,2.18e+09
"LPC(20:4)",2.74e+09,2.83e+09,2.18e+09,3.29e+09,3.38e+09,2.43e+09,2.17e+09,2.65e+09,2.42e+09,3.72e+09,2.77e+09,2.45e+09,3.2e+09,2.11e+09,3.03e+09,1.89e+09,5.56e+09,2.64e+09,2.35e+09,2.99e+09
"LPC(20:5)",6.5e+07,1.22e+08,1.54e+08,2.97e+08,1.84e+08,2.04e+08,1.29e+08,88600000,71300000,1.05e+08,76500000,92300000,99200000,69600000,1.06e+08,9.8e+07,2.76e+08,1.17e+08,1.39e+08,1.98e+08
"LPC(22:0)",5.32e+08,2.71e+08,2.34e+08,3.42e+08,3.43e+08,2.94e+08,2.8e+08,4.86e+08,3.43e+08,4.53e+08,4.16e+08,4.87e+08,4.01e+08,3.67e+08,4.03e+08,3.2e+08,2.61e+08,3.02e+08,2.25e+08,2.39e+08
"LPC(22:1)",90400000,4e+07,39500000,4.6e+07,55200000,42900000,35800000,72100000,47200000,60500000,73300000,72100000,69100000,57100000,59200000,37400000,4.7e+07,35400000,25800000,35900000
"LPC(22:2)",34800000,12600000,8194851.826,15800000,18100000,11900000,1.5e+07,16900000,9489129.384,21300000,27700000,32300000,7596090.884,20300000,24500000,15500000,17200000,16200000,7758551.317,11400000
"LPC(22:4)",74300000,72300000,70800000,76200000,8.2e+07,69800000,64200000,51400000,49100000,61800000,67500000,67600000,57600000,45300000,71700000,46500000,86400000,61200000,61300000,53800000
"LPC(22:5)",75600000,91900000,1.2e+08,1.74e+08,1.45e+08,1.13e+08,1.16e+08,80400000,87100000,1.13e+08,1.39e+08,66200000,1.26e+08,55900000,1.05e+08,88700000,1.96e+08,1.24e+08,88700000,81500000
"LPC(22:6)",3.24e+09,3.31e+09,2.95e+09,4.02e+09,3.86e+09,3.15e+09,3.19e+09,2.12e+09,2.24e+09,2.88e+09,2.51e+09,2.54e+09,2.75e+09,2.42e+09,3.81e+09,2.93e+09,5.91e+09,3.52e+09,2.79e+09,3.52e+09
"LPC(24:0)",7.2e+08,2.83e+08,3.56e+08,4.58e+08,4.21e+08,4.05e+08,4.13e+08,3.56e+08,3.44e+08,4.41e+08,3.73e+08,6.01e+08,3.5e+08,5.4e+08,5.76e+08,4.05e+08,3.03e+08,3.21e+08,2.55e+08,2.64e+08
"LPC(24:1)",2.39e+08,1.21e+08,1.1e+08,1.47e+08,1.55e+08,1.33e+08,1.23e+08,2.06e+08,1.29e+08,1.74e+08,1.85e+08,2.72e+08,1.67e+08,1.87e+08,2.22e+08,1.59e+08,1.11e+08,1.04e+08,95200000,1.05e+08
"LPC(24:2)",38500000,13800000,13800000,10800000,18600000,13100000,6682891.936,24100000,19900000,24400000,2.1e+07,3.3e+07,20700000,21600000,2.2e+07,14200000,12600000,11800000,6968525.227,9637041.547
"LPC(32:0)",3.71e+08,3.74e+08,3.46e+08,3.71e+08,3.39e+08,3.38e+08,4.32e+08,2.03e+08,1.9e+08,1.83e+08,1.94e+08,3.95e+08,2.07e+08,3.38e+08,3.53e+08,4.11e+08,3.08e+08,2.97e+08,2.6e+08,3.43e+08
"LPC(34:0)",1.5e+08,50100000,65800000,68300000,61900000,5.4e+07,1.14e+08,94600000,83700000,88700000,86700000,1.64e+08,81400000,1.64e+08,1.48e+08,1.4e+08,44100000,57800000,3.5e+07,34100000
"LPE(16:0)",1.13e+09,2.04e+09,1.32e+09,1.51e+09,1.87e+09,1.62e+09,1.24e+09,8e+08,7.85e+08,1.16e+09,1.06e+09,9.75e+08,8.38e+08,7.92e+08,1.02e+09,9.98e+08,2.98e+09,1.99e+09,1.97e+09,2.27e+09
"LPE(16:1)",6562864.36,26900000,10200000,18100000,17700000,18200000,8614467.665,12800000,5093763.864,12700000,11200000,5045028.177,12900000,3133766.133,5071328.73,3162265.607,53600000,26200000,38600000,37100000
"LPE(18:0)",5.82e+09,7.28e+09,5.13e+09,5.85e+09,7.61e+09,8.47e+09,3.91e+09,4.27e+09,1.34e+09,6.57e+09,3.77e+09,5.87e+09,3.14e+09,3.29e+09,3.79e+09,3.91e+09,1.13e+10,6.5e+09,5.28e+09,9.78e+09
"LPE(18:1)",1.9e+08,3.74e+08,2.86e+08,4e+08,3.85e+08,3.89e+08,2.24e+08,2.41e+08,2.07e+08,2.73e+08,2.75e+08,1.61e+08,2.75e+08,1.22e+08,1.58e+08,1.25e+08,7.24e+08,3.54e+08,4.6e+08,4.96e+08
"LPE(18:2)",1.04e+08,1.64e+08,1.39e+08,1.87e+08,1.78e+08,1.72e+08,1.39e+08,1.53e+08,1.23e+08,1.63e+08,1.48e+08,1.01e+08,1.47e+08,85200000,1.15e+08,1e+08,2.02e+08,1.55e+08,1.94e+08,1.54e+08
"LPE(20:0)",10100000,8338858.142,10700000,8776255.054,8391732.925,13600000,5335164.57,15800000,6977325.754,13200000,1.2e+07,7975790.799,6045156.813,8238167.183,7739413.073,6045610.033,22200000,14800000,9915176.227,13900000
"LPE(20:1)",33300000,70600000,39200000,47300000,52800000,75500000,32200000,46100000,16200000,61100000,42100000,26800000,42200000,17600000,16700000,17400000,1.49e+08,78500000,72800000,1.14e+08
"LPE(20:2)",4236010.227,8187840.787,4654424.932,6982717.292,5584814.367,6706357.741,3576424.446,4867246.286,3333867.151,5126787.241,4852770.247,3007164.574,4449295.513,1669081.229,2931883.661,2303269.016,16100000,9305014.657,11800000,9794948.431
"LPE(20:3)",10100000,15400000,10500000,15300000,16500000,13900000,11100000,19900000,15900000,19600000,20800000,12300000,21700000,9392376.62,11700000,8023162.43,19500000,14900000,18700000,14800000
"LPE(20:4)",5.55e+08,4.63e+08,4.89e+08,6.09e+08,4.39e+08,5.82e+08,4.88e+08,7.11e+08,5.04e+08,9.02e+08,6.31e+08,4.57e+08,6.54e+08,4.08e+08,5.77e+08,4.22e+08,6.71e+08,3.44e+08,4.32e+08,3.94e+08
"LPE(20:5)",19400000,16700000,19200000,31100000,3.2e+07,23800000,16200000,23900000,23100000,30500000,2.7e+07,16800000,25900000,12500000,22600000,20700000,29300000,4362912.366,23700000,22100000
"LPE(22:4)",34900000,20300000,15400000,18700000,23900000,16900000,2e+07,18300000,15100000,20400000,18100000,28500000,17900000,26100000,28300000,19100000,21300000,20300000,23800000,19900000
"LPE(22:5)",18500000,19700000,17300000,24700000,25700000,23300000,23300000,2e+07,19600000,22700000,23100000,21500000,1.9e+07,20300000,22300000,20300000,24500000,21200000,30100000,19700000
"LPE(22:6)",7.61e+08,1.42e+09,1.16e+09,1.44e+09,1.52e+09,1.31e+09,1.21e+09,7.4e+08,7.99e+08,1.12e+09,1.04e+09,9.77e+08,7.58e+08,9.44e+08,1.27e+09,1.11e+09,2.01e+09,1.43e+09,1.19e+09,1.28e+09
"LPG(16:0)",10400000,44700000,17600000,21700000,18700000,17800000,1.9e+07,9132506.817,6402662.84,12900000,6904123.642,11500000,6273700.514,8010233.537,14500000,16100000,71400000,35300000,4.4e+07,52300000
"LPG(18:0)",48100000,78500000,33200000,50900000,57400000,47400000,35900000,19400000,5246591.878,32600000,16700000,78800000,14900000,40800000,63500000,7.8e+07,1.78e+08,55400000,65200000,9e+07
"LPG(18:1)",1.01e+08,59700000,73100000,61400000,87200000,76800000,60900000,57700000,44300000,45400000,51800000,1.1e+08,48500000,67100000,78300000,71800000,38400000,49400000,43700000,58800000
"LPG(18:2)",1.69e+08,1.05e+08,1.11e+08,1.17e+08,1.19e+08,1.16e+08,8.2e+07,59500000,4.5e+07,6.1e+07,54400000,1.82e+08,49300000,1.03e+08,1.33e+08,1.01e+08,98200000,70400000,50200000,1.02e+08
"LPG(20:2)",8610213.395,2806794.668,2902546.43,1970503.993,2833867.667,3034256.885,2060668.559,1838459.722,1504468.447,2259579.096,2404452.718,4470536.283,1370268.801,2762795.657,4822699.854,4729144.136,1190405.861,2715312.516,2149922.393,2067026.607
"LPG(20:3)",9455190.298,5182256.299,4462575.975,3293812.057,5011527.535,4319261.332,3038749.247,4605079.316,3869457.053,3028904.758,4345837.03,8645957.92,3745872.955,5779768.361,6231498.489,4931526.921,3246100.786,2318424.42,4182506.875,3234426.721
"LPG(20:4)",47500000,2e+07,15200000,17200000,18300000,17200000,12900000,8892298.425,9274561.831,10600000,9751115.737,71300000,11800000,27100000,41900000,33400000,14200000,13100000,15800000,13900000
"LPG(20:5)",1549528.667,795785.687,1036991.621,927791.477,491160.302,648167.347,584178.171,323434.272,44023.6426,44023.6426,288541.989,3074654.321,342369.241,1436790.345,2321404.046,2647395.497,279163.494,255239.579,220118.213,44023.6426
"LPG(22:4)",14700000,6184115.27,5696162.919,3987448.102,5113961.435,6009301.752,4603005.612,6874830.835,4846357.335,6761063.606,5122260.823,13700000,4843086.114,8555969.808,10300000,9229938.377,3009877.67,4721144.48,5379093.153,4571767.391
"LPG(22:6)",1.24e+08,42800000,26900000,34300000,42600000,31300000,22900000,49400000,53900000,49500000,36700000,1.35e+08,48900000,93700000,95700000,82100000,22600000,33700000,29200000,40700000
"LPI(16:0)",2259960.488,2638458.141,4174599.71,2686706.391,3584669.11,4793792.596,2855807.166,1924160.494,1968137.368,1661998.258,2059397.951,2122320.003,1594665.795,1053531.827,2232592.861,3543270.498,7579705.268,1685662.528,3553591.46,2106691.31
"LPI(18:0)",25300000,18300000,30700000,28200000,28100000,34800000,28100000,9461271.036,9039597.007,12400000,13600000,24900000,12100000,13700000,23600000,36400000,43600000,14600000,20500000,14600000
"LPI(18:1)",1453309.601,1900810.876,1743235.018,1709824.727,1796419.905,2858820.001,1582989.059,1204941.772,912249.061,751409.12,1510115.334,1845601.563,993184.588,150281.824,914780.673,1606604.519,5025473.11,1034705.735,2080098.25,1415877.405
"LPI(18:2)",4234359.834,8560491.453,8053095.366,7438446.307,7263464.376,11600000,5504886.108,3040291.8,1830134.811,4573408.176,3049703.126,6354618.674,2808887.072,4685992.855,9933971.491,13800000,19400000,6808509.055,7982578.362,4208782.816
"LPI(20:3)",4806412.787,5289498.718,6580526.186,4990811.793,4892688.014,9823791.601,3519316.636,5148052.294,3465458.475,4001149.122,4403024.961,5237969.651,4490777.941,3574028.725,4615394.436,5749318.252,12700000,3779181.061,3525709.731,4092423.7
"LPI(20:4)",1.19e+08,84400000,1.09e+08,94600000,87100000,1.48e+08,80700000,95600000,1.04e+08,1.25e+08,1.21e+08,1.43e+08,93200000,87900000,1.43e+08,1.86e+08,1.88e+08,73800000,7.1e+07,57400000
"LPI(20:5)",418610.066,569065.035,2161549.038,2087182.55,667224.321,2455842.643,1552661.648,438344.358,41172.0856,41172.0856,430927.037,1571566.953,41172.0856,771154.919,2853428.776,2790778.302,3673599.773,205860.428,876112.733,1065737.857
"LPI(22:6)",3545481.581,2037654.391,3401739.754,3422587.552,1774300.846,5329464.634,2941989.472,1316118.753,232462.672,2768433.036,1270437.391,3276803.335,1162313.36,3212783.72,5394410.741,5645192.448,6341695.924,1961039.728,2085304.927,1182803.766
"LPS(20:4)",9634097.368,4378961.055,3588484.084,4857331.496,5062020.847,6983340.083,5875177.41,11600000,11100000,17200000,10400000,7772102.069,10600000,6089337.791,8307260.005,3545321.816,6359590.444,3350153.303,2386634.986,1299506.875
"LPS(22:6)",17800000,5290178.908,9492629.174,9882515.857,7951461.601,14500000,7223862.575,13200000,10600000,17100000,14800000,15500000,7752708.786,11300000,1.5e+07,13800000,10200000,4958741.407,8071489.87,3549550.679
"MG(16:0)",8197904.18,82300000,50300000,65900000,63500000,51400000,57400000,15700000,4807793.136,13800000,16100000,1.1e+07,14900000,1.5e+07,5836311.135,19400000,81100000,89400000,83400000,97200000
"MG(18:2)",830602.716,3.3e+07,8712828.377,17600000,20200000,17500000,15800000,7615800.353,5090067.333,4638542.257,10400000,2113717.292,11600000,3838710.221,3346398.459,5030584.526,20300000,20800000,28100000,37900000
"MG(18:4)",9891760.065,3e+07,11700000,29700000,2.4e+07,2247181.545,3192526.191,7825492.147,5089854.264,11200000,5324989.776,9865090.15,9613903.891,4843019.713,1.3e+07,12800000,42600000,34800000,35800000,26200000
"MLCL(46:2)",8.4e+09,6.78e+09,5.49e+09,7.3e+09,7.13e+09,6.5e+09,5.53e+09,4.02e+09,3.7e+09,5.12e+09,4.89e+09,6.76e+09,4.76e+09,5.65e+09,6.07e+09,4.71e+09,1.09e+10,7.38e+09,5.7e+09,7.27e+09
"MLCL(46:4)",43300000,84700000,47300000,70900000,5.3e+07,67500000,39200000,39800000,24100000,38500000,38800000,31500000,30100000,28300000,31200000,23700000,2.32e+08,93500000,90300000,1.16e+08
"MLCL(48:2)",1.33e+08,96400000,78300000,1.24e+08,87900000,86400000,68200000,80200000,85600000,1.02e+08,90400000,1.06e+08,97500000,8.7e+07,99200000,70800000,1.62e+08,1.11e+08,77500000,96800000
"MLCL(48:8)",1.13e+08,1.27e+08,1.25e+08,1.32e+08,1.36e+08,1.49e+08,99400000,79900000,67100000,91100000,89100000,1.2e+08,68700000,82200000,1.11e+08,1.15e+08,1.93e+08,1.39e+08,1.28e+08,1.32e+08
"MLCL(50:2)",3.49e+09,2.44e+09,2.31e+09,3.08e+09,2.64e+09,2.43e+09,2.24e+09,2.27e+09,2.97e+09,2.39e+09,2.83e+09,2.7e+09,2.83e+09,2.71e+09,2.88e+09,2.28e+09,3.5e+09,2.73e+09,2.25e+09,2.3e+09
"MLCL(50:4)",5.25e+08,4.37e+08,3.01e+08,4.92e+08,4.73e+08,4.32e+08,3.12e+08,2.87e+08,2.5e+08,3.2e+08,3.33e+08,4.38e+08,4.02e+08,3.05e+08,3.54e+08,2.27e+08,8.47e+08,4.24e+08,4.2e+08,5.09e+08
"MLCL(50:6)",6.21e+08,8.3e+08,6.84e+08,9.75e+08,8.24e+08,8.69e+08,6.6e+08,6.78e+08,5.56e+08,7.4e+08,6.74e+08,5.69e+08,6.97e+08,4.84e+08,6.93e+08,4.92e+08,1.13e+09,7.54e+08,6.86e+08,7.48e+08
"MLCL(52:13)",1948761.83,2698165.06,4241193.54,2746920.932,3370067.327,4793526.797,2900653.528,1686715.687,1464915.292,1642607.393,1854417.989,1688157.304,1535319.519,995666.399,2014642.372,3036640.01,6220630.565,1490522.288,2982739.22,2049097.021
"MLCL(52:2)",9e+07,56300000,49100000,60200000,5.4e+07,53800000,42900000,84300000,79400000,90400000,98200000,65800000,92200000,69600000,63800000,41400000,8.8e+07,62700000,50300000,58200000
"MLCL(52:4)",3552846.993,3407643.941,2312904.979,4294669.17,3125555.378,2543284.838,3346936.073,2119588.003,2901465.807,3534073,1097272.098,3276980.56,1712460.307,2452497.459,2059097.415,1141312.398,7235936.516,3904496.63,3792771.887,4568061.882
"MLCL(52:6)",4470389.259,3057497.01,1504410.703,3349243.833,4010071.407,2467316.699,3880690.738,4305779.14,4149771.631,5867685.421,5598438.993,3251072.108,4625366.516,2507564.14,2201684.755,2833797.139,3708261.659,2832056.297,3876210.998,4756918.353
"MLCL(54:10)",3.81e+08,3.74e+08,2.5e+08,3.42e+08,2.87e+08,3.19e+08,2.88e+08,3.3e+08,2.99e+08,4.44e+08,3.21e+08,3.44e+08,3.96e+08,2.66e+08,3.87e+08,2.46e+08,5.53e+08,3.36e+08,3.12e+08,3.89e+08
"MLCL(54:2)",76100000,50700000,46300000,46900000,55900000,61900000,3.9e+07,1.54e+08,1.07e+08,1.1e+08,1.43e+08,56700000,95500000,47400000,39200000,2.9e+07,93500000,77800000,43700000,5.7e+07
"MLCL(54:4)",25800000,28900000,20300000,33200000,21400000,25100000,17500000,29700000,26300000,24800000,3.3e+07,2e+07,36400000,15400000,18600000,10900000,46500000,32900000,31500000,30900000
"MLCL(54:6)",7.3e+07,39500000,38993434.628,39100000,32400000,45600000,47800000,24700000,25100000,30300000,26200000,80600000,25700000,33900000,40200000,25243803.859,7.5e+07,39100000,34400000,36200000
"MLCL(54:8)",31200000,45100000,27400000,43600000,35500000,36200000,23800000,47900000,37500000,55900000,57800000,24400000,5.5e+07,2.3e+07,23700000,15800000,70500000,34100000,34400000,39300000
"MLCL(56:2)",3814424.462,1640339.12,1440940.328,1844628.531,1866689.597,1911170.731,746014.476,3232305.513,2580362.41,3807774.281,3203745.231,1692078.888,2708767.484,2518876.162,1933872.337,1922069.979,1642175.14,1678668.717,836374.783,1666014.063
"MLCL(56:6)",1.4e+07,11200000,9708061.469,12600000,1.4e+07,11100000,12900000,20800000,16200000,15300000,17600000,9849913.572,15700000,11300000,12300000,1.5e+07,21500000,14700000,18100000,16900000
"MLCL(58:10)",6683580.257,5795362.437,6597751.743,7329425.084,4566050.359,7188325.479,6800176.348,2714053.648,5399018.281,5842791.527,7842913.273,5995444.113,5879713.295,6733805.206,9981153.358,5006218.47,9118427.187,6856955.513,6165198.767,5744714.262
"MLCL(58:14)",3.94e+08,4.33e+08,3.86e+08,5.33e+08,4.4e+08,4.41e+08,3.66e+08,2.52e+08,2.44e+08,3.94e+08,2.97e+08,3.77e+08,3.48e+08,3.44e+08,5.19e+08,3.88e+08,7.22e+08,4.17e+08,3.15e+08,4.22e+08
"MLCL(58:2)",41300000,20600000,21200000,27400000,27200000,24100000,22600000,34400000,2.8e+07,3.5e+07,33900000,36200000,27300000,26600000,31200000,25300000,20800000,22600000,18100000,18200000
"MLCL(58:4)",8374400.455,3625808.911,3121064.2,3687732.334,5454381.47,3876355.014,3205475.591,8692330.52,5594072.09,4917636.458,6739346.537,7127348.369,6839394.341,4181625.044,5220641.92,3241258.509,3357520.755,4118246.517,3042416.431,3800467.838
"MLCL(60:2)",8741168.366,4180436.211,4139717.268,6738302.062,5544429.677,5430327.743,4715188.876,5907523.284,4472105.037,6907441.254,5306204.28,6797839.66,6070937.994,6776197.845,7614347.388,5889299.649,4778375.996,4706225.88,4438445.766,3615086.968
"MLCL(62:2)",45800000,2.4e+07,24900000,35900000,32800000,30400000,34200000,31600000,28900000,37500000,28400000,39600000,26600000,34900000,39300000,31800000,23500000,25200000,18900000,21500000
"MLCL(62:4)",12900000,7265612.02,7129226.838,8145447.614,8728591.517,7612319.013,5794202.723,10600000,7404521.11,8991553.779,8922529.596,13500000,8503185.693,9229611.986,1.1e+07,5946456.336,6945139.599,7343566.864,4394893.109,5860959.948
"MLCL(62:8)",5730247.347,4988766.756,1975747.531,6260476.21,8121983.333,4344791.725,5392465.436,3272059.132,4334925.667,5152331.927,4223346.727,856562.7798,4729164.21,2909589.799,5884179.391,6481040.483,5546740.325,5180526.101,4054755.712,4763190.879
"O-DG(18:1)",2388727.324,50400000,12200000,23400000,34300000,26100000,23500000,10800000,1994633.155,5043198.916,13700000,4909704.611,18700000,3212910.692,8912111.282,13900000,43600000,40200000,43400000,60300000
"O-DG(22:1)",3860852.39,29700000,5806854.788,10700000,22600000,17600000,22400000,7025645.527,1437743.399,287548.6798,24500000,6859817.095,1.5e+07,7785206.413,11200000,21500000,22900000,22500000,18700000,23700000
"O-DG(22:4)",7532004.393,35500000,1.3e+07,14100000,34900000,36500000,21900000,7425484.651,3998336.846,1313285.381,7585386.764,12800000,10900000,8504355.886,15500000,15500000,19700000,24800000,36900000,44100000
"O-DG(24:1)",13600000,82800000,25300000,39900000,20400000,56800000,60800000,28200000,2720000,13900000,68100000,25700000,42900000,14800000,41100000,1.15e+08,85300000,40400000,1.13e+08,87200000
"O-DG(24:4)",3865049.157,32500000,6301968.483,11800000,25800000,20200000,2.6e+07,8222517.862,1786132.193,357226.4386,27900000,6866486.068,17800000,7784402.441,11500000,23900000,23600000,24100000,20700000,25700000
"O-DG(26:1)",4.4e+07,2.89e+08,67100000,1.38e+08,9.7e+07,1.25e+08,1.41e+08,6e+07,23600000,2.4e+07,1.03e+08,5.1e+07,72500000,88300000,1.16e+08,2.03e+08,1.97e+08,2.22e+08,3.08e+08,2.85e+08
"O-DG(26:2)",20900000,1.32e+08,54400000,86700000,6.3e+07,8e+07,87100000,38400000,18900000,16200000,66500000,3.8e+07,61200000,59400000,89900000,1.4e+08,1.02e+08,1.08e+08,1.94e+08,1.44e+08
"O-DG(26:4)",2.16e+08,6.7e+07,1.29e+08,8.9e+07,46400000,86300000,83400000,68700000,48100000,87100000,40600000,1.39e+08,4.8e+07,1.57e+08,1.68e+08,1.89e+08,1.02e+08,90400000,76600000,1.04e+08
"O-DG(28:0)",2.01e+08,7.22e+08,2.97e+08,4.38e+08,3.44e+08,3.88e+08,4.75e+08,2.23e+08,1.31e+08,1.32e+08,3.24e+08,1.75e+08,3.91e+08,1.79e+08,3.08e+08,3.73e+08,6.45e+08,6.51e+08,1.05e+09,7.18e+08
"O-DG(28:2)",73400000,3.5e+08,1.22e+08,2.09e+08,1.25e+08,1.81e+08,2.61e+08,60800000,3.9e+07,3.8e+07,1.06e+08,9e+07,1.26e+08,1.32e+08,1.98e+08,2.97e+08,2.26e+08,2.65e+08,4.47e+08,3.33e+08
"O-DG(28:4)",4.4e+07,2.89e+08,67100000,1.38e+08,9.7e+07,1.25e+08,1.41e+08,6e+07,23600000,2.4e+07,1.03e+08,5.1e+07,72500000,88300000,1.16e+08,2.03e+08,1.97e+08,2.22e+08,3.08e+08,2.85e+08
