,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D
Metabolite name,10012020_ZLY_84NEG,10012020_ZLY_98NEG,092920_284ZLY_284NEG,092920_284ZLY_329NEG,092920_284ZLY_349MEG,092920_284ZLY_374NEG,092920_284ZLY_382NEG,092920_284ZLY_417NEG,092920_284ZLY_421NEG,092920_284ZLY_424NEG,092920_284ZLY_432NEG,092920_284ZLY_437NEG,092920_284ZLY_440NEG,092920_284ZLY_441NEG,092920_284ZLY_459NEG,092920_284ZLY_463NEG,09302020_ZLY_471NEG,09302020_ZLY_473NEG2,09302020_ZLY_475NEG3,09302020_ZLY_478NEG4,09302020_ZLY_QCNEG,092920_284ZLY_QC3NEG
DG 23:1,0,0,0,420688,1166319,0,661685,1556896,4027492,6319344,10433585,3808135,8132642,1394592,3008676,0,4928028,338091,952647,2860197,3342189,1853544
DG 29:0,0,0,21461298,0,0,0,9346,339461,1561556,46021,2125448,1927132,1502506,0,3688674,0,177809,0,0,1027291,0,37421
DG 32:1,0,0,327279136,2408983,0,301134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 32:1,296685,0,293360832,1946085,0,0,0,0,0,8455,0,0,0,0,0,0,0,0,0,0,0,0
DG 32:1,0,0,569503424,4893528,1188198,0,580966,0,445993,0,291205,0,0,402331,0,0,0,0,0,0,0,0
DG 32:0,0,0,27460606,2787295,1388228,0,637040,2130276,16599431,17514220,14918679,7211717,25107724,3514581,7061812,0,502528,91264,74998,1112892,247777,2357144
DG 32:0,0,33624,22878590,0,481911,0,0,0,1645260,1335842,1427091,1139524,2456885,63972,1646424,0,2558340,0,1472945,410477,7522574,338602
DG 33:6,26802,302046,0,4704476,4484696,0,2102414,10088462,18894652,18242878,20801564,7598042,18764084,7959858,1801274,0,13593193,7758332,14553579,19168496,13445569,8653761
DG 33:6,1069379,959736,0,653961,1116420,0,1341862,629360,2958526,5582900,5005286,9033551,3455711,1782834,2299623,0,4429362,2129303,15590213,4069174,7727724,484558
DG 33:6,0,313003,0,5385954,26727348,0,1286495,7961434,19043710,8728668,24444634,20934682,25022066,8955341,4140132,0,7298278,1613607,2868276,3098214,2467784,5338427
DG 34:1,0,223271,500373216,14555686,477175,1307225,0,0,78937,0,0,337032,0,10278,0,0,0,0,0,0,0,0
DG 34:1,0,0,622486976,2794370,431683,233769,787968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 34:1,0,0,572758272,4782982,4181720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 34:1,0,0,178322816,87180616,3911905,877441,367211,716325,322024,0,1051981,9321,0,0,0,0,0,0,0,0,0,10343
DG 34:1,0,0,628537280,9081485,2107994,2218842,0,0,358660,410228,0,0,0,0,0,0,0,0,10086,0,0,0
DG 34:1,0,0,1017815168,6957497,4380128,285431,0,429444,61394,0,346005,0,0,0,0,369669,0,347404,0,0,322235,0
DG 34:1,0,0,627025920,12798488,1312220,8814,0,0,0,239716,0,0,429101,0,0,0,0,0,0,0,0,0
DG 34:1,0,0,201971792,86750136,4024382,1468591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 34:1,0,0,766660608,37878388,5970364,1220599,635074,619186,0,0,231772,0,0,278585,0,0,0,0,0,0,0,281828
DG 34:1,0,0,658433472,8379024,1206277,3867858,715953,0,0,0,312596,0,0,0,0,845070,0,0,0,0,0,306959
DG 34:1,0,0,778905984,1684353,12633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 34:0,0,260851,992628,769790,2891188,0,2655508,2638441,35698508,29890216,30517844,26858192,32844298,2094190,17226930,0,6568182,2931757,1404402,2397739,1909100,15741116
DG 34:0,0,11530,6386118,6767316,15507738,0,1229999,2344362,7093588,29890216,6651800,6321799,21803816,7484636,17076504,0,2820967,2931757,3604418,1126592,4069608,3161609
DG 35:6,0,0,889567,89750,0,8535,0,377596,48473,0,0,0,17988,236207,496930,603513,13321700,1826416,1364107,1084299,3782488,269769
DG 35:6,337622,0,304118,3514005,1314312,0,159494,4713378,3646893,7193454,12567882,8412921,9238913,894957,2543702,0,959448,311929,1336855,961408,1246707,3835057
DG 35:5,0,0,0,0,1066180,0,0,0,0,0,0,0,0,0,0,0,11303216,0,0,0,901040,0
DG 36:10,4245681,6474734,0,5063456,28164940,0,131832,3701876,3751743,1022190,1931685,1471875,561071,709802,1088821,0,14830617,4449246,9518145,16128720,1827572,337104
DG 36:10,156735,0,0,482246,2540860,0,0,4144360,22613540,10743595,16764306,17741948,13003036,14775500,15033990,0,201493,172989,72909,305359,0,9640044
DG 36:10,3730707,5389368,0,3817403,24838588,0,0,2530380,2283054,475413,724894,1652658,1276441,505753,1149506,0,15081506,3345358,6747340,13723437,8109408,710905
