,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D
Metabolite name,10012020_ZLY_84NEG,10012020_ZLY_98NEG,092920_284ZLY_284NEG,092920_284ZLY_329NEG,092920_284ZLY_349MEG,092920_284ZLY_374NEG,092920_284ZLY_382NEG,092920_284ZLY_417NEG,092920_284ZLY_421NEG,092920_284ZLY_424NEG,092920_284ZLY_432NEG,092920_284ZLY_437NEG,092920_284ZLY_440NEG,092920_284ZLY_441NEG,092920_284ZLY_459NEG,092920_284ZLY_463NEG,09302020_ZLY_471NEG,09302020_ZLY_473NEG2,09302020_ZLY_475NEG3,09302020_ZLY_478NEG4,09302020_ZLY_QCNEG,092920_284ZLY_QC3NEG
DG 41:1,16240661,45383192,34583104,560615424,19672766,59149396,220485216,36919900,18770710,229291136,11511804,18942070,18651468,4714252,13927178,116698056,221800672,27364722,31144582,16646985,239301104,22623720
DG 41:1,44041776,26889250,43481,26047402,72435024,53212092,118910536,138826192,163402704,96528304,36984164,33765024,22688254,22674792,24543010,133060664,237587200,244040416,249569776,259667152,242958352,21416698
DG 41:1,55329052,57560184,43609876,109428032,320683232,46206876,304645792,302562368,248589584,244648096,186274144,264553760,256555408,269977472,216085216,16555386,371538816,236618976,325870272,255383168,359931872,153049264
DG 41:1,35149656,222680192,8347340,47172112,80553888,117236504,35427012,34791828,39889760,35110112,37222504,38788340,89949480,39173820,149827760,32024682,57826100,146617952,60105396,121545864,53315656,90300096
DG 41:1,74412656,318670464,3380288,60618620,136023312,120248856,196680336,247827904,242317104,185459424,280271232,46776896,56036124,61785652,55938516,17105062,37390812,40629320,63786188,67332920,36048372,29306436
DG 41:1,62479548,73774096,175144400,581476032,33439890,225215104,61297352,29785194,19535372,40385228,11048122,15551428,19098468,14281964,24473988,127554112,42539216,13416914,15728809,10504348,25528002,22255468
DG 41:1,135332016,24472202,6217354,40570924,14486410,35645240,155806464,176969120,143971776,47944344,156486880,185649440,84505376,195601488,149795328,44174472,265103776,218617792,201896768,139723936,229512624,54887248
DG 41:1,34439608,120764856,46998432,84342976,21585138,166474144,31638376,131714880,35695200,13392991,202106288,62278620,196831888,76302400,31072928,11971018,67140864,163608544,193262368,141439376,278569920,13280534
DG 41:1,22764604,36398828,4526346,52679336,47148136,25616460,21781534,22183920,21355468,22131366,23059292,20110354,22672756,22109278,21642126,34349868,289113888,344361408,304260608,330827776,280426528,42581300
DG 41:1,47234140,14909308,18434678,33195798,25538086,22910278,52467416,45732128,25732456,41999480,26943062,12488059,59786416,67489496,57017996,16624699,220481424,255484448,217304752,233677504,205948944,48309132
DG 41:1,31923900,34682064,46998432,33320322,91220640,29065266,31638376,32506096,34496664,178505808,202106288,62278620,210599888,76302408,46700348,11969736,90273056,46294196,193262368,141439392,44852936,49019016
DG 41:1,18794144,71110192,3489113,61209828,27786034,45199656,46270968,43126832,24914416,70796256,44095528,26777246,60409956,95328864,17392474,65884312,274492064,340063552,304830176,376491808,377429056,15583402
DG 41:1,206075168,216421296,29454154,50323212,291565344,46971512,274870560,240958512,219509648,294162528,226236352,217929136,240012128,260687808,250839200,14099842,358088448,317194496,318141824,312112832,301928352,216879376
DG 41:1,50252992,12532655,19246082,21813266,37249604,21795598,54187504,25382956,29980242,18490944,19734616,83485848,31258650,20810908,66945808,20183890,111215664,192463808,186022624,17416476,205909232,28682776
DG 41:1,58851560,237190752,29146776,17832108,36785276,12137520,46728348,57824292,34281572,51816832,61817424,78402312,55241832,54498124,66936936,11501838,16764086,42720284,80248000,88627880,50654140,27394890
DG 41:1,406782624,331366528,1370315,67947912,191472640,24467186,221196960,295313216,266176176,183691200,282160320,58766888,53692164,57493500,44274652,15051923,22708540,22843460,21750494,59593596,57927512,47940692
DG 41:1,8758400,17600450,9159828,13731340,12413610,18868308,20695876,112674936,112981504,104653192,124915704,111628088,114879040,98009008,114251344,90326352,4392180,4676156,4497324,4770274,5182418,105712424
Cer 46:1;4O|Cer 27:0;3O/19:1;(2OH),1002,5625,131863272,0,0,0,45196,0,0,0,96453,0,35794,0,0,0,0,0,12460,0,123630,32904
TG 53:2|TG 18:0_18:0_17:2,43504600,19101452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TG 53:2|TG 18:0_18:0_17:2,0,0,0,0,0,0,0,0,0,0,0,0,3766,0,0,378149,22249064,65541272,71952760,78847888,32501846,45216044
TG 58:1|TG 20:0_20:0_18:1,0,0,34859,5559508,7722115,12950802,11305748,14004281,64840876,54543068,53555980,62996836,59683228,56682936,58138140,60443144,1133116,850020,731273,1004534,2634290,76408072
TG 58:1|TG 20:0_20:0_18:1,0,0,1800691,11549639,14796303,67436528,62216136,56245932,64840876,54209256,53555984,62858192,59683228,9882752,9955330,7444601,19995,16720,0,14910,15962,9783472
TG 58:1|TG 20:0_20:0_18:1,74319,409231,596494,1410943,4940719,7009688,5404383,5742492,6087928,6000536,5624250,6715483,8438489,7917052,8714382,9933970,58289180,58743520,66267444,55752716,62938804,9271406
TG 60:2|TG 20:0_20:1_20:1,0,0,0,16761915,3563200,26018986,21970686,5872435,24222054,5471543,18013328,8469866,3966080,3061379,3448930,1777364,65741,171010,879923,369440,350892,2778821
TG 60:2|TG 20:0_20:1_20:1,0,0,0,2917513,9317962,5680921,5857034,24741934,16775773,18925490,11615223,22374088,22606934,20373486,22579862,4632193,1740182,1798303,909110,2542697,1806663,25866708
TG 60:2|TG 20:0_20:1_20:1,17783,81758,0,1316484,2784753,4179128,3113708,4326278,4294439,5133478,3818413,5304304,22832206,19870578,22579862,19403106,4633890,3844528,23864218,5364043,20269626,24891338
Carnitine,5801042,275187744,292511744,293922592,311593312,314095040,319744960,271113568,322397216,292931424,334411616,299739712,273481056,322741536,299787168,314627840,10766871,15376669,2611929,9181929,10115546,289618016
Carnitine,13029831,13460134,11379293,13801631,9917868,21938782,18785730,15523935,24340072,7339674,15334432,9493492,15207014,38958880,8083305,19444504,11207111,6044574,14285408,10152139,5933382,11761332
Carnitine,1792180,6126362,47794720,7744475,46577892,48186636,43473532,45316404,48609448,47277308,44091788,47687608,49012780,52406960,52678420,39918324,4880641,3393840,1421711,6359368,10193148,47830788
MG 18:5,0,6025766,313594,231060,656724,0,192789,432387,3948256,8935386,5004634,8131350,7006742,1325243,3063723,0,0,0,0,0,0,5627336
MG 18:5,0,188555648,55147204,25074290,26560322,61142776,66327336,0,75761776,47340988,53901192,216210448,87650888,44645968,56443312,89457120,0,0,0,0,0,46235436
MG 18:5,0,193673952,135293568,237572960,148553232,235658112,130742576,23251778,253059104,77025312,202682080,48707996,79885408,178385632,243467136,142159856,0,0,0,1462205,0,63440444
DG 16:0,0,19722198,14501541,11084136,6920828,2800224,1467802,667568,3613746,23178534,9049943,17847326,19272298,448846,10381948,27195382,0,0,0,0,195006,17516114
DG 16:0,14900916,0,0,0,0,0,2998,0,0,28636,0,0,0,0,187737,0,87730920,0,771801,3118360,3169798,3310
DG 16:0,0,10791355,0,0,2795332,0,0,420530,2291280,15494092,7429321,28438526,15866096,1118919,2662384,298033,0,0,0,0,0,17365066
MG 18:3,0,481286848,490933856,493801856,466755744,480450688,443914208,413102624,234844272,440918368,263301632,73137016,497393280,72945320,253461584,516991552,0,0,0,0,0,476624320
DG 17:0,522489440,0,0,1594,0,1919,0,12828,0,0,0,0,0,0,0,0,19741434,229768048,362288224,102773152,171978976,1775
DG 17:0,0,284919328,0,47584276,71914992,0,28717434,25020424,38918196,9513877,141728464,180633168,53960064,39794264,82938288,5014091,0,0,0,0,0,170545248
DG 18:0,0,40391528,0,15044833,20052156,0,884554,23961,13981458,64202036,31115952,50196996,31719892,3777168,30245910,11505325,0,0,0,0,0,49710036
DG 19:0,0,104300288,36581904,48604348,50905960,39150632,25874756,3965483,26404750,77334624,31586798,105330264,83008432,19419402,53097820,71732352,0,0,0,0,0,29799374
DG 19:0,865886,10090405,13674197,4141102,5515940,4711522,1772682,369614,4365336,8910934,4166435,9996058,8639408,5104174,6056630,7632650,0,0,0,0,0,10393709
DG 19:0,131677176,0,0,0,0,0,0,0,23691,0,0,0,0,0,0,0,202469552,88881016,137050672,74233896,123669520,22501
DG 19:0,0,104239088,166358800,48486872,50905960,39122336,25851656,414691,26379856,77354664,31586798,105263440,82948936,1887699,11258552,71618288,0,0,0,0,0,108403352
MG 21:2,0,60978952,1044046,16838274,29878268,0,8874682,4248897,79150256,122458616,91033728,69253032,174275376,6207223,39356348,8152302,0,0,0,0,0,55882612
DG 21:0,0,78858232,96966960,134011112,135628608,98903456,69395608,11458723,70490568,202189328,81274336,248147664,193902640,50027816,122660672,182733840,0,0,0,0,105609,65708512
DG 21:0,0,6142104,9070253,2320775,3580988,2118923,2199218,0,2083608,7452822,2458840,6865668,8295687,1903714,4235349,3388612,0,0,5661,0,0,7461354
DG 21:0,379950976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838209152,266587536,645729856,357944160,584727040,0
DG 21:0,0,288067616,450620096,134011104,135628608,98903456,69366304,1657945,18372080,202189344,81274336,248147664,193902640,5179998,24850916,43787100,0,0,0,0,105609,289634464
DG 22:1,0,1902339,148484,1314837,1111787,160319,354822,722958,1170813,369830,371274,945120,235920,182345,240925,937285,0,0,0,0,0,1404316
DG 22:0,375787136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544298560,176144000,374867776,216972912,322547136,0
DG 23:1,0,127338496,144632704,24389562,75891640,137295872,54904416,5998225,44777508,56090028,49476720,52981740,61777748,47993608,49271204,126744736,0,0,0,0,0,59855060
DG 23:1,0,84729672,112128576,154170656,47363204,137295872,54904416,37448120,68762896,72204272,61508060,68629200,100426080,47865780,47756212,72081520,0,0,0,0,0,74034336
DG 23:0,61370892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61785780,25271982,60896988,37214456,62961200,0
DG 23:0,95179,48584756,80042840,23100192,25558046,20757590,14224612,1778450,15889092,46538488,18652612,58614748,47249644,11121158,29790978,47660156,1184311,0,0,0,0,59881396
DG 24:4,0,52161528,52597672,45571336,40567124,41806644,42689104,41411832,44151072,47954748,35201484,58466340,51600696,43955600,44116376,52764508,0,45455,0,0,0,58287448
DG 24:4,0,41139440,43007948,17692288,10776424,14962578,13430131,2990449,11642115,44315044,24621524,36549112,40822584,4762956,21520428,41088976,0,0,0,0,0,33464260
DG 24:3,0,0,137394080,84929048,50847840,78069184,57401384,17062724,10533950,34534272,67602936,117872408,84624312,50859424,18433978,56760320,0,0,0,0,0,106929304
DG 24:3,564040256,0,0,0,0,0,0,0,0,0,0,0,0,4932,0,0,90119344,58463092,146078112,60527552,37713032,0
DG 24:3,0,0,229191248,353304896,267025632,705122816,43314608,130752032,44023692,47604812,740760192,54450972,67324328,590693504,42907008,685613248,0,0,0,0,0,118481224
DG 24:3,0,0,238810384,353304896,267025616,705122816,46896704,17674600,44023692,47604816,740760192,306798528,368762016,590693504,42907008,685540672,0,0,0,0,0,33977476
DG 24:3,62696448,0,0,0,0,0,0,0,5632,0,0,0,0,0,0,0,422230816,418298240,940942400,358710496,480791744,0
DG 24:3,0,3371529,3095551,11963770,2408564,3170736,1898451,2229911,1878378,579479,16909718,1445375,2711714,1393972,34227644,2887013,0,0,0,0,0,74826328
DG 24:3,0,0,0,0,0,6217,0,0,0,0,0,10321,0,0,0,110849,0,1452699392,0,0,76795896,0
DG 24:2,82471560,0,262779,0,0,0,0,0,0,229017,0,0,0,188561,4774,0,0,0,0,0,0,0
DG 24:0,0,202115,239893,4022883,8318817,173220,1743930,0,5938844,33672988,15934630,28226590,7105646,1866686,1169874,44484,0,0,0,0,0,15993779
DG 24:0,0,8601912,0,4364650,10235911,169885,1082486,1160658,9102357,56563152,28015282,61184520,84917896,5082970,17666062,931468,0,0,0,0,0,2647956
DG 24:0,0,545569,0,123522,401442,0,783005,5614,5564969,30690512,17435792,25538660,32122506,586967,7992024,1323864,0,0,0,0,0,15150667
DG 24:0,17487384,0,1553,0,25826,0,0,0,0,0,0,0,449890,0,0,0,72906208,39367572,132077176,81007856,63414196,0
LPC 15:0/0:0,0,515018,7745680,0,0,277718,0,0,0,0,0,0,0,0,0,2578,0,0,0,0,0,4483240
DG 25:3,0,0,73793608,28477968,71318224,115470864,20451836,6580445,0,12852020,103335928,69980344,80529296,94751112,21102452,57052724,0,0,0,0,0,12209169
DG 25:3,0,0,73793616,113622840,71318224,115470864,20451836,13763753,0,12852020,28187372,69980344,80529288,94751112,21102452,94739632,0,0,0,0,0,37809480
DG 25:3,5859082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39666392,37863064,88354408,26142524,40455128,0
DG 25:3,50972940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6581250,4347597,9457381,2662017,964719,0
TG 24:0|TG 8:0_8:0_8:0,0,34091560,133386792,74622248,69025944,54683748,84303232,17193168,64913488,26464884,32195470,47068632,20989262,34199940,17288640,52851344,0,0,0,0,0,109366192
TG 24:0|TG 8:0_8:0_8:0,0,212279,0,0,0,0,2492,0,78457,2614149,4550,2414410,3427046,0,638198,0,32867834,27063602,97568112,54539412,28744694,68447
TG 24:0|TG 8:0_8:0_8:0,0,70654696,26298034,15775044,69025944,58908092,17984988,78139856,64913488,26593494,36176304,7202382,87638240,60763208,17288640,52851344,0,0,0,0,0,20788892
DG 25:1,59327084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689319,0,39544256,0,9026752,0
DG 25:1,137041808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221499312,288696352,141432816,92228480,138083248,0
TG 24:0|TG 8:0_8:0_8:0,73858,0,0,0,0,0,0,0,0,253157,0,0,0,0,0,199584,44927840,32127960,81017240,38152404,26729148,0
LPC 16:0/0:0,0,141206000,870264384,93732040,53513220,182739056,220525040,13195660,22367494,57370128,169055488,44132448,68617624,22278568,124247584,72504104,0,0,81557,0,0,173062336
LPC 16:0,0,15137899,101370488,6983704,6511298,46037912,25021324,955297,1994338,7687922,17372812,6739014,11060459,1095602,15687898,8070402,0,847634,0,0,0,61225428
LPC 16:0/0:0,8624052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3748045,4149257728,89730192,41946228,150650368,0
LPC 16:0/0:0,2504871,0,14519,0,0,0,0,0,0,0,0,763,0,0,0,0,16732729,1181377664,13494579,15823920,292565344,0
LPC 16:0/0:0,1202058,109184,0,0,0,0,0,0,0,0,0,0,0,130790,0,0,6572002,3853034496,4025978,977459,60755208,0
LPC 16:0/0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292912,255288496,0,1318299,15253056,0
LPC 16:0/0:0,0,141206000,868895488,93732032,53513220,182538816,220427968,13195661,22367494,57543872,169015392,44132448,68617616,22278568,30567658,14857901,0,0,9392159,4131517,0,594135360
LPC 16:0/0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49085820,0,0,0,0
DG 26:4,26280138,0,0,0,0,0,22769,0,0,0,0,0,0,0,0,0,93529896,100769272,96676904,75437072,94510440,0
DG 26:4,0,27116,109870824,24642188,47566924,105033176,29173732,30744792,1059417,5558578,27697594,12873602,98025064,109038240,2329910,104317344,0,0,0,0,0,12748055
DG 26:4,0,865506,109870824,108128232,28041274,105033176,29173734,30744790,1059417,9251672,112913176,20831636,98025064,29089460,173454,104317344,0,0,0,0,0,12748055
DG 26:4,0,0,145459376,182170096,47185548,172688464,46483028,27639134,6155228,37019864,151488832,75178432,146629872,153448736,15322295,163437824,0,0,0,0,0,40556176
DG 26:4,96998496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12407987,8155654,11591235,6851050,4313016,18327
DG 26:2,0,197899184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG 26:2,150874064,0,0,0,0,0,0,0,0,178288,0,0,0,0,0,0,0,0,0,0,78863,0
DG 26:0,5695888,0,0,0,0,0,0,0,0,29036,0,0,213153,0,0,0,144520144,111535480,252660304,193728480,145108688,0
DG 27:4,0,0,15719974,19511784,16010112,78337336,15527758,2692665,0,8188104,51226588,5050338,66155576,35128820,9158741,42802924,0,0,0,0,0,4378922
DG 27:4,0,0,73131816,90368936,13104712,78337336,15527757,14305520,0,14299349,39635600,12478435,66155580,43648080,2007177,28187122,0,0,0,0,0,11613452
DG 27:4,29650380,0,0,4688,0,0,0,0,0,0,0,0,0,0,0,0,34063612,38111044,29103326,26845664,35721820,0
DG 27:3,0,2012226,2657360,19228600,2029734,2334757,1388294,1210659,2306945,2700371,28113170,2132008,1796117,1417361,46809800,3502935,0,0,0,0,0,125531664
DG 27:2,0,0,1441230,4875302,3899369,3730942,3646642,4653932,4465451,4812922,5667377,3981953,850591,5188974,4488292,5635362,0,0,0,0,0,5310196
LPC 16:0,266416,18189,730,0,1407,0,0,0,436334,0,0,54679,0,20326,0,24081,35042256,5406762496,50010664,41274468,299196224,0
LPC 16:0,0,0,20825,39393,0,12459,0,0,55335,0,0,0,0,147690,0,1061,0,393407872,0,0,22635554,79978
LPC 16:0,0,7760087,58395680,5934267,2093474,12552832,14748182,233008,0,356278,7771285,1411704,1462272,0,5144415,1820956,546532,16577,674699,1534512,0,43289656
LPC 18:2,818530,1758924,1997579,3634208,1101336,5332292,901718,3763964,922187,3587030,2549226,4655353,2519643,2450097,8254757,1438448,367681,64668364,121666,415133,2567576,3144671
LPC 18:2/0:0,774058,8349986,41001448,4600213,2899465,17274848,9136358,1008997,793965,2937322,13349471,2935856,5620054,5038786,7475680,9956728,609378,0,173263,0,1383678,77720856
LPC 18:2/0:0,728538,4747942,938017,7972746,2881570,3631250,1037281,6738559,4279740,3882615,980468,2951732,6520672,3776882,3447554,5028228,13587,1018761920,1007577,663980,5497774,2692139
LPC 18:2,0,650044,10254088,2214032,862400,6306986,5310626,4647686,894825,798825,3032690,5850770,3531609,4500828,5035218,1147572,0,202696,473319,0,106640,12961658
DG 27:0,29322956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40475388,16260623,36101532,20348036,35878536,0
LPC 18:1/0:0,9625704,0,0,0,0,0,0,0,0,0,0,0,67396,0,0,0,8711943,817824256,5325244,14415478,56420664,0
LPC 18:1/0:0,10943,57711248,362136000,11172399,19888846,75955408,75159096,2775649,8436432,34350800,48303464,31492930,42697500,5730578,43805332,27357876,88066,0,0,243335,92822,129363968
LPC 18:1,125022,17962544,68516600,5152297,4320602,30152860,22069084,892039,3012406,12314236,9208331,11052795,15777709,1424718,9206761,5400031,5232,0,0,314011,0,32646494
LPC 18:0/0:0,0,86598056,755109888,61830928,38934772,232741696,202267328,1746508,6408458,47729772,150756480,13647222,17879732,3371684,18339666,5398417,0,0,0,0,0,484807936
LPC 18:0/0:0,0,8479042,100794016,12315945,7118662,45089548,50903976,6422855,6408458,47729776,150756480,13647221,17879732,14104106,110810896,37081916,0,0,0,0,0,109248216
LPC 18:0/0:0,7227832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397923584,0,0,54190184,0
LPC 18:0,0,2619482,60039908,416554,891109,17113926,10048517,0,173386,894473,6017204,0,0,527266,5918304,0,0,0,0,0,0,23391512
LPC 18:0/0:0,869759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2355952,848555648,4629798,633880,8144043,0
DG 28:2|DG 10:0_18:2,0,2031211,14749176,3313116,119960568,25873252,167628832,173217808,9592558,15169931,16445250,63407520,299389408,66115012,295363648,31027358,0,0,0,0,1461850,4996058
DG 28:3,6617624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31703174,58127140,0,9887027,16395510,0
DG 28:3,0,32885904,36291992,36521900,32840590,28384718,5068553,3838190,3834182,3094467,607308,5858490,843418,453049,878982,726382,0,0,0,0,0,33939776
DG 28:3,0,3873674,6380660,8671677,32840592,28309670,29149442,32298072,6764908,5693192,3720342,23227166,3444411,2840317,2152776,1026244,0,0,0,0,0,33939776
DG 28:3,0,814060,2271754,3213222,3133342,3650747,4564136,5466996,33496198,30216272,29884680,238901280,28630710,30574306,33050072,33061516,0,0,0,0,0,3995845
DG 28:2,0,325637248,131850792,305680288,233545536,493492288,198145776,188759312,203008016,145492176,253796368,157170096,330546848,161605552,199646976,127277224,0,0,0,0,0,114752736
DG 28:2,0,403939232,271719840,305680288,381284896,494402240,218600928,188762512,234729696,198163264,118958056,198018880,332804896,276849600,194478592,291804032,0,0,0,0,0,297178624
DG 28:2,0,325637248,152579792,48616532,62793824,72344448,60795524,14914913,58827076,201901792,101321392,207395312,298073920,161605552,162741648,226374688,0,0,0,0,0,221106176
DG 28:2,853997,0,0,16387394,52397248,16137555,59922024,42464368,81304208,77395184,22632556,69183872,80801616,92912504,113197248,34541092,911525,1117540,149579,1908334,111115,50171704
DG 28:2,0,0,0,0,14023389,15764852,7443896,23878778,23901150,8204148,10293696,3496222,16179566,29964662,6589504,7693086,0,0,0,0,0,21911824
DG 28:2,0,0,0,0,28483808,48262796,41906676,29930556,44900152,67892328,32085412,67530488,5911321,16241563,24990214,30924444,0,0,1924964,0,778767,58028604
DG 28:2,1349021,0,0,10072623,52397248,52668524,60070336,42464372,81304208,77595664,77988168,69183872,80801616,92912504,113197240,142013248,1331345,1509911,1406043,182250,0,16817676
DG 28:2,0,0,0,0,13976859,6611704,41906676,24631904,44900152,14251412,32085412,16004036,39180616,79732552,24990214,24722160,0,0,2628808,0,1092707,15414039
LPC 18:1,0,1435908,18391938,383781,9240,1434762,2738408,0,0,521816,360503,8173,196211,79420,374409,0,0,0,401872,0,0,6510402
LPC 18:1,3021669,0,0,152343,0,0,0,0,0,231390,0,0,0,0,0,0,21390918,716945856,13555432,2572839,78468040,0
LPC 20:4/0:0,0,7808759,61331652,1248592,4814584,83926944,15242670,0,1593543,12651505,8085118,8722978,8043083,394762,9960183,1565415,0,0,0,0,0,32381538
LPC 20:4,0,2886496,36130516,1707524,2899981,67561784,10449517,0,0,3026694,3041877,2144937,2931644,558761,6941851,0,0,0,0,0,0,17465216
LPC 20:4/0:0,0,0,0,0,0,0,0,0,0,14283,0,0,0,0,0,0,183112,176305024,0,0,6505201,0
LPC 18:0,54437,120888,68756048,9567669,81040,14204292,11998229,0,0,0,6885516,0,135099,0,2754471,40196,0,0,0,0,0,39658304
LPC 18:0,11625982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215446144,1186045,2821892,5969505,0
DG 29:1,22101730,0,0,0,195530,0,0,0,0,2114586,588217,2397040,1562420,0,327740,0,40992976,45958736,74960616,77180328,15110855,378439
DG 30:5,0,0,0,11270921,25066304,23413352,14252371,21759580,21792198,27899690,20153798,24050642,28805548,29300594,26716106,31111438,0,0,0,0,0,27724312
LPC 22:6/0:0,0,2576718,13980832,0,24605,15716433,3332756,0,0,841015,1090726,351854,1645676,0,1629435,221990,0,0,0,0,0,7649428
DG 31:4,2194494,0,18785936,43381948,6595527,23084926,1444962,2969486,19764,5705209,7992038,7707829,18070100,32515646,6078755,10672365,207641648,311652192,466566560,297809056,1435965824,4641471
DG 32:8,0,7794349,6092444,8058199,4658022,5314158,4846242,5790099,4913524,4077324,6030160,5408342,4801369,4427780,5627252,3668646,0,0,0,0,0,6116316
DG 31:1,24943044,1345538,0,871744,1930882,0,129956,0,601582,5972018,3615297,1143246,6060524,636964,1079966,0,46208336,58726524,58304300,78152592,46751652,1181797
DG 31:0,0,54336600,1381182,11577961,1610796,2049804,1469356,917381,438733,1749910,13821682,5796880,2723512,72492,3422008,226285,0,0,0,0,0,11335500
DG 32:0|DG 16:0_16:0,0,0,0,31843934,0,0,0,0,0,0,0,0,0,0,128976,0,0,0,0,1667818,0,0
DG 32:0,480084,0,0,0,0,0,0,14327,0,0,0,0,248348,0,13283,0,9462471,12932841,11315404,10992282,766952320,0
DG 34:7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134409024,0,0,5677668,0
DG 34:7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64195560,556718,0,1281648,0
DG 34:0|DG 16:0_18:0,0,0,0,28575666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160247,0,1434838,0
DG 34:2,0,82623688,57829228,77865376,50979920,46071740,52096144,52839180,57029948,49432248,145859456,40298028,48732080,34097972,56399892,105573360,0,0,0,0,0,71361816
DG 34:2,154717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4785562,70581040,11875531,3826631,188141,0
DG 34:1,0,0,0,0,0,0,0,350288,488906,43726692,754350,6188452,14039148,0,7110768,0,32770,0,0,0,0,7292257
DG 34:0,317589,0,0,0,0,376045,0,0,0,202695,399636,0,471292,446818,345602,13057,13478420,28860056,23277616,23496796,993711872,0
DG 34:0,12889531,0,0,0,0,0,0,0,29867,296949,12492,322262,29815,446818,262523,104442,111989168,176761792,141947120,139974560,144431584,273827
DG 34:0,158490560,0,0,0,0,0,0,0,0,0,0,295120,0,0,427081,0,18861910,20917838,14852443,17941498,19465808,544742
DG 36:9,287989792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209474272,234732032,572085504,630345216,416734432,0
DG 36:9,0,0,15471446,0,337990,2655149,0,0,0,0,21806342,9444437,31138126,38520864,18803264,410269856,0,0,0,0,0,16010606
DG 36:9,0,0,0,628480,656151,20543146,24146716,87716,2262418,30236674,627534208,132688616,96105192,47878208,5618826,7778198,0,0,286561,0,0,3459612
DG 36:9,0,0,0,0,534144,25111382,20568238,613668,14943108,36425704,639053504,131821616,78797360,32277438,1266510,7778198,0,0,773073,0,0,1579398
DG 36:9,0,0,6347677,1855500,15260664,464872608,5456181,339730,2895944,24871708,6798382,3086111,7836010,8480760,0,7664534,0,0,0,0,0,341214016
DG 36:9,0,2282481,7775740,0,1124062,149928320,0,0,0,0,1708214,0,1712632,126440,1614493,77260,0,0,0,0,0,19053452
DG 36:9,0,0,6318260,0,0,26031486,29710370,0,1305250,7176068,64392804,101933632,182169664,106194888,49084656,27329562,0,0,0,0,0,141508
DG 36:9,0,0,0,0,0,94490792,5669907,813573,0,56037,19473628,22132754,25331228,45174832,10096476,87892360,0,0,0,0,0,9038481
DG 36:9,0,132041,52866,0,5714266,34728400,16818916,1218472,14943108,154038256,82485352,20213124,32849716,17846316,0,7538866,0,0,0,0,0,8968930
DG 36:9,0,0,1460061,793214,0,0,0,0,0,0,42567508,42464552,40690336,241447072,32121930,34084804,0,0,0,0,0,0
DG 36:9,0,0,4538978,0,0,1480328,0,0,38134,15305979,193641504,263739360,76154488,45880972,4305740,9946038,0,0,0,0,0,0
DG 36:9,0,539654,23514366,0,6187058,90449696,0,0,950806,0,3862554,2159404,0,134543,0,1161150,0,0,0,0,0,25691366
DG 36:9,0,0,28441184,0,0,10530933,26654106,0,0,1750688,46544920,52267872,253258624,815408320,35168636,57673932,0,0,0,0,0,6312446
DG 36:9,0,0,868909,0,0,6006463,945762,0,0,20353474,452644832,36507772,47286716,26268136,941100,5879784,0,0,0,0,0,0
DG 36:9,57366552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155858656,41665844,94432896,157170656,82680048,0
DG 36:9,91816496,0,0,0,0,0,0,0,66517,0,0,0,0,0,0,0,305831936,107933344,194594352,257896800,178139584,0
DG 36:9,0,76682512,8908189,6299142,21138592,16362750,197291,0,12002,10030002,4148320,0,97069,1861135,0,0,0,0,0,0,0,38452412
DG 36:9,0,0,10311401,0,16303464,57448524,0,0,0,176627,0,79384,99879,5290252,0,5386455,0,0,0,0,0,57082776
DG 37:7,204094368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176539200,195307840,47496548,141051872,95209288,0
DG 37:7,187560736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22520074,114788392,13515028,25082984,10603467,0
DG 37:7,252904992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73645664,52231720,36210924,57156300,25581794,0
