"lipidName","SXY_FDUhhuang_191_pos","SXY_FDUhhuang_197_pos","SXY_FDUhhuang_221_pos","SXY_FDUhhuang_270_pos","SXY_FDUhhuang_283_pos","SXY_FDUhhuang_428_pos","SXY_FDUhhuang_429_pos","SXY_FDUhhuang_430_pos","SXY_FDUhhuang_433_pos","SXY_FDUhhuang_439_pos","SXY_FDUhhuang_444_pos","SXY_FDUhhuang_445_pos","SXY_FDUhhuang_450_pos","SXY_FDUhhuang_454_pos","SXY_FDUhhuang_461_pos","SXY_FDUhhuang_464_pos","SXY_FDUhhuang_472_pos"
"DG 48:7|DG 18:1_30:6",17024,2594654,3704,14880,28458,7495,40299,89271,117533,690094,102155,2387,6435,120773,970498,16183,10166
"DG 50:6|DG 8:0_42:6",53757,3243,16155,1337068,45303,22600890,952168,34410,125007,4458,4715662,721,17223,1877656,3319052,2364,10668
"DG 50:8|DG 18:2_32:6",36042,85258,9687,449840,10274,1421727,489971,70551,299256,204171,814290,11851,17486,909542,868627,20296,30924
"DG 50:8|DG 20:2_30:6",5920,206524,36732,70893,54024,1020096,60626,152690,93627,112893,950220,15074,29503,24065,565337,19028,16469
"DG 52:6|DG 24:3_28:3",8234,19162,71,111625,1028,21231,96309,652723,60376,16858,19374,NA,292,89440,27992,672,818
"LPC 20:0",20452,88024,17375,25941,133679,45454,32152,22554,484678,12734,133533,813,2115,144116,43970,26968,18247
"LPC 20:1",13418,114720,16904,38648,108909,29221,133134,56412,331753,37830,111119,3181,16605,109745,75058,18612,18198
"LPC 22:3",1832044,14671034,2016612,11721836,5871913,681617,2472488,1274553,11948541,2068856,20082446,9141937,2805142,10973469,16080629,5833565,4872186
"LPC 26:0",43401,37605,20349,101746,527964,56715,136908,114651,440136,349889,253770,21534,237710,255741,150636,25309,8986
"LPC 26:1",62048,598486,23727,87891,627272,13737,344118,21632,1496032,51040,5363,20686,137765,46668,23361,5152,7162
"LPC 26:2",101440,72561,81915,111181,158370,6134,89278,177446,76947,122418,67316,31352,72103,131065,97508,94181,67268
"LPC 28:0",227345,50956,196284,327280,205161,199047,144645,185084,187018,49370,460461,182190,161926,295100,153609,131841,53266
"LPE 18:0",134369,46818,84327,10006,97844,236194,120043,17927,378856,57244,146365,9729,23782,163277,124783,54529,107418
"MG 14:0",16120,8798,927,14371,16314,4627,19043,27672,5804,17785,NA,5849,12687,12144,34840,7552,760
"MG 16:2",18,6024,616,62556,NA,62226,24235,21288,3452,2526,304710,656,1029,231,108228,326,21
"MG 18:0",851021,519911,976387,1724586,1294518,1672523,3096150,1522665,2259902,1010289,2773634,329438,408599,1304667,3194079,325478,765304
"MG 18:1",10933,500754,793,1456587,3702,1635437,2340333,241840,52495,499020,4840560,1118,2606,159001,3569970,48701,4190
"MG 20:0",109709,105884,119325,77929,261430,53162,127350,165578,99512,245961,2645,83914,110980,170951,238522,160210,157266
"MG 22:1",235405,102384,340902,230650,500883,15672,175497,307312,220838,127661,19929,254638,379482,324903,210777,375509,381382
"PC 28:0",242001,458676,114335,319683,347089,60018,684254,677743,1744399,279681,497668,133812,403963,1513388,177821,231779,197689
"PC 30:0",654453,351974,208607,529024,816122,22034,1132016,711916,584891,246516,212977,926780,1524959,878990,147578,737196,646928
"PC 30:0|PC 14:0_16:0",27480718,45116432,12621903,18390944,30601608,8020580,39621720,25955136,61705560,24205242,22582780,14253722,38650404,48152132,20786162,13508336,14957002
"PC 34:2|PC 16:0_18:2",119513920,568404480,32453304,67193488,109566840,14437413,220700352,124098744,1446351232,80452128,116997320,66661256,111679288,154853568,96213912,71644984,62876456
"PC 34:4",296745,774104,116695,196101,362817,35736,1057370,323046,3719966,264739,194985,122580,303375,634428,295090,124217,106205
