"CL(18:2)",1828599011.0865,1094343472.30153,860512043.7035,618663210.269,986734496.61925,1263960287.61057,1382085848.318,836817281.289775,825748865.998,877444529.610475
"CL(18:3)",20834065.33775,13502249.29675,11160842.384,8065821.0475,16273991.803,14435296.53375,19730323.3945,10943080.81525,11407016.9355,10249038.20675
"CL(20:0)",80750000,6.1e+07,6.5e+07,6.4e+07,68250000,65250000,75500000,77500000,70750000,69250000
"CL(20:2)",3225000,4825000,7725000,4675000,5200000,4775000,4275000,3750000,4350000,5100000
"CL(20:3)",232475000,211600000,211300000,208100000,213125000,212375000,234525000,222425000,220550000,222050000
"CL(20:4)",133374488.75925,123798624.2175,120437384.832,116624795.91025,119355529.611,119986166.375,122124390.7915,117164326.18675,122204742.509,121026217.1275
"CL(20:5)",14524488.75925,17253144.05175,13786329.25825,9054222.95625,13705529.611,18011166.375,15937913.203,11524410.093,13428586.633,13132670.52025
"CL(22:0)",6525000,8100000,11425000,7750000,8175000,8200000,7375000,7250000,7650000,9350000
"CL(22:3)",28750000,2.8e+07,2.7e+07,28750000,28250000,27750000,28750000,27750000,30500000,3.3e+07
"CL(22:6)",47963805.785,39196111.49425,36630920.5925,34202517.72475,38868669.565,42198066.7185,43139078.954,37668674.122,40809885.12575,42750659.05325
"CL(24:0)",19500000,17475000,21425000,19225000,18875000,19025000,21575000,13225000,17100000,17450000
"CL(24:1)",93500000,96750000,96250000,1.01e+08,92750000,90500000,95250000,95250000,9.9e+07,100250000
"CL(24:2)",80750000,6.1e+07,6.5e+07,6.4e+07,68250000,65250000,75500000,77500000,70750000,69250000
"DG(10:3)",1896499.324,2684065.768,1546052.373,4138908.17,1302527.033,6900000,1696971.506,1758431.7195,11750000,13350000
"DG(12:3)",393987.0903,11950000,14650000,6050000,13850000,11950000,3476974.7535,8050000,5950000,10650000
"DG(14:0)",158373478.2038,74650000,128500000,144200000,129150000,89518891.681,142702403.181,93165706.699,89653141.3398,75120314.7245
