"CL(70:2)",33600000,72500000,66300000,91800000,9.2e+07,95600000,41100000,72500000,85100000,93100000
"CL(70:4)",61900000,1.05e+08,1.37e+08,1.68e+08,1.39e+08,1.54e+08,61900000,70200000,69300000,42500000
"CL(70:6)",51500000,21300000,15300000,12500000,20800000,27900000,37300000,21100000,14600000,13600000
"CL(70:7)",144302839.02,83024524.587,73261340.3,74700000,99060069.74,111759691.904,100339495.21,62798517.255,51644281.164,65050625.25
"CL(70:8)",8636261.351,5627076.524,4239147.241,3180992.374,5595967.212,7241186.135,8575383.224,4212658.886,2623444.238,3121966.398
"CL(72:0)",10600000,8198953.197,6335166.939,2730095.334,7138551.749,7342672.263,9377006.845,1.4e+07,17200000,1.7e+07
"CL(72:1)",12200000,12900000,13900000,10400000,1.4e+07,11500000,17900000,20500000,28400000,33300000
"CL(72:10)",14700000,9381920.663,6904222.295,6382291.816,11400000,11800000,7145910.354,7459664.375,6304623.504,7074186.429
"CL(72:4)",42800000,1.01e+08,1.25e+08,1.39e+08,1.27e+08,1.46e+08,55700000,96900000,82500000,1e+08
"CL(72:6)",80700000,16200000,17300000,5958015.525,23200000,28400000,48600000,22500000,18100000,15300000
"CL(72:7)",384900000,131845537.6547,92725950.343,67275152.378,127955316.418,161657771.2451,252009130.53,116726113.5977,126760373.367,94511138.6883
"CL(72:8)",1058800000,715900000,552200000,437600000,615900000,8.44e+08,8.06e+08,527900000,482500000,588500000
"CL(72:9)",1.2e+08,7.8e+07,6.7e+07,45400000,96200000,75500000,126400000,64200000,73400000,61600000
"CL(74:10)",82100000,56800000,54600000,32400000,45400000,65700000,35600000,45800000,48500000,43900000
"CL(74:11)",70700000,74285384.791,60483236.39,40639497.231,61397467.734,78700000,75500000,51466081.958,60187894.293,59236462.989
"CL(74:2)",53100000,82800000,76500000,86500000,87500000,78800000,58800000,71300000,78300000,90200000
"CL(74:3)",3.48e+08,3.17e+08,3.95e+08,3.58e+08,3.78e+08,3.39e+08,3.83e+08,3.46e+08,2.87e+08,3.32e+08
"CL(74:4)",227558.1522,3007990.496,5563360.904,2162266.882,5540000.535,4880725.671,227558.1522,1137790.761,1476749.294,2095530.981
"CL(74:5)",3.32e+08,2.72e+08,3.42e+08,3.06e+08,2.95e+08,2.97e+08,3.12e+08,2.98e+08,2.75e+08,2.75e+08
"CL(74:6)",8.8e+09,5.13e+09,5.58e+09,5.69e+09,5.09e+09,5.55e+09,6.87e+09,7.43e+09,9.12e+09,5.16e+09
"CL(74:7)",1573942.091,11500000,27100000,11200000,26600000,3.4e+07,1573942.091,1573942.091,7869710.455,1573942.091
"CL(74:8)",3844598.119,3038601.991,3270489.012,3160367.739,2450299.445,7100380.301,6123184.463,2340528.304,6197785.099,3424651.651
"CL(74:9)",105187077.3088,90110707.719,69959354.23,47955292.12,80956038.189,102226348.89,125403959.851,74885231.743,66564759.928,63336769.817
"CL(76:0)",31400000,36500000,37500000,32900000,29900000,35300000,3.4e+07,38100000,3.5e+07,3.3e+07
"CL(76:1)",13200000,13100000,14800000,12300000,11900000,13700000,12400000,1.4e+07,13200000,1.7e+07
"CL(76:10)",84700000,88800000,92400000,81200000,78700000,89200000,79800000,89700000,1.03e+08,1.03e+08
"CL(76:12)",49300000,29400000,24700000,14500000,26500000,36100000,37400000,24700000,26100000,24900000
