"lipidName","Aml.12_1","Aml.12_2","Aml.12_3","Aml.12_1i.1","Aml.12_1i.2","Aml.12_1i.3","Aml.12_1.2i.1","Aml.12_1.2i.2","Aml.12_1.2i.3","Aml.12_2i.1","Aml.12_2i.2","Aml.12_2i.3"
"DG 38:3|DG 18:1_20:2",215600,238900,253300,167700,144000,151000,85050,90400,53180,158800,264000,275600
"DG 38:4|DG 18:0_20:4",55930,90150,69420,44450,37860,47330,27300,32740,26550,34930,67080,60880
"DG 40:2|DG 18:1_22:1",121400,154500,124400,85360,89440,97880,84140,89890,83540,90500,141400,128100
"DG 40:7|DG 18:1_22:6",61640,83320,64960,58290,57800,58740,45010,50530,54570,38770,69500,70760
"DG 42:5|DG 18:1_24:4",36790,48320,35970,34550,30240,32680,53300,58490,62790,28640,42430,37870
"DG O-34:1|DG O-18:1_16:0",297800,268000,138000,122900,75520,254500,122100,154600,207800,112800,149200,136600
"DG O-36:2|DG O-18:1_18:1",561200,521200,490300,455800,374900,426000,189500,145400,168000,288300,515600,470400
"DGCC 36:2|DGCC 18:1_18:1",1413000,1283000,1266000,1218000,1094000,1175000,1104000,1210000,1152000,1205000,1147000,1156000
"DGTS 36:2|DGTS 18:1_18:1",64740,63760,77180,68120,67900,58040,71830,69490,67390,67720,34170,59870
"Hex2Cer 34:1;2O|Hex2Cer 18:1;2O/16:0",410400,389400,274400,509000,276500,348400,284700,246300,286700,226100,245400,355900
"Hex2Cer 40:1;2O|Hex2Cer 18:1;2O/22:0",181400,168400,129700,260900,122900,170700,111900,115100,151700,122000,122800,178800
"Hex2Cer 42:1;2O|Hex2Cer 18:1;2O/24:0",306800,265800,210500,340000,184600,298600,231100,192100,265200,160000,166500,223100
"HexCer 34:1;2O|HexCer 18:1;2O/16:0",777900,752800,520100,1047000,596100,703600,1145000,948000,1203000,517500,546400,706800
"HexCer 40:1;2O|HexCer 18:1;2O/22:0",303600,360300,276000,445100,264900,292700,364000,304900,397200,200900,227400,252900
"HexCer 42:1;2O|HexCer 18:1;2O/24:0",497200,444300,351700,616700,311600,415800,492400,512800,627800,283900,326900,349200
"HexCer 42:2;2O|HexCer 18:1;2O/24:1",428100,476200,315000,486400,272500,301300,367400,347100,370300,268500,308700,405200
"HexCer 42:2;2O|HexCer 18:2;2O/24:0",401900,453400,281000,448800,266800,386500,341300,332900,350000,261900,308400,395000
"HexCer 44:1;4O",188100,14640,NA,17400,NA,11760,48310,30270,NA,NA,12290,NA
"HexCer 44:2;2O",NA,12890,32820,43650,7037,10730,16260,31750,17020,9096,10080,489.4
"LPC 20:0",46160,43180,50170,43680,48830,57840,64480,74720,68630,33400,41680,51620
"LPC 20:3",41730,61690,51190,80430,90000,132100,156200,154300,172300,56340,97740,122900
"LPC 20:4",41370,54800,56030,41210,44250,60010,40830,37050,40490,25700,38270,44310
"LPC 22:5",53780,75330,85070,52220,89760,72020,68700,59340,59710,49120,47630,41990
"LPC 22:6",42120,51090,34480,64410,51160,49220,34280,37570,54140,29340,60290,76530
"MG 18:0",111000,45300,24780,16930,8997,8414,25590,8756,7491,24320,8930,10970
"MG 22:2",67660,43150,45520,56480,54830,81320,71990,63330,65790,62930,62280,80860
"MGDG 36:1|MGDG 18:0_18:1",37760,54830,39050,58770,44080,55850,55180,53220,56810,40380,51650,36320
"PC 30:0",1743000,1792000,1603000,1634000,1229000,1374000,1202000,1015000,1217000,1336000,1472000,1510000
"PC 34:0",1361000,1380000,1057000,1685000,956000,1156000,1233000,1130000,1469000,954700,1017000,1175000
"PC 34:3",936800,1161000,809500,1295000,1103000,1046000,718100,779500,877300,729200,760800,766800
"PC 36:0",110600,119400,85050,147800,80300,103600,103700,89430,109700,68070,87530,109600
"PC 36:5",134000,163400,57990,81510,117700,124700,247000,186300,264800,132600,115200,138900
"PC 36:6",26220,12410,13460,12550,9698,11230,16160,11770,14700,11130,9400,8904
"PC 38:3",1211000,1512000,1232000,1412000,847400,632000,853900,857700,960200,1355000,1358000,1277000
"PC 38:5",9552000,9778000,7961000,6609000,5534000,6192000,7224000,6911000,7974000,7045000,7546000,8154000
"PC 38:7",45300,41130,39240,46730,41090,56060,60250,64660,74990,29740,31190,38420
"PC 40:2",299400,382100,302100,203200,179900,175900,209800,161800,213200,217600,287300,263700
"PC 40:3",131200,152300,124200,75380,54260,53160,40790,47440,47100,97830,117300,110100
"PC 40:6",592400,618300,584800,495900,501000,498900,690100,808400,783300,424900,591400,520700
"PC 40:7",1199000,1270000,1020000,1006000,832700,995800,1319000,1383000,1444000,995100,952400,1025000
"PC 42:1",36720,42780,39440,48990,33600,30980,63110,62060,56990,21060,35450,27700
"PC 42:2",37250,49170,42170,32850,29440,24660,49540,57530,58910,23040,40270,33290
"PC 42:5",55400,53350,36960,77330,41910,52310,40320,31530,45310,35300,41920,51060
"PC 44:2",4716,4707,1109,5706,7828,2984,21170,18490,15840,1133,7679,2163
"PC O-30:0",436100,457200,391000,563900,407500,464700,472000,451500,532300,330900,366100,401300
"PC O-32:0",1742000,1809000,1332000,2312000,1438000,1605000,1956000,1812000,2197000,1180000,1322000,1573000
"PC O-34:0",329600,356500,280500,539200,289000,368300,465800,353400,466800,241600,273700,319200
"PC O-34:1",7333000,8302000,6729000,9049000,7010000,7109000,6800000,6912000,7476000,5339000,6628000,6479000
"PC O-34:3",606100,266800,243300,349500,212100,219900,315800,172700,173800,62390,200500,251000
"PC O-34:4",66060,70020,72110,82830,83290,80060,78470,96230,109700,58050,74630,68380
"PC O-36:0",36200,25400,25330,47720,27420,40410,31880,36590,46710,22610,23640,9584
"PC O-36:1",257800,264200,220000,307800,255500,267600,321800,287400,319100,209800,100200,246900
"PC O-36:2",5449000,6464000,5039000,7524000,5736000,6251000,5026000,4923000,5370000,4016000,5157000,4945000
"PC O-36:4",2233000,2442000,2287000,2014000,1898000,2055000,1954000,2041000,2194000,1675000,2163000,2042000
"PC O-36:5",1430000,1449000,1330000,1430000,1175000,1153000,1290000,1199000,1567000,1128000,1290000,1305000
"PC O-36:6",6157000,5256000,5681000,6118000,5915000,5395000,5105000,5047000,5554000,5939000,5324000,5423000
"PC O-38:2",257900,284100,196900,286900,179300,220400,168300,139100,148500,179700,225600,246100
"PC O-38:4",516900,543700,472700,526400,446600,492400,475100,475500,594600,394600,428400,457700
"PC O-38:5",3726000,4028000,3342000,3792000,2945000,3325000,3341000,3566000,3825000,2894000,3211000,3321000
"PC O-38:6",1796000,1122000,862000,1041000,822800,1642000,1697000,1069000,1349000,1422000,1006000,984100
"PC O-38:7",841800,955400,746200,919500,758600,902000,831200,782500,853800,617500,764900,762200
"PC O-40:3",204500,23090,11200,23840,19910,16040,55860,42470,10680,4760,20460,9921
"PC O-40:5",119300,126000,110900,148500,111000,121800,116000,73600,3465,6482,110400,109900
"PC O-40:7",928800,1260000,1039000,1446000,1146000,1191000,1017000,982400,1326000,721900,1101000,921600
"PC O-40:8",636700,761700,614400,693200,577200,693800,533000,495600,574500,454400,626000,586200
"PC O-42:10",36670,48330,46520,64370,38500,52350,45910,39810,59010,39100,34920,38840
"PC O-42:3",621400,53230,30710,59710,52940,65470,173200,115400,38540,36830,72630,28260
"PC O-42:5",42070,62270,52760,44500,36700,42640,26570,26170,23610,33730,45710,49580
"PC O-42:9",69310,89650,60150,66020,51000,55560,58700,40770,64280,58520,71100,76000
"PE 32:1",91220,118600,180000,122600,106800,176200,109900,149900,159900,62470,172100,96490
"PE 36:3",122700,108900,163600,359200,133600,159600,130200,132600,121800,209000,192700,163100
"PE 36:4",1085000,1216000,1052000,898200,835400,823600,824100,781100,845200,846700,1068000,1062000
"PE 38:2",237700,241900,237900,190800,143000,224300,162100,194300,156400,218300,354200,316700
"PE 38:3",144200,147500,126800,164500,113200,88460,133400,156100,167500,NA,160300,149800
"PE 38:5",3930000,4838000,4343000,2620000,2364000,2385000,2327000,2162000,2342000,3330000,3993000,3932000
"PE 38:6",133300,153900,128100,153500,129400,153200,155100,155500,136300,107500,137200,127200
"PE 40:1",71580,75250,77670,124700,76770,69540,37710,69590,68370,77700,68000,94090
"PE 40:5",284300,369000,334000,363200,271500,311000,380500,328900,357400,269100,330400,347400
"PE 40:7",614500,730300,566400,759000,619600,708300,573800,563100,604700,536300,620500,685000
"PE 42:1",44460,46010,35670,71220,45710,53040,63100,95560,81340,41710,48930,45860
"PE 42:3",36680,43410,47080,23720,20780,20610,13240,8384,9277,27170,33490,34790
"PE O-36:1",57490,64900,69030,117400,46940,88410,66980,85260,62040,49750,54540,45380
"PE O-36:2",679900,752300,570700,1020000,804300,899600,593900,555800,546900,539600,624400,744300
"PE O-36:4",185900,203200,2303,4845,138200,156700,153000,150100,269900,144200,202500,198200
"PE P-34:1|PE P-16:0_18:1",788600,833100,719300,996100,714600,780700,682300,679500,695600,684500,877600,850200
