"lipidName","Aml.12_1","Aml.12_2","Aml.12_3","Aml.12_1i.1","Aml.12_1i.2","Aml.12_1i.3","Aml.12_1.2i.1","Aml.12_1.2i.2","Aml.12_1.2i.3","Aml.12_2i.1","Aml.12_2i.2","Aml.12_2i.3"
"FA 42:5",339000,459300,409200,506200,355500,396200,527800,401900,331500,320700,460800,427800
"FA 44:5",148500,169300,128600,164900,119200,136900,190200,132700,119600,97970,171100,158900
"LPC O-16:0",12620,18140,16280,17770,17310,20200,22650,22630,25890,16550,19170,22660
"LPE O-16:1",15600,14360,14050,17800,13910,14870,18150,18440,21180,20230,16800,18750
"LPE O-18:1",10970,12630,11090,13320,10720,12240,15340,15480,16740,13920,13340,14950
"PC 30:0|PC 14:0_16:0",192800,189800,187400,174700,155400,167600,174400,147900,160300,169700,188800,193700
"PC 30:1|PC 14:0_16:1",45580,63380,48790,61790,54900,75110,35340,51980,53930,51760,42990,66600
"PC 32:1|PC 16:0_16:1",626300,81140,47400,70600,46490,58030,180100,170600,107700,41850,59750,55630
"PC 32:2|PC 16:1_16:1",90950,63890,89800,143800,92840,125700,128500,121800,139200,77310,88300,67570
"PC 34:3|PC 18:1_16:2",122600,136500,128700,217000,133300,154700,138500,139800,145900,112800,178400,124800
"PC 34:4|PC 18:1_16:3",44490,42720,44920,47400,40180,46720,41070,49100,50440,31760,39330,46620
"PC 38:3|PC 18:0_20:3",143500,157700,187700,130300,115500,127500,99910,78480,90270,164400,172200,184500
"PC 38:6|PC 16:0_22:6",83120,80010,76550,76640,61650,79780,76470,79440,86110,59970,72960,79970
"PC 38:6|PC 18:1_20:5",26250,20610,29160,19280,27470,18930,74670,58610,80990,20940,23600,34000
"PC 40:2|PC 18:1_22:1",38010,43000,46120,27480,22530,23990,28700,30670,32850,33260,42870,40670
"PC 40:5|PC 18:0_22:5",48790,53860,52710,49770,44670,52600,40910,33300,43660,44990,46870,46870
"PC 40:5|PC 18:1_22:4",23690,26820,29700,25680,23610,28410,49750,56700,57590,17160,25910,29410
"PC 40:6|PC 18:0_22:6",45260,53210,50990,50690,52290,63980,39510,42640,40060,42200,57460,52910
"PC 40:6|PC 18:1_22:5",59380,64000,64860,60300,60030,61530,90990,114300,97230,60550,66200,79530
"PC 40:7|PC 18:1_22:6",117900,114500,110400,102200,97580,119200,202400,201400,213100,122000,123400,122200
"PC 42:5|PC 18:1_24:4",3927,4233,5081,1584,1446,1835,1385,170.9,1791,1863,3637,3841
"PC 42:6|PC 18:1_24:5",241600,267400,256600,287300,226100,238900,228300,246900,252300,254300,289400,288100
"PC O-32:0|PC O-16:0_16:0",182300,202400,198200,224100,203100,214900,271200,284300,297400,188500,221900,240200
"PC O-32:1|PC O-16:1_16:0",48680,52770,46120,55810,67780,72250,54580,54210,65460,53520,52040,65540
"PC O-32:1|PC O-18:1_14:0",128600,137100,133400,166500,146500,91920,149900,170000,150700,110600,184300,131400
"PC O-34:1|PC O-18:1_16:0",1080000,1183000,1130000,1296000,1105000,1189000,1136000,1166000,1262000,939000,1100000,1114000
"PC O-34:2|PC O-16:1_18:1",138300,152400,136200,177900,151200,157700,183400,185200,205900,135300,152100,151500
"PC O-36:2|PC O-18:1_18:1",724300,806200,756400,1052000,782100,870000,661200,724300,744800,602900,656300,691300
"PC O-36:3|PC O-18:2_18:1",74010,53100,48970,60330,49910,58560,62750,67910,60330,48570,57900,60670
"PC O-36:4|PC O-16:0_20:4",230600,250400,238400,227300,215500,210500,248700,261400,276500,241600,235600,234100
"PC O-36:5|PC O-16:1_20:4",167100,178100,165200,166300,141800,170900,177100,183900,203500,166900,172100,174700
"PC O-38:6|PC O-18:2_20:4",125300,209600,128600,152700,129800,139100,224800,225300,160400,178800,133400,128000
"PC O-40:6|PC O-18:1_22:5",70470,78180,73490,88970,70010,78400,65930,71000,73880,78100,68660,65320
"PC O-40:7|PC O-18:1_22:6",84240,95740,63230,131400,70750,94600,77950,75770,78590,62460,88800,77800
"PE 34:2|PE 16:1_18:1",224000,306800,254000,305200,215400,250100,147500,167000,194300,171900,131900,294000
"PE 36:4|PE 16:0_20:4",284500,385700,301600,287700,203400,221400,218700,245300,266100,235500,238500,305300
"PE 38:2|PE 18:1_20:1",111600,127700,129200,104600,98460,113600,92050,91170,106900,149000,156900,183900
"PE 38:4|PE 18:1_20:3",56270,78410,77040,NA,49830,48050,69300,79550,71470,31440,71950,76220
"PE 38:5|PE 18:0_20:5",32360,46680,23710,31940,33470,28830,35420,39110,41850,31870,38920,45270
"PE 38:5|PE 18:1_20:4",1529000,2230000,1704000,1110000,800100,860500,713700,823800,870100,851000,916200,1747000
"PE 38:6|PE 16:0_22:6",84880,95180,102500,98050,83580,105600,116100,129200,140600,79390,107700,94700
"PE 40:2|PE 18:1_22:1",51850,62810,66950,39840,36220,29090,33710,38090,40040,64360,75170,67310
"PE 40:4|PE 18:0_22:4",21380,24750,23170,24780,20900,22980,30590,35300,46140,24240,30310,38650
"PE 40:5|PE 18:0_22:5",174900,194200,193900,182600,165300,181100,212400,230100,232400,185400,216900,205000
"PE 40:6|PE 18:0_22:6",289800,364400,318700,357500,374700,390300,387900,406100,447200,338500,380900,394600
"PE 40:6|PE 18:1_22:5",202800,356800,323200,331700,191500,279400,175800,208600,321000,152900,184800,366400
"PE 40:7|PE 18:1_22:6",347600,400400,354700,445200,372000,410300,338000,379900,420300,331800,392400,396100
"PE 42:1|PE 24:0_18:1",9990,19160,21020,18510,14290,23180,26970,36990,42670,21150,29670,26790
"PE 42:7|PE 20:1_22:6",10330,9231,1641,9568,7636,842.7,1892,2145,1531,7198,7168,9406
"PE O-34:1|PE O-18:1_16:0",129600,155300,161200,190900,167400,169300,148200,164900,177100,145100,189900,179700
"PE O-34:2|PE O-16:1_18:1",475100,542700,532700,566800,493800,505400,471100,515300,571800,542800,662200,625600
"PE O-36:3|PE O-18:2_18:1",575300,670400,653500,820700,724300,738800,501000,534500,584300,646200,817800,755700
"PE O-36:4|PE O-16:0_20:4",95850,104900,94740,107200,84620,80900,81260,81650,94680,88050,100900,103900
"PE O-36:5|PE O-16:1_20:4",929600,1099000,985400,933400,851300,886700,896100,992000,1063000,1058000,1232000,1173000
"PE O-36:6|PE O-16:1_20:5",25710,24730,30140,25090,20990,28510,23780,27190,33950,23130,29420,36860
"PE O-38:5|PE O-16:1_22:4",67160,74740,82220,83010,62860,63730,78110,84300,84120,74530,98630,102900
"PE O-38:6|PE O-18:2_20:4",1258000,1473000,1360000,1326000,1238000,1285000,1320000,1393000,1512000,1356000,1657000,1589000
"PE O-38:7|PE O-16:1_22:6",816200,957700,798500,1029000,765700,848700,819200,836300,920400,782000,862600,899300
"PE O-40:5|PE O-20:1_20:4",5600,7390,6875,6839,7176,7602,8848,9547,10610,7564,9885,8684
"PE O-40:7|PE O-18:2_22:5",382600,454600,410200,438700,346200,399800,302200,337200,358000,409800,512200,467700
"PE O-40:7|PE O-22:6_18:1",212600,234800,235400,268100,205900,262900,420500,440400,567900,318700,370100,269800
"PE O-40:8|PE O-18:2_22:6",890800,1096000,964700,1124000,917300,1037000,628600,672700,731300,929800,1085000,1115000
"PG 36:2|PG 18:1_18:1",493900,804900,495400,751000,625700,635400,559400,611200,726800,637300,818000,795900
"PG 36:3|PG 18:1_18:2",22320,33360,21910,27110,21390,25120,27060,24000,27930,27640,32870,29070
"PG 38:5|PG 18:1_20:4",112400,134700,117800,182400,138800,181300,261400,265500,311900,124300,146300,137700
"PG 38:6|PG 18:1_20:5",13350,18290,17850,25890,20750,21680,39450,39080,43420,20110,22640,20440
"PG 40:5|PG 18:1_22:4",23330,23850,23480,26200,19800,23070,35180,33210,41500,25310,27360,24460
"PG 40:6|PG 18:1_22:5",70190,81980,72960,105400,88300,114900,156000,155100,182900,88010,98310,88170
"PG 40:7|PG 18:1_22:6",166800,185300,182000,294100,224700,277800,422100,441200,526700,208700,217900,212000
"PG 42:10|PG 20:4_22:6",12030,15300,14560,26710,27500,33610,84230,91210,95770,17470,21940,19900
"PG 44:11|PG 22:5_22:6",8436,7428,7920,8794,11260,10920,24580,27400,18360,6047,6676,6549
"PG 44:12|PG 22:6_22:6",59720,47310,53940,63010,68940,69250,149400,161100,114100,37380,42510,40570
"PI 36:2|PI 18:1_18:1",848700,1578000,1447000,1714000,676000,1630000,490100,709700,1086000,3820000,5294000,1507000
"PI 38:4|PI 18:0_20:4",84290,163100,170000,155600,86550,224900,72660,107400,198800,595300,946300,291000
"PI 38:5|PI 18:1_20:4",52810,52760,60560,56520,34560,59470,38120,44030,60750,135100,172300,71430
"PMeOH 36:2|PMeOH 18:1_18:1",34640,33550,43520,81900,64970,94470,79430,73700,83450,65860,69390,45970
"SM 34:1;2O|SM 18:1;2O/16:0",5275000,5902000,5588000,5536000,4158000,4769000,3456000,3657000,3724000,5467000,5322000,6213000
"SM 34:2;2O|SM 18:2;2O/16:0",1254000,1365000,1293000,1334000,1079000,1491000,975100,1057000,1107000,1238000,1237000,1521000
"SM 36:3;2O",19610,31460,21650,27140,27780,33180,45540,49130,51850,18410,29540,27330
"SM 42:1;2O|SM 18:0;2O/24:1",62050,80380,68250,59380,53380,72680,49100,51950,62290,67790,88450,80290
"SM 44:3;2O",19540,26650,24570,18590,16230,16680,9999,10420,11600,19230,22520,23460
"Cer 36:3;2O|Cer 18:2;2O/18:1",172000,13630,11230,4976,25250,NA,82890,NA,8834,26800,27010,10040
"DG 36:0|DG 18:0_18:0",3079000,1873000,1276000,297800,299200,304200,288000,309000,248800,215900,225200,247000
"LPC 16:0",908500,1429000,1224000,1027000,1244000,1346000,1658000,1749000,1616000,842900,1248000,1515000
"LPC 18:0",1974000,2532000,2232000,1895000,2161000,2583000,2779000,3e+06,3051000,1438000,1961000,2523000
"LPC 18:1",657300,886800,748300,614800,729800,818800,1045000,1005000,1066000,771200,854800,968400
"LPE 18:0",56470,44450,42760,35940,32110,36280,54820,58890,64380,40480,39660,44150
"LPE 18:1",79100,113400,113700,119000,108100,172600,72050,66620,70570,72950,84190,80850
"LPE 20:4",115000,165900,172500,125100,126300,185100,82700,83520,86240,81140,100800,93500
"LPE 22:5",60840,94520,96790,79690,83520,130000,64020,56600,59070,45950,55280,51230
"LPE 22:6",99860,142600,144800,142300,128700,216100,89730,84910,83560,77330,91130,84690
"PC 32:0|PC 16:0_16:0",6357000,6273000,5408000,5987000,4374000,4882000,5906000,4959000,6089000,4786000,5131000,5428000
"PC 32:1|PC 14:0_18:1",9095000,9154000,8148000,7806000,6984000,7665000,6215000,6199000,6917000,6560000,7458000,7519000
"PC 34:0|PC 16:0_18:0",645800,663500,641100,607900,547300,518600,638700,645900,702400,601400,623300,638100
"PC 34:1|PC 16:0_18:1",54940000,55900000,49810000,47250000,39960000,42840000,47480000,48840000,53920000,45370000,48580000,48590000
"PC 34:2|PC 16:1_18:1",16070000,17370000,15620000,21060000,17040000,19670000,19250000,21150000,21250000,13620000,11030000,14010000
"PC 36:1|PC 18:0_18:1",9815000,10930000,9032000,9602000,7693000,8590000,11900000,12020000,13330000,7861000,9256000,9584000
"PC 36:2|PC 18:1_18:1",171900000,175900000,1.59e+08,164200000,145600000,153100000,1.69e+08,1.74e+08,191200000,159300000,167100000,160100000
"PC 36:3|PC 18:1_18:2",4238000,4813000,5607000,3134000,3161000,2918000,3374000,3273000,3576000,5353000,4214000,4137000
"PC 36:4|PC 16:0_20:4",2585000,2731000,2310000,1719000,1655000,1937000,1764000,1740000,2319000,1651000,1848000,1873000
"PC 38:1",396300,342700,280200,221400,186500,201500,224900,217800,217000,242400,312400,318000
"PC 38:2|PC 18:1_20:1",2510000,3236000,2642000,2097000,1604000,1639000,1993000,1889000,2046000,2157000,2751000,2711000
"PC 38:4",1548000,1567000,1369000,1176000,1047000,1201000,1125000,1181000,1248000,1175000,1271000,1298000
"PC 38:4|PC 18:0_20:4",1209000,1275000,1052000,850600,651400,841600,922800,963500,933700,904700,1057000,1068000
"PC 38:4|PC 18:1_20:3",450300,421700,418000,225900,279300,295000,332100,357800,404400,339600,349100,451000
"PC 38:5|PC 18:1_20:4",1584000,1702000,1702000,1625000,1756000,1587000,1523000,1754000,1705000,1684000,1569000,1574000
"PC 38:6",538600,695700,480400,496300,443600,602900,443400,435100,470000,405000,465800,540400
"PC 40:4",223800,193000,225900,122900,82900,84860,106600,103700,143300,152800,158700,176500
"PC 40:5",505400,583500,523800,492700,364000,518200,325200,352100,320600,397100,461200,483800
"PC O-32:1",2109000,1085000,1854000,1637000,2218000,2420000,2062000,2063000,2358000,1498000,1682000,842200
"PC O-34:2",1309000,1484000,896100,2345000,1872000,1912000,1411000,1424000,1658000,1009000,1206000,769700
"PC O-36:3",395400,617300,333000,381500,351000,391500,407900,345800,432500,405300,372700,342200
"PC O-38:4|PC O-18:0_20:4",50840,57420,54500,55000,49910,57560,64410,68770,72060,53090,60640,57270
"PC O-38:5|PC O-18:1_20:4",384600,423100,381500,425700,372900,377900,449600,458000,471400,364100,413700,382900
"PC O-40:6",140800,165400,159700,256100,137100,234800,176900,NA,265100,140900,169400,NA
"PE 34:1|PE 16:0_18:1",1361000,1437000,1264000,1565000,1222000,1362000,1276000,1412000,1460000,1166000,1392000,1365000
"PE 36:1|PE 18:0_18:1",2471000,2714000,2316000,3066000,2283000,2796000,3010000,2896000,2902000,2322000,2978000,2925000
"PE 36:2|PE 18:1_18:1",9651000,10970000,9503000,10730000,8792000,9821000,8418000,8696000,8594000,9741000,12150000,11640000
"PE 36:3|PE 18:1_18:2",105900,77730,73720,132000,97480,75500,113500,98700,112000,77630,90190,88160
"PE 38:3|PE 18:0_20:3",88450,109400,105400,99490,77720,82120,82810,88970,95560,91310,112700,107500
"PE 38:4|PE 18:0_20:4",2924000,3421000,2881000,2531000,2064000,2330000,2255000,2286000,2238000,2393000,3098000,2887000
"PE 40:6",532400,813000,670500,629400,544000,559300,542700,502200,717600,421000,533400,639700
"PE 42:2",41590,57660,47520,54490,41690,59990,52970,57470,65500,39940,58870,53780
"PE O-36:2|PE O-18:1_18:1",406900,498600,499200,718900,592900,615700,412000,459500,492900,441900,489900,547200
"PE O-38:5|PE O-18:1_20:4",221100,257900,257600,243900,218300,219600,236300,257800,275200,247600,304200,301000
"PE O-40:6|PE O-18:1_22:5",232100,200400,213700,311900,253200,187500,173800,128200,207800,220900,261400,186100
"PE O-40:7|PE O-18:1_22:6",362200,422300,373100,415800,320800,335700,265700,294400,306100,358300,412500,398100
"SM 32:1;2O",1255000,1096000,864300,986500,704500,847200,534700,475500,509800,752100,874700,1035000
"SM 34:0;2O",12690000,12710000,9501000,12940000,6987000,9157000,5936000,5276000,6967000,7957000,8207000,11670000
"SM 34:1;2O",40840000,40170000,29310000,43960000,25670000,32050000,19430000,16680000,20990000,25160000,26300000,37750000
"SM 36:1;2O",625500,579600,446500,768200,386100,571700,265800,252800,314100,385700,386000,592400
"SM 36:2;2O",1019000,1356000,924000,1473000,1099000,1333000,838300,749000,892400,936100,1175000,1287000
"SM 38:1;2O",324500,238800,209400,315000,189100,268200,157600,149900,159800,147900,139300,325000
"SM 40:1;2O",2575000,2860000,2177000,2760000,1206000,1980000,1208000,1241000,1582000,1471000,1254000,2390000
"SM 40:2;2O",561200,693500,503400,504100,356300,562700,380700,352700,283700,422100,526000,511100
"SM 42:1;2O",1930000,2167000,1755000,2104000,1085000,1648000,1445000,1687000,1976000,1215000,1022000,1758000
"SM 42:2;2O",6335000,6929000,4549000,5818000,3123000,4209000,2585000,2249000,2559000,3678000,4144000,5565000
"SM 42:2;2O|SM 18:1;2O/24:1",1654000,2020000,1526000,1902000,1281000,1633000,1128000,1043000,1163000,1152000,1466000,1427000
"SM 42:3;2O",1953000,2211000,1745000,1658000,1257000,1464000,1034000,983000,971300,1404000,1841000,1995000
"SM 44:2;2O",54530,51500,73420,56900,25120,45740,33020,57900,47700,32000,72360,40780
