ms2name,DIFF,LipidIon,LipidGroup,Class,FattyAcid,FA1,FA2,FA3,FA4,IonFormula,CalMz,RT-(min),VIP,Fold Change,P-value,Cold-1,Cold-2,Cold-3,Cold-4,Cold-5,Cold-6,Cold-7,Cold-8,RT-1,RT-2,RT-3,RT-4,RT-5,RT-6,RT-7,RT-8,QC-1,QC-2,QC-3,QC-4,QC-5
POS1131,,TG(4:0/18:3/19:1)+NH4,TG(41:4)+NH4,TG,(4:0/18:3/19:1),(4:0),(18:3),(19:1),,C44 H80 O6 N1,718.598,14.8595,0.0568789,1.03478,0.589764995,2.30E+08,2.40E+08,2.60E+08,2.90E+08,3.60E+08,3.00E+08,3.10E+08,2.90E+08,2.30E+08,2.70E+08,2.80E+08,2.50E+08,2.80E+08,3.20E+08,2.80E+08,3.10E+08,2.70E+08,2.90E+08,2.80E+08,2.90E+08,2.70E+08
POS1132,,TG(4:0/18:3/19:1)+NH4,TG(41:4)+NH4,TG,(4:0/18:3/19:1),(4:0),(18:3),(19:1),,C44 H80 O6 N1,718.598,15.3312,0.0938855,0.85558,0.204982835,2.00E+07,2.10E+07,2.20E+07,2.10E+07,3.70E+07,2.80E+07,2.20E+07,2.90E+07,2.80E+07,4.20E+07,2.40E+07,3.00E+07,1.90E+07,3.20E+07,2.90E+07,3.00E+07,2.60E+07,2.80E+07,3.00E+07,2.70E+07,2.10E+07
POS1133,,TG(11:0/12:3/18:2)+NH4,TG(41:5)+NH4,TG,(11:0/12:3/18:2),(11:0),(12:3),(18:2),,C44 H78 O6 N1,716.582,13.9976,0.231695,0.70751,0.000577501,1.50E+07,1.70E+07,2.30E+07,1.90E+07,2.40E+07,2.00E+07,1.60E+07,2.30E+07,2.70E+07,2.50E+07,2.50E+07,2.80E+07,2.40E+07,3.60E+07,2.40E+07,3.00E+07,2.50E+07,2.10E+07,2.50E+07,2.50E+07,2.20E+07
POS1134,,TG(41:5)+NH4,TG(41:5)+NH4,TG,(41:5),(41:5),,,,C44 H78 O6 N1,716.582,14.261,0.157809,1.30508,0.008090211,1.80E+07,1.60E+07,1.60E+07,1.40E+07,2.30E+07,1.50E+07,1.40E+07,1.90E+07,1.10E+07,1.20E+07,1.10E+07,1.10E+07,1.30E+07,1.60E+07,1.30E+07,1.60E+07,1.30E+07,1.50E+07,1.50E+07,1.50E+07,1.40E+07
POS1135,,TG(16:0/12:0/14:0)+NH4,TG(42:0)+NH4,TG,(16:0/12:0/14:0),(16:0),(12:0),(14:0),,C45 H90 O6 N1,740.676,19.8584,2.98272,1.09975,0.804290524,1.40E+09,1.40E+09,4.30E+09,3.10E+09,3.90E+09,7.90E+09,2.00E+09,8.20E+09,7.60E+09,7.50E+09,1.70E+09,7.00E+09,1.20E+09,1.00E+09,1.20E+09,2.10E+09,3.50E+09,3.60E+09,3.50E+09,3.30E+09,3.70E+09
POS1143,,TG(18:1/12:0/12:0)+NH4,TG(42:1)+NH4,TG,(18:1/12:0/12:0),(18:1),(12:0),(12:0),,C45 H88 O6 N1,738.661,18.5809,3.39173,1.22743,0.619378065,1.70E+09,1.60E+09,5.40E+09,3.70E+09,4.80E+09,1.10E+10,2.70E+09,1.20E+10,8.20E+09,8.20E+09,1.70E+09,1.00E+10,1.50E+09,1.20E+09,1.40E+09,2.60E+09,4.50E+09,4.30E+09,4.00E+09,4.20E+09,4.40E+09
POS1144,,TG(6:0/18:0/18:1)+NH4,TG(42:1)+NH4,TG,(6:0/18:0/18:1),(6:0),(18:0),(18:1),,C45 H88 O6 N1,738.661,18.9508,0.972583,0.92145,0.730269001,4.30E+08,4.40E+08,8.80E+08,6.70E+08,7.00E+08,1.30E+09,4.40E+08,7.70E+08,1.10E+09,1.10E+09,5.20E+08,1.40E+09,4.80E+08,4.40E+08,4.50E+08,7.00E+08,5.90E+08,5.90E+08,6.00E+08,6.50E+08,6.10E+08
POS1145,,TG(6:0/18:0/18:1)+NH4,TG(42:1)+NH4,TG,(6:0/18:0/18:1),(6:0),(18:0),(18:1),,C45 H88 O6 N1,738.661,19.2685,0.172678,1.09823,0.1968332,1.10E+08,1.30E+08,1.70E+08,1.50E+08,1.50E+08,1.50E+08,1.50E+08,1.50E+08,1.20E+08,1.40E+08,1.00E+08,1.70E+08,1.40E+08,1.30E+08,1.10E+08,1.40E+08,1.40E+08,1.50E+08,1.60E+08,1.50E+08,1.50E+08
POS1147,,TG(12:0/12:0/18:2)+NH4,TG(42:2)+NH4,TG,(12:0/12:0/18:2),(12:0),(12:0),(18:2),,C45 H86 O6 N1,736.645,17.4685,4.33701,1.19814,0.68741096,3.80E+09,9.80E+08,7.50E+09,5.00E+09,7.10E+09,1.80E+10,4.10E+09,1.60E+10,1.30E+10,1.40E+10,1.30E+09,1.50E+10,8.60E+08,7.40E+08,8.60E+08,6.20E+09,6.50E+09,6.40E+09,6.40E+09,6.40E+09,6.80E+09
POS1149,,TG(6:0/18:0/18:2)+NH4,TG(42:2)+NH4,TG,(6:0/18:0/18:2),(6:0),(18:0),(18:2),,C45 H86 O6 N1,736.645,17.9277,0.236477,0.98993,0.916007786,2.20E+08,2.40E+08,3.00E+08,2.60E+08,2.80E+08,2.70E+08,2.30E+08,3.60E+08,2.70E+08,3.10E+08,3.00E+08,3.30E+08,2.80E+08,3.00E+08,1.50E+08,2.30E+08,2.20E+08,3.00E+08,2.70E+08,3.10E+08,3.50E+08
POS1151,,TG(12:0/12:0/18:3)+NH4,TG(42:3)+NH4,TG,(12:0/12:0/18:3),(12:0),(12:0),(18:3),,C45 H84 O6 N1,734.629,15.2059,0.189103,0.88979,0.275243294,4.70E+07,4.80E+07,5.70E+07,4.70E+07,6.50E+07,7.50E+07,5.30E+07,8.00E+07,7.50E+07,8.00E+07,6.00E+07,8.50E+07,6.10E+07,5.60E+07,4.80E+07,6.70E+07,7.00E+07,6.70E+07,6.10E+07,7.00E+07,7.70E+07
POS1152,Y,TG(6:0/18:1/18:2)+NH4,TG(42:3)+NH4,TG,(6:0/18:1/18:2),(6:0),(18:1),(18:2),,C45 H84 O6 N1,734.629,16.4596,1.51858,0.85001,0.070574671,1.90E+09,1.90E+09,2.20E+09,1.80E+09,2.60E+09,2.70E+09,2.80E+09,2.70E+09,3.00E+09,3.00E+09,2.60E+09,3.30E+09,2.50E+09,2.30E+09,2.10E+09,3.10E+09,3.30E+09,2.50E+09,2.40E+09,2.50E+09,2.60E+09
POS1153,,TG(6:0/18:1/18:3)+NH4,TG(42:4)+NH4,TG,(6:0/18:1/18:3),(6:0),(18:1),(18:3),,C45 H82 O6 N1,732.614,14.386,0.838141,0.84198,0.000796111,5.90E+08,5.90E+08,5.10E+08,4.90E+08,5.80E+08,6.00E+08,6.00E+08,5.50E+08,6.10E+08,7.60E+08,6.70E+08,6.50E+08,6.40E+08,7.00E+08,6.00E+08,7.20E+08,7.50E+08,6.60E+08,5.80E+08,6.60E+08,7.70E+08
POS1154,Y,TG(6:0/18:2/18:2)+NH4,TG(42:4)+NH4,TG,(6:0/18:2/18:2),(6:0),(18:2),(18:2),,C45 H82 O6 N1,732.614,15.4025,1.442,0.76965,0.000707273,1.10E+09,1.10E+09,1.30E+09,1.00E+09,1.40E+09,1.40E+09,1.10E+09,1.30E+09,1.50E+09,1.60E+09,1.70E+09,1.70E+09,1.40E+09,1.50E+09,1.30E+09,1.90E+09,1.40E+09,1.40E+09,1.40E+09,1.40E+09,1.30E+09
POS1156,,TG(6:0/16:0/20:4)+NH4,TG(42:4)+NH4,TG,(6:0/16:0/20:4),(6:0),(16:0),(20:4),,C45 H82 O6 N1,732.614,15.9482,0.1313,1.00238,0.987329801,6.40E+07,7.50E+07,6.40E+07,5.10E+07,5.60E+07,7.70E+07,5.10E+07,7.80E+07,5.30E+07,7.70E+07,4.10E+07,8.10E+07,7.10E+07,4.40E+07,3.80E+07,1.10E+08,5.20E+07,5.50E+07,8.50E+07,4.40E+07,1.00E+08
POS1157,,TG(6:0/16:0/20:4)+NH4,TG(42:4)+NH4,TG,(6:0/16:0/20:4),(6:0),(16:0),(20:4),,C45 H82 O6 N1,732.614,16.3355,0.0661344,1.08921,0.169830228,3.10E+07,3.40E+07,3.50E+07,2.90E+07,3.90E+07,3.60E+07,2.90E+07,4.10E+07,3.40E+07,3.50E+07,2.90E+07,3.30E+07,2.50E+07,3.40E+07,3.00E+07,3.20E+07,3.60E+07,3.00E+07,3.20E+07,3.10E+07,3.00E+07
POS1158,,TG(6:0/18:2/18:3)+NH4,TG(42:5)+NH4,TG,(6:0/18:2/18:3),(6:0),(18:2),(18:3),,C45 H80 O6 N1,730.598,14.5861,0.620033,1.38057,0.06297241,2.80E+08,2.90E+08,3.00E+08,3.10E+08,6.90E+08,3.50E+08,3.00E+08,3.60E+08,2.80E+08,2.60E+08,2.20E+08,2.60E+08,2.70E+08,2.60E+08,2.40E+08,3.10E+08,3.30E+08,2.80E+08,2.70E+08,3.10E+08,3.00E+08
POS1159,,TG(4:0/18:1/20:4)+NH4,TG(42:5)+NH4,TG,(4:0/18:1/20:4),(4:0),(18:1),(20:4),,C45 H80 O6 N1,730.598,15.0522,0.0940319,1.07795,0.373706681,1.10E+08,1.30E+08,1.20E+08,1.10E+08,1.70E+08,1.60E+08,1.10E+08,1.50E+08,1.40E+08,1.30E+08,1.00E+08,1.20E+08,1.10E+08,1.40E+08,1.00E+08,1.50E+08,1.30E+08,1.30E+08,1.20E+08,1.30E+08,1.30E+08
POS1160,,TG(4:0/18:2/20:4)+NH4,TG(42:6)+NH4,TG,(4:0/18:2/20:4),(4:0),(18:2),(20:4),,C45 H78 O6 N1,728.582,13.694,0.0654107,0.99669,0.988835769,3.00E+07,1.10E+07,3.20E+07,2.90E+07,4.90E+07,3.50E+07,7756566,3.60E+07,4.00E+07,3.90E+07,1.80E+07,1.60E+07,3.40E+07,4.90E+07,1.20E+07,2.40E+07,3.70E+07,3.80E+07,3.80E+07,3.90E+07,1.30E+07
POS1161,,TG(4:0/18:2/20:4)+NH4,TG(42:6)+NH4,TG,(4:0/18:2/20:4),(4:0),(18:2),(20:4),,C45 H78 O6 N1,728.582,14.0801,0.0247841,0.99512,0.947991641,6.40E+07,6.90E+07,7.40E+07,6.10E+07,1.00E+08,7.60E+07,9.50E+07,8.40E+07,7.50E+07,8.60E+07,6.90E+07,7.30E+07,7.60E+07,8.90E+07,7.10E+07,8.80E+07,7.60E+07,7.00E+07,7.00E+07,7.40E+07,7.90E+07
POS1162,,TG(4:0/16:0/22:6)+NH4,TG(42:6)+NH4,TG,(4:0/16:0/22:6),(4:0),(16:0),(22:6),,C45 H78 O6 N1,728.582,14.5728,0.93448,1.39305,0.002948577,5.30E+08,6.10E+08,4.90E+08,5.30E+08,7.90E+08,5.00E+08,5.10E+08,5.40E+08,4.10E+08,3.80E+08,3.10E+08,3.50E+08,3.70E+08,5.20E+08,3.70E+08,5.20E+08,4.90E+08,4.90E+08,4.70E+08,4.80E+08,4.80E+08
POS1164,,TG(4:0/18:2/20:5)+NH4,TG(42:7)+NH4,TG,(4:0/18:2/20:5),(4:0),(18:2),(20:5),,C45 H76 O6 N1,726.567,13.3285,0.13767,0.76132,0.04374764,1.70E+07,1.70E+07,1.70E+07,1.40E+07,2.80E+07,2.10E+07,1.50E+07,2.00E+07,2.70E+07,2.50E+07,1.90E+07,2.40E+07,1.70E+07,3.20E+07,1.80E+07,3.20E+07,2.10E+07,2.10E+07,2.00E+07,2.20E+07,2.50E+07
POS1165,,TG(4:0/16:1/22:6)+NH4,TG(42:7)+NH4,TG,(4:0/16:1/22:6),(4:0),(16:1),(22:6),,C45 H76 O6 N1,726.567,13.623,0.160783,1.35819,0.107409219,3.70E+07,2.40E+07,2.10E+07,4.00E+07,4.50E+07,4.10E+07,3.30E+07,6.30E+07,3.10E+07,3.20E+07,1.10E+07,3.00E+07,1.50E+07,3.50E+07,2.80E+07,4.10E+07,3.90E+07,6.10E+07,3.50E+07,6.20E+07,3.50E+07
POS1168,,TG(16:0/9:0/18:1)+NH4,TG(43:1)+NH4,TG,(16:0/9:0/18:1),(16:0),(9:0),(18:1),,C46 H90 O6 N1,752.676,16.414,0.141808,1.12983,0.053550552,7.60E+07,6.50E+07,6.90E+07,7.00E+07,8.50E+07,6.40E+07,5.80E+07,7.20E+07,6.90E+07,5.90E+07,6.30E+07,5.40E+07,5.40E+07,5.80E+07,6.30E+07,7.40E+07,7.10E+07,5.80E+07,6.00E+07,6.80E+07,7.00E+07
POS1170,,TG(16:0/9:0/18:1)+NH4,TG(43:1)+NH4,TG,(16:0/9:0/18:1),(16:0),(9:0),(18:1),,C46 H90 O6 N1,752.676,17.726,0.0353832,1.06065,0.657003689,2.80E+07,2.90E+07,2.40E+07,2.20E+07,2.90E+07,4.50E+07,2.10E+07,1.50E+07,1.90E+07,3.10E+07,2.50E+07,2.40E+07,2.60E+07,2.30E+07,2.20E+07,2.90E+07,2.50E+07,2.30E+07,2.30E+07,2.30E+07,2.60E+07
POS1171,,TG(16:0/9:0/18:1)+NH4,TG(43:1)+NH4,TG,(16:0/9:0/18:1),(16:0),(9:0),(18:1),,C46 H90 O6 N1,752.676,19.2809,0.541768,0.9671,0.853287741,1.30E+08,1.50E+08,2.60E+08,2.00E+08,2.20E+08,3.40E+08,1.90E+08,3.50E+08,3.40E+08,3.40E+08,1.80E+08,3.30E+08,1.60E+08,1.60E+08,1.60E+08,2.30E+08,2.40E+08,2.30E+08,2.00E+08,2.20E+08,2.40E+08
POS1173,,TG(16:0/9:0/18:2)+NH4,TG(43:2)+NH4,TG,(16:0/9:0/18:2),(16:0),(9:0),(18:2),,C46 H88 O6 N1,750.661,18.1672,0.785912,0.74179,0.065162215,1.80E+08,1.90E+08,2.50E+08,2.20E+08,2.90E+08,4.00E+08,2.50E+08,3.80E+08,4.80E+08,5.10E+08,2.60E+08,4.60E+08,2.60E+08,3.00E+08,2.70E+08,3.60E+08,3.10E+08,3.00E+08,2.90E+08,3.00E+08,2.90E+08
