conditions,samples
COLD,Cold-1
COLD,Cold-2
COLD,Cold-3
COLD,Cold-4
COLD,Cold-5
COLD,Cold-6
COLD,Cold-7
COLD,Cold-8
RT,RT-1
RT,RT-2
RT,RT-3
RT,RT-4
RT,RT-5
RT,RT-6
RT,RT-7
RT,RT-8
QC,QC-1
QC,QC-2
QC,QC-3
QC,QC-4
QC,QC-5
