,preSens_CSF,preSens_CSF,preSens_CSF,preSens_CSF,preSens_CSF,preRes_CSF,preRes_CSF,preRes_CSF,preRes_CSF
metabolites,Sample428,Sample433,Sample464,Sample191,Sample197,Sample429,Sample430,Sample439,Sample270
glucosamine,1355138.805,585117.8353,489478.1228,421862.0481,327975.6305,615962.079,928933.8485,703192.361,553728.553
tyrosine,527626.5629,431090.5649,529474.9851,555321.4291,316119.1739,432856.055,479247.5964,498301.6385,590955.8842
Phosphorylcholine,1804281.648,473985.1043,835865.0076,295468.7182,1002643.1,681267.5585,659349.509,741221.7029,801144.0861
3-phospho-serine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N6-Acetyl-L-lysine,10282662.54,6153108.875,10607648.76,10940096.18,7425667.344,7893471.777,7654020.563,8385335.673,7400940.789
Acetyllysine,7932401.674,7479341.616,8812067.716,7899182.118,6139906.887,5151778.324,6831360.342,7301072.863,6632391.757
N-acetyl-glutamine,5345689.354,4798540.585,6128556.824,5195098.147,4504775.846,4538911.698,5555293.568,6522580.703,4462970.252
N-acetyl-glutamate,198035.0016,241903.9677,252013.3761,239876.2503,119886.1654,270919.0975,280920.5641,209138.3739,146691.7174
"Ng,NG-dimethyl-L-arginine",1108612.46,1987207.858,2023125.631,2673796.492,1908565.098,1879516.394,1571261.713,1393965.933,1315759.567
Acetylcarnitine DL,14765122.3,9722027.402,18233285.98,7718986.085,6713730.48,7848371.197,10519955.12,13253838.99,6342282.055
tryptophan,359901.8387,532296.6298,582905.2716,422471.9853,513516.3531,178361.6693,457581.9747,3730594.011,282949.0019
Kynurenine,N/A,N/A,16979.24723,18745.5018,N/A,23356.93825,33879.32436,27087.94312,32366.92975
N-acetyl-glucosamine,136947.7891,84387.32037,66378.35131,137621.3605,94252.30282,133906.8743,193589.0302,175875.1203,95180.74986
Flavone,41417.05485,17415.12823,28054.73419,13918.10821,6139.144542,27390.6654,33650.56217,37801.04005,16284.22037
cystathionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-methoxytryptophan,38883.63416,16240.50685,22239.93857,9778.140091,33575.93661,20953.2961,N/A,40219.66905,15639.54617
Cystine,38294.60483,19983.72957,30318.72597,101203.7273,22898.25774,22504.68604,57495.09916,16099.37349,27222.76982
cytidine,276546.7302,343626.879,346057.2218,338818.0861,196864.3785,200403.9016,275207.3905,368495.3444,238888.4466
biotin,89396.33792,61263.8576,14157.28271,24409.31339,26756.06026,20954.30631,212156.682,68619.19518,21501.34559
deoxyadenosine,75915.74422,92213.66419,51825.16157,164095.1233,40143.081,216943.3336,133665.4519,115321.6845,67966.52367
Glycerophosphocholine,91683.57581,647328.7503,104694.8637,466541.4066,209585.1301,101172.9513,110351.7089,233041.6966,54689.32765
acadesine,53514.15942,50237.91033,59480.11646,23291.66347,N/A,62157.92666,36873.5937,44045.55809,61053.9771
D-glucosamine-6-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9907.845672,N/A
D-glucosamine-1-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
thiamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S-ribosyl-L-homocysteine-posi,81181.1148,41086.43284,55620.93705,24042.69349,35753.52213,31594.58796,107226.7387,51620.43451,30811.06009
deoxyguanosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
adenosine,298188.6035,2332615.975,204952.1691,2011682.986,347449.5695,862710.7155,2004826.04,1427953.354,794724.0012
1-Methyladenosine,1526897.871,1304500.351,1398183.414,1053099.38,1206664.678,2277762.644,1787735.1,1602350.438,1706665.342
guanosine,6344.406011,10757.62347,N/A,56093.00088,6198.366397,N/A,N/A,17878.21552,N/A
L-arginino-succinate,23335.43215,34911.64607,18897.37811,15875.9455,17032.42501,32053.64872,50400.49245,60932.53868,23749.18502
S-methyl-5-thioadenosine,677686.7471,831483.6692,291082.4763,249655.6613,393485.7363,582433.2141,647368.8568,616177.9637,434029.6541
7-methylguanosine,365450.9531,328060.3166,336174.008,343883.0229,260066.6351,620642.9281,583893.6118,407255.4344,430962.1681
dCMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
glutathione,28092.7058,7179.970263,N/A,N/A,N/A,N/A,19034.21822,22870.38777,20081.62105
dTMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMP,64267.59699,97128.35104,11279.11617,30520.60349,23793.08902,18565.54759,15571.90987,858782.8108,10045.05191
UMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dAMP,N/A,16379.40023,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nicotinamide ribotide,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aminoimidazole carboxamide ribonucleotide,9764.535877,21971.21703,13904.0953,N/A,23093.62108,13125.16272,101237.2201,N/A,20701.51544
thiamine-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dGMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMP,171642.5088,252683.3041,114867.3162,122930.0289,69791.34907,147052.1864,69930.55569,1457911.243,54228.31845
IMP,17624.48588,21753.96923,N/A,N/A,13648.99275,12046.23824,N/A,33243.32997,N/A
S-adenosyl-L-methioninamine,6892.414208,N/A,N/A,N/A,N/A,11454.06859,N/A,N/A,N/A
GMP,29923.55383,65616.82375,10958.86472,33301.24511,11308.35785,10055.48369,20059.999,658418.7232,N/A
xanthosine-5-phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
riboflavin,18560.35043,N/A,11833.3634,N/A,N/A,N/A,7545.061474,13629.13542,8595.17581
S-adenosyl-L-homoCysteine-posi,13533.83683,31362.65673,N/A,16767.08648,N/A,23898.64998,49031.9477,N/A,N/A
S-adenosyl-L-methionine,265626.9886,331911.0761,205672.5103,123705.2853,210624.7887,161427.8671,178375.2849,203119.0701,288453.2924
folate,20853.99767,N/A,N/A,12849.08087,N/A,11753.13863,N/A,N/A,N/A
