Metabolite.name,Sample191,Sample197,Sample428,Sample433,Sample464,Sample270,Sample429,Sample430,Sample439
DG 40:4|DG 20:2_20:2,2258,1794,353666,442441,932,438942,207172,1680932,267
DG 40:6|DG 16:0_24:6,300029,6204,72335,90689,4089,71055,272776,434270,129061
DG 42:1|DG 24:0_18:1,908747,425975,594278,911415,17025,62460,86187,55382,460532
DG 42:2|DG 24:0_18:2,796028,104773,4943830,1884843,6323,829833,1030222,199082,71413
DG 44:2|DG 22:1_22:1,23573,3873,4256508,1027916,6524,66233,45738,19489,5420
DG 44:6|DG 18:0_26:6,27837,189301,102456,13559,4502,11427,457942,82033,594914
DG 46:6|DG 16:0_30:6,101076,506489,69723,107263,24149,11222,765359,153932,351656
DG 46:7|DG 18:1_28:6,45937,1049804,69340,29803,42425,40370,18863,127140,877798
DG 48:7|DG 18:1_30:6,17024,2594654,7495,117533,16183,14880,40299,89271,690094
DG 50:6|DG 8:0_42:6,53757,3243,22600890,125007,2364,1337068,952168,34410,4458
DG 50:8|DG 18:2_32:6,36042,85258,1421727,299256,20296,449840,489971,70551,204171
DG 50:8|DG 20:2_30:6,5920,206524,1020096,93627,19028,70893,60626,152690,112893
DG 52:6|DG 24:3_28:3,8234,19162,21231,60376,672,111625,96309,652723,16858
LPC 20:0,20452,88024,45454,484678,26968,25941,32152,22554,12734
LPC 20:1,13418,114720,29221,331753,18612,38648,133134,56412,37830
LPC 22:3,1832044,14671034,681617,11948541,5833565,11721836,2472488,1274553,2068856
LPC 26:0,43401,37605,56715,440136,25309,101746,136908,114651,349889
LPC 26:1,62048,598486,13737,1496032,5152,87891,344118,21632,51040
LPC 26:2,101440,72561,6134,76947,94181,111181,89278,177446,122418
LPC 28:0,227345,50956,199047,187018,131841,327280,144645,185084,49370
LPE 18:0,134369,46818,236194,378856,54529,10006,120043,17927,57244
MG 14:0,16120,8798,4627,5804,7552,14371,19043,27672,17785
MG 16:2,18,6024,62226,3452,326,62556,24235,21288,2526
MG 18:0,851021,519911,1672523,2259902,325478,1724586,3096150,1522665,1010289
MG 18:1,10933,500754,1635437,52495,48701,1456587,2340333,241840,499020
MG 20:0,109709,105884,53162,99512,160210,77929,127350,165578,245961
MG 22:1,235405,102384,15672,220838,375509,230650,175497,307312,127661
PC 28:0,242001,458676,60018,1744399,231779,319683,684254,677743,279681
PC 30:0,654453,351974,22034,584891,737196,529024,1132016,711916,246516
PC 30:0|PC 14:0_16:0,27480718,45116432,8020580,61705560,13508336,18390944,39621720,25955136,24205242
PC 34:2|PC 16:0_18:2,119513920,568404480,14437413,1446351232,71644984,67193488,220700352,124098744,80452128
