"","p.log","fc.log"
"DG(18:1/22:4)",5.62077240953802,1.1796
"DG(18:0/22:6)",2.90298835335632,0.65433
"DG(22:5/18:2)",4.21814796946704,0.91605
"DG(18:1/22:6)",3.18372772198527,0.87447
"DG(18:2/22:6)",3.89094019948189,0.89566
"DG(56:4)",0.177073354135102,-0.22432
"DG(26:0p)",0.107538440485241,0.19731
"DG(28:1p)",0.159457960247772,0.13289
"DG(30:1e)",0.318411349408579,0.071934
"DG(30:1p)",0.426425508333837,0.13887
"DG(31:1p)",1.39760866879653,-0.26519
"DG(16:0/16:1)",2.81334119337111,0.99274
"FA(20:4)",2.9981865789317,0.66433
"LPC(16:0e)",3.03245294556675,0.62813
"LPC(18:0e)",4.20435102574703,0.97978
"LPC(18:0p)",1.4041384520913,0.4416
"LPC(20:1)",1.80454789116471,0.36553
"LPC(22:5)",2.24401461565875,1.437
"LPC(24:0)",2.62620527653137,0.47301
"LPE(18:0p)",2.17005832324439,0.76883
"LPE(18:3)",4.91700746785564,2.0004
"LPE(19:0)",4.60713372875715,1.1435
"LPE(20:3)",2.31750909816729,0.96516
"LPE(20:5)",3.14310540392163,1.1943
"LPE(22:4)",0.757924026488454,0.58526
"LPE(16:0p)",1.96272275190048,0.46819
"LPG(18:1)",2.59014172994953,0.90375
"LPG(18:2)",3.1646403230318,0.74872
"LPI(16:0)",2.38493650486248,1.04
"LPI(18:1)",2.12333815178038,1.1283
"LPI(20:4)",2.70345772594413,0.86972
"LPS(20:4)",0.728556770813256,0.23753
"LPS(22:6)",2.60856748964781,0.676
"MGDG(16:0/16:3)",4.42295239872506,0.6966
"MGDG(16:0/17:3)",2.9026164875362,0.62845
"MGDG(16:0/18:1)",2.37261684447307,0.70801
"MGDG(41:5)",0.151528063628384,0.19898
"MGDG(42:5)",5.39643221342168,0.6633
"MGDG(44:4)",3.0117925291247,0.95042
"MGDG(44:5)",3.96333800044767,1.043
"PA(34:0)",1.19790550035912,0.77438
"PA(18:0/18:1)",0.55867730429683,0.38497
"PA(18:0/18:2)",1.09161103831757,0.71059
"PA(38:2)",0.581478104443128,0.43017
"PA(18:0/20:4)",1.72349513013325,1.0414
"PC(16:0/14:0)",1.92595508104264,0.41674
"PC(16:1/14:0)",2.08389485332598,1.0443
"PC(16:0e/16:0)",0.594393104378893,0.18857
"PC(16:0p/16:0)",2.009530911459,0.47995
"PC(16:0/16:1)",2.16207546534159,0.63071
"PC(16:1/16:1)",4.73380536338899,1.1928
"PC(15:0/18:2)",2.13913936705174,0.60863
"PC(18:0/16:0)",1.16614513932719,0.21723
"PC(18:0e/16:0)",3.91576076209729,0.76864
"PC(18:0p/16:0)",1.20420025018874,0.38443
"PC(16:0/18:1)",3.37784370265472,0.55011
"PC(16:0/18:2)",4.46660591641806,0.6682
"PC(16:0e/18:2)",3.54021961805415,0.81213
"PC(16:1/18:2)",4.55763199318448,1.0245
"PC(14:0/20:4)",2.03288636538522,1.1488
"PC(17:0/18:1)",3.5230780594564,0.49181
"PC(17:0/18:2)",3.71104621870063,0.59007
"PC(20:0e/16:0)",2.97554380509329,0.80112
"PC(18:1/18:1)",6.17165055740417,0.78626
"PC(18:1/18:2)",3.92012523609566,0.67587
"PC(16:0e/20:4)",3.33712694327488,0.70233
"PC(16:0p/20:4)",3.87693592628907,0.74014
"PC(16:1/20:4)",2.15885770734766,1.1402
"PC(16:1/20:5)",2.14631199066511,1.105
"PC(14:0/22:6)",1.38969278293234,1.1967
"PC(19:0/18:1)",1.52666544234243,0.58297
"PC(19:0/18:2)",4.13941173331713,0.6009
"PC(19:1/18:2)",1.71679874510666,0.55534
"PC(17:0/20:4)",4.9224383288434,0.64598
"PC(16:0/22:1)",3.07923229665067,0.7275
"PC(20:0/18:2)",4.40654497788249,0.75384
"PC(18:0/20:3)",6.14915051588481,0.81323
"PC(16:0/22:4)",3.03145970253908,0.80972
"PC(18:0p/20:4)",0.725763192665305,0.36887
"PC(16:0/22:5)",2.0128373463653,0.60274
"PC(18:0/20:5)",4.56796940457755,0.96327
"PC(16:0/22:6)",1.71313070050892,0.99261
"PC(16:0e/22:6)",1.48085386276627,0.96718
"PC(16:1/22:6)",1.23484253037115,1.4071
"PC(19:0/20:4)",3.80562392944709,0.45609
"PC(18:1/22:0)",2.92228629621022,0.92756
"PC(18:0/22:4)",1.79018473527045,0.52481
"PC(18:0/22:5)",2.73277353658678,0.48962
"PC(18:0/22:6)",6.04570357040847,1.0743
"PC(18:1/22:5)",1.74936206440943,0.81908
"PC(18:2/22:6)",5.19305439554019,1.329
"PC(18:1/23:0)",2.245069305247,0.88023
"PC(18:1/24:0)",2.53293069884471,0.76365
"PC(20:4/22:6)",5.46617701112523,1.3117
"PC(24:0/18:2)",2.72649925104225,0.85001
"PC(31:2)",4.9357951476447,1.2224
"PC(32:0)",1.83360856800662,0.3717
"PC(21:4)",0.0338217591500732,0.048803
"PC(28:0)",3.30131608653258,0.83985
"PC(30:0e)",4.57294285573001,1.163
"PC(30:1)",1.91650629696847,0.81992
"PC(31:0)",0.774772785434102,0.29652
"PC(33:3)",4.59618965253928,1.3568
"PC(34:0)",3.57422998803504,0.68829
"PC(32:0e)",3.25291554297091,0.82733
"PC(14:0/18:2)",3.81642786946514,1.0657
"PC(32:2)",4.19594078198926,1.0875
"PC(32:3)",0.777000231832137,0.17688
"PC(33:1)",2.57514779040806,0.78681
"PC(33:4)",5.59116302195977,0.92906
"PC(33:5)",3.50007048036596,1.2058
"PC(34:2)",5.13062350337466,0.68758
"PC(34:0e)",3.07758958699599,0.63082
"PC(34:1e)",2.60879873373663,0.83234
"PC(35:2)",4.49005276475923,1.0351
"PC(34:2e)",4.04830385493512,1.2198
"PC(34:2p)",3.69001995994793,1.545
"PC(36:1)",6.2574489984518,1.4118
"PC(35:1)",4.43530617283677,1.0411
"PC(36:2)",6.63820010082233,0.97645
"PC(36:0)",1.23039058037194,1.0661
"PC(18:0p/18:1)",3.24515737306914,1.2361
"PC(36:2p)",1.73955393081424,0.53605
"PC(38:3)",5.88434293697368,1.467
"PC(36:4e)",4.30320551391366,1.1557
"PC(36:6)",4.28366167911169,1.1928
"PC(37:1)",2.91917397204735,1.1358
"PC(37:2)",3.1540997530263,0.97125
"PC(37:3)",3.43148784157989,0.72851
"PC(37:4)",4.58348645953591,1.1188
"PC(37:6)",0.78466123560998,0.84634
"PC(38:2)",4.76099135221737,0.80268
"PC(18:1/20:4)",0.932825246160831,0.17622
"PC(38:6e)",3.62796315247386,0.94013
"PC(38:8)",3.82821938795974,1.428
"PC(39:4)",4.77137273236432,1.0848
"PC(39:6)",2.57066721507605,0.78812
"PC(39:7)",3.18750330786723,0.58534
"PC(40:1)",2.90356569459959,0.89993
"PC(40:5e)",1.85832691324423,0.95522
"PC(40:6e)",4.24221249867877,1.383
"PC(40:6p)",2.249661603804,0.96463
"PC(40:8)",4.51141336192094,1.2247
"PC(40:9)",2.26709140729832,1.2971
"PC(42:1)",2.43845255942185,0.88991
"PC(42:10)",4.58874438154065,0.96443
"PC(42:2)",3.31956470259953,1.2047
"PC(42:5)",1.03180481150203,0.46596
"PC(42:7)",2.34648573640716,0.70463
"PC(42:8)",1.8005634102693,1.0709
"PE(32:0p)",0.794719324074218,0.22019
"PE(16:0/16:1)",2.8422689409388,0.83429
"PE(32:1p)",4.08367287969693,0.68344
"PE(34:0)",0.759858338999817,0.26052
"PE(18:0/16:0)",2.01487748608827,0.47695
"PE(34:0p)",2.07340907348145,0.66485
"PE(34:1p)",2.71184026461275,0.66124
"PE(16:0/18:2)",4.86305677839154,1.0583
"PE(18:1p/16:1)",3.09807783457816,0.61069
"PE(34:2p)",0.266074828860547,0.20115
"PE(16:1/18:2)",3.94740848950942,1.0752
"PE(17:0/18:1)",2.73254660575493,0.57537
"PE(17:0/18:2)",3.40538707552611,0.7156
"PE(16:0p/20:1)",2.84298209301442,0.86807
"PE(36:2p)",2.23368753314376,0.73032
"PE(36:3p)",3.10649674978598,1.5691
"PE(16:0/20:4)",4.64268269658392,1.1568
"PE(16:0/20:5)",3.30966546272157,0.88471
"PE(16:1/20:5)",3.32792000811584,1.4556
"PE(19:0/18:1)",2.65326174021848,0.54936
"PE(19:0/18:2)",3.3577071266626,0.67862
"PE(18:0/20:1)",2.61781661460263,0.54434
"PE(38:1p)",2.40110501121744,0.66293
"PE(38:2)",5.3001973536277,0.79996
"PE(20:1/18:1)",3.49996085040206,0.72978
"PE(38:2p)",2.22386283714938,0.89588
"PE(18:0/20:3)",4.14340351502372,0.87844
"PE(16:0/22:5)",4.30426705584736,1.0441
"PE(18:0/20:5)",4.98215355370446,1.2264
"PE(18:1/20:5)",4.16279062668863,1.5561
"PE(19:0/20:4)",4.46392922751588,0.80355
"PE(18:1/22:1)",2.5247197031046,1.1829
"PE(20:0e/20:4)",1.74340022577737,0.66577
"PE(18:1/22:5)",5.78176261971849,1.3472
"PE(18:0e/22:6)",2.8401490774951,0.66354
"PE(18:2p/22:6)",2.96860994780921,1.1215
"PE(18:1/24:0)",3.12203260060196,0.82155
"PE(20:0p/22:5)",2.91576307647711,0.71301
"PE(19:1)",0.00977130573622277,0.010773
"PE(19:2)",0.0786490860767784,-0.089171
"PE(20:4e)",3.60053404740646,0.90735
"PE(20:4p)",3.34142456345374,1.1619
"PE(21:2)",0.0264111181179467,0.03208
"PE(21:3)",0.28400735809056,0.27678
"PE(23:4)",0.112438578946623,0.13974
"PE(32:1)",2.90968553767027,0.91998
"PE(16:0p/16:1)",3.53249628616242,0.72312
"PE(32:2)",3.61133082665564,0.97518
"PE(18:0p/16:0)",0.214412345267097,0.19008
"PE(34:1)",4.19332405960563,0.87332
"PE(34:2)",3.61563748539684,0.49608
"PE(34:2e)",3.33975455619635,0.55472
"PE(16:0p/18:2)",3.52221156052709,0.74807
"PE(35:2)",4.20647881913818,1.0486
"PE(35:3)",1.34956872724139,0.28218
"PE(18:0/22:6)",5.72830008005732,1.585
"PE(36:1)",4.5623166441875,0.98973
"PE(18:0p/18:1)",2.8970265203876,0.84524
"PE(36:2e)",3.02791279706789,0.6874
"PE(18:0p/18:2)",2.60562513845099,1.233
"PE(18:0/18:3)",4.90530979549069,0.8121
"PE(36:4)",5.04316016486868,1.5363
"PE(36:4p)",1.5378132943138,0.30666
"PE(18:3/18:2)",4.5090270999309,1.5613
"PE(16:1/20:4)",3.36950810919448,0.83266
"PE(38:4p)",2.50191221762973,0.47175
"PE(18:1p/20:4)",2.60563898468999,1.0796
"PE(18:2p/20:4)",0.973510265283838,0.29449
"PE(40:4)",3.01312636452098,0.85491
"PE(20:1/20:4)",3.19296628700673,0.82195
"PE(20:4/20:4)",4.7483179253257,1.6362
"PE(20:4/22:6)",4.83277140010384,1.4335
"PE(51:6)",2.00741507898776,0.64326
"PG(16:0/18:1)",4.14080339900224,1.9052
"PG(16:0/18:2)",5.13549014312784,1.58
"PG(16:1/18:2)",3.4416349531979,0.85887
"PG(18:1/22:6)",0.740899736115065,0.4508
"PG(18:2/22:6)",1.65184521787265,0.6108
"PG(32:0e)",0.432331648344064,0.16993
"PG(34:0p)",1.92662514174002,0.22643
"PG(34:1)",0.31623274857684,-0.10362
"PG(34:2)",5.81934196964406,1.6501
"PG(28:0/18:2)",5.17546275949758,-0.93194
"PG(47:2)",7.27789838059506,-2.4022
"PG(47:3)",7.40565483595225,-2.1349
"phSM(d35:2+hO)",2.57260284518964,0.82313
"phSM(d37:4+pO)",0.194099957413503,0.03622
"phSM(d37:5+hO)",2.18108297766573,0.43762
"PI(18:0/16:0)",4.61814033393422,0.82593
"PI(16:0/18:2)",3.99724102503503,1.5227
"PI(16:0/18:3)",4.87999093172325,1.0882
"PI(18:1/18:2)",3.4804381422499,1.7475
"PI(18:2/18:2)",3.80154837944312,0.90071
"PI(17:0/20:4)",3.62727808944431,0.676
"PI(18:2/20:4)",3.3066232926223,1.2728
"PI(16:0/22:6)",2.89289680227667,1.0699
"PI(18:0/22:6)",1.37614968528711,1.4046
"PI(18:1/22:6)",1.76208897076413,1.3705
"PI(34:2)",4.79164367297256,1.3513
"PI(36:2)",3.781078015394,1.4221
"PI(38:3)",3.45951317823292,1.1465
"PIP(25:0)",1.78691923423288,0.66829
"PIP(54:6)",2.10920356150482,0.81819
"PS(27:0)",0.0346269139507569,-0.034689
"PS(29:0)",0.253675339333975,0.21666
"PS(16:0/18:2)",4.37922157421092,1.361
"PS(17:0/18:2)",4.43070692970929,1.3368
"PS(18:0/18:2)",3.05739759142528,0.62848
"PS(18:1/18:2)",0.595380203970648,0.44796
"PS(16:0/20:4)",4.80788350841559,1.1325
"PS(18:2/18:2)",3.7004041193265,0.49947
"PS(18:3/18:2)",3.54582478362061,0.93552
"PS(18:0/20:2)",2.28646322159508,0.61064
"PS(18:0/20:3)",4.74237887563443,0.70499
"PS(18:1/20:4)",3.89307299621629,0.72334
"PS(20:3/18:2)",4.42898106367712,0.80127
"PS(39:0)",6.64897572507991,0.95174
"PS(39:3)",4.93811359571181,1.041
"PS(39:4)",2.37672386351358,1.3516
"PS(18:1/22:0)",3.03735668329708,0.80215
"PS(18:1/22:1)",1.54791407945112,0.71985
"PS(40:5)",3.28002052156739,0.79142
"PS(40:7)",2.90151294698486,0.51849
"PS(40:8)",2.87543914502929,0.47828
"PS(18:1/23:0)",1.91950408565763,0.78472
"PS(41:6)",3.91151088432374,1.4099
"PS(20:4/22:6)",4.1688147661036,1.021
"PS(18:1/24:1)",2.62274049984586,0.80789
"PS(18:1/24:2)",2.88012389726181,0.86026
"PS(42:6)",1.08083362745415,0.37506
"PS(43:6)",2.00333980045623,0.62366
"PS(34:2)",4.88063426366893,1.2315
"PS(36:3)",1.77363574412552,0.56982
"PS(38:1)",3.58736111885163,0.81917
"PS(40:6)",1.74665468632789,0.28034
"PS(20:4/20:4)",4.13766414994046,1.1809
"PS(42:9)",0.0964614343308241,-0.037475
"SM(d16:1/18:0)",3.04031320618156,0.3061
"SM(d16:1/18:1)",3.2368022175948,0.56551
"SM(d20:0/16:0)",1.72598324996656,0.33319
"SM(d18:0/18:1)",2.11363030757061,0.39216
"SM(d37:1)",0.932930465629177,0.1759
"SM(d22:1/16:0)",3.49666513381209,0.37897
"SM(d22:1/18:0)",2.57125901427467,0.43471
"SM(d22:1/18:1)",2.02047568288711,0.34471
"SM(d40:3)",0.101015906087219,-0.048667
"SM(d42:1+pO)",3.79900303467242,0.63829
"SM(d22:1/20:1)",3.32599236146065,0.42884
"SM(d22:2/20:1)",3.40292495361712,0.43179
"SM(d43:1)",3.06036182634428,0.47793
"SM(d43:2)",4.04662738883898,0.46817
"SM(d44:2)",1.88836615873505,0.5567
"SM(d40:1)",2.8832014160138,0.57952
"SM(d34:2)",3.20084007151182,0.3489
"SM(d35:1)",0.779002546035995,0.39148
"SM(d35:6+pO)",0.00458691389319196,-0.0013527
"SM(d36:0)",3.30356068646298,0.83984
"SM(d36:2)",3.36059773645509,0.39461
"SM(d36:4)",0.0301833227872864,0.0049663
"SM(d38:0)",3.44070020186864,0.74379
"SM(d38:2)",5.35851666754803,0.71575
"SM(d40:2)",4.42572782241981,0.63274
"SM(d18:1/24:2)",4.77109057554729,0.75758
"SM(d42:3)",3.79998936857964,0.71447
"SM(d18:1/24:3)",2.79773289256148,0.69364
"SM(d42:5)",1.24952172045889,0.29413
"So(d18:1)",2.80598426824347,1.5182
"SQDG(34:0)",1.53726671079414,0.66636
"SQDG(35:3)",2.78597398233921,0.76842
"SQDG(35:6)",0.635963919821118,-0.2019
"TG(4:0/12:0/16:0)",0.18954761850327,-0.22535
"TG(10:0/10:1/12:0)",0.00112584154028075,0.0019662
"TG(4:0/10:0/18:2)",1.35698390555092,0.91454
"TG(34:0)",0.0932260924019648,0.14681
"TG(10:0/12:0/12:1)",0.184864226772677,0.26908
"TG(4:0/12:0/18:1)",0,0
"TG(4:0/15:0/16:0)",0.60536754650417,-0.27302
"TG(4:0/15:0/16:1)",0.0490606052034364,-0.051225
"TG(16:0/10:0/10:0)",0.180463773808136,0.25387
