"","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3"
"TG(18:0_18:1_22:5)",5942094.477,4.88e+08,5.45e+08,5.06e+08,5.71e+08,5.52e+08
"TG(18:0e_18:1_22:5)",2480000,12400000,31500000,72100000,62600000,63900000
"TG(18:0_18:1_22:6)",1125109.036,1.35e+08,2.54e+08,2.01e+08,2.33e+08,2.05e+08
"TG(18:1_20:4_22:5)",1066315.619,96200000,1.27e+08,56400000,68600000,79700000
"TG(16:0_22:5_22:6)",1593861.754,43600000,73300000,4.3e+07,40100000,62500000
"TG(16:1_22:6_22:6)",451854.447,3988296.681,4741962.095,451854.447,2259272.235,451854.447
"TG(18:1e_18:1_24:1)",1301018.3414,1301018.3414,1301018.3414,6505091.707,7559960.621,9080664.905
"TG(20:1_18:1_22:3)",22200000,1.11e+08,1.27e+08,1.66e+08,1.85e+08,1.87e+08
"TG(20:1e_18:1_22:3)",457008.2254,2285041.127,3022338.266,10800000,10600000,7516117.469
"TG(20:1_18:1_22:4)",4300000,21500000,23300000,1.42e+08,1.46e+08,1.81e+08
"TG(20:1_18:1_22:5)",478310.94,1.66e+08,1.89e+08,1.55e+08,1.45e+08,1.74e+08
"TG(18:0_22:5_22:5)",2060000,46300000,51700000,20700000,10300000,38200000
"TG(26:1_18:1_18:1)",3080000,15400000,16700000,31300000,46600000,46800000
"TG(18:1_20:2_24:0)",3080000,15400000,16700000,31300000,46600000,46800000
"TG(16:0e_22:5_24:1)",106130.7214,530653.607,106130.7214,11500000,7593079.507,9702230.534
"TG(18:1_22:1_22:5)",8340000,41700000,53800000,54900000,61900000,4.8e+07
"TG(18:1e_22:3_22:5)",1441497.697,7207488.485,8719215.191,39900000,41100000,37900000
"TG(20:1_22:5_22:5)",536619.411,2683097.055,8164212.936,536619.411,536619.411,536619.411
"TG(20:2_22:5_22:5)",1352195.3554,6760976.777,8027044.929,1352195.3554,1352195.3554,1352195.3554
"TG(20:1_22:6_22:6)",309387.7026,1546938.513,4898772.563,309387.7026,309387.7026,309387.7026
"TG(18:1_22:3_24:1)",2020000,10100000,14800000,20800000,25300000,28100000
"TG(18:1_22:5_24:0)",4700000,23500000,25200000,35700000,41800000,40800000
"TG(18:1_22:5_24:1)",4680000,2.7e+07,23400000,25600000,33400000,33700000
"TG(18:1_22:6_24:0)",982452.3394,5170955.101,8652297.424,4912261.697,12300000,1e+07
"TG(18:1_24:1_24:1)",116767.0232,116767.0232,116767.0232,586385.41,583835.116,1043583.455
"TG(26:1_18:1_22:5)",1124855.5488,5624277.744,7828781.594,6802459.89,6656248.934,8595793.776
"AcCa(16:0)",30100000,4.3e+07,52200000,2.1e+08,1.96e+08,1.58e+08
"AcCa(16:1)",15500000,15500000,15500000,1.28e+08,1.29e+08,77500000
"AcCa(18:0)",7099421.161,9120016.107,1.4e+07,22800000,24600000,25900000
"AcCa(18:1)",29600000,44600000,23300000,1.08e+08,1.14e+08,99600000
"AcCa(20:3)",7.86e+08,3.26e+08,3.1e+08,1.01e+09,1.13e+09,1.16e+09
"Cer(d16:0_18:0+O)",12400000,22800000,23300000,23700000,25600000,25500000
"Cer(d16:1_16:0)",11100000,10500000,15300000,1.65e+08,1.85e+08,1.71e+08
"Cer(d18:0_16:0)",43700000,21100000,33100000,4.22e+08,4.59e+08,4.45e+08
"Cer(d18:0_16:0+O)",2673741.14,5052800.324,739615.956,44800000,48800000,40500000
"Cer(d18:0_18:0)",4520510.47,4026313.332,3554523.089,43700000,48700000,42100000
"Cer(d18:0_22:0)",2410188.034,7481108.213,11100000,77500000,79100000,79100000
"Cer(d18:0_24:0)",8800365.531,10100000,12500000,4.3e+07,46500000,45500000
"Cer(d18:0_24:1)",20500000,31400000,44500000,1.99e+08,2.21e+08,2.29e+08
"Cer(d18:1_16:0)",7.93e+08,1.02e+09,9.58e+08,6.22e+09,6.82e+09,6.44e+09
"Cer(d18:1_16:0+O)",20600000,11300000,8488694.595,1.77e+08,1.89e+08,1.92e+08
"Cer(d18:1_16:1)",36900000,13900000,1864287.112,6.37e+08,8.33e+08,5.58e+08
"Cer(d18:1_18:0)",15500000,36200000,25700000,8.33e+08,9.34e+08,8.78e+08
"Cer(d18:1_20:0)",5829086.278,13300000,2519828.209,1.23e+08,1.1e+08,1.3e+08
"Cer(d18:1_22:0)",37100000,8.1e+07,73100000,5.54e+08,5.99e+08,6.08e+08
"Cer(d18:1_22:1)",8191436.278,5473679.088,4102146.247,1.84e+08,2.01e+08,2.02e+08
"Cer(d18:1_24:0)",1.2e+08,3.09e+08,2.64e+08,1.23e+09,1.29e+09,1.23e+09
"Cer(d18:1_24:1)",3.16e+08,4.37e+08,4.68e+08,2.51e+09,2.77e+09,2.68e+09
"Cer(d18:1_26:0)",1489863.024,9428890.461,7349854.641,22600000,22900000,20500000
"Cer(d18:1_26:1)",9842161.137,15600000,17500000,62500000,70100000,58900000
"Cer(d18:2_14:0)",564121.123,112824.2246,568430.194,11200000,10200000,11700000
"Cer(d18:2_16:0)",13800000,12600000,18100000,1.74e+08,1.36e+08,1.88e+08
"Cer(d18:2_16:0+O)",1803626.276,1180319.722,1167373.566,41900000,4.7e+07,4.6e+07
"Cer(d18:2_16:1)",1975450.598,2987806.645,4461529.197,96400000,1.1e+08,1.06e+08
"Cer(d18:2_18:0)",1714359.812,342871.9624,342871.9624,49200000,36100000,55500000
"Cer(d18:2_22:0)",9162234.936,5895012.588,4463885.583,1.14e+08,1.43e+08,1.38e+08
"Cer(d18:2_24:0)",59200000,1.03e+08,1.1e+08,4.95e+08,5.73e+08,5.31e+08
"Cer(d18:2_24:1)",57300000,58800000,40800000,6.37e+08,7.44e+08,7.34e+08
"Cer(d20:0_18:0)",14100000,96700000,43500000,95600000,1.08e+08,1.16e+08
"Cer(d28:0)",35400000,48700000,59600000,62200000,7e+07,65700000
"Cer(d30:0)",2.02e+08,58200000,2.98e+08,1.53e+08,1.28e+08,1.58e+08
"Cer(d32:0)",3.38e+08,4.69e+08,7.58e+08,4.88e+08,5.46e+08,5.9e+08
"Cer(d34:0)",44600000,1.35e+08,1.22e+08,2.03e+08,2.06e+08,2.98e+08
"Cer(d36:1+O)",984622.6116,984622.6116,984622.6116,6233708.878,6476023.323,4923113.058
"Cer(d36:2)",4435981.626,3152777.493,1.2e+07,31200000,9578505.079,79500000
"Cer(d38:1)",6486635.374,7706208.825,4899436.872,2.42e+08,1.91e+08,2.55e+08
"Cer(d38:2)",302895.126,5554434.113,751191.8238,46800000,37800000,51900000
"Cer(d40:1)",68400000,1.33e+08,1.21e+08,9.99e+08,1.06e+09,1.06e+09
"Cer(d40:3)",866909.253,173381.8506,173381.8506,10800000,13600000,12500000
"Cer(d42:1)",1.91e+08,4.2e+08,4.03e+08,2.1e+09,2e+09,1.95e+09
"Cer(d42:2)",4.73e+08,7.52e+08,7.87e+08,4.04e+09,4.29e+09,4.38e+09
"Cer(d42:3)",1.12e+08,88500000,63200000,1.1e+09,1.26e+09,1.23e+09
"Cer(d44:2)",9854234.931,18900000,18600000,77800000,90300000,82900000
"Cer(d44:3)",4597163.684,9941896.246,10600000,2.9e+07,35400000,38200000
"Cer(t16:0_16:1)",1884091.918,1884091.918,1884091.918,9420459.59,1.4e+07,12600000
"Cer(t18:0_16:0)",3.13e+08,2.53e+08,1.56e+08,2.51e+09,2.77e+09,2.57e+09
"Cer(t18:0_18:0)",18900000,38500000,35600000,3.85e+08,4.17e+08,3.65e+08
"Cer(t18:0_20:0)",5829086.278,13300000,2519828.209,1.23e+08,1.1e+08,1.3e+08
"Cer(t18:0_22:0)",37100000,8.1e+07,73100000,5.54e+08,5.99e+08,6.08e+08
"Cer(t18:0_24:0)",1.2e+08,2.76e+08,2.59e+08,1.25e+09,1.27e+09,1.24e+09
"Cer(t18:0_24:1)",3.11e+08,4.52e+08,4.86e+08,2.53e+09,2.84e+09,2.71e+09
"Cer(t18:1_16:0)",20600000,11300000,15700000,1.8e+08,1.97e+08,1.88e+08
"Cer(t18:1_16:1)",1975450.598,2987806.645,4461529.197,96400000,1.1e+08,1.06e+08
"Cer(t18:1_22:0)",9162234.936,6766264.612,5540124.352,1.14e+08,1.43e+08,1.38e+08
"Cer(t18:1_24:0)",59200000,1.02e+08,1.13e+08,3.92e+08,5.73e+08,4.12e+08
"Cer(t18:1_24:1)",75900000,1.24e+08,40800000,6.38e+08,7.37e+08,7.19e+08
"Cer(t20:0_26:0)",2779499.441,4886601.527,4474284.715,9428799.61,555899.8882,555899.8882
"Cer(t34:0)",32100000,49300000,50300000,58100000,60700000,7.1e+07
"Cer(t36:0)",6324603.324,4030499.67,5477064.525,24700000,37600000,32500000
"ChE()",2991990.014,2.8e+08,2.93e+08,2.69e+09,3.18e+09,3.31e+09
"ChE(18:1)",3620000,18100000,23600000,2.22e+08,2.66e+08,2.8e+08
"ChE(20:4)",657681.06,39400000,54900000,99100000,1.15e+08,1.13e+08
"ChE(20:5)",1035029.216,17100000,19400000,5175146.08,1035029.216,1035029.216
"ChE(22:6)",807279.519,98300000,1.04e+08,1.9e+08,2.27e+08,2.21e+08
"Co(Q10)",2988277.079,52700000,59800000,47400000,66800000,71200000
"Co(Q9)",41600000,3.15e+08,3.59e+08,7.13e+08,8.57e+08,8.18e+08
"DG(16:0_14:0)",15500000,1708890.851,3865691.909,26100000,24300000,24700000
"DG(16:0_16:0)",9006516.65,17700000,26500000,1.19e+08,1.29e+08,1.38e+08
"DG(16:0_16:1)",21200000,9007771.069,16100000,2.89e+08,2.91e+08,2.93e+08
"DG(16:0_18:1)",90600000,29500000,30600000,2.96e+08,3.44e+08,3.08e+08
"DG(16:0_22:6)",1.57e+08,6631990.569,12600000,56500000,65900000,60500000
"DG(16:1_14:0)",3276523.419,655304.6838,655304.6838,37600000,31500000,30100000
"DG(16:1_18:1)",7831931.273,6380906.67,12200000,2.51e+08,2.96e+08,2.95e+08
"DG(18:0_18:0)",33500000,50600000,50600000,1.3e+08,1.41e+08,1.36e+08
"DG(18:0_18:2)",3.39e+08,2892514.863,2130511.622,8826365.441,26800000,18200000
"DG(18:0_20:3)",24200000,37300000,26200000,1.26e+08,1.55e+08,1.87e+08
"DG(18:0_20:4)",2.12e+08,95400000,1.46e+08,5.14e+08,6.59e+08,8.32e+08
"DG(18:0_20:5)",2052567.703,4044414.832,1671458.23,10900000,23200000,32600000
"DG(18:0_22:3)",4447837.812,7312804.383,12800000,10300000,1.4e+07,18600000
"DG(18:0_22:5)",26700000,15800000,12200000,79600000,90400000,1.04e+08
"DG(18:0e)",26800000,26800000,26800000,1.34e+08,1.66e+08,1.63e+08
"DG(18:1_18:1)",58100000,16800000,24600000,1.9e+08,2.45e+08,2.02e+08
"DG(18:1_20:3)",2135903.475,6630264.091,10300000,37800000,53700000,5.7e+07
"DG(18:1_20:4)",14500000,16700000,34400000,1.94e+08,2.17e+08,2.31e+08
"DG(18:1_22:6)",7549977.455,10200000,9196191.577,36700000,4e+07,3.7e+07
"DG(20:0e)",21400000,21400000,21400000,1.07e+08,1.3e+08,1.29e+08
"DG(22:2e)",7680000,7680000,7680000,38400000,50200000,49500000
"DG(24:0e)",72183.2382,72183.2382,360916.191,1.57e+08,1.69e+08,1.83e+08
"DG(24:1e)",10260000,10260000,10260000,62500000,51300000,53100000
"DG(24:2e)",73915.5098,369577.549,418563.075,42400000,47200000,36700000
"DG(26:0e)",395617.5274,2581389.811,1978087.637,3.04e+08,3.75e+08,3.5e+08
"DG(26:1e)",61404.734,61404.734,307023.67,1.8e+08,2.15e+08,2.18e+08
"DG(28:0e)",2680000,13400000,17900000,1.74e+09,1.69e+09,1.85e+09
"DG(28:1e)",974264.2666,4871321.333,5621060.308,9.37e+08,9.77e+08,1.06e+09
"DG(28:2e)",723100.9168,3615504.584,7255584.023,1.3e+08,1.18e+08,1.35e+08
"DG(28:3e)",395810.7384,2581361.485,1979053.692,3.56e+08,3.77e+08,3.52e+08
"DG(30:1e)",24600000,38300000,41500000,4.49e+09,4.62e+09,4.74e+09
"DG(30:2e)",659061.538,37700000,41700000,6.2e+08,6.14e+08,5.74e+08
"DG(30:3e)",2720000,13600000,18100000,1.76e+09,1.8e+09,1.91e+09
"DG(32:0e)",8.1e+07,2.54e+08,2.92e+08,4.22e+09,5.2e+09,4.39e+09
"DG(32:1e)",8180505.704,1.54e+08,2.11e+08,3.59e+09,4.13e+09,4.24e+09
"DG(32:2e)",4279730.619,92400000,95600000,1.83e+09,2.16e+09,2.73e+09
"DG(32:3e)",53800000,1.26e+08,1.7e+08,5.06e+09,5.33e+09,4.92e+09
"DG(34:0e)",1.9e+08,3.36e+08,3.1e+08,4.32e+08,4.95e+08,3.85e+08
"DG(34:1e)",7862742.906,1.93e+08,2.19e+08,1.77e+09,2.27e+09,1.84e+09
"DG(34:2e)",486347.715,25200000,34400000,2.74e+08,2.97e+08,3.15e+08
"DG(34:3e)",7443336.228,2.53e+08,2.94e+08,4.12e+09,5.22e+09,4.34e+09
"DG(34:4e)",5153307.266,1.54e+08,2.1e+08,3.57e+09,3.57e+09,4.19e+09
"DG(36:1e)",0.418,13200000,15400000,84500000,1.07e+08,77100000
"DG(36:4e)",7862742.906,1.93e+08,2.19e+08,1.77e+09,2.27e+09,1.84e+09
"DG(38:1e)",508459.2032,2542296.016,2884393.915,10500000,17800000,18200000
"DG(38:2e)",11800000,4065787.201,3461426.837,12700000,15100000,16100000
"DG(38:4e)",37100000,32200000,42900000,1.74e+08,2.11e+08,1.63e+08
"DG(40:1e)",278272.0684,1921486.157,1391360.342,5334683.763,5777871.144,5105086.111
"Hex1Cer(d18:1_16:0)",7.03e+08,5.91e+08,6.2e+08,9.72e+08,1.07e+09,8.9e+08
"Hex1Cer(d18:1_18:0)",29500000,41100000,21100000,82700000,1.08e+08,79300000
"Hex1Cer(d18:1_22:0)",47800000,79500000,74400000,1.57e+08,1.79e+08,1.54e+08
"Hex1Cer(d18:1_24:1)",2.89e+08,1.94e+08,1.59e+08,7.16e+08,8.69e+08,6.5e+08
"Hex1Cer(d18:2_16:1)",633218.1975,2345158.757,1110180.067,6468946.728,8559572.55,4592684.423
"Hex1Cer(d18:2_24:1)",13300000,12500000,14600000,33200000,69100000,55700000
"Hex1Cer(d34:0)",9548555.27,13200000,15900000,1.4e+07,1.6e+07,10200000
"Hex1Cer(d34:1)",5.5e+08,4.47e+08,2.37e+08,7.37e+08,8.3e+08,6.8e+08
"Hex1Cer(d40:1)",28300000,41800000,48700000,1.45e+08,1.34e+08,96200000
"Hex1Cer(d42:2)",1.81e+08,3.24e+08,1.52e+08,5.11e+08,5.65e+08,5.18e+08
"Hex1Cer(d44:2)",2309122.454,4574224.686,4165587.098,7766750.231,8822014.245,7132309.385
"Hex1Cer(t18:0_22:0)",25400000,35800000,21700000,1.57e+08,1.79e+08,1.54e+08
"Hex1Cer(t18:0_24:0)",1.91e+08,3.56e+08,3.43e+08,5.05e+08,5.64e+08,4.78e+08
"Hex1Cer(t18:1_16:1)",633218.1975,2345158.757,1110180.067,6467188.516,8559572.55,4592205.403
"Hex1Cer(t34:1)",16500000,19600000,21400000,50400000,59200000,48100000
"Hex2Cer(d18:1_16:0)",78200000,93700000,1.42e+08,1.72e+08,1.89e+08,1.48e+08
"Hex2Cer(d18:1_22:0)",5999917.306,5330542.401,15500000,22100000,25200000,20900000
"Hex2Cer(d18:1_24:0)",35700000,74300000,54600000,63900000,64100000,54300000
"Hex2Cer(d18:1_24:1)",73100000,29900000,20300000,1.46e+08,1.85e+08,1.14e+08
"Hex2Cer(d34:1)",21500000,28700000,27200000,51100000,66900000,44400000
"Hex2Cer(d42:1)",7286712.806,21700000,17500000,23800000,26300000,20300000
"Hex2Cer(d42:2)",19300000,7365706.616,1e+07,59700000,75400000,54700000
"Hex2Cer(t18:0_24:0)",35700000,74300000,54600000,63900000,64100000,54300000
"Hex2Cer(t18:0_24:1)",73100000,65100000,66800000,1.46e+08,1.55e+08,1.12e+08
"LPC(16:0)",1.13e+09,1.57e+09,1.97e+09,4.84e+09,5.21e+09,6.6e+09
"LPC(16:0e)",1.9e+07,22700000,27700000,51200000,39700000,45400000
"LPC(16:1)",76100000,1.02e+08,1.27e+08,68600000,2.19e+08,57600000
"LPC(16:1e)",17200000,24700000,30900000,53900000,73700000,63100000
"LPC(16:2e)",7105895.478,4820629.328,7624948.331,19600000,22700000,2.3e+07
"LPC(18:0)",1.29e+09,2.3e+09,2.75e+09,6.51e+09,7.98e+09,8.04e+09
"LPC(18:0e)",7782528.601,1.4e+07,14200000,28500000,25300000,28600000
"LPC(18:1)",3.82e+08,7.76e+08,8.91e+08,1.31e+09,1.42e+09,1.31e+09
"LPC(18:1e)",17700000,24300000,3.6e+07,30800000,3.4e+07,31800000
"LPC(18:2e)",937781.197,7880890.265,7647870.395,21900000,28500000,26900000
"LPC(20:0)",19500000,27400000,31500000,71200000,91400000,94100000
"LPC(20:0e)",5067002.559,13500000,16500000,37200000,43600000,36200000
"LPC(20:1)",5.1e+07,88800000,97100000,1.59e+08,1.56e+08,1.43e+08
"LPC(20:2)",7227521.225,19700000,2.6e+07,27100000,24900000,24300000
"LPC(20:4)",71100000,1.02e+08,1.61e+08,52300000,4.7e+07,52900000
"LPC(20:5)",199352.4638,199352.4638,199352.4638,996762.319,1656583.495,3942996.473
"LPC(22:0)",20500000,20800000,22500000,66100000,76300000,67900000
"LPC(22:1)",13100000,24100000,26500000,67700000,84800000,7e+07
"LPC(22:5)",9.1e+07,1.15e+08,1.33e+08,67200000,72100000,73600000
"LPC(22:6)",93200000,1.27e+08,1.52e+08,66800000,50300000,81300000
"LPC(24:0)",74900000,1.09e+08,1.25e+08,2.95e+08,3.78e+08,2.97e+08
"LPC(24:1)",52600000,58100000,68700000,2.08e+08,2.54e+08,2.13e+08
"LPC(24:2)",1583656.439,2181295.434,6257626.039,2.4e+07,26700000,22900000
"LPC(26:1)",14500000,28600000,14200000,82300000,1.12e+08,81500000
"LPE(16:0)",19300000,26200000,31800000,84700000,99400000,75800000
"LPE(18:0)",90700000,1.13e+08,1.27e+08,3.34e+08,3.58e+08,2.95e+08
"LPE(18:1)",22600000,28800000,35400000,72600000,72200000,60900000
"LPE(18:2e)",1672069.69,9490890.984,4037018.956,3.3e+07,41600000,29600000
"LPE(20:3)",412794.892,3079749.334,1996897.467,1079954.809,3218044.395,922261.3665
"LPE(22:6)",7486716.099,16600000,29900000,19200000,19200000,1e+07
"LSM(d20:0)",1.92e+08,8582749.529,1.5e+07,62900000,11600000,51600000
"PC(14:0_14:0)",21900000,31400000,35600000,32800000,36300000,35800000
"PC(14:0_20:5)",5596494.025,5091314.733,8314531.388,9241763.422,8311644.749,7637676.074
"PC(14:0_22:4)",1.73e+09,1.8e+09,1.87e+09,2.18e+09,2.08e+09,1.72e+09
"PC(14:1e_16:0)",6921409.663,58600000,6313501.83,1.27e+08,1.52e+08,1.34e+08
"PC(14:1e_18:0)",1.91e+08,1.21e+08,1.78e+08,1.15e+09,1.15e+09,1.08e+09
"PC(14:1e_20:4)",17200000,21200000,2.4e+07,2.47e+08,2.64e+08,2.19e+08
"PC(16:0_14:0)",3.84e+08,5.13e+08,5.8e+08,5.7e+08,6.54e+08,5.98e+08
"PC(16:0_16:0)",9.26e+08,1.4e+09,1.5e+09,1.64e+09,1.81e+09,1.98e+09
"PC(16:0_16:1)",1.23e+09,1.8e+09,2.24e+09,3.74e+09,4.3e+09,3.8e+09
"PC(16:0_18:1)",2.13e+09,3.28e+09,3.82e+09,4.88e+09,5.15e+09,4.79e+09
"PC(16:0_20:3)",1.53e+08,54800000,3.85e+08,3.31e+08,3.73e+08,3.53e+08
"PC(16:0_20:4)",3.85e+08,5.64e+08,6.67e+08,5.94e+08,8.24e+08,6.81e+08
"PC(16:0_20:5)",5.4e+07,1.35e+08,1.69e+08,2.92e+08,3.57e+08,3.72e+08
"PC(16:0_22:1)",27900000,46900000,15500000,83300000,1.01e+08,87600000
"PC(16:0_22:5)",1.06e+09,9.03e+08,8.78e+08,6.31e+08,68800000,80700000
"PC(16:0_24:0)",2321946.389,21400000,25400000,42500000,42900000,38900000
"PC(16:0e_22:3)",4378286.561,7548797.127,7783612.261,23700000,22900000,22500000
"PC(16:0e_22:6)",3724822.365,11800000,5319723.186,40500000,29800000,36800000
"PC(16:1_14:0)",1.15e+08,1.51e+08,1.71e+08,2.37e+08,2.7e+08,2.56e+08
"PC(16:1_18:1)",4.11e+08,6.76e+08,6.89e+08,1.63e+09,2.12e+09,1.65e+09
"PC(16:1_20:4)",6e+07,98800000,2.5e+07,1.37e+08,1.3e+08,1.51e+08
"PC(16:1_22:6)",1.38e+08,2.07e+08,6.3e+08,5.05e+08,6.11e+08,5.37e+08
"PC(16:1e_18:0)",1.33e+08,3.57e+08,4.86e+08,4.66e+08,6.06e+08,5.56e+08
"PC(16:1e_18:1)",3.6e+08,6.56e+08,7.88e+08,1.36e+09,1.65e+09,1.5e+09
"PC(16:1e_20:4)",20400000,30200000,35500000,60200000,63900000,31400000
"PC(16:2e_22:3)",5824622.576,622843.5378,454022.9139,35900000,4.5e+07,3e+07
"PC(18:0_16:0)",1.38e+08,89200000,80600000,3.73e+08,4.06e+08,3.77e+08
"PC(18:0_20:4)",3.25e+08,5.22e+08,6.27e+08,8.39e+08,9.23e+08,9.04e+08
"PC(18:0_22:2)",16400000,5425662.222,33500000,35800000,45600000,40500000
"PC(18:0_22:3)",52800000,2.22e+08,8.9e+07,12700000,69500000,19100000
"PC(18:0_22:5)",1.11e+08,57200000,55400000,2.35e+08,2.52e+08,2.6e+08
"PC(18:0e_16:0)",5509856.316,6989986.887,7230225.388,11900000,12800000,10800000
"PC(18:1_14:1)",97300000,37900000,25700000,2.24e+08,3.05e+08,2.13e+08
"PC(18:1_18:1)",9.19e+08,5.85e+08,5.76e+08,2.3e+09,2.64e+09,2.43e+09
"PC(18:1_18:2)",1.81e+08,3.66e+08,5.12e+08,1.17e+08,5.24e+08,2.27e+08
"PC(18:1_20:4)",3.32e+08,3.48e+08,3.7e+08,5.91e+08,6.43e+08,6.3e+08
"PC(18:1_22:4)",32500000,2064779.621,1490887.275,1.8e+07,21800000,22800000
"PC(18:1_22:6)",2.37e+09,1.02e+09,1.44e+09,3.73e+09,4.04e+09,3.83e+09
"PC(18:1_24:0)",4507737.404,14300000,14700000,14100000,16200000,10700000
"PC(18:1e_20:4)",94300000,1.71e+08,2e+08,86700000,90400000,93500000
"PC(18:1e_22:5)",16300000,32300000,38300000,16400000,19700000,18600000
"PC(18:1e_22:6)",18900000,20900000,18400000,4925152.295,5277483.622,11500000
"PC(18:2e_18:0)",1.76e+08,2.9e+08,4.04e+08,1.36e+09,1.69e+09,1.12e+09
"PC(18:2e_20:4)",2.8e+07,4876341.258,9893295.615,17900000,65200000,2.6e+07
"PC(18:3e_18:0)",2.15e+08,4.33e+08,5.08e+08,6.4e+08,7.45e+08,6.62e+08
"PC(20:1_18:1)",9279442.641,16100000,12700000,1.31e+08,1.59e+08,1.51e+08
"PC(20:1e_18:1)",6874504.044,11100000,13700000,18700000,2.1e+07,17300000
"PC(20:3_22:1)",17500000,33600000,22200000,25300000,23900000,21200000
"PC(20:4e_18:0)",7.5e+07,1.66e+08,1.52e+08,3.51e+08,4.29e+08,3.53e+08
"PC(22:5_20:4)",2287550.634,4151778.91,1584085.143,3396995.863,2729887.532,2960964.059
"PC(24:1_18:2)",1144391.373,9906697.796,4268030.896,12200000,14400000,13100000
"PC(26:2e)",2209865.011,1901720.294,781203.5532,21100000,27600000,16800000
"PC(28:0)",4.52e+08,6.08e+08,6.95e+08,8.37e+08,7.62e+08,8.32e+08
"PC(28:2)",6687891.892,13200000,13500000,2790711.788,2093945.213,1970965.049
"PC(30:0)",8.07e+09,1.22e+10,1.38e+10,1.43e+10,1.54e+10,1.44e+10
"PC(30:0e)",1.61e+08,1.19e+08,1.69e+08,3.91e+08,3.79e+08,3.83e+08
"PC(30:2)",93900000,1.06e+08,1.24e+08,82300000,87600000,53900000
"PC(30:3)",11300000,6493628.57,7447724.804,30500000,33300000,28200000
"PC(32:0)",1.99e+10,2.59e+10,2.64e+10,2.96e+10,3.19e+10,2.98e+10
"PC(32:0e)",5.61e+08,1.02e+09,1.2e+09,1.84e+09,2.15e+09,1.77e+09
"PC(32:1)",3.4e+10,5.1e+10,5.7e+10,8.76e+10,6.77e+10,6.52e+10
"PC(32:1e)",1.02e+09,5.37e+08,2.11e+09,2.36e+09,2.61e+09,2.41e+09
"PC(32:3)",2.75e+08,3.73e+08,4.33e+08,2.81e+08,3.05e+08,2.76e+08
"PC(34:0e)",33900000,64800000,52900000,2.8e+08,3.21e+08,2.79e+08
"PC(34:1)",4.87e+10,6.78e+10,7.11e+10,9.21e+10,9.31e+10,9.14e+10
"PC(34:1e)",3.9e+09,7.57e+09,9.13e+09,1.08e+10,1.32e+10,1.12e+10
"PC(34:3)",7.16e+08,1.17e+09,1.43e+09,3.31e+09,4e+09,3.4e+09
"PC(36:0)",29800000,71600000,57200000,3.61e+08,4.05e+08,3.3e+08
"PC(36:0e)",13100000,9397494.445,9996385.072,43500000,48300000,47400000
"PC(36:1)",9.98e+09,5.69e+09,5.72e+09,4.65e+10,5.66e+10,5.17e+10
"PC(36:1e)",1.18e+08,7524899.535,2.43e+08,3.25e+08,4.06e+08,3.46e+08
"PC(36:2)",2.51e+10,1.02e+10,1.47e+10,4.59e+10,4.94e+10,4.74e+10
"PC(36:3)",1.85e+09,3.14e+09,3.96e+09,3.5e+09,5.19e+09,5.01e+09
"PC(36:4)",1.04e+10,1.55e+10,1.75e+10,1.7e+10,1.72e+10,6.22e+09
"PC(36:4e)",5.02e+08,8.17e+08,8.97e+08,4.18e+08,1.03e+09,4.67e+08
"PC(36:5)",1.98e+09,3.26e+09,3.77e+09,7.03e+09,8.35e+09,7.54e+09
"PC(36:5e)",6.06e+08,1.11e+09,1.32e+09,1.82e+09,2.02e+09,1.88e+09
"PC(36:6e)",89500000,1.51e+08,90200000,2.25e+08,2.65e+08,2.76e+08
"PC(38:0)",23600000,55600000,1.18e+08,9931838.454,55800000,60200000
"PC(38:1)",4.62e+08,2.08e+08,9.78e+08,1.63e+09,1.98e+09,1.71e+09
"PC(38:2e)",6304093.467,9754844.748,10400000,21700000,28500000,23600000
"PC(38:3)",1.52e+09,1.06e+09,9.76e+08,7.45e+09,8.91e+09,7.8e+09
"PC(38:3e)",10800000,7.5e+07,25500000,84800000,1.01e+08,87800000
"PC(38:4)",7.34e+09,1.31e+10,1.58e+10,1.82e+10,2.02e+10,1.95e+10
"PC(38:5)",1.19e+10,1.71e+10,1.92e+10,1.88e+10,1.93e+10,1.96e+10
"PC(38:5e)",1.14e+09,2.08e+09,9.47e+08,2.38e+09,2.81e+09,2.73e+09
"PC(38:6)",3.65e+09,2.8e+09,4.12e+09,7.44e+09,8.35e+09,7.95e+09
"PC(38:6e)",4.77e+08,2.91e+08,2.78e+08,1.7e+09,1.91e+09,1.78e+09
"PC(38:7)",6.31e+08,8.67e+08,9.79e+08,1.16e+09,1.23e+09,1.26e+09
"PC(38:7e)",80300000,2.78e+08,2.23e+08,5.29e+08,6.82e+08,6.7e+08
"PC(38:8e)",19600000,40900000,23700000,53400000,52100000,57700000
"PC(40:0)",42400000,1.31e+08,1.26e+08,1.12e+08,1.21e+08,1.01e+08
"PC(40:2)",2.83e+08,5.21e+08,1.32e+08,6.71e+08,8.62e+08,7.48e+08
"PC(40:3)",1.97e+08,3.29e+08,3.58e+08,4.49e+08,5.86e+08,5.23e+08
"PC(40:4)",3.99e+08,7.4e+08,1.89e+08,1.01e+09,1.21e+09,1.15e+09
"PC(40:5)",2.51e+09,4.46e+09,5.43e+09,6.64e+09,6.78e+09,7.28e+09
