"","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3"
"TG(16:0e_16:0_18:1)",8540000,42700000,49400000,2.15e+08,2.71e+08,2.76e+08
"TG(16:1_12:0_16:1)",2102915.147,30400000,19500000,3.93e+09,7.66e+09,7.83e+09
"TG(16:1_12:1_18:2)",6159945.438,43725.366,218626.83,1.08e+09,1.15e+09,1.12e+09
"TG(16:1_14:0_14:0)",2899284.297,41800000,53500000,3.94e+09,4.13e+09,4.48e+09
"TG(16:1_14:1_16:1)",1322993.602,55300000,70600000,1.1e+10,9.51e+09,9.41e+09
"TG(16:1_14:1_18:2)",1966940.433,59600000,68200000,3.57e+09,4.19e+09,3.86e+09
"TG(16:1_14:1_18:3)",1.3e+07,22200000,1.8e+07,7.85e+08,1.87e+08,3.11e+08
"TG(16:1_16:1_16:1)",16500000,3.49e+08,4.03e+08,3.59e+10,3.92e+10,3.81e+10
"TG(16:1_16:1_18:1)",45900000,1.06e+09,1.15e+09,3.57e+10,4.43e+10,3.8e+10
"TG(16:1_16:1_18:3)",5682124.491,39100000,50700000,1.64e+09,1.85e+09,1.84e+09
"TG(16:1_16:1_22:6)",2214268.68,33600000,59600000,5.66e+08,6.83e+08,6.5e+08
"TG(16:1_18:1_18:1)",75200000,2.3e+09,3.19e+09,2.3e+10,2.61e+10,2.03e+10
"TG(16:1_18:1_18:2)",75300000,7.5e+08,1.46e+09,7.44e+09,7.06e+09,6.43e+09
"TG(16:1_18:1_18:3)",32900000,2.63e+08,3.89e+08,1.1e+09,1.69e+09,3.12e+09
"TG(16:1_18:1_22:3)",17600000,2.47e+08,1.39e+09,1.61e+09,1.63e+09,1.56e+09
"TG(16:1_18:1_22:5)",10300000,4.11e+08,5.78e+08,6.95e+08,7.23e+08,7.28e+08
"TG(16:1_18:1_22:6)",7762848.455,2.65e+08,3.31e+08,6.46e+08,7.51e+08,7.12e+08
"TG(16:1_18:2_22:6)",764554.2363,28100000,47900000,64800000,71800000,73800000
"TG(18:0_16:0_16:0)",4669502.066,3.85e+08,2.21e+08,3.75e+09,4.14e+09,4.26e+09
"TG(18:0_16:0_18:0)",8404617.706,64200000,78400000,2.95e+08,3.08e+08,3.48e+08
"TG(18:0_16:0_18:1)",13600000,4.73e+08,5.68e+08,5.24e+09,5.63e+09,5.57e+09
"TG(18:0_18:0_18:0)",3507421.662,32600000,29600000,1.62e+08,1.42e+08,1.51e+08
"TG(18:0_18:0_18:1)",2352805.938,89900000,1.09e+08,6.76e+08,8.35e+08,7.3e+08
"TG(18:0_18:1_18:1)",13500000,7.59e+08,8.87e+08,5.14e+09,6.24e+09,4.29e+09
"TG(18:0_20:3_24:1)",581045.2128,25300000,2905226.064,45800000,71500000,4919408.152
"TG(18:0e_16:0_16:0)",293665.0654,1468325.327,1878901.454,15700000,18200000,18800000
