"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610005C13Rik",34.9446654143949,0.331394676309298,0.428136982842843,0.294988264281093,0.453725253790064
"0610007N19Rik",1621.64877932365,0.106520339180449,0.1004032838548,0.284331995621907,0.441585684805146
"0610007P14Rik",3307.89595321817,-0.67872413929435,0.0663433168593458,7.03805765946865e-25,1.06651854755499e-23
"0610009B22Rik",698.777759883478,0.26992513323327,0.122455936415664,0.0242493069483298,0.0576170431157467
"0610009D07Rik",1767.29618210024,-0.268320652364124,0.111405935123945,0.0143559947144999,0.0363024471552691
"0610009E02Rik",39.3417410879366,-0.3676546065024,0.395985500772187,0.230934513225666,0.377875992171573
"0610009L18Rik",64.9892998172335,0.0389676513642484,0.352644903283296,0.894910245147038,0.944364457084146
"0610009O20Rik",1366.84450548394,-0.0702223976507528,0.0909713165455388,0.436559502284199,0.60086695252874
"0610010F05Rik",1223.63860105164,-0.496964327417242,0.0858120213969861,4.33377913423709e-09,2.78561053913783e-08
"0610010K14Rik",265.610848609644,-0.0621336021828628,0.176247148435886,0.707193099818071,0.821642864687558
"0610011F06Rik",444.519948139532,0.00123625509346619,0.158423102984641,0.990055161112878,0.997887344009956
"0610012D04Rik",1.17343788000134,0.0232098363382308,0.59563690711735,0.846968935528482,NA
"0610012H03Rik",1.12197186731118,-0.0354392713822041,0.598610372694888,0.643019039940487,NA
"0610025J13Rik",11.7345678543561,-0.0495592299579659,0.561353355931679,0.817499106197886,0.896222447984868
"0610030E20Rik",1584.70946701592,0.253959621450805,0.0915361237037353,0.0049808021169052,0.0141995804951573
"0610031J06Rik",10768.4339068917,0.16563514357741,0.0470885202708565,0.00044995923857906,0.00157640358670568
"0610037L13Rik",1976.20922995815,-0.109231033264583,0.0805680544227798,0.167842248402912,0.294715634909753
"0610038L08Rik",8.63035617779313,0.439013719728258,0.743318954430901,0.108816775310501,0.207061037300187
"0610038P03Rik",0.725350171509177,-0.0225498534431808,0.59984444689233,0.751161415609839,NA
"0610039K10Rik",8.86397438415301,-0.360388108975535,0.540873731092349,0.26556500503051,0.42055431543967
"0610040B09Rik",46.0435699785402,0.0043075568004353,0.398958068758557,0.992371534062933,0.997887344009956
"0610040B10Rik",49.7161822639995,0.171799904698562,0.386921701576778,0.567647573972818,0.714073254042719
"0610040F04Rik",0.376747076072338,0.0241801236862386,0.59961898132652,0.840195918940078,NA
"0610040J01Rik",0.957584579785695,-0.00930556178208346,0.602801660738523,0.995547329592774,NA
"0610043K17Rik",29.6206516810932,0.705086614042001,0.693916368294907,0.0702158965673823,0.143889661407932
"1-Mar",146.007255416985,0.650158073608276,0.253278073696115,0.00484225211348068,0.0138605784642776
"1-Sep",186.634899179186,0.370293289131786,0.23025832710204,0.083026873609858,0.165611538871142
"10-Mar",0.23120507273858,-0.00392336582910707,0.603206071291731,0.995960931514382,NA
"10-Sep",1307.12182337706,-0.226860306534277,0.0852974518013355,0.00708848527555748,0.0194760882305368
"1010001B22Rik",6.80806598944001,-0.0323808396136485,0.568146695673655,0.864376086006909,0.926420135166031
"1010001N08Rik",91.3053163480575,0.503330727239578,0.251360385847838,0.027463933175712,0.0641127894297787
"11-Mar",1.70912587339974,-0.0695177426482767,0.608042011451372,0.413802239894184,0.578937886286111
"11-Sep",14968.2170178595,-0.661605383075773,0.0322901635307065,1.28890274881927e-93,9.13229897435613e-92
"1100001G20Rik",532.947331513286,5.79472909592187,0.247790690925869,7.64160490319292e-122,8.34708878443412e-120
"1110001A16Rik",493.972595347276,0.0480709034086198,0.132641779157857,0.707520551854941,0.821857807766175
"1110001J03Rik",332.760831878408,-0.0531777006989681,0.155538560681437,0.72252863401117,0.832179938664343
"1110002E22Rik",44.3069096724882,-0.323509547118359,0.493225304584642,0.310203243845605,0.471335653306917
"1110002J07Rik",9.30061184958092,0.150744728704289,0.58340250204573,0.47950456071768,0.639129915057519
"1110002L01Rik",566.196687012988,-0.0272600361046146,0.188734617260942,0.882946480277172,0.936846090126029
"1110004E09Rik",601.823063604616,-0.016968085261552,0.14721819576211,0.905073961870594,0.950720581436134
"1110004F10Rik",4414.38992814097,-0.152493015772282,0.0525867132838813,0.0036223948000869,0.0106752155092974
"1110006G14Rik",16.5780826741664,5.83708018150934,2.28479422029218,1.26858581201711e-05,5.56667102733762e-05
"1110007C09Rik",837.653991561841,0.286868537622998,0.118611835429895,0.0132746046918382,0.033885255746399
"1110008F13Rik",5271.17959603684,-0.00807782183485026,0.0544260841771625,0.867108048262459,0.928047345950332
