"","Sample430","Sample433","Sample439","Sample464","Sample191","Sample197","Sample270","Sample428","Sample429"
"O95236",425093.0918,356992.8594,143469.5913,14681.93369,152998.9553,238125.8198,107458.1345,25449.5264,152493.4057
"P05413",419694.8835,258871.8125,51285.58748,264138.2114,336809.7852,376220.6538,256427.9374,51285.58748,784694.9799
"P21926",966273.9235,487932.5,1276368.993,894382.6012,716466.6133,780670.5515,949451.6375,1430775.199,614356.4408
"Q16658",1439245.956,811653.8125,3198534.074,1664736.987,2550771.535,1572266.639,2105504.566,2781872.835,2403845.004
"Q8N6C5",452471.4614,227878.4766,952697.907,548311.1554,1023585.495,368930.0096,983341.8378,1038070.049,911739.5117
"C9JVW0",1948820.033,717128.125,3725436.538,3179399.789,2292378.774,1396721.38,5908159.047,4514929.898,5830527.901
"Q8WZ75",720159.8835,290557.7813,454529.4171,441075.8178,440387.6592,331501.8738,588750.1116,406407.004,617956.6736
"Q14CZ8",7501.529894,7501.529894,7501.529894,140470.2658,313043.0603,37507.64947,114385.6917,319693.4318,243198.4983
"Q9ULL4",304454.7701,179138.9063,597820.9626,178495.6981,345361.0364,265353.4756,373025.3579,374578.6748,380448.9572
"Q9NZ08",448111.9204,325972.1563,543378.3455,481133.9716,478591.3283,417992.2912,450243.6208,812773.9384,384478.7104
"Q9NQX5",12005552.46,3503933.25,11854767.16,14651335.59,14594956.58,6068680.995,14770728.09,22755982.12,25910814.06
"P15509",386921.0778,77384.21556,521019.713,682280.3137,1098614.523,563593.6148,559424.7456,1112715.083,77384.21556
"O75093",69581.96716,24974.25586,196589.0451,125794.3213,373057.1383,79686.92816,295536.5011,368429.8239,290954.1976
"P78504",131761.8389,62538.33594,264313.5583,176264.6764,282167.4796,76892.06269,132789.1761,199821.6101,227456.8169
"Q9UKJ1",1133115.338,547693.5625,1110861.411,1509752.331,1688251.56,792457.7729,710027.4782,453536.5005,1186829.127
"Q9H2D1",30907266.72,252919836,15824489.73,173182894.1,62280159.61,718178956.6,390274658.2,151259164.9,538500988.9
"P00488",111833.6305,227390.0781,252169.3572,64496.08427,59685.10391,74660.98417,75089.15254,70918.58377,143614.7213
"O95633",527302.633,235941.0313,371729.6444,183391.8868,636825.7375,218124.7589,371425.2879,270603.5171,255362.7022
"P63165",142443.2405,18079.51987,449351.4882,150408.125,90397.59935,18079.51987,374874.1308,222291.8471,160993.0958
"P37837",681537.199,2435.843946,2435.843946,12179.21973,2435.843946,2435.843946,502679.3691,2435.843946,2435.843946
"Q02952",167650.8863,61386.04297,167384.5161,142416.778,380363.1415,88319.66743,316752.5421,241780.1101,284231.8412
"Q13275",218195.9928,107572.8594,171885.341,117858.3568,346242.2744,21514.57188,211448.5805,253177.8019,309068.2863
"Q9Y6R1",110700.1209,17988.128224,104364.5211,17988.128224,245366.6525,17988.128224,89940.64112,203668.0342,228292.8139
"Q86V81",323584.7889,55283.76172,493970.1058,10436.292418,52181.46209,59925.07273,192695.1122,10436.292418,10436.292418
"P52907",28383.17188,141915.8594,1047894.705,28383.17188,28383.17188,28383.17188,28383.17188,28383.17188,28383.17188
"Q9H8J5",729854.1711,140223.89596,701119.4798,140223.89596,140223.89596,140223.89596,140223.89596,976937.9763,140223.89596
"P16112",259462.6958,94963.70313,203350.6307,325732.4889,18992.740626,316929.4732,421635.9918,174611.9919,18992.740626
"P78417",694974.3255,633905.875,1816105.667,579323.7531,683687.7418,588379.9263,685685.2829,783444.3331,712732.3718
"Q8WVN6",1438417.168,304664.9375,1308069.105,747254.866,1528358.176,709140.4215,2129514.684,151481.8833,1041103.383
"O14672",354576.1825,31880.9716,332277.9915,169147.5153,324073.4028,289038.6582,159404.858,245724.194,378324.8248
"Q9Y287",6636425.4,1946086.5,13891091.59,5040687.48,8234091.442,2991487.887,8125168.956,8153248.886,11822520.54
"Q8N111",383872.5021,365138.1875,1102098.203,682205.304,1486591.689,733436.756,1180783.989,785207.5162,1974964.269
"O95467",242178.4166,82009.46094,690257.9112,210378.2,405612.3668,16401.892188,275446.9391,374371.3424,263584.5465
"O00187",38530.22072,1695113.875,38530.22072,905091.1986,1180436.426,1283888.997,456717.0851,192651.1036,1218377.018
"P60842",3697.126994,3697.126994,538647.2098,3697.126994,3697.126994,3697.126994,18485.63497,3697.126994,3697.126994
"O95897",317411.8352,243271.7188,416107.6646,315457.6214,466981.4642,303163.4376,414325.6713,285252.0564,769334.8624
"Q13145",1477738.617,392279.5625,1545766.052,893509.5816,1659853.073,651278.8594,1422421.492,1064251.036,1295444.349
"Q9UII2",19742.970516,19742.970516,184487.7308,255433.6737,174221.4875,166209.3604,159618.3885,98714.85258,19742.970516
"P19438",2552175.17,100216.1797,2188828.48,518556.4154,469430.2056,265680.5667,200705.5112,1201572.459,673529.3759
"P02655",1359139.237,3009329.5,1101604.504,1085943.078,1175375.776,3950484.82,536892.6014,426960.8835,989559.4991
"Q9UHF0",542212.5835,66267.19778,693246.5319,331335.9889,1245204.062,66267.19778,1076740.968,1020672.131,1586844.501
"Q96PQ0",4923682.98,1664417,6478804.295,6499094.039,702827.5967,3091036.733,8384616.798,9122078.032,10280976.05
"Q14574",350696.1961,70139.23922,477527.7029,70139.23922,70139.23922,70139.23922,827958.3362,1554345.438,530977.9712
"Q9NT22",157534.8571,4253.237366,86190.4903,21266.18683,191557.7795,4253.237366,102278.3555,144971.3083,65085.28588
"Q9Y639",1518851.897,218832.0313,2015029.574,749213.84,2285677.03,290580.1474,1076871.216,2335230.344,1563791.931
"O00754",258148.9583,131548.5469,241551.1734,26309.70938,147422.731,205727.814,348783.001,286867.9716,214392.7334
"P84103",7631.21875,38156.09375,509915.7605,7631.21875,7631.21875,7631.21875,7631.21875,7631.21875,7631.21875
"Q7Z5B4",412039.0605,108615.6641,373127.9252,271492.7034,475531.1304,142794.7879,416137.875,776299.6484,675740.1873
"Q8IX30",719215.6784,459567.5,437113.9985,803954.4247,664393.945,468780.1952,1240747.733,537610.9055,592862.2798
"Q969H8",695827.5559,62068.05859,384389.2886,220082.0516,389978.5831,161501.0245,354269.7601,857697.0116,630474.7392
"P14317",477041.2114,124702.5078,439403.8022,149070.9403,140329.1128,69481.03212,231523.0522,83911.88159,110284.5773
"Q9H3K6",1694197.536,123603.5703,2139252.686,24720.71406,202698.5309,24720.71406,24720.71406,24720.71406,129623.8257
"P29323",300338.7323,91008.66406,359387.6556,133193.3876,136743.788,95104.07681,543465.5378,285731.076,222600.2182
"Q13443",325706.9898,325706.9898,325706.9898,325706.9898,2581616.693,325706.9898,1628534.949,1946638.996,1776309.713
"P12107",318109.0792,277249.0313,603492.6832,337452.5581,582987.9057,417035.5486,585664.6483,388533.3192,651530.7228
"P07996",239933.2171,215894.1406,453571.5235,386612.7129,365371.7586,223672.6004,342329.2982,382368.7039,521652.906
"P07686",645936.5907,237416.3125,47483.2625,253845.658,448895.8769,385206.21,672152.2847,601523.0278,465129.7293
"P31150",434962.2345,233222.2031,1950576.904,592263.0526,686807.2356,383195.2769,483219.5444,612013.9649,450865.4949
"O43173",288476.4335,118634.0547,397124.7893,160903.0527,363518.9433,119394.1126,269489.4742,592936.2758,184381.4861
"P35613",650244.4741,233727.6875,783224.7165,534545.3439,1368510.684,377292.5801,972183.7332,1265915.45,1038632.946
"O60812",128463.366,117963.9297,1256640.117,23592.78594,23592.78594,23592.78594,23592.78594,23592.78594,23592.78594
"P21810",77301.35617,15460.271234,159095.4041,199357.5338,187935.3216,15460.271234,202600.9324,276902.4295,230262.9219
"O75629",18342.40625,91712.03125,103894.2518,148219.7446,324171.4598,177261.5965,529838.5633,398145.0793,304084.2111
"P14138",562195.2366,383722.0625,851959.9735,498987.8327,1249721.161,76744.4125,664211.517,1162944.747,1684072.937
"Q16143",176948.0987,28649.49458,143247.4729,382925.3058,788188.9914,458970.6572,503070.1126,301995.9296,828210.5766
"Q9H3S1",184626.5313,323365.25,573458.336,99455.6951,2963.79373,376061.8249,366288.7187,14818.96865,2963.79373
"P05305",231314.2161,99273.89063,375395.6156,19854.778126,375681.2134,134290.2317,369199.8542,350422.8397,472985.3723
"P51674",205348.2045,223521.5156,294758.8185,374083.3383,630981.3208,189868.9708,910023.2705,1357820.872,281106.612
"P14384",946369.2488,364829.2813,1494917.676,697340.397,820604.2321,744093.0111,1221915.654,1009315.746,777755.0462
"O14556",17254.07044,3450.814088,241136.3509,437219.4294,93300.69309,179271.2695,1438675.3,703469.7052,412722.5658
"Q6NXS1",23684.74593,21765.44727,200682.7144,15722.52176,30894.73508,10502.90911,23566.83936,12790.07744,31602.6633
"P50897",81842.15351,16368.430702,186336.8548,95594.45582,16368.430702,107650.3082,275202.6786,156790.679,178812.6569
"P63208",972963.9007,409669.2813,1381712.281,645224.9422,847523.6648,654280.3403,496336.2442,799993.0864,1047275.132
"Q76KP1",318523.3836,92135.67969,538448.8677,181830.7915,167081.8986,160121.9054,612832.9104,816939.4229,527639.8643
"P26583",12872.769962,164129.2656,3435471.777,273973.6294,12872.769962,64363.84981,12872.769962,12872.769962,199439.7796
"P01130",42704.48369,7656.871582,66592.9702,24349.22701,834947.8395,9976.81016,49562.40142,36442.73367,30739.689
"P50281",200590.7536,3733.486046,173158.7494,122848.4792,18667.43023,78655.72087,96503.26732,173985.6846,100334.5034
"Q03405",775932.9635,502906.4688,1704063.221,1264822.819,1225751.569,100581.29376,2126616.257,907650.3388,1185829.872
"Q86Y82",249409.8302,56430.58594,379134.0247,174715.3239,248422.578,11286.117188,219868.2517,304013.6186,323593.9045
"Q6UWH4",464763.9822,369946.5,821694.4531,480727.7852,373110.887,501150.0202,385959.8985,338146.6893,371372.4142
"Q6NUM9",35344592.89,21306025.44,16319836.71,45278907.85,15443978.69,38160409.49,40773506.86,23027473.4,32757548.14
"P62987",1763159.44,594766.3125,2554286.778,1393725.016,4630197.553,928409.4189,5413553.579,2151863.46,3168251.25
"Q96CG8",368112.8685,431046,690425.0853,550843.6056,869853.3692,338697.8773,501024.4796,289790.9587,916747.9087
"Q8N729",4225.572724,4225.572724,119030.6385,171048.878,4225.572724,21127.86362,52864.72695,4225.572724,116150.6686
"Q14315",430025.7852,47562.56286,562309.6026,270111.5034,47562.56286,237812.8143,561378.509,250675.5658,534609.4238
"Q9H1B5",322914.2829,15804.811694,288961.0398,79024.05847,186694.0704,164471.7058,197969.2339,281820.4566,362178.5493
"Q16555",393121.9021,157129.2813,602409.0087,455308.3507,1066489.181,503934.9812,761459.4846,1151358.001,1061493.361
"Q9UIK5",9302.077028,9302.077028,176585.4319,46510.38514,187730.4563,9302.077028,141978.4614,229247.1789,104078.2692
"P57087",234206.5073,19421.730374,385500.0657,102095.084,134276.9538,19421.730374,97108.65187,130369.2042,108269.7625
"Q8NBP7",385630.1734,233191.1563,321416.3921,277295.9096,251808.2486,151782.2685,316175.2657,517499.8672,312668.0794
"O43278",35179.74704,35179.74704,35179.74704,316332.3665,214583.8573,175898.7352,188347.7012,487251.2548,421558.2885
"P31995",1856116.958,350052.375,1330881.153,852437.5275,1105790.943,500191.373,2285590.803,577849.1856,1341048.763
"P50238",8405900.723,3051824.25,10571741.33,5388601.351,9023001.011,6105468.032,7301988.664,18534565.35,10490217.73
"Q9UF11",175695.0061,34093.30469,215446.0471,155659.9025,673118.8115,57053.47105,279561.768,332016.217,271801.2516
"Q8NCW5",231315.8406,68128.80469,274169.0953,64283.26138,299437.2232,24248.21075,140101.7979,324122.7811,138839.1129
