"subclass","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3","D2_1","D2_2","D2_3","D4_1","D4_2","D4_3","D6_1","D6_2","D6_3","D8_1","D8_2","D8_3"
"DG(14:0)",9388261.7095,854445.4255,1932845.9545,31850000,27900000,27400000,12606156.7285,6719189.0215,8392163.468,13400000,19100000,12491513.7855,12438602.0335,1.6e+07,21900000,18950000,1.7e+07,17450000
"DG(16:0)",151156516.65,41124326.2445,58082845.9545,452800000,491600000,481100000,209950000,174300000,195150000,322650000,302050000,331900000,259450000,325350000,279250000,391400000,498800000,374550000
"DG(16:1)",16154227.346,7694338.8695,14150000,288800000,309250000,309050000,86056156.7285,64869189.0215,81392163.468,185400000,188400000,217191513.7855,161788602.0335,1.93e+08,189200000,2.34e+08,249300000,207050000
"DG(18:0)",337700202.7575,131974867.039,151100984.926,504813182.7205,625200000,732200000,391329838.592,338496036.6545,384935148.5785,1271340868.869,872700000,378800000,668250000,895950201.986,558735859.286,727350000,627600000,754950000
"DG(18:1)",120343842.7315,76500733.3125,110420920.9815,618409054.6385,755605110.6285,680765437.5905,383859754.4915,287528208.8765,310751429.89,855199735.4205,672574542.6965,709212250.624,529440140.3775,677459066.8315,523146230.597,668136399.5255,711757550.241,604621069.397
"DG(18:2)",169500000,1446257.4315,1065255.811,4413182.7205,13400000,9100000,4171272.086,3640085.0505,3480054.1825,3440868.869,6800000,8e+06,10300000,2250201.986,8950000,10900000,10150000,13250000
"DG(18:4)",538230.4915,22450000,33300000,12700000,28400000,11050000,46350000,36300000,42950000,107500000,29400000,120500000,24150000,16350000,26950000,11200000,21400000,15100000
"DG(20:3)",13167951.7375,21965132.0455,18250000,81900000,104350000,1.22e+08,50750000,38800000,53050000,225500000,153850000,110350000,98300000,149150000,86400000,127900000,110600000,128500000
"DG(20:4)",113250000,56050000,90200000,3.54e+08,4.38e+08,531500000,2.77e+08,217700000,235550000,1058500000,743500000,357500000,461500000,6.73e+08,403500000,523500000,427500000,5.5e+08
"DG(20:5)",1026283.8515,2022207.416,835729.115,5450000,11600000,16300000,14300000,9200000,11600000,49250000,28900000,6500000,15350000,18100000,13400000,16950000,10500000,15850000
"DG(22:1)",396706.1385,516683.4025,1373217.723,3825495.6425,3679794.091,3715437.5905,3859754.4915,1880694.689,3951429.89,2999735.4205,4324542.6965,1589596.3805,4400135.5595,5100000,3198645.9915,4295863.754,3801431.519,4835185.678
"DG(22:3)",2223918.906,3656402.1915,6400000,5150000,7e+06,9300000,4908566.506,4005951.604,4705094.396,12850000,8800000,6100000,7100000,10100000,4485859.286,8e+06,5100000,7350000
"DG(22:5)",13350000,7900000,6100000,39800000,45200000,5.2e+07,31950000,22750000,26250000,9.9e+07,65500000,26600000,54500000,7.1e+07,42900000,58500000,47850000,59500000
"DG(22:6)",82274988.7275,8415995.2845,10898095.7885,46600000,52950000,48750000,38700000,2.5e+07,32400000,78600000,60150000,41400000,44750000,70650000,42600000,56700000,53100000,53650000
"DG(24:1)",NA,2028464.5295,2799607.47,4133558.996,3175316.5375,NA,6800000,4797514.1875,5400000,5650000,5600000,4372654.2435,4840004.818,4859066.8315,4447584.6055,1990535.7715,3456118.722,2685883.719
"LPC(16:0)",1.149e+09,1592700000,1997700000,4891200000,5249700000,6645400000,2789700000,2476800000,2699700000,5288300000,4642400000,4556200000,4123400000,3486700000,1372400000,5322800000,5182600000,5046200000
"LPC(16:1)",93300000,126700000,157900000,122500000,292700000,120700000,77100000,6.1e+07,70700000,341100000,339700000,316800000,310700000,226300000,104800000,333900000,324200000,302100000
"LPC(16:2)",7105895.478,4820629.328,7624948.331,19600000,22700000,2.3e+07,12400000,10500000,13800000,20100000,19600000,2.2e+07,19700000,15100000,5803437.018,22800000,21800000,19400000
"LPC(18:0)",1297782528.601,2.314e+09,2764200000,6538500000,8005300000,8068600000,4376400000,3484900000,4669900000,6655800000,5704500000,5224100000,5369100000,5115400000,1636606634.513,7727100000,7120800000,6741500000
"LPC(18:1)",399700000,800300000,9.27e+08,1340800000,1.454e+09,1341800000,1058200000,810900000,908500000,1581100000,1454800000,1334600000,1589500000,1.214e+09,480575757.418,1604100000,1475900000,1443900000
"LPC(18:2)",937781.197,7880890.265,7647870.395,21900000,28500000,26900000,14400000,13300000,9720112.303,23800000,19800000,1.7e+07,18400000,15400000,7246435.383,3.2e+07,24800000,22500000
"LPC(20:0)",24567002.559,40900000,4.8e+07,108400000,1.35e+08,130300000,76500000,59700000,64400000,104700000,92500000,90100000,8.9e+07,84900000,30953499.664,1.17e+08,110200000,122300000
"LPC(20:1)",54699254.164,95279194.559,104468550.605,175600000,176500000,160800000,194600000,144557883.99,152493034.044,188800000,152500000,1.73e+08,220900000,165600000,58884210.456,184900000,1.81e+08,174600000
"LPC(20:2)",7227521.225,19700000,2.6e+07,27100000,24900000,24300000,8621549.139,6768661.677,8081376.849,11900000,11800000,27900000,27800000,10900000,7896599.225,34200000,29400000,31400000
"LPC(20:4)",71100000,1.02e+08,1.61e+08,52300000,4.7e+07,52900000,53500000,36200000,44200000,71900000,70600000,6.4e+07,47800000,35900000,16700000,62200000,65100000,63200000
"LPC(20:5)",NA,NA,NA,996762.319,1656583.495,3942996.473,6103757.564,1216391.828,4917049.164,8276504.988,11200000,10900000,11700000,6175777.883,NA,9089740.566,9281835.384,NA
"LPC(22:0)",20500000,20800000,22500000,66100000,76300000,67900000,3.2e+07,24200000,26900000,50200000,48700000,43900000,47900000,58900000,17300000,65300000,76800000,66900000
"LPC(22:1)",13100000,24100000,26500000,67700000,84800000,7e+07,47500000,36900000,42100000,75500000,43400000,56400000,40600000,45100000,21200000,52300000,41300000,41800000
"LPC(22:5)",9.1e+07,1.15e+08,1.33e+08,67200000,72100000,73600000,95200000,7.7e+07,79500000,80600000,6.6e+07,70100000,76700000,70700000,27700000,87100000,84700000,86100000
"LPC(22:6)",93200000,1.27e+08,1.52e+08,66800000,50300000,81300000,85600000,57300000,66700000,74600000,53400000,71500000,7.7e+07,51700000,24400000,7.5e+07,71200000,70600000
"LPC(24:0)",74900000,1.09e+08,1.25e+08,2.95e+08,3.78e+08,2.97e+08,1.72e+08,1.22e+08,1.46e+08,2.95e+08,2.39e+08,2.35e+08,2.96e+08,3.34e+08,80800000,3.77e+08,4.42e+08,3.12e+08
"LPC(24:1)",52600000,58100000,68700000,2.08e+08,2.54e+08,2.13e+08,1.51e+08,94100000,1.24e+08,1.93e+08,1.46e+08,1.3e+08,1.69e+08,2.08e+08,51700000,2.37e+08,2.1e+08,1.85e+08
"LPC(24:2)",1583656.439,2181295.434,6257626.039,2.4e+07,26700000,22900000,10200000,8715025.701,8756805.434,16300000,11400000,11900000,1.7e+07,1.7e+07,4507425.446,23400000,23700000,19700000
"LPC(26:1)",14500000,28600000,14200000,82300000,1.12e+08,81500000,52600000,3.1e+07,34200000,82200000,77400000,61300000,93400000,1.04e+08,23900000,1.05e+08,99400000,92500000
"LPC(28:0)",67900000,1.02e+08,1.11e+08,53500000,4.9e+07,48500000,73600000,47200000,46900000,49500000,56400000,44900000,39600000,37400000,20200000,50500000,50500000,43100000
"LPE(16:0)",19300000,26200000,31800000,84700000,99400000,75800000,35900000,3.3e+07,33600000,87300000,80500000,78700000,75500000,74100000,38100000,85700000,1.03e+08,84600000
"LPE(16:1)",6423830.11,3516198.025,10600000,32200000,38400000,27500000,16400000,1.3e+07,14300000,45600000,39200000,36400000,3.1e+07,3.3e+07,2.1e+07,34500000,40600000,34100000
"LPE(18:0)",90700000,1.13e+08,1.27e+08,3.34e+08,3.58e+08,2.95e+08,1.49e+08,1.31e+08,1.1e+08,2.28e+08,2.26e+08,2.17e+08,2.76e+08,2.85e+08,1.5e+08,3.27e+08,3.33e+08,2.73e+08
"LPE(18:1)",22600000,28800000,35400000,72600000,72200000,60900000,3.2e+07,30800000,37600000,66700000,65700000,64500000,74800000,68900000,4.2e+07,7.7e+07,77700000,91800000
"LPE(18:2)",1672069.69,9490890.984,4037018.956,3.3e+07,41600000,29600000,21600000,18200000,18300000,45600000,4.4e+07,42300000,34900000,35400000,21200000,38500000,45300000,4e+07
"LPE(20:3)",412794.892,3079749.334,1996897.467,1079954.809,3218044.395,922261.3665,2242264.862,2026858.078,1390137.035,3002180.067,2898063.012,2367938.922,2600959.543,3992732.527,1493699.877,2996359.199,3375930.468,1924357.368
"LPE(22:6)",7486716.099,16600000,29900000,19200000,19200000,1e+07,23600000,18900000,10100000,13900000,16400000,12700000,24700000,11600000,12800000,14200000,13500000,12500000
"LPE(24:1)",NA,468304.344,NA,932959.693,2205234.68,563949.673,539815.144,275386.389,323482.352,1567613.278,1033813.947,1513229.79,1132969.489,2226133.294,692560.858,2081248.307,554233.9287,1905217.966
"PC(12:0)",1173103.62,1594057.0615,1712262.163,524261.481,519214.3725,149912.4715,828016.022,649695.5575,822403.7805,676509.762,728052.0355,559138.932,316808.343,642588.7095,NA,505439.4185,1464201.4555,732245.952
"PC(14:0)",1144548247.0125,1269376615.8725,1361257265.694,1531960533.608,1544429952.772,1329573378.4025,1270373420.7765,1113662873.0355,1175457285.149,1286650000,1532282860.498,1323065479.564,1423576413.9725,1330003787.0505,1185048755.537,1314617438.9865,1363205818.688,558177537.2855
"PC(14:1)",163360704.8315,123033007.6775,122056750.915,890350000,964600000,844800000,725700000,501550000,520950000,1099100000,890350000,830650000,938400000,1095100000,643900000,1068800000,1149150000,1027900000
"PC(14:2)",476474.443,91930.21695,401349.5751,1858688.553,1608621.4545,1764397.249,457069.118,643769.39,239218.022,1066803.464,1010995.213,921079.616,1896931.618,1791290.7575,2388407.337,1720964.557,1823941.1265,2150341.855
"PC(16:0)",3719551264.267,5147713449.0685,5945285793.4955,7510474261.481,8057619214.3725,7671299912.4715,7072240534.058,5947640339.3205,6314611214.626,7670476509.762,7730369143.3655,7560559138.932,7381759930.5265,7849814124.8445,4753590182.1395,8436005439.4185,8505764201.4555,7969282245.952
"PC(16:1)",1239587827.1645,2000715126.3905,2545754357.591,4076284876.938,4.889e+09,4249350665.7995,3333050000,2662800000,2776550000,4139850000,4142484560.9455,3229600000,3249850000,5197700000,2785582512.019,4444786743.083,4711550000,3606150000
"PC(16:2)",2912311.288,311421.7689,227011.45695,17950000,22500000,1.5e+07,11400000,3246462.254,3523957.3255,13650000,11100000,NA,13850000,13800000,9700000,19800000,16900000,18050000
"PC(18:0)",719354928.158,1134907824.5545,1310365112.694,2737200000,3164450000,2691200000,2590866141.0555,1927593655.0635,2275038810.8455,3263700000,2972491091.33,2893756528.7435,2408193122.1835,3054073814.3725,1381769525.85185,3265200000,3.305e+09,2945850000
"PC(18:1)",3953433739.171,3912152239.256,4549078891.9545,8712877471.2825,10025895464.455,9014729706.7745,9091402141.337,7404067160.9731,8021530049.0035,9363093424.048,9503307195.0735,8511441091.584,8091324602.2535,10374973009.3878,5940425370.1855,9888037408.5205,10325240385.841,8720048734.65815
"PC(18:2)",234122195.6865,356341519.527,502630663.2555,842550000,1258300000,790050000,1020400000,796800000,838650000,1174100000,1043500000,1133550000,786100000,962100000,520076342.819,1047250000,1269050000,941450000
"PC(18:3)",119550000,283930958.506,335500000,450539651.897,533474130.3975,479454540.3655,452650000,3.47e+08,373315036.106,605950000,5.37e+08,374700000,480610869.3075,591750000,326755836.626,524067438.9865,544306190.654,509477537.2855
"PC(20:1)",8076973.3425,13600000,13200000,74850000,9e+07,84150000,62813726.8215,48626550.8255,51557547.212,69200000,67200000,7.1e+07,71750000,77650000,43300000,87950000,97050000,80800000
"PC(20:3)",85726474.443,44291930.21695,204001349.5751,180008688.553,200058621.4545,188864397.249,82657069.118,69243769.39,76139514.1715,135166803.464,129260995.213,128271079.616,129677497.661,145871486.8045,75673403.759,190670964.557,193123941.1265,177750341.855
"PC(20:4)",669749633.792,965569688.4325,1056569617.2845,1464344152.921,1718546833.798,1546416825.628,1622090467.161,1305738708.444,1365508832.005,1800488960.872,1559373819.751,1456452212.705,1481607433.788,1565120097.8765,854606398.8295,1752612122.7715,1600406343.923,1542383795.6325
"PC(20:5)",30687159.17,73437948.9855,91448955.376,154893222.2585,188994706.3825,194239130.9915,175377562.933,131590371.3105,141187816.8615,288698371.798,207909223.0075,212188345.5425,146313149.4645,144703787.0505,80325430.93,247221182.913,208731929.7545,181750000
"PC(22:1)",22700000,40250000,18850000,54300000,62450000,54400000,34900000,2.9e+07,29300296.1495,58150000,49650000,48350000,41580566.043,45680196.047,22884996.422,60600000,57400000,52200000
"PC(22:2)",8200000,2712831.111,16750000,17900000,22800000,20250000,14750000,756537.57,14550000,18550000,18800000,606528.7435,19900000,21700000,166526.61885,22800000,24250000,21350000
"PC(22:3)",31501454.5685,115085820.3324,48618817.58745,36150000,68700000,35800000,136950000,103696462.254,257673957.3255,150850000,336250000,284300000,126800000,385500000,7.4e+07,162650000,153650000,42050000
"PC(22:4)",881250000,901032389.8105,935745443.6375,1.099e+09,1050900000,871400000,786950000,750750000,824150000,873950000,1095950000,894750000,9.77e+08,832750000,883196545.7425,796100000,825600000,21600000
"PC(22:5)",636119581.2995,520260013.4185,525980755.7845,533500580.303,284731865.08,279056774.87,627851760.3645,565363209.473,648383409.8465,599192678.9885,634743125.778,641111969.513,533952647.8815,597794761.311,538525460.506,320996760.6165,539388107.639,535473177.928
"PC(22:6)",1272462411.1825,635121653.673,1052898056.1962,2157030023.757,2372488877.776,2229988531.822,3128331981.99,2512381024.5445,2656427594.3085,2503926562.08,2536802533.8565,2402883241.3335,2198622765.5715,2457850813.0375,1560029458.3815,2684852821.305,2650904069.3595,2448687471.4265
"PC(24:0)",10114841.8965,81850000,90550000,157800000,188550000,170300000,178450000,134935270.214,151050000,253700000,221050000,66900000,229850000,283450000,208465737.1785,193800000,199195952.0345,198200000
"PC(24:1)",8024007.82,14732526.18,13117970.539,11388353.864,16269458.005,11806964.542,13748844.5105,11128548.5615,11647516.452,14528795.4285,11894353.3935,16803768.6725,13458453.2625,14283760.1265,9154504.269,17683005.9085,15089535.455,14201707.20365
"PC(26:1)",NA,884039.759,794141.8995,913406.4105,1225936.7655,769985.227,1089570.005,426791.3721,824985.3395,472511.6195,809420.199,2381274.7225,1396406.0495,306371.8098,689407.3725,1120005.2605,1485141.1265,1458525.119
"PC(30:1)",431664.4575,717792.0815,1125205.08,1689438.045,2313025.689,1319425.876,1103460.708,648741.8225,1303713.4775,2225119.5435,1453932.562,1357005.397,1588323.664,2056281.8995,612982.8365,1924664.1335,2155960.0065,2051907.376
"PC(32:1)",NA,321948.857,377899.447,508339.0705,547113.5305,326340.4135,555924.8255,151587.5885,243817.638,552486.746,256698.8735,553629.711,433725.417,194843.5465,126760.296,490092.892,465599.5655,422229.6605
"PE(12:0)",1321446.5505,1091094.673,1128022.1795,1094636.7515,1194090.211,778138.5035,3184884.6325,2215503.7445,2009815.5425,1376199.863,1699889.2055,1545903.8745,1992667.939,1427800.7885,859615.0595,1151083.597,1150626.451,1258658.731
"PE(12:1)",233640.0225,857073.2565,544568.4685,246355.3835,426560.5675,204684.0606,1065325.1495,524239.9145,726655.1025,541642.1135,696260.206,587283.3115,207633.06435,540888.8375,376629.2975,374442.1065,202945.1365,430265.0769
"PE(14:0)",19850000,21478593.3715,24312411.2542,53292780.281,61999825.362,47756341.698,21943548.722,17236295.0675,16900000,31756254.522,37158173.614,35416891.856,44581557.733,45678233.36,37397223.461,57466377.259,50443943.626,55210971.147
"PE(14:1)",1315895.206,1956274.332,941591.555,4545063.362,5452319.9405,4207548.1705,4299235.3285,1954525.336,3358236.214,4078579.836,4918424.1885,4436894.296,4017353.831,5372449.867,4070292.8145,5185964.9635,5661041.0335,5923140.9045
"PE(16:0)",3896513750.9325,4275110789.38175,5023417579.9625,10228360681.184,12502200000,10366970192.745,7654575735.1475,6482378126.9405,6629376937.8645,10351022595.317,10665913929.308,10109683339.916,10437300000,11507153811.2765,8459161412.777,11925200000,12510100000,11414165977.5195
"PE(16:1)",662077391.097,780425944.978,912844846.675,3811773898.3695,5044100000,3079021168.082,1889461529.4,1636230808.0775,1607052230.991,3179722595.317,3443324516.293,3410511671.526,3602100000,4326200000,3116100000,4179150000,4471500000,4302750000
"PE(18:0)",5672800000,8710050000,6274500000,1.5564e+10,1.8308e+10,14473500000,9416500000,8129500000,8.404e+09,12844500000,11763500000,1.0981e+10,14337500000,15989500000,10978500000,1.9082e+10,1.9183e+10,1.7423e+10
"PE(18:1)",9134203060.2455,11575690901.438,10373783772.3295,25468106833.843,30467169597.3945,24039382019.1935,18573850000,15891130719.388,15262338095.224,23916339612.478,24421938287.571,22211019917.99,26237035283.8295,29731860140.959,22070036440.011,31466688187.0535,32147123400.187,29378203750.8825
"PE(18:2)",750196578.032,936015691.9945,864931242.1482,2749704225.9665,3361596004.4815,2778431684.3285,2370516160.9925,2088284992.427,2181707771.982,3093484123.242,3081393753.44,2936020296.9025,2767393502.271,2952061628.2865,2389011489.861,3529518918.128,3632312173.872,3296249824.536
"PE(20:1)",613350000,675200000,961250000,919962144.443,1.138e+09,811900000,746650000,615350000,636650000,893850000,7.94e+08,725350000,849522034.494,973750000,678800000,1181900000,1194650000,969200000
"PE(20:2)",7.17e+08,1.069e+09,4.29e+08,1.295e+09,1.514e+09,1.209e+09,7.29e+08,8.11e+08,665500000,944500000,1032500000,872500000,1.134e+09,1.276e+09,8.53e+08,1.558e+09,1570500000,1.429e+09
"PE(20:3)",2300503919.07,1341412335.8025,1439400000,3970850000,4639700000,3780700000,3196500000,2741384475.3175,2869700000,3825700000,3630700000,3586200000,3848900000,4614050000,3388150000,4627350000,4825100000,4501350000
"PE(20:4)",3328570981.779,6419394711.1505,3476411142.472,12596731623.577,15234844711.4665,12718933950.5621,9656957457.7665,8222367928.672,7175668108.1345,12631007746.403,11956646506.998,11293635053.6215,12803594869.0753,14028377467.7505,10272925511.9385,14881112617.87,14898418189.917,14256877548.5499
"PE(20:5)",587908249.616,514557271.339,510371640.1605,2013975822.0605,2571203171.9335,2175509591.0215,1851613761.705,1352242203.8685,1442626598.7245,2940591802.6705,2850172153.409,2823893473.7885,2247588564.6255,2491502788.4225,2199504636.9635,2796532061.4265,2971768394.517,2469240001.736
"PE(22:1)",78096607.659,105701841.08025,125208934.3125,131686782.8145,170100000,106861551.691,107914205.7475,94697318.863,95477617.4445,102478168.58,82284863.019,73232409.0705,146250000,146303811.2765,75821492.7835,124217757.345,164550000,131315977.5195
"PE(22:3)",33910392.504,20907480.6465,32750000,83100000,107750000,83850000,55250000,48934475.3175,49250000,136950000,133050000,63100000,78150000,87950000,50500000,79350000,79550000,74950000
"PE(22:4)",5.78e+08,394500000,8.21e+08,1000500000,1.223e+09,908500000,7.2e+08,647500000,6.78e+08,9.59e+08,8.91e+08,1033500000,921500000,1117500000,7.03e+08,1211500000,1.298e+09,1.126e+09
