"subclass","D0_1","D0_2","D0_3","D10_1","D10_2","D10_3","D2_1","D2_2","D2_3","D4_1","D4_2","D4_3","D6_1","D6_2","D6_3","D8_1","D8_2","D8_3"
"PS(22:6)",116100000,101500000,155150000,164800000,172950000,161250000,174500000,151250000,156200000,1.99e+08,173300000,170350000,165900000,166150000,141950000,168700000,175250000,166750000
"SM(16:0)",1.5664e+10,2.1315e+10,1.9424e+10,3.495e+10,3.719e+10,2.735e+10,1.9688e+10,1.7792e+10,1.8092e+10,2.5399e+10,2.6009e+10,2.6495e+10,3.4753e+10,3.768e+10,1.7547e+10,4.096e+10,3.4761e+10,3.0171e+10
"SM(16:1)",1.067e+09,1.127e+09,1.484e+09,3.254e+09,2.641e+09,2.611e+09,1.28e+09,850200000,1229600000,2.203e+09,2.422e+09,2.308e+09,2.669e+09,2.806e+09,826900000,3.136e+09,2366900000,2.783e+09
"SM(18:1)",36600000,57500000,59600000,81456037.547,87572989.81,70081875.164,42972781.035,41200000,26100000,48800000,30046506,42870436.907,78900000,72032503.507,41642862.463,81853577.02,81682948.933,69100000
"SM(18:2)",7.39e+08,9.69e+08,9.44e+08,8.31e+08,7.68e+08,7.83e+08,7.5e+08,7.06e+08,7.03e+08,9.1e+08,8.94e+08,8.76e+08,8.06e+08,8.44e+08,7.59e+08,9.11e+08,8.88e+08,7.72e+08
"SM(24:0)",4.93e+08,1.49e+09,1.33e+09,1.51e+09,1.56e+09,1.39e+09,1.24e+09,1.1e+09,1.07e+09,1.72e+09,1.63e+09,1.04e+09,1.96e+09,2e+09,8.5e+08,2.04e+09,1.83e+09,1.78e+09
"SM(24:2)",79300000,29900000,42800000,1.84e+08,2.32e+08,1.76e+08,86900000,75600000,81800000,1.36e+08,1.14e+08,1.3e+08,1.72e+08,2.04e+08,1.39e+08,1.81e+08,2.03e+08,1.76e+08
"SM(d18:1)",16489300000,23239900000,21222800000,3.8254e+10,3.9842e+10,2.9916e+10,21446900000,19177600000,19791800000,2.8236e+10,2.8964e+10,2.886e+10,3.8202e+10,4.1054e+10,1.8737e+10,4.4471e+10,3.8173e+10,3.3386e+10
"SM(d18:2)",775600000,1026500000,1003600000,903200000,853300000,8.49e+08,790200000,747200000,729100000,958800000,919800000,916200000,873400000,913500000,798500000,989800000,966500000,841100000
"SM(d20:1)",8.14e+08,7.22e+08,1.058e+09,1653256037.547,1783272989.81,1615081875.164,850772781.035,640200000,681600000,1.222e+09,1215246506,1115670436.907,1363500000,1638532503.507,628042862.463,1849053577.02,991082948.933,1.524e+09
"SPH(d14:1)",9838009.165,10300000,12100000,32900000,32700000,1.8e+07,12400000,1.1e+07,11900000,35100000,80900000,35200000,31500000,27900000,11100000,18300000,27800000,26900000
"SPH(d16:1)",8263189.021,9808688.333,6883557.975,80500000,1.08e+08,54800000,16300000,52100000,71200000,85200000,98100000,99200000,65500000,1.12e+08,71400000,99500000,31200000,49300000
"SPH(d20:1)",1.76e+08,11800000,15800000,2845313.024,9724990.133,11900000,6548954.705,7782558.696,11100000,7961962.728,5534702.656,5767650.137,12100000,14900000,8739430.89,11400000,11600000,14800000
"SPH(t20:0)",57200000,28800000,25800000,14800000,10600000,17800000,17200000,23200000,25400000,9737169.074,4.4e+07,11600000,1.7e+07,20600000,18200000,9209542.477,11600000,5.2e+07
"TG(10:0)",322850.3988,2164220.33633333,3700000,593333333.333333,646666666.666667,716666666.666667,30066666.6666667,28166666.6666667,3.7e+07,5.2e+07,6.8e+07,61666666.6666667,130333333.333333,136333333.333333,102666666.666667,271333333.333333,3.19e+08,3.4e+08
"TG(12:0)",25039198.0738,22886021.7763333,22488334.6385667,1458360476.72167,2712551422.89833,2796418896.027,152444111.051333,161405321.662333,102658218.813433,396100000,399686631.826,267035983.436333,663796905.698667,756733717.754,567456083.146333,1209331861.033,1346139249.51633,1275408018.241
"TG(12:1)",5291220.75433333,5366666.66666667,2546901.26766667,373700000,401500000,391633333.333333,11238632.711,11033333.3333333,13533333.3333333,36633333.3333333,28500000,38433333.3333333,34300000,36166666.6666667,23766666.6666667,178733333.333333,2.09e+08,2.04e+08
"TG(14:0)",20313308.6463333,204876307.232,262414417.402333,8024531202.703,8392511450.252,8998949265.744,1512336375.07367,1480982566.29833,1591776518.433,1562367349.46867,1886565471.401,1766949164.19633,2868580064.75133,3005800827.67,2627208875.01033,5102855503.40033,5409935660.64833,5586078146.152
"TG(14:1)",8655890.5034,111227563.207333,128712792.611,12279166666.6667,12494933333.3333,12527333333.3333,700632756.854,734251557.543333,844907553.761,1564733333.33333,2131312254.821,1486456184.18767,3552066666.66667,3730600000,3233066666.66667,6097300000,7.117e+09,6740333333.33333
"TG(14:2)",NA,900611.595,1153878.78833333,8666666.66666667,3251337.52433333,8800000,16466666.6666667,13500000,15100000,7533333.33333333,7166666.66666667,2325124.39933333,7666666.66666667,6500000,5466666.66666667,6433333.33333333,5566666.66666667,7033333.33333333
"TG(16:0)",242045629.537,6093315628.98633,6945765353.285,115753881255.549,124389709143.421,127088973662.2,28906022562.4267,28284778540.8643,28829773089.8633,28965161512.411,28845295905.6197,32297504804.6573,42813098697.366,43262216009.6353,40673649862.0087,74665221629.8127,87704948969.3733,78554066865.399
"TG(16:1)",222659052.196633,4813167298.89533,6498449405.72367,162827400000,178778853090.745,174461866666.667,22554271389.565,23726284890.8767,23323340887.0943,32471433333.3333,40615605709.394,37645995955.55,57328858347.33,65200204664.7993,54801302852.0353,95958177332.6473,106389725505.701,105224934977.835
"TG(18:0)",23624605.951,921189441.775667,1019694709.17267,5852966666.66667,6623166666.66667,5918806469.384,3695081065.59067,3098533333.33333,3681900000,3045766666.66667,2205512583.80967,2548800000,3279633333.33333,3530433333.33333,2752504069.65333,3983606734.855,5040447270.28067,4.102e+09
"TG(18:1)",383620197.665533,11287252279.665,14731042710.5233,104731870430.137,122430371339.288,105614305608.17,48107091833.7013,43881722440.2177,45613980078.0203,46489570915.9887,42353505074.1297,44885121055.486,61700153006.1163,66403131638.5647,58702025112.672,80418332756.152,87707389186.6657,83653279126.8993
"TG(18:2)",65257646.8904333,471900000,1081106208.94333,5825966666.66667,6050266666.66667,5049866666.66667,1493471966.04433,1875800000,2040500000,1651266666.66667,1853866666.66667,1545400000,2671233333.33333,2950533333.33333,2188033333.33333,3262400000,3376500000,3549933333.33333
"TG(18:3)",17194041.497,111579602.887333,155951712.091,1176586179.546,1247500000,1765538055.425,460433333.333333,5.3e+08,577266666.666667,371977317.611667,474312586.278667,284736163.593667,491725816.241333,798179934.84,422250610.672667,1040937823.273,1185740756.758,1206626761.66267
"TG(18:4)",16788.4164,860896.540666667,112792.611,27500000,32600000,33666666.6666667,2366090.18733333,2918224.21,2574220.42766667,4700000,2278921.48766667,2489517.521,9733333.33333333,8366666.66666667,7400000,14633333.3333333,1.5e+07,14333333.3333333
"TG(20:0)",NA,1154036.89266667,1640878.69333333,16133333.3333333,18133333.3333333,18200000,20266666.6666667,16100000,18833333.3333333,20833333.3333333,14733333.3333333,21866666.6666667,16966666.6666667,21433333.3333333,16333333.3333333,16433333.3333333,15933333.3333333,18400000
"TG(20:1)",1154469.24466667,248431775.333333,268063881.160333,795600000,769533333.333333,828638705.823,1185166666.66667,940966666.666667,1120600000,960400000,505350292.501667,620909878.381,875333333.333333,906246302.16,662927371.251333,831133333.333333,683400000,792252428.949
"TG(20:2)",NA,15353658.9256667,16842348.3096667,124766666.666667,127866666.666667,115600000,101627656.575333,87621754.504,75648673.049,79613762.3903333,66286985.0726667,49798318.5526667,85614795.955,94399294.6543333,86261859.774,99200000,114466666.666667,116432124.786333
"TG(20:3)",43329.835,21945085.8233333,15531869.1663333,23633333.3333333,59566666.6666667,17444524.809,100833333.333333,76931728.3426667,81990138.7236667,70443984.2783333,48179252.9453333,52136163.5936667,64659149.5746667,77279934.84,34188013.6593333,39211224.7946667,39030679.504,54360094.996
"TG(20:4)",17893344.148,360200000,279540692.324333,611633333.333333,585400000,1114500000,1424266666.66667,1115633333.33333,1204733333.33333,1047433333.33333,705866666.666667,630600000,441600000,975033333.333333,352200000,451633333.333333,483800000,914100000
"TG(20:5)",NA,979416.458,1016416.80433333,138333333.333333,1.5e+08,152333333.333333,58666666.6666667,10533333.3333333,39333333.3333333,15533333.3333333,33666666.6666667,21166666.6666667,49666666.6666667,5.2e+07,4.5e+07,83333333.3333333,89666666.6666667,85333333.3333333
"TG(22:1)",NA,93746454.2446667,108678630.931667,374200000,462600000,388866666.666667,664366666.666667,4.83e+08,553266666.666667,365966666.666667,257900000,326866666.666667,397633333.333333,445200000,339600000,370366666.666667,363333333.333333,345366666.666667
"TG(22:2)",NA,54333333.3333333,66605187.974,1.4e+08,1.57e+08,149333333.333333,236700000,1.88e+08,215766666.666667,50737213.671,105666666.666667,125666666.666667,140626753.399,163666666.666667,125333333.333333,160666666.666667,158666666.666667,1.49e+08
"TG(22:3)",9017187.12366667,423964176.537333,861447184.485667,1233166666.66667,1316666666.66667,1227472039.15633,1716333333.33333,1923500000,2246200000,900966666.666667,695733333.333333,1168933333.33333,1079933333.33333,996354880.181667,1286833333.33333,1001566666.66667,1014500000,984185762.282333
"TG(22:4)",17536173.033,52102108.5573333,53164299.4349,81427143.3883333,90418089.565,95485562.6936667,243544111.051333,196501279.684333,197516168.204433,215133333.333333,85219965.1593333,127351315.544667,144730239.032,99600384.4206667,132489416.479667,114965194.366333,121539249.516333,121141351.574333
"TG(22:5)",44820840.9774667,1169049971.166,1438641018.71533,2097776383.087,2472294559.73233,2181605593.459,6393600000,4772205646.96867,5514085245.21867,3721174427.342,2160902571.183,1971447971.66367,2655883098.708,2826914766.59867,2085178462.05067,2345593794.00667,2168695566.16167,2332562814.004
"TG(22:6)",14891394.6644333,653600169.994667,856031801.035,2083537420.56567,2361024185.681,2409533333.33333,4743788646.484,3538643509.008,4002630679.43133,2514294191.44733,1504804221.43033,1166562767.35267,1800256040.226,2012129510.09733,1480361538.156,1912234482.05867,2554592068.39467,2020882136.75667
"TG(24:0)",174540.159,31067813.8193333,38557664.078,108504087.232333,131433333.333333,102533333.333333,179433333.333333,153266666.666667,175800000,113766666.666667,79912427.7366667,104941978.259333,125200000,134333333.333333,98800000,107266666.666667,109300000,111200000
"TG(24:1)",369329.745,96065665.903,96533993.0443333,362692620.842333,433640236.786667,321629823.500333,665917000.736,452911547.102,533860156.040667,361838444.863333,245586061.542667,319486852.04,3.53e+08,406833336.267333,272594334.134667,309192430.395,303068832.193667,315468556.031
"TG(24:2)",NA,24833333.3333333,2486423.225,53333333.3333333,52333333.3333333,5.3e+07,9.3e+07,61666666.6666667,76333333.3333333,48666666.6666667,33333333.3333333,39333333.3333333,73333333.3333333,61666666.6666667,43333333.3333333,70666666.6666667,70333333.3333333,46333333.3333333
"TG(26:1)",NA,7008092.58133333,8176260.53133333,12700819.9633333,17752082.978,18465264.592,48833333.3333333,37300000,36533333.3333333,28166666.6666667,18333333.3333333,22166666.6666667,26166666.6666667,27566666.6666667,23133333.3333333,17066666.6666667,20333333.3333333,20965231.098
"TG(4:0)",4072453.88453333,967985.073666667,1604816.755,475811153.123,588466666.666667,580369145.815,5343840.549,7666202.89033333,7593359.832,3441571.127,5523741.97966667,10574105.145,30643132.9873333,25259109.358,21266666.6666667,214275860.963333,240562146.450333,221162582.478333
"TG(6:0)",25908548.8241333,15523893.1573333,15095693.6295667,63727143.3883333,78718089.565,101385562.693667,50610777.718,38805321.6623333,40858218.8134333,170966666.666667,111319965.159333,69302650.103,84963572.3653333,114700384.420667,67789416.4796667,92731861.033,87472582.8496667,94408018.241
"TG(8:0)",9059456.20933333,22243898.8996667,16250616.6216667,103100000,112566666.666667,114933333.333333,25066666.6666667,28900000,29600000,16766666.6666667,25533333.3333333,25066666.6666667,38400000,46166666.6666667,22366666.6666667,49533333.3333333,55733333.3333333,53166666.6666667
