"lipidName","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8","QC-1","QC-2","QC-3","QC-4","QC-5"
"AcCa(14:0)",3534498,3121652,2608377,3293474,2513275,2693467,3891474,2326859,3533525,1543810,1524113,1711288,2022256,1140161,1383441,1225798,2258060,2273753,2311398,2585131,1836419
"AcCa(16:0)",1.3e+07,1.3e+07,9573686,1.5e+07,9466439,8223704,1.6e+07,9161511,1.5e+07,5794389,5478075,5238929,6983087,4061527,8349138,3976100,8697150,9171509,9249491,9191939,7434436
"AcCa(18:0)",8605102,7773805,6286416,8875497,7103523,4567574,9748656,6891555,4219527,2538640,2547375,2431331,4065052,2999722,4685874,2242932,5309350,5416675,5177791,6136762,5262272
"AcCa(18:1)",1.1e+07,1.2e+07,7937526,1.4e+07,7671259,8046677,2.2e+07,6895556,7585712,3554512,3744226,3392087,6123711,2699817,4549719,2311386,7192486,7492186,7443279,7936853,6178341
"AcCa(18:2)",5769500,6027432,4279688,7064418,4447004,4861443,1.3e+07,3487614,3294187,2313914,2684059,2055301,3492608,1220169,2549635,1306597,4153704,3893552,4432472,4242293,3619214
"Cer(d16:0+pO/26:2)",831648,861094,1219960,1098064,1760694,1166751,1214081,1510579,334672,508194,720791,952867,964520,1047452,1182822,824313,779838,828222,847668,282974,597189
"Cer(d18:1/25:1)",4434479,3724583,5129210,5110207,4803673,3980865,5335985,5180530,2014111,2981071,3955139,3726697,3912813,4665660,4341973,4143528,3773356,3907857,4442369,2234351,4065793
"Cer(d50:2+pO)",2134936,2338674,3011196,2435224,2313766,2455245,2786062,2690324,936081,513928,1339293,1321529,1156581,943816,1295577,937806,1967054,1695604,1766663,792289,1679886
"Cer(d52:2+pO)",1381972,1148250,1377746,1340234,1317319,1187631,1639595,1128706,375504,199264,696094,669695,773419,604860,544585,673483,935583,848546,783414,584887,1156207
"Cer(d18:0+pO/34:3)",2244047,2783906,3355981,3392350,2526469,3059805,3286627,2969268,998761,331181,1270871,1451851,1382678,1099358,1398225,760902,2006630,2116477,1747256,955146,1906677
"Cer(d52:4+hO)",1370525,1829267,2604794,2096001,1880151,2498195,2323900,2280904,653269,203096,949043,795059,809504,473503,502218,681336,1488333,1335384,1192066,767433,953600
"Cer(d56:2+pO)",4771455,5385227,4859992,5396586,4191777,4214391,6135319,3849420,2736220,1685635,2424539,2064846,2531527,1620103,1818247,1741484,3578683,3477578,3291473,1974431,3409357
"Cer(d18:0+pO/38:3)",3846533,4380727,4328452,4636216,3496987,4258366,5358814,4057200,1426759,732933,2060137,1802272,2342023,1411098,1573675,1494411,3224589,3040908,2954658,1819798,2992404
"Cer(d18:1+hO/38:3)",1152126,1208273,1589529,1422236,980259,1618263,1583889,1149582,351858,109950,480209,546962,544698,331495,341977,186067,902132,799575,861905,464076,995542
"Cer(d57:2+pO)",3448811,4041612,3764948,3984727,3209524,2814424,4538067,3258858,1517828,828427,1955121,1344678,1714068,1228054,1218719,1292414,2697766,2716986,2467457,1538582,2819418
"Cer(d18:0+pO/39:3)",3012677,3213915,3637454,3452645,2543606,3267791,3595356,3269190,1504201,762094,1946448,1204371,1720634,1002171,1150023,1181183,2273007,2267318,1958660,1330621,2473445
"Cer(d58:2+pO)",7439728,8651443,7743905,8288517,6906691,6065856,9286886,6621565,2771996,1830148,3822820,2979005,3718968,2670821,2658233,2500004,5374071,5356568,5125834,2788709,5496257
"Cer(d18:0+pO/40:3)",1.1e+07,1.8e+07,1.4e+07,2.2e+07,1.6e+07,1.2e+07,1.4e+07,1.2e+07,4328177,2532076,8829883,5102857,7070508,3877455,3962013,4475610,1.3e+07,8587280,8391397,4808015,1.3e+07
"Cer(d18:0+pO/40:4)",4084608,4672215,6235519,6691263,4877758,5659982,5262614,5873139,2296112,1150315,3292482,1956813,3559791,1505405,1658119,1897649,3774325,3642478,3425509,1939940,3906279
"Cer(d59:2+pO)",995352,1036871,1043152,1102315,1188797,718823,1404748,1007824,458131,352552,529283,426704,752940,442944,462452,550985,818616,866214,784328,347823,763886
"Cer(d59:3+hO)",3716097,3986252,4272888,4723772,3395164,3430762,4688469,3692427,1618202,921232,2418780,1473970,2245816,1279041,1454844,1348757,2905166,2957603,2687298,1825699,2838211
"Cer(d59:4+hO)",3924332,4178894,4871108,5812020,3842349,4419073,5513347,4487085,1559388,802078,2200143,1738519,2406450,1020556,1482601,1239472,3147966,3174771,2614619,1813702,3235646
"Cer(d60:2+pO)",997435,1241584,1111753,1299661,1191214,785365,1507639,1081955,512239,331270,566507,473359,714463,553824,501860,713805,904353,1049549,898812,431274,904946
"Cer(d60:3+hO)",6346102,7258415,7113379,8986938,6135755,6544813,9556649,6373639,2373915,1650383,3299501,2863089,4023528,2799494,2864062,2324921,5268823,5084048,4916352,2971520,4764940
"Cer(d60:4+hO)",5255464,6495962,7415400,7903334,5585787,5709398,7573320,6062484,1980871,1300088,2880833,2575482,2738974,1910513,2287808,1840849,4128931,4302675,4355228,2667140,4233217
"Cer(d60:5+hO)",5888689,7411658,9933355,1e+07,7741651,7388707,1.1e+07,7594293,2569338,1414161,3323367,2471962,3892607,2674120,3257327,2061013,5240330,6217292,5909898,2931535,5421608
"Cer(d14:0/19:1)",1.4e+07,1.2e+07,1.3e+07,1.4e+07,1.3e+07,1.2e+07,1.6e+07,1.5e+07,3479739,7259476,9510730,9159353,1.1e+07,1.5e+07,1.6e+07,1.1e+07,7334572,5847298,6520823,4451562,7034850
"Cer(d34:0)",3e+07,2.8e+07,3.6e+07,3.9e+07,3.5e+07,3.1e+07,4.1e+07,4.9e+07,9780693,2.3e+07,2.3e+07,2.8e+07,3.8e+07,4.7e+07,4.6e+07,3.1e+07,2.4e+07,2.3e+07,2.8e+07,1.3e+07,2.5e+07
"Cer(d16:0/23:1)",9957016,7650965,1.1e+07,1.1e+07,1.2e+07,8592095,1.3e+07,1.1e+07,2867815,4611435,6620007,6526962,8303325,1e+07,9269837,8327390,7663722,8385539,8498502,3424136,6699307
"Cer(d18:2/21:0)",3450888,3210967,5125758,4966558,5222774,3695208,5106150,3554448,1552703,2471712,2985506,3145457,3684562,4034434,3565469,3440437,2456812,3479653,2916446,1296667,2322662
"Cer(d18:0+pO/22:0)",1543237,1302851,1510703,1286445,1820273,1236487,2013406,1377471,572255,443493,896480,640457,990101,1045899,958365,978923,1116879,865733,1017505,529717,889558
"Cer(d18:1/22:2)",5998309,4830564,6230217,6419418,6876127,6036989,7109449,8128793,1626561,3066435,3229295,3935662,4345645,6269351,6984018,4234272,4200352,4309528,4876311,1787163,3596382
"Cer(d18:0+pO/24:0)",183219,1091566,1392956,1094643,1486982,812450,1893452,1173192,552289,507741,549605,722194,628374,236517,941810,191552,568521,852914,1057807,515389,922513
"Cer(d18:0+pO/24:1)",1829631,1396893,1951717,1434307,1460970,1378621,1967327,1247150,826167,1053769,946181,743401,1417653,1460707,1282653,1054462,1324212,1073220,1215361,585422,1055118
"Cer(d18:1/16:0+O)",6789317,6679698,7693386,5888735,6983939,5435383,8195867,9374360,1009680,4953120,2719379,3449880,4100660,7666266,5991508,4049832,4963496,5582569,5484055,5409628,5487173
"Cer(d18:1/16:1)",7263220,8694082,8172106,6887176,9070685,6432679,9038400,1e+07,1392644,5525328,3441196,3628031,4178319,7742461,6684382,4148402,6303614,6696850,5750467,6084811,6982260
"Cer(d18:1/17:0)",1.4e+07,1e+07,1.2e+07,1e+07,1.3e+07,7782630,1.3e+07,1.1e+07,2381111,7947745,4814346,4941106,6774207,1.1e+07,1e+07,7427688,9013338,9677705,8072312,9353377,9238754
"Cer(d18:0/18:0)",9548600,7197739,8194549,8065224,7578694,5545996,9761540,8010681,2218744,4855961,3373005,4693137,6218108,8181148,7371302,4255095,6751856,6307917,5436680,6107548,6934632
"Cer(d18:1/22:1)",1.8e+07,4.7e+07,1.5e+07,1.7e+07,1.8e+07,6.7e+07,1.9e+07,1.6e+07,5141198,1.4e+07,9691944,1.2e+07,1.3e+07,1.8e+07,1.8e+07,1.3e+07,1.3e+07,5.1e+07,4.7e+07,1.3e+07,1.4e+07
"Cer(d18:0/24:1)",1.7e+07,1.8e+07,1.7e+07,2.3e+07,2e+07,1.5e+07,2.2e+07,1.9e+07,4802354,1.6e+07,1.3e+07,1.4e+07,1.7e+07,2e+07,2e+07,1.4e+07,1.9e+07,1.8e+07,1.5e+07,1.9e+07,1.6e+07
"Cer(d18:1/14:0)",4690844,5038834,8317065,6483216,8541908,8739190,7624187,1.1e+07,3459647,8623839,4915229,7134099,6395274,7655751,8004967,6382032,5870496,6481722,7045213,7332235,8275687
"Cer(d17:1/16:0)",1.4e+07,1.5e+07,1.7e+07,1.7e+07,1.6e+07,1.4e+07,1.9e+07,2.1e+07,3813490,1.5e+07,9821881,9674619,1.2e+07,1.8e+07,1.7e+07,1.2e+07,1.5e+07,1.3e+07,1.4e+07,1.4e+07,1.3e+07
"Cer(d18:0/16:0)",5.8e+07,4.8e+07,5.7e+07,7e+07,7.2e+07,4.8e+07,7.6e+07,7.5e+07,1.3e+07,5e+07,2.8e+07,3.5e+07,4.8e+07,6.9e+07,6.2e+07,4.1e+07,5.6e+07,5.3e+07,4.9e+07,5.1e+07,5.4e+07
"CerG1(d42:1+pO)",1.4e+07,1.5e+07,9715165,1.3e+07,1.2e+07,7692151,1.4e+07,9149534,4166355,3541417,4233839,5781114,7717106,9322421,7947226,6621615,8261443,9073260,9041399,4455218,8159119
"CerG1(d30:2)",1.4e+08,1.6e+08,1.8e+08,1.2e+08,1.9e+08,1.4e+08,1.6e+08,1.4e+08,1.2e+08,1.1e+08,1.2e+08,1.4e+08,1.3e+08,1.1e+08,9.5e+07,2.2e+08,1.5e+08,1.4e+08,1.4e+08,1.3e+08,1.5e+08
"CerG1(d32:1)",3.8e+07,2.9e+07,1.5e+08,1e+08,1.1e+08,2.5e+08,6.4e+07,2.3e+08,1.8e+08,2e+08,2.9e+07,1.9e+08,2.8e+07,1.4e+07,2e+07,4.5e+07,9.6e+07,8.9e+07,9.1e+07,9.6e+07,9.4e+07
"CerG1(d32:2)",9871162,6.3e+07,3.5e+07,2e+07,2.4e+07,6.5e+07,1.6e+07,9.6e+07,4e+07,4.5e+07,6099507,5.1e+07,5928805,4e+07,3.8e+07,1.3e+07,1.9e+07,2.1e+07,1.9e+07,2.1e+07,2e+07
"CerG1(d18:1/16:0)",9630052,1.1e+07,8894075,1e+07,1.2e+07,8047228,1.2e+07,1.5e+07,7471646,1.2e+07,6272494,6577366,7490505,1.4e+07,1.7e+07,7681090,8858314,1.1e+07,1.1e+07,1e+07,1e+07
"CerG1(d34:2)",4.9e+07,4.2e+07,1.4e+08,1e+08,1.1e+08,2.5e+08,8.1e+07,2.4e+08,1.4e+08,1.7e+08,3e+07,1.9e+08,2.9e+07,2e+07,2.6e+07,5.1e+07,9e+07,9.3e+07,9.2e+07,9.6e+07,9.4e+07
"CerG1(d18:1/18:0)",2.7e+07,2.8e+07,1.6e+07,2.4e+07,2.2e+07,1.5e+07,2.8e+07,2.1e+07,7932840,1e+07,7805862,1.3e+07,1.3e+07,1.8e+07,1.8e+07,1e+07,1.9e+07,1.9e+07,1.7e+07,1.7e+07,1.8e+07
"CerG1(d36:3)",3e+08,1.6e+08,4.9e+08,3.9e+08,1.4e+08,9.6e+08,3.9e+08,9.1e+08,6.5e+08,7.6e+08,2.4e+08,6.8e+08,1.2e+08,1e+08,9.3e+07,2.9e+08,4.1e+08,4e+08,4e+08,1.8e+08,1.8e+08
"CerG1(d36:4)",2.5e+08,1.5e+08,1.7e+08,1.6e+08,2.2e+08,2.3e+08,1.7e+08,2.3e+08,2e+08,2.4e+08,2.1e+08,2.3e+08,2e+08,1.8e+08,1.6e+08,2.2e+08,2.2e+08,2e+08,1.9e+08,2.2e+08,2.1e+08
"CerG1(d18:1/20:0)",2.9e+07,2.6e+07,2.1e+07,2.7e+07,2.5e+07,1.5e+07,2.5e+07,1.9e+07,8821862,1.1e+07,8563879,1.1e+07,1.6e+07,1.9e+07,1.7e+07,1.2e+07,1.9e+07,1.6e+07,1.7e+07,2e+07,1.7e+07
"CerG1(d18:1/20:0+O)",2.5e+07,3e+07,2.1e+07,2.8e+07,2.7e+07,1.2e+07,2.9e+07,2.3e+07,9095274,1.2e+07,7727318,1.2e+07,1.5e+07,1.8e+07,1.5e+07,1.3e+07,1.9e+07,1.9e+07,1.6e+07,1.6e+07,2e+07
"CerG1(d18:1/20:1)",1.1e+07,1.2e+07,9574076,9265531,9536547,6217765,1e+07,8263139,4722416,5210961,2862709,3845065,5333926,5937056,6450862,3459341,6880987,6347941,7584212,7165853,6236808
"CerG1(d38:3)",3.4e+08,3.2e+08,7e+08,5.8e+08,7e+08,1.2e+09,5.1e+08,1e+09,1e+09,1.1e+09,3.2e+08,9.8e+08,2.7e+08,2.5e+08,2.7e+08,4.2e+08,6.5e+08,6.3e+08,6.2e+08,6.3e+08,6.7e+08
"CerG1(d38:4)",6.9e+07,6.8e+07,2e+08,9.2e+07,1e+08,2.3e+08,1.6e+08,1.9e+08,9.5e+07,2.8e+08,5.3e+07,2.5e+08,5.4e+07,4.4e+07,5.1e+07,7.3e+07,9.5e+07,9.5e+07,9.7e+07,9.9e+07,1e+08
"CerG1(d18:1/22:0)",5.3e+07,5.6e+07,3.9e+07,4.9e+07,4.9e+07,2.6e+07,5.1e+07,4e+07,1.7e+07,2.3e+07,1.7e+07,2.2e+07,2.8e+07,3.6e+07,3.4e+07,2.4e+07,3.7e+07,3.5e+07,3.5e+07,3.7e+07,3.6e+07
"CerG1(d18:1/22:0+O)",1.5e+08,1.6e+08,1.1e+08,1.5e+08,1.3e+08,7.9e+07,1.4e+08,1.1e+08,4.4e+07,6e+07,4.1e+07,6.1e+07,8.1e+07,9.5e+07,8.5e+07,6.3e+07,1e+08,1e+08,9.9e+07,1e+08,1e+08
"CerG1(d18:1/22:1)",7.8e+07,8.4e+07,6.7e+07,7.3e+07,7e+07,4.2e+07,6.4e+07,5.6e+07,2.7e+07,2.5e+07,2.5e+07,3.3e+07,4.3e+07,5.2e+07,4.5e+07,3.7e+07,5.4e+07,5.6e+07,4.9e+07,5.4e+07,5.5e+07
"CerG1(d18:1/23:0)",2.3e+07,2.4e+07,1.7e+07,2e+07,1.9e+07,9450603,2.3e+07,1.5e+07,4517369,8759620,8502526,9348639,1.1e+07,1.5e+07,1.6e+07,1.1e+07,1.6e+07,1.5e+07,1.5e+07,1.4e+07,1.7e+07
"CerG1(d18:1/23:0+O)",1.9e+07,2e+07,1.4e+07,1.8e+07,1.6e+07,1.1e+07,1.8e+07,1.3e+07,5409021,9162225,6853159,9835031,1e+07,1.1e+07,1.2e+07,9823257,1.4e+07,1.3e+07,1.3e+07,1.4e+07,1.5e+07
"CerG1(d18:0/24:0)",3e+07,3e+07,1.9e+07,2.3e+07,2.4e+07,1.4e+07,2.5e+07,2e+07,7093349,1.3e+07,7066948,1.2e+07,1.8e+07,1.9e+07,1.4e+07,1.4e+07,2e+07,2.2e+07,1.8e+07,2e+07,1.9e+07
"CerG1(d18:0/24:0+O)",2.4e+07,2.7e+07,1.8e+07,2.5e+07,1.9e+07,1.4e+07,2.6e+07,2e+07,8851940,1.3e+07,7343939,1.3e+07,1.5e+07,1.6e+07,1.4e+07,1.2e+07,1.7e+07,1.9e+07,1.7e+07,1.7e+07,1.8e+07
"CerG1(d18:1/24:0)",1.2e+08,1.3e+08,8.1e+07,1.1e+08,9.2e+07,6.2e+07,1.1e+08,7.4e+07,3.5e+07,5.1e+07,3.7e+07,5.6e+07,6e+07,7.9e+07,7.7e+07,5.7e+07,7.8e+07,7.5e+07,7.4e+07,7.9e+07,8.3e+07
"CerG1(d18:1/24:0+O)",1.4e+08,1.5e+08,1e+08,1.3e+08,1.2e+08,6.9e+07,1.4e+08,9.8e+07,4e+07,5.5e+07,4.2e+07,5.5e+07,7.9e+07,9.9e+07,8.7e+07,6.5e+07,9.6e+07,9.4e+07,9e+07,9e+07,9.8e+07
"CerG1(d18:0+pO/24:2)",2.2e+07,2.6e+07,1.9e+07,2.1e+07,2.2e+07,1.4e+07,2.5e+07,1.8e+07,5430664,9486050,6890687,9774275,1.3e+07,1.2e+07,1.3e+07,1e+07,1.7e+07,1.7e+07,1.4e+07,1.6e+07,1.5e+07
"CerG1(d18:1/24:2)",3.2e+07,3.2e+07,2.4e+07,2.8e+07,2.6e+07,1.8e+07,3.6e+07,2.3e+07,1.1e+07,1.3e+07,1.1e+07,1.4e+07,1.8e+07,2.4e+07,1.9e+07,1.4e+07,2.2e+07,2.1e+07,2e+07,2.3e+07,2.2e+07
"CerG2(d37:4+pO)",1584717,1511234,1994765,1857946,1708464,2009914,2456024,1985869,920040,1625798,1644758,1074237,1126577,1250653,1048304,1109035,1659151,1490014,1631331,820802,1610448
"CL(18:2/18:1/16:0/18:1)",7779274,5879392,8488755,7090198,1.2e+07,2555290,1.2e+07,8908221,806678,554771,747736,1177481,971668,1292363,1406796,1194624,5283579,5001822,4887674,2489380,4460707
"CL(18:2/18:2/16:0/18:1)",1.1e+07,9022737,9139464,8181696,1.4e+07,3574326,1.4e+07,1.2e+07,891115,906898,1925960,1655039,1615818,1756034,2269896,1948295,5878219,6213321,5973789,3229404,6007133
"CL(18:2/18:2/18:2/16:0)",6691064,6411923,9267927,6379387,1.2e+07,4970007,8888479,1.1e+07,1765774,1323292,2549859,3221781,2864273,2921386,2079138,3203915,6164129,4042363,4351467,1497198,5200634
"CL(18:2/18:2/18:2/16:1)",7332102,5720226,6478047,6675618,7269237,4116194,4888235,7793537,1925008,2135894,3170566,4203922,2711657,3453641,4367040,3140864,4728616,5342851,4597816,2291059,4734599
"CL(18:1/16:0/16:0/18:1)",2220531,3049129,3235546,2253062,3535787,1038918,2947395,2884420,471042,485730,389430,407972,505079,736444,806060,480645,2082780,1708805,1634900,1033648,1806866
"CL(18:4/18:2/18:2/18:2)",962354,825155,913867,884603,1007816,724388,707192,1237155,281759,245635,456625,653676,527272,546592,612774,495826,797141,731779,706390,255583,645297
"CL(18:2/18:1/18:1/18:1)",1143316,2379548,3384070,3083031,4644125,1176777,4629757,3530584,248733,380341,677494,431525,755243,800363,439236,723715,2270321,1885470,1871207,822184,2487542
"CL(18:2/18:1/18:1/18:2)",1.5e+07,1.2e+07,1.1e+07,1.2e+07,1.5e+07,6978437,1.7e+07,1.4e+07,2719645,2701246,4629104,3583632,4998588,5175227,5535075,4448380,9729805,8478276,8331739,4420720,9283938
"CL(18:2/18:2/18:2/18:1)",3.4e+07,2.7e+07,2.6e+07,2.7e+07,3.6e+07,1.7e+07,3.3e+07,3.4e+07,6871705,7556560,1.1e+07,1.2e+07,1.4e+07,1.4e+07,1.6e+07,1.2e+07,2.2e+07,2e+07,2e+07,9687342,2.1e+07
"CL(18:2/18:2/18:2/18:2)",4.8e+07,4.8e+07,4.5e+07,5e+07,5.2e+07,2.6e+07,5.6e+07,5.8e+07,1.2e+07,1.6e+07,2.3e+07,2.3e+07,2.6e+07,2.8e+07,3.1e+07,2.2e+07,3.7e+07,3.7e+07,3.4e+07,1.7e+07,3.7e+07
"CL(20:5/18:1/18:2/18:2)",5282773,5650493,4859048,5174713,7601954,4534593,7022689,7529584,1659407,1521766,2341527,3141700,2462579,2930862,3471760,2448643,4340131,4624100,4350604,1954633,4499322
"CL(20:5/18:2/18:2/18:2)",6751139,7072731,6238615,6870667,7592028,3629886,7964773,8227116,2100744,2230713,3685229,3455215,3792281,4048349,4739051,3581921,5238364,5583143,5054526,2546476,5416826
"CL(18:2/16:0/16:0/18:1)",7922224,5820597,6895565,5545763,9363992,2475180,1e+07,7739725,899025,1016848,1327772,1299532,501268,1568118,1474800,963034,5040137,4370726,4071231,2221685,4620377
"CL(20:2/18:2/18:2/18:1)",2845754,2079023,2280260,2084542,2906636,1773320,2782581,2679814,407907,576992,705782,407903,646794,905042,781623,752087,1961835,1925188,1181107,585209,1817486
"CL(20:2/18:2/18:2/18:2)",4968492,2341243,4130217,3264959,5569102,2093072,4803249,4091130,583496,973038,1162264,1252080,1137723,2094840,1916230,1536314,2375697,2859494,1804841,975413,2573658
"CL(18:2/18:1/20:4/18:2)",3376411,2844609,3344437,2826987,4018818,1882850,4062954,4072082,804409,592059,655370,1280484,893747,1190408,1304725,1063046,2580020,1968350,1439176,1068955,2186882
"Co(Q8)",3.3e+07,3.9e+07,3.5e+07,4.2e+07,4.4e+07,2.3e+07,3.2e+07,3.8e+07,1.9e+07,2e+07,2.5e+07,2.4e+07,3e+07,2.8e+07,2.9e+07,2.4e+07,2.9e+07,3e+07,2.9e+07,3.1e+07,2.9e+07
"DG(14:0/18:2)",2.9e+07,2.3e+07,4.1e+07,4.2e+07,4.2e+07,5.4e+07,2.9e+07,6.2e+07,3.3e+07,2.9e+07,2.2e+07,3.4e+07,2.4e+07,2.5e+07,2.4e+07,2.4e+07,3e+07,3.3e+07,3.3e+07,3e+07,2.9e+07
"DG(32:3e)",3.4e+07,3.3e+07,4e+07,3e+07,5e+07,2.8e+07,2.8e+07,3.9e+07,3e+07,4.7e+07,3.8e+07,5e+07,4.2e+07,4e+07,4.4e+07,4.9e+07,4.4e+07,4.9e+07,3e+07,3.7e+07,4.6e+07
"DG(16:0/18:1)",1.8e+08,1.6e+08,2.2e+08,2.9e+08,2.7e+08,1.4e+08,1.5e+08,2e+08,9.4e+07,5.4e+07,7.6e+07,7.7e+07,1.3e+08,1.1e+08,1.1e+08,8.8e+07,1.3e+08,1.4e+08,1.3e+08,1.3e+08,1.3e+08
"DG(34:2e)",1.2e+08,6.2e+07,8.2e+07,6.6e+07,7.9e+07,6.5e+07,8.2e+07,6e+07,9.5e+07,6e+07,6.5e+07,7.4e+07,4.5e+07,7.6e+07,6.1e+07,9.2e+07,1e+08,4.8e+07,7.9e+07,1.2e+08,8.2e+07
"DG(16:1/18:2)",1.9e+08,1.3e+08,1.1e+08,1.1e+08,2.4e+08,1.8e+08,1.6e+08,1e+08,5e+07,6.1e+07,1.1e+08,1.5e+08,7.6e+07,1.4e+08,1.4e+08,1.2e+08,1.5e+08,1.5e+08,8e+07,8.1e+07,1.5e+08
"DG(16:1/18:3)",2.1e+07,1.7e+07,2.6e+07,2.6e+07,3e+07,1.9e+07,2.1e+07,2.5e+07,1e+07,1.3e+07,1.4e+07,1.6e+07,1.6e+07,1.8e+07,1.8e+07,1.4e+07,1.8e+07,1.8e+07,1.6e+07,1.8e+07,1.9e+07
"DG(35:1e)",1.9e+08,1.1e+08,1.9e+08,2.1e+08,1.3e+08,1.3e+08,1.3e+08,1.8e+08,1.2e+08,1.3e+08,1.5e+08,1.5e+08,1.3e+08,1.8e+08,1.3e+08,1.3e+08,1.4e+08,1.4e+08,1.1e+08,2e+08,1.9e+08
"DG(35:1p)",7.5e+07,6.3e+07,8.6e+07,8e+07,8.2e+07,5.4e+07,5.1e+07,7.1e+07,6.9e+07,8.6e+07,9.3e+07,8.2e+07,7.4e+07,5.6e+07,6.9e+07,8.6e+07,8.8e+07,8.3e+07,7.6e+07,8.2e+07,7.9e+07
"DG(18:0/18:1)",1.8e+07,1.6e+07,1.6e+07,2.2e+07,2.1e+07,9953605,1.7e+07,1.8e+07,6151643,5340703,7828071,4714621,1.1e+07,9974317,1e+07,7513762,1.1e+07,1.1e+07,1.2e+07,1.3e+07,1.1e+07
"DG(36:1p)",3.1e+07,2.4e+07,3.7e+07,4.8e+07,4.5e+07,4.4e+07,5.2e+07,2.6e+07,2.9e+07,3.1e+07,3.7e+07,3.2e+07,2.6e+07,3.2e+07,2.1e+07,3.1e+07,2.9e+07,2.5e+07,4.3e+07,3.1e+07,3e+07
"DG(18:1/18:1)",3.2e+08,2.7e+08,3e+08,5.1e+08,3.9e+08,2.3e+08,2.8e+08,3.9e+08,1.2e+08,9.3e+07,1.1e+08,1.3e+08,2.8e+08,1.8e+08,2.1e+08,1.6e+08,3.6e+08,2.3e+08,2.2e+08,2.2e+08,2.3e+08
"DG(36:2e)",4.3e+07,8e+07,6.3e+07,1e+08,5.7e+07,7.4e+07,7.2e+07,1.5e+08,7e+07,8.4e+07,1.3e+08,5.8e+07,6.5e+07,1.1e+08,5.5e+07,8.5e+07,1.3e+08,1.3e+08,8.1e+07,6.5e+07,8e+07
"DG(18:0/20:4)",2e+08,2.6e+08,2.3e+08,2.7e+08,2.7e+08,2.3e+08,3.1e+08,2.4e+08,6.9e+07,9.5e+07,8.3e+07,8.1e+07,1.2e+08,1e+08,1.1e+08,8.9e+07,1.6e+08,1.7e+08,1.5e+08,1.6e+08,1.6e+08
"DG(36:4p)",1.5e+08,1e+08,1.9e+08,2.2e+08,1.8e+08,4.3e+08,1.9e+08,2.1e+08,2.2e+08,2.8e+08,8e+07,3.3e+08,1.6e+08,1e+08,1.1e+08,9.9e+07,1.5e+08,1.5e+08,2.2e+08,1.4e+08,1.4e+08
"DG(18:3/18:3)",4759072,3624645,9244403,7738061,8609732,6381307,4263523,8939229,6635462,9572845,9394786,8256688,1.1e+07,1.8e+07,1.4e+07,1.2e+07,8660538,5699447,4955595,4122314,7377276
"DG(38:1e)",4e+07,4.2e+07,3.9e+07,4.4e+07,4.1e+07,5.3e+07,4.6e+07,3.8e+07,4.5e+07,5.1e+07,1e+08,4.9e+07,4.2e+07,4.1e+07,3.4e+07,4.7e+07,4.7e+07,4.6e+07,4.3e+07,4e+07,4.6e+07
"DG(20:1/18:1)",1.5e+07,1.4e+07,1.3e+07,2e+07,1.3e+07,1.1e+07,1.5e+07,1.2e+07,4220473,5370812,6992024,5852194,9062570,6755414,6377909,7708082,8962571,1.1e+07,9921760,1e+07,9585861
"DG(38:2p)",2.2e+08,2.6e+08,2.1e+08,2.5e+08,1.9e+08,1.7e+08,2.2e+08,2.1e+08,1.8e+08,2.1e+08,1.7e+08,1.8e+08,2.6e+08,1.8e+08,1.8e+08,1.9e+08,1.9e+08,1.8e+08,2.2e+08,2e+08,1.9e+08
"DG(38:3)",2.9e+07,2.2e+07,2.4e+07,2.7e+07,2.8e+07,2.2e+07,2.3e+07,2.9e+07,1.2e+07,1.4e+07,1.5e+07,1.6e+07,2.1e+07,2.3e+07,2.4e+07,1.5e+07,2.3e+07,2.2e+07,1.9e+07,1.9e+07,2.5e+07
"DG(20:1/18:2)",9.4e+07,6.8e+07,8.9e+07,1.2e+08,1e+08,7.7e+07,9.5e+07,1e+08,3.5e+07,4.2e+07,5e+07,4.1e+07,5.6e+07,5.1e+07,5.1e+07,4.7e+07,6.3e+07,6.6e+07,5.8e+07,6.6e+07,6.6e+07
"DG(20:2/18:2)",3.6e+07,2e+07,4.5e+07,5.2e+07,5.1e+07,6.1e+07,4.4e+07,7.4e+07,1.9e+07,2.4e+07,1.6e+07,2.5e+07,2e+07,2.1e+07,2.1e+07,1.8e+07,3e+07,3.5e+07,2.8e+07,3.1e+07,2.9e+07
"DG(20:3/18:2)",4.5e+07,3.3e+07,5.8e+07,6.1e+07,6.3e+07,4.7e+07,4.2e+07,7e+07,2.8e+07,2.7e+07,1.9e+07,2.8e+07,2.5e+07,3.2e+07,3e+07,2.6e+07,3.6e+07,3.5e+07,3.7e+07,4.1e+07,3.5e+07
"DG(18:1/20:4)",7.8e+07,7.6e+07,1.1e+08,1.2e+08,1.4e+08,7.4e+07,7.8e+07,1.1e+08,5.1e+07,4.5e+07,3.4e+07,5.1e+07,4.9e+07,7e+07,5.3e+07,5.4e+07,7.2e+07,6.7e+07,7e+07,7.2e+07,6.8e+07
