"lipidName","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8","QC-1","QC-2","QC-3","QC-4","QC-5"
"SM(d16:1/18:0)",2.5e+08,2.5e+08,2.5e+08,2.6e+08,2.7e+08,2.2e+08,2.8e+08,2.6e+08,2e+08,1.5e+08,2.2e+08,2.1e+08,2e+08,2.1e+08,2.5e+08,2.1e+08,2.4e+08,2.2e+08,2.3e+08,1.2e+08,2.4e+08
"SM(d16:1/18:1)",7091041,7800125,6330383,6274982,7233622,4149502,7283721,6342376,4569238,2763437,4751979,4242488,4380125,5043792,5359840,4368225,5211630,5697351,5778376,2388691,5891481
"SM(d20:0/16:0)",8709052,8342302,6784935,7479629,6977030,5165991,8159352,6538743,4875273,4035790,5118002,5929656,6573379,6231121,7608772,5791720,6581967,6583415,5921910,2947804,6797356
"SM(d18:0/18:1)",9.8e+07,7.1e+07,6.6e+07,7.2e+07,6.3e+07,5.4e+07,7.5e+07,6.4e+07,4.9e+07,3.7e+07,5.5e+07,5.3e+07,5.8e+07,5.9e+07,6.4e+07,5.4e+07,6.1e+07,5.9e+07,6.1e+07,3.2e+07,6.5e+07
"SM(d37:1)",4812030,4520131,5175822,4596975,5064280,4010059,5314144,6580718,4111957,3444078,4910681,5292818,4296379,3892031,4713853,4812357,4859602,4327306,4475124,2010449,4290288
"SM(d22:1/16:0)",4.2e+07,3.9e+07,3.7e+07,4.1e+07,4e+07,3.6e+07,4.4e+07,3.7e+07,2.7e+07,2.1e+07,3.3e+07,3.2e+07,3.5e+07,2.9e+07,3.5e+07,3.1e+07,3.5e+07,3.5e+07,3.3e+07,1.7e+07,3.6e+07
"SM(d22:1/18:0)",1.5e+08,1.7e+08,1.4e+08,1.8e+08,1.7e+08,1.3e+08,2e+08,1.4e+08,1.1e+08,7.7e+07,1.1e+08,1.2e+08,1.5e+08,1.2e+08,1.4e+08,1.2e+08,1.4e+08,1.4e+08,1.4e+08,6.6e+07,1.5e+08
"SM(d22:1/18:1)",1.6e+07,1.6e+07,1.4e+07,1.7e+07,1.6e+07,1.2e+07,2e+07,1.6e+07,1.3e+07,8008025,1.4e+07,1.4e+07,1.5e+07,1.1e+07,1.2e+07,1.3e+07,1.6e+07,1.6e+07,1.5e+07,7130717,1.5e+07
"SM(d40:3)",1259047,789953,1069830,1384607,1302996,555546,1091488,1632896,1431447,865963,1040441,988055,1230071,1479305,1351020,1011802,1164285,1316202,1232034,637513,1236394
"SM(d42:1+pO)",2107665,2062878,1960339,2281587,2099302,1732742,2767005,1956352,1085216,921571,1510918,1271684,1577526,1306457,1843266,1384767,1695329,1664111,1588976,635106,2254871
