"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610005C13Rik",34.5719748973024,1.879527806634e-06,0.00144269401017073,NA,NA
"0610007P14Rik",494.800816553605,4.15551346717956e-07,0.00144268402667844,0.885697312712269,0.999944505954311
"0610009B22Rik",495.838804411404,2.18516083786025e-07,0.00144269365097385,0.792935666347889,0.999944505954311
"0610009E02Rik",27.6593309004551,2.52166227965896e-06,0.00144269351883329,0.0710408625419868,0.999944505954311
"0610009L18Rik",161.022772831634,3.90246875074924e-06,0.00144269421455635,0.1555176523104,0.999944505954311
"0610009O20Rik",1890.0896351058,-1.13618447005356e-06,0.00144268709077497,0.635537306559028,0.999944505954311
"0610010F05Rik",243.838644478646,9.38805268549723e-07,0.00144269417236891,0.755954840521782,0.999944505954311
"0610010K14Rik",694.262870252232,1.65238378257643e-06,0.00144268997259975,0.41348282236937,0.999944505954311
"0610012D04Rik",0.166902239160298,-3.32162763356516e-07,0.00144269499241157,0.728170376991444,NA
"0610012G03Rik",4093.99356302973,-1.28307946968888e-06,0.00144269081546676,0.474129539759697,0.999944505954311
"0610025J13Rik",26.1485579137721,-7.65541406007098e-07,0.00144269223557858,0.607494313502915,0.999944505954311
"0610030E20Rik",557.46083020981,1.15201795410132e-07,0.0014426908922702,0.944449251103668,0.999944505954311
"0610031O16Rik",1.01241034006863,2.6411643060544e-07,0.00144269502878305,0.282600912030933,NA
"0610037L13Rik",1410.57645342759,7.61970824739999e-07,0.00144268215704219,0.785948482249009,0.999944505954311
"0610038B21Rik",13.5652255769184,1.28466848920527e-06,0.00144269222963929,0.392712857166271,0.999944505954311
"0610039K10Rik",12.3689011960014,7.1573229822178e-07,0.00144269290704938,0.569011808324631,0.999944505954311
"0610040B10Rik",80.6066326051627,8.91131719178218e-07,0.00144269364318173,0.381178570190766,0.999944505954311
"0610040F04Rik",1.3276850667333,-1.52256689611066e-07,0.00144269478416331,0.728528323524581,NA
"0610040J01Rik",44.2816277236326,4.31365505694491e-07,0.00144269186197497,0.800516911280575,0.999944505954311
"0610043K17Rik",10.2585581032648,1.25036929992705e-08,0.0014426943859044,0.98219829727141,0.999944505954311
"1-Mar",1026.86469582206,9.75713389013462e-08,0.00144269079772204,0.926334729942185,0.999944505954311
"1-Sep",3537.67931827534,-9.21780791944634e-06,0.00144270822126879,0.899719123697541,0.999944505954311
"10-Sep",414.696465188532,-7.77864241083584e-07,0.00144269379759268,0.972809905103975,0.999944505954311
"1010001B22Rik",65.47708087111,1.99983940311054e-06,0.00144269299973435,0.163188908491613,0.999944505954311
"1010001N08Rik",8.79667170283241,1.54122185211503e-06,0.00144269277168279,0.279170068635866,0.999944505954311
"11-Sep",999.910103528435,-4.38491553507521e-07,0.00144268991263405,0.815914112704901,0.999944505954311
"1110002E22Rik",12.7369581084783,-3.02516642685607e-07,0.00144269458295768,0.603063933026831,0.999944505954311
"1110002J07Rik",7.59578525034393,-3.43458573029047e-07,0.00144269420425913,0.661603014966286,0.999944505954311
"1110002L01Rik",79.7861431893216,7.99106725192914e-07,0.00144269337938782,0.74731595422844,0.999944505954311
"1110003F10Rik",3.10578323349318,2.5074097004138e-08,0.00144269454532766,0.969633749947789,0.999944505954311
"1110004E09Rik",511.591407641578,-3.79847153004097e-06,0.0014426854696623,0.354788440025553,0.999944505954311
"1110004F10Rik",1670.85159873846,-1.33103003361394e-06,0.00144268436076254,0.633358262595102,0.999944505954311
"1110006O24Rik",129.194936822621,1.76680050106755e-06,0.00144269043705346,0.363369530160419,0.999944505954311
"1110008F13Rik",2324.79069175429,-2.64615896525725e-06,0.00144269202941893,0.133848868158624,0.999944505954311
"1110008L16Rik",262.562842315842,4.23403261490711e-07,0.00144269108095372,0.851146921122426,0.999944505954311
"1110008P14Rik",5062.82081132841,-3.51070652206994e-06,0.00144269320704746,0.283067025669436,0.999944505954311
"1110012L19Rik",396.400833549803,-2.83011561477837e-06,0.00144269160143556,0.732875346331027,0.999944505954311
"1110017D15Rik",2.30469986096967,-9.64640455297556e-08,0.00144269474821965,0.726882034155633,NA
"1110018N20Rik",149.934625455281,-1.82138375427195e-06,0.00144268726194025,0.440069519786231,0.999944505954311
"1110019D14Rik",64.7691704320111,1.67839099732805e-07,0.00144269456353486,0.81791584358516,0.999944505954311
"1110020A21Rik",26.8909776418068,4.63169934425253e-07,0.00144269425257061,0.561005782011607,0.999944505954311
"1110025M09Rik",52.7979432305549,8.82142458458552e-07,0.00144269347288573,0.428720133029353,0.999944505954311
"1110028F11Rik",2.13518344643787,4.8215345806184e-07,0.00144269494561222,0.205284623902996,NA
"1110032A03Rik",1065.63455097517,1.86546815762359e-06,0.00144269035448711,0.618337827523791,0.999944505954311
"1110032F04Rik",26.9103014909445,5.69448011019227e-07,0.00144269444062204,0.464946679060047,0.999944505954311
"1110034G24Rik",206.481888400691,-4.41739181509797e-07,0.00144268486056341,0.868278570454561,0.999944505954311
"1110035H17Rik",24.9184747795944,1.11266878985717e-06,0.00144269120596289,0.517010211689945,0.999944505954311
"1110037F02Rik",1000.72167799443,1.60519759882913e-06,0.00144268835943158,0.483377820865771,0.999944505954311
"1110038B12Rik",673.256508714952,1.28593355574637e-06,0.00144268972848876,0.526852744382022,0.999944505954311
