"","Count (COLD1)","Count (COLD2)","Count (COLD3)","Count (COLD4)","Count (RT1)","Count (RT2)","Count (RT3)","Count (RT4)","Count (RT5)"
"Gemin2",152.848791781678,79.6123680794621,165.647123619809,287.196797705268,81.2790857346534,111.531609131387,214.144917700923,291.574177939766,305.839567792877
"Sox12",233.768740371979,353.999649258992,365.123589387325,79.5314209029972,60.4382945206397,353.424839325434,144.761964365824,121.489240808236,115.083961076701
"Gpbp1",134.866580983834,50.5713784655703,67.6586842954148,1500.05096647597,91.6994813416603,52.144648425064,794.905934505827,2287.03495821504,2364.73892623358
"Rem1",156.935657872098,237.835690803425,349.958711872835,129.23855896737,321.990224256512,1119.66147868262,244.125206179052,209.568940394207,133.213626177825
"Slc38a6",336.757765850543,236.834277368463,218.140930400734,438.527418034582,275.098444024981,359.218689150441,642.43475310277,406.988956707591,841.058811430411
"Zfp14",110.345384441319,5.00706717480894,75.8243875724476,194.410139985104,46.8917802315308,108.634684218883,222.71071440896,403.951725687385,211.250010743533
"Kctd14",140.588193510421,124.175265935262,148.149188026167,36.451901247207,233.416861596953,5.79384982500711,34.2631868321477,174.640783661839,224.65019799219
"Dck",264.011549441081,156.72120257152,198.30993672794,476.083922349886,348.041213274029,152.088557906437,257.830480911912,296.130024470075,781.940338274571
"Zfp7",323.679794361201,178.251591423198,152.815304184471,171.213475555063,226.122584672049,33.3146364937909,94.2237637884062,451.028806500576,328.698710746468
"Ms4a4d",388.252278589825,457.145233060056,302.131021250214,393.238692242597,477.254118800914,323.007127744146,734.088777878765,253.608790187193,499.74815974403
"Syt13",183.09160085078,99.139930061217,207.642169044549,2.20920613619437,240.711138521858,0,25.6973901241108,92.6355461162799,130.060640942847
"Prc1",192.900079467787,52.5742053354938,54.8268648600775,296.033622250045,92.7415209023609,28.9692491250355,138.765906670198,376.616646505532,160.014000675139
"Ikbkg",318.775555052698,373.527211240747,501.60748701773,625.205336543006,457.455367147601,356.321764237937,370.898997457999,215.643402434619,670.797608741593
"Pfas",389.887025025992,598.845234107149,659.088907360506,388.820279970209,713.797099079969,476.544148106835,453.130645855154,473.80803915212,424.8647604133
"Exoc5",138.953447074253,75.606714339615,134.150839551253,1878.92981883331,90.6574417809596,55.0415733375675,271.535755644771,1331.82580236029,1747.54206648662
"Zfp451",270.550535185751,207.793287754571,186.644646332179,698.10913903742,254.257652810967,192.645506681486,407.731923302558,403.951725687385,1169.75752217688
"L1cam",332.670899760123,311.940284990597,257.802917746322,129.23855896737,155.263894544402,108.634684218883,120.777733583321,71.3749289748386,323.180986585256
"Gm25745",208.43017061138,237.334984085944,396.61987345588,64.0669779496366,483.506356165118,215.820905981515,173.029093502346,28.853694691956,124.542916781635
"Arhgap10",434.842552020604,607.357248304324,447.947151197229,377.774249289237,637.728211148819,1029.85680639501,543.928090960345,461.659115071297,349.98136108257
"Fcgr1",461.81586821737,477.674208476773,377.955408822662,260.686324070935,953.466198041127,470.750298281828,542.214931618738,200.457247333589,230.956168462146
"Nusap1",106.258518350899,22.5318022866402,4.66611615830447,234.175850436603,45.8497406708301,5.79384982500711,131.056689632965,179.196630192148,237.262138932103
"Usp3",823.094830610428,800.129334534468,608.928158658733,790.895796757583,913.8686947345,309.97096563788,749.507211953231,883.834226879917,900.17728458625
"Ankrd39",305.697583563357,387.546999330212,642.75750080644,245.221881117575,372.008123170144,738.715852688406,328.926593588618,180.715245702251,167.896463762584
