"","Count (COLD1)","Count (COLD2)","Count (COLD3)","Count (COLD4)","Count (RT1)","Count (RT2)","Count (RT3)","Count (RT4)","Count (RT5)"
"Cfd",317332.073949562,573860.46961157,764070.688277159,271466.145412496,1038419.51526681,1982808.9471378,619823.619532565,263721.250868968,295451.269689932
"Fabp4",500612.48801372,333069.107054855,31779.7506251721,644751.287832985,45540.254921302,67449.1027378203,506538.388329764,350425.084802786,244802.503121553
"Scd1",566369.346035347,245559.592627285,417270.937043496,1989221.12137361,109425.61630874,214541.913632645,821554.984644201,293994.85106287,414554.498694922
"Fasn",432835.08339699,336827.912382985,982486.919531232,352250.186194715,710405.260309888,587603.558477484,242557.665381482,229649.593284298,110186.586760471
"Car3",289164.575481175,457105.176522657,209606.603947195,355090.120682793,169117.810503918,496939.947953316,477094.318725558,323741.491674767,345920.316099918
"Gsn",211110.337393476,458074.5447277,290874.016018305,116949.849834789,303334.590001287,1004811.44206396,301035.502927579,90363.6973131659,181474.794677018
"Gpd1",165525.433020941,236911.886909672,362476.734996526,176613.879954991,95092.3621513017,159123.740056452,77409.9614302005,49880.4450448415,35240.9159713503
"Pnpla2",127884.578954962,280320.155074961,264191.99729608,74103.4014263676,154514.668100258,433491.498519663,129949.988698287,62108.3371321904,36680.2537311178
"Lpl",78707.3192889473,46153.1423905189,15870.6275834331,402769.20751414,12602.4264471141,13993.5957898484,119892.03020371,158778.844658814,174912.644156719
"H2-D1",120297.720744707,162367.672224552,229051.476507889,81858.819567478,261351.858140217,328577.914350891,136161.047891284,46709.5758597465,72414.6118917422
"Rplp1",70896.5008169381,123483.289251703,209081.665879386,18526.402658126,249834.194875793,175828.857564403,44107.8569886946,88239.1542145319,30341.9651625031
"Eef2",108208.770849247,162218.96232946,202160.649087581,43840.5911697091,253854.383500976,221553.920383359,75736.2047534501,103224.852068228,53677.9971328848
"Rplp0",65689.016044526,101157.778132665,145816.129947015,22572.5636965659,196156.653024979,137483.71096005,36551.9677125352,84916.4234784266,38538.1502808287
"Aldoa",90690.8280392745,159843.609661731,195381.948838604,95517.2365044996,101610.319603484,181385.159546585,53348.6384773248,48907.0125028655,19496.4842004871
"Apoe",82577.5814765743,151601.476385278,138548.654030455,41095.6525454876,172537.784342137,338644.728421841,89840.6456129037,106251.452779863,41728.1830923178
"Eef1a1",218554.972663784,166629.687803749,40066.7729223209,89082.9236328335,99886.7861700855,28076.9962519845,136973.941998877,225491.624017636,123619.092107787
"Cidec",75515.4768723299,144063.336753603,128458.177838122,54104.5628784681,85701.5016302671,314488.72003893,91271.9902428167,32177.9440435714,33806.3076894353
"Lipe",61123.9866215277,117741.184615632,108015.92294859,45111.989301089,67450.1787245946,187853.992876206,80255.5190966104,24515.0101795919,27399.4416919598
"Tkt",113327.979314107,135113.204178632,226326.464671439,158641.988037049,209861.557327314,160824.234980091,76670.7331742969,96020.5400882994,43027.2130091288
"Pcx",67769.2308845494,79588.8348637405,133593.238670336,69230.997292991,113367.65196687,156070.381198673,65134.3181679128,30560.6185253118,21897.482456923
"Aco2",94931.3602946935,145371.182699663,151120.337489967,63076.1489975534,29793.995119554,52440.1347661394,40559.0474125549,14091.2333182453,11662.892384184
"Cd74",90314.836358956,114156.124518469,113437.94992454,5346.27884959037,196778.750642717,72846.0738498144,35169.448123858,35585.7172482424,35947.9729102942
"Thrsp",116667.766283197,136875.691824165,172600.803224722,176560.859007722,107184.189213672,152372.456547862,66814.9274820297,98565.739683232,42094.717625884
"Rpl8",39085.9699155512,65028.7842261136,99854.8857877156,14590.7019264957,125782.511293058,86032.8760515306,20124.482785862,64169.0983794001,24669.7447247775
"Rps15",39803.6236010288,70244.1453953946,90946.1035124728,14351.0030607186,130077.798362266,100642.068385286,21405.0693937135,105057.820988922,23945.3463670412
"Psap",79374.2958349038,105139.397950073,137622.429973032,62059.914174904,145993.910612409,179742.603121196,81012.7355256009,34826.4094931909,48577.255268999
"Uba52",55986.7959458708,89888.3720423225,102554.233985295,25391.5107263499,97266.0566749233,88984.8425373717,28253.423861789,56647.3957578602,21929.8005555815
"Hbb-bs",43452.3776465551,51567.2841266398,131432.826889041,50768.6616128146,20212.4413589112,164916.141419002,95476.939846792,39178.761545146,11300.2990821615
"Atp5b",105744.390596725,156513.909990483,125903.47924145,93093.7373730944,51441.32495355,77358.0344010387,69303.2914257144,34695.8085593221,27704.4930134439
"Hba-a1",39803.6236010288,44662.0377858608,128004.398041727,44744.1564794126,17717.7986505937,166306.665377004,85919.2238799644,42106.6522486245,9931.1152438723
"Dgat2",56721.6144689282,99309.1689317255,116117.467128446,82276.3595272187,72686.4275171156,272842.527496779,66373.7889515658,22405.6532360589,35111.6435767162
"Ifi27l2a",38307.8306119354,140268.480541815,79971.3983081407,19772.3949189396,92533.1129902208,229111.997480081,57382.2721471394,34152.1442067052,31283.9195014528
"H2-K1",68538.3790827663,72044.6867514559,121574.489975583,42879.5865004646,156325.732856756,132396.710813694,63681.5590462297,42343.5562682005,48976.1079012237
"Rps29",23659.6851706549,41454.5105536781,79811.5838297187,11523.2192063898,92019.3874867954,66924.7593286571,14698.9071509914,43077.0475595803,18913.9701783249
"Hba-a2",40482.8607452565,42636.6791136505,111081.561264596,38935.0489442895,15296.0987115254,147928.573732082,86356.9360917451,38017.0206799172,8892.20660894701
"Rplp2",28648.9312938386,46646.3385072375,90590.3121554021,19242.1854462529,100795.444667017,92045.4437074317,21823.0802730657,61115.1625885831,25577.8044724512
"Rpl41",32408.0307238062,48359.7568944572,60916.1464466648,13460.6929878323,78926.1604065913,72223.2349936261,16192.782096873,54279.8741776097,12014.4502378841
"Acsl1",75611.1095388457,74249.2984285242,50871.1648868749,75771.3520591944,23107.2272585377,40426.5871539871,71013.0244486385,15713.1146830352,31239.7777081631
"Rpl28",24821.172513552,38558.4228997687,43732.007164669,9328.37291008071,64756.5064601834,54709.8754350859,15229.1299672189,69124.3407888661,11910.4017251298
"mt-Cytb",24515.4749299887,1203.19824210659,3412.09744076014,772009.293499258,2479.01211490693,3700.82157572329,219913.981783786,3611703.52567621,404979.670782602
"Rpl13",27816.0279846112,41401.9363483427,64416.9000944327,13163.5547625141,87069.6995734671,60734.030790637,15579.4710525776,78541.2755670145,25535.239171779
"Lgals1",51487.1563803192,93854.9706582061,98870.3352783133,47271.488299219,58007.216225525,185372.776688646,56397.2055257151,33447.5066100175,14686.605224528
"Ighm",92041.128595549,71527.4567122981,67609.6900757526,3226.54556191187,179817.472713192,26172.2681220134,11747.1336054018,20855.1468002438,20540.9105595736
"Ubb",51030.2447514104,77732.2143553213,81902.0038686391,32266.5602221868,97380.6810266004,128962.406329921,55091.7781074103,49153.0282155022,26660.8549006661
"H2-Ab1",48366.4254336751,57573.2612028231,80457.8409176439,5338.54662811369,107614.551552242,58753.9826129408,22895.5180209119,38208.3662341902,25889.950010714
"Plin1",45591.4433582805,77551.4592303107,95031.2882090683,49942.4185178779,55093.6736138059,186747.367559629,71508.9840780339,14463.2941182205,32784.7404733024
"Pck1",72500.1870708186,78294.0072923349,100386.823029762,93250.5910087642,59286.8408060655,152118.975618018,137674.624169594,23051.0648278527,37673.4440801359
"mt-Co1",21254.9731630522,2128.0035492938,0,1731540.42225097,5747.89021682498,0,650613.375799603,7154044.28792848,901302.112068828
"Col3a1",20048.5302931605,18412.9888286424,51968.868713116,63365.5550013949,39611.0498209151,117050.251089706,109308.131791259,40556.1458128094,42517.217647371
"Hp",35120.8924346265,80871.6454739265,72061.164890775,34766.2769652907,113862.620758203,340920.262940612,48350.4960981852,35582.6800172222,27724.9874174713
"Atp5a1",50397.5978806135,66574.4658629771,89731.746782274,52663.0558746013,24770.322397416,45364.3956673494,29872.359439608,17924.2188657451,17358.760211172
"Rpsa",52660.9043214876,73311.4747466825,82454.9386333982,20935.5419496459,127613.374801209,71164.4089381061,22134.0186935674,91215.6406143337,34395.1276820674
"Rpl18a",26026.7980102257,44391.1554517036,64189.4269317154,7781.92861474466,80053.6472112694,57386.6340542392,13167.3426995944,46240.3236671247,14328.741400358
"Rps24",28504.2562342378,3813.38236033449,467.778144870023,21287.9103283689,2075.74280491576,617.045006363257,21246.6021546148,111411.708283193,43552.9732970614
"Gpx3",27847.9055401165,5664.99580157883,30314.5901514645,7035.21694071096,46786.5342359,108901.201310834,11399.3622590555,51547.8848749345,9995.75144118935
"Ctsb",84926.7121053473,102694.947755331,86431.6361293132,67498.9796822146,97337.9574046117,161073.370522566,112864.650584436,35921.3312759752,44665.9770850086
"Agpat2",37044.9889899959,49701.1501905885,75955.0388248801,97448.0826675335,13314.1394670726,35217.9161613057,53411.1687932935,7638.63601581784,18148.583012534
"Eno1",45888.1498364449,63813.06831607,129286.413456221,51557.348203436,63559.2030049383,70073.7167085485,21763.9762757802,21562.8216279518,14443.037115126
"Rpl7a",39998.9758001509,58020.893008251,49009.3845397114,16807.6402841667,75325.9137243704,37292.1143986583,20445.7001624133,44832.5670892593,19278.1399729649
"Rps16",28033.4492606215,34584.3136831228,52485.6410776482,8558.46457161698,72175.8281323722,36017.4674371567,12740.7660235341,70088.6616377814,19285.2341897436
"Rps26",21874.5420623598,32785.7751539314,41692.91440349,8445.79505867106,61925.2849737596,40236.8385722181,11606.65453939,50686.8298807062,14731.5352641265
"Slc25a1",42478.8861438172,41795.9925350001,76547.6355769848,69359.1312488902,69675.9752262513,67812.6668143395,37519.9027405434,50413.4790888876,16235.509221211
"Rps12",27015.8196041071,36851.0129931588,41499.2705829203,9082.04642589504,53706.7189585133,36863.3695116077,14720.3216427615,57860.7695504325,14171.0921386091
"Rps9",22887.2674795656,36909.0949723866,56069.218287226,12662.064969598,76831.6608895829,46985.2251558952,12092.3352127357,53673.9465890787,20311.530883729
"G0s2",20534.0499847023,51660.9162828087,38705.4335331355,8049.24255722417,23964.8258169943,87978.1611302767,19785.2772362237,3700.86599812089,3953.0552383538
"Cs",49199.3287429026,54022.7498691661,35932.5940060631,51404.9129800386,12075.1544293995,11509.4826773766,28036.7092050757,20436.0089194554,13620.1079687967
"Rpl36",15123.0392809872,25162.0146735674,47443.9025686002,8228.18825425592,46657.3213303732,47479.150853477,10066.524291285,35008.6433544033,9421.11988211459
"Fau",16207.6935413845,26970.0666303909,42542.1475443014,8763.92074228305,53590.0105277148,35425.0462925497,8664.30337017935,57930.6258638972,16431.7825520884
"Rps20",21575.3834645411,27707.6076252402,45642.7817314947,9942.53221594275,60942.6416680188,40076.0592395742,12610.565913572,52299.5995524355,20287.8834944666
"Aldh2",33411.7650356132,54284.1187756911,68267.6124540735,26485.0677637662,47967.1650581739,104797.707172272,39245.054197542,13787.5102162247,18273.1259293156
"Gm28661",15516.1957988856,547.773148924098,1405.66749268922,486924.496860192,1320.26412340777,2349.40610404038,119393.500835302,1679900.07035343,199201.665914373
"C3",72677.5570591428,66284.0559668382,51365.7731996551,16153.7152678532,136900.031366174,72472.3705361014,73345.490892237,29291.0559588657,27676.9043926378
"Grina",22901.1628242731,46497.6286121457,41859.7280561494,13438.6009264703,35456.4380924015,91418.2594638747,27066.2044380551,10624.2341086802,9998.11618011558
"B2m",70175.5776385882,57153.6689735741,48359.6278646675,98825.5226934507,65354.6371680255,52724.0334075647,112254.765858824,83838.2064662535,84889.3979739331
"Arhgdia",25703.9355890826,40417.0462350577,45769.9333968085,11243.7546301612,54560.1493587271,76609.1793111565,20240.9776210913,20252.2564427329,10749.3149123491
"Rps8",17662.6178695737,26962.0553229112,46864.1376359309,12360.5083320075,64218.8140468618,35361.3139444746,10175.3099094771,43695.1240721922,23423.5273106524
"Rpl13a",23779.0216604951,30591.1776112127,43678.3468288485,12928.2743090094,60346.5950392981,29132.925382592,10380.0324507991,79961.1810689607,27645.3745402881
"Slc27a1",28136.4382861001,46573.2353264853,45303.3217809781,26760.1139277224,36559.9579871835,42513.8215534459,21689.4538444203,9590.05694630013,9380.91932036862
"Tpt1",39474.222194141,55402.6975825434,69747.9378052956,49059.8406664683,80469.420995989,54827.2008940423,33058.8358149977,166786.504243587,66507.4940540107
"mt-Co2",14848.4018797111,656.426506617452,1622.64189405038,496219.73167823,1475.52801795217,2466.73156299678,113124.19422469,1718090.2132015,205361.022570903
"Rps14",23521.5490967987,32019.6938761857,36603.3482038194,10460.5910548803,51595.5468085337,39337.3433868858,11633.208509185,56284.4466509456,17956.2509132003
"Ldha",47593.1903693678,62380.0456906397,69606.7877915069,61221.5204462183,46356.1718973307,61449.5712440254,33739.8166532867,42127.9128657659,19705.3694723044
"Cox8a",32124.4022171311,56452.6795691008,60029.584376587,34723.197445635,32982.6361752981,75502.5539945802,30306.6453327055,19303.1217489186,12492.915747292
"Igkc",209361.976079995,40629.3458832696,9669.35920904643,427.48138735361,61250.0433384255,1468.7409306393,8050.13574621311,52229.7432389708,14074.9260889423
"Rps5",25756.2474750399,37883.4702446044,46023.0701983965,8866.64882761609,71161.9236398105,40254.2201216931,12691.9409822983,51478.0285614698,16159.8375755716
"Acly",56621.8949363219,39445.1744964273,57229.9146816043,111955.939363922,44852.5088112396,25051.1581808745,26071.715440252,33626.7032402096,27972.496758417
"Rps28",16501.9478998947,30938.1673664269,37086.2912262039,3908.08565492783,45176.5831146175,29573.2579692925,9133.70902977978,22206.7146042354,6559.78578137195
"Ftl1",22388.6698165345,40870.1858143779,66859.6119033051,33405.405985395,70963.9361232773,127392.273027344,17860.5427159278,35436.8929282523,26824.0218865763
"Retn",48395.8508695262,63096.0562966373,48815.7407191418,70701.2239766283,44771.2297255049,129457.780489959,50050.8067447306,71305.0726613739,28457.2682382949
"Cyp2e1",29259.5090877473,22912.3393919257,5588.84062860917,28643.4621588281,9913.96438050631,8842.8632954171,56804.9374490177,14238.5390227253,49190.5108972022
"Dbi",38453.3230447543,48222.0625471499,14982.8989843156,59887.1599399569,11124.8143500405,22300.5279764524,47221.524092066,34357.1573005691,23456.6336556196
"Rack1",36879.8795999429,49658.5901196026,39223.3724267073,10142.4653712683,74940.3590869111,29926.682808618,15401.3024810504,37629.773724841,18202.1837615286
"Mdh2",34431.8468117818,59342.7587424006,67505.8689912303,30522.3919776614,19843.5593544231,41061.0137098254,17850.2637598782,11723.7117379948,8533.55453846825
"H2-Eb1",35821.3812825243,41776.9656797358,46097.7280569294,4084.82214582338,83236.0360296493,33562.3235738099,16821.5115752429,24997.9299118047,20896.4096448174
"Taldo1",22841.4945793529,35880.1426679634,60668.8422902747,37334.4790986167,30951.7010714924,49828.5569575174,16772.6865340071,18575.7049195793,11360.2058016261
"Adipoq",61609.5063130695,68340.9591622497,41993.8788957006,66350.1924913935,49405.1796519409,126343.586209018,145046.348816531,27455.0498071512,59964.2614451224
"Ogdh",40570.3196795915,58390.9152724694,56191.7038363815,22910.5722354037,16928.9747031433,28685.3504836102,20300.9381980475,10899.1035160089,7639.68322435196
"Hbb-bt",16218.3193932196,19701.8079194382,41781.5706104978,20039.7088614191,6997.2956501051,37622.3638386837,31625.7780257431,15986.4654748538,3711.06362156923
"Col4a1",24892.2839835253,32286.570556603,48421.453903765,36606.5456767407,37746.8410468216,135337.089599885,51155.7945200673,13345.5931027847,21567.207253559
"Lyz2",39787.2761366671,33043.6391134341,13077.9570626878,12525.094189154,45122.3970574611,11141.5732134887,24792.8419917421,24870.366208956,32484.4186296707
"Ubc",58017.1510195911,66965.5178093297,67665.6834696522,46319.3204545192,78265.507325107,133091.972792695,47787.7232544672,39011.7138390347,21633.4199434935
"AY036118",20246.3346119367,25055.8648494614,37256.604465982,21976.0780397935,36155.6466376317,45507.7934505183,22050.0738858287,7.59307755051475,10446.6283297912
"Ech1",22989.4391318261,44460.7536854334,42219.0190003388,19141.6665670561,17441.6581670081,49782.2061589173,22194.8358501945,10627.2713397004,7613.67109616339
"Aplp2",21593.3656753389,9904.98028520704,9159.58601875167,39981.1080497775,10330.7802047866,13996.4927147609,42899.2230731906,25366.9534807597,25676.3352610442
"Sncg",15792.4679465979,33292.9910587396,25034.879718343,9380.28925428128,20635.5094205557,147312.977188175,39496.8886207583,7508.03508194898,9452.64973446437
"Rps4x",25549.4520508647,5949.89792382546,1755.62620456206,14328.9109993567,5376.92413321553,1591.8602394207,17921.3598725549,43260.8000363027,28873.462289312
"Ctsd",70678.2621677098,82494.9366519996,124666.9584595,73895.7360495654,87272.8972878037,188621.677978019,76181.626182268,30471.0202102157,22032.2725757183
"Uqcrc1",27491.5308170319,51341.9661037734,72544.1079131595,23151.3757042489,18966.1620443132,44244.7341886668,15813.317302707,12168.6660824549,6032.44900082187
"Cat",27693.4220018986,46631.3173057131,42925.9355983219,37767.4835013108,20503.1703963467,48584.3277075971,35732.2209675761,20100.3948917226,19146.5028394046
"Cyc1",27455.5663954362,51241.3240535597,53626.5064783537,24043.8949832714,15607.6685401749,23341.9724824974,12534.3303228704,7937.80327130812,5371.89859409395
"Actb",41171.0889948831,34908.2709293329,31168.4894084343,26763.4277369267,47439.8930404594,19770.0640653805,23480.5619360708,174242.906398192,45626.8493353682
"Fth1",111552.644684428,112829.752423862,123541.257936309,86691.4579904031,102472.086320184,210445.661806364,126429.446251283,116567.407939992,60025.7446572045
"Mknk2",30984.1665779042,45101.1575770915,62515.4577599237,25946.0214665347,12387.7662976097,109842.701907397,36932.289086372,21748.0927201843,20313.1073763465
"Rpl19",30241.991695884,44209.8996199755,48058.6633724569,13689.3458229284,70881.614997982,37438.4091067397,14401.6740052225,48003.4362743542,21259.7911931486
"Rpl4",38322.5433298609,27758.6797104233,17175.9735787187,20263.9432842428,29247.9663897468,11534.1065391329,19566.8494201688,87927.8380349608,39557.3527580354
"Acaca",51537.0161466224,19135.5086219673,21419.8062246967,84322.0844093347,29684.5809656804,14205.0713084612,42891.5138561533,39919.8459140762,28906.5686342793
"Rpl37a",16142.3036839378,25195.0613169211,29865.4764712277,8155.2844517615,46340.5413039202,23945.9813267544,8275.41619963448,34489.2768499481,13446.6937808729
"Cox4i1",30250.1654280649,56167.2767401367,49975.2705844804,29178.0900437871,26613.6903802955,42067.6951169204,22020.0935973505,18773.1249358927,9787.65441568079
"Acacb",26080.7446426192,30517.0730170255,54313.592082664,24585.150486639,19469.4671521316,18256.4207985974,9124.28665340094,6230.8794379524,7500.95187401292
"Rpl35",16153.746908991,26482.8789942819,33506.2136037448,11592.8091996799,43689.5926614976,33036.5317021905,7955.9119824247,63869.9311239099,17976.7453172277
"Cd79a",20605.9788278936,23676.918549519,21892.250485725,107.146497605427,37024.707631256,117.325458956394,1976.12930054412,18770.0877048725,8452.36516866757
"Gnas",48877.2836949775,79989.9009444427,110215.996717231,46711.4545436937,48046.3600647872,87592.8701169137,37829.9845813743,41005.6560037998,22411.4190502244
"Rpl12",22619.9864372522,24216.1796842459,21201.6652942959,9603.41907403691,33116.0172390678,12456.7771237653,8214.59904300741,70286.0816540948,25743.3361972875
"Hadha",37428.3370292772,46851.6282614047,49524.990375204,33606.4437437887,14432.2479157045,16505.229688989,17140.1592127819,11945.4296024698,7001.20371426889
"Rps2",29836.5745797145,39904.3225563573,46761.4830804482,22346.120067606,51165.1844699643,48732.0708781348,17487.9305591282,46498.4883038422,21565.6307609415
"Coro1a",13657.4891009629,14438.8796119965,27401.767139643,835.07991948147,33744.3670941703,3599.42920378567,2340.17566063569,15433.6894291763,11543.8671915636
"Ehd2",26863.7881855435,31489.9461690909,29485.1880043259,32585.7905088669,13190.1367593493,60306.7343660428,40234.4037173203,19565.8422321664,16684.0213708867
"Gpx4",37465.118824091,49404.7318138398,59323.8343076434,54448.0944326464,39698.581144014,87012.0366719568,41759.9721110216,71561.7186825813,18921.8526414124
"Rpl37",15560.3339526621,25386.3312829988,31479.9526620011,7483.68578635842,38323.0889238891,27270.2026638522,8767.0929306758,32897.7677953602,11539.9259600199
"Cidea",35314.6098873124,66562.4489017576,53255.5502437685,23523.6269381976,5489.46440577121,5372.34725023784,11894.4653087801,4492.06467888453,2122.74730944901
"Uqcrq",19463.2910690124,36432.4221773448,74002.2692126297,27239.5116592765,25957.2054570541,62011.5746770511,14444.5029887627,26701.8165141402,6166.45087330844
"Myh9",19031.7180098642,22103.1973364766,35148.686491468,6770.11220436764,44940.0401343384,28754.8766815103,10748.3617092447,7951.47081089904,14110.3971728358
"Pkm",42380.8013576472,55623.5092449525,91476.8742254799,46517.0444037086,55955.4403305054,56330.7049236316,20282.9500249606,36805.1655028551,12645.8355311884
"Pgd",27320.6998144524,34390.5401834577,49845.7858610875,33575.514857882,27397.3041299424,45849.6305901938,17720.063649916,13228.6597085068,7645.98919482191
"Atp1a2",50524.2907294165,65343.7287514091,54388.2499411969,49095.1879646474,26193.7484373331,58727.9102887283,46155.9389815862,23567.3941012877,20993.363940793
"CT010467.1",18432.5834410087,16260.9513569095,28777.1048773032,13684.927410656,29409.4825216554,43062.7888243653,19153.1214391706,127364.764216824,7806.00319549705
"Mgll",48346.8084764411,46454.5678344424,58660.0792841246,57917.6526695396,33133.7319115997,70195.3875548736,50351.4662091827,42393.6705800339,18794.1567393958
"Clu",21819.7780567481,21564.4369084671,19934.8147573163,738.979452557016,35775.3021979759,8577.79466592303,4533.87619756395,7442.73461501456,10270.8494029412
"Mfge8",15234.2020386466,19150.0291167743,23534.7233734482,5273.37504709595,26193.7484373331,29328.467814186,9781.28326090737,3652.27030179759,5702.96204376665
"Rps3a1",22142.6404778913,5511.77954602968,4319.65703355036,15930.5854480976,9026.14667478933,3699.37311326704,15034.6863819464,72239.0212000872,35973.9850384827
"Selenow",13489.9275912557,26497.9001958064,31717.9245860746,12409.1108670038,30056.5890888505,83554.5567888838,17026.234116565,31063.2802591558,7280.24290756445
"Acadvl",25126.8700971154,42548.0540246564,42526.9826667869,26830.8085240806,9018.85239786443,16154.7017745761,11389.9398826767,6768.46932852885,5256.02638670851
"Ifi27",20706.515733718,32644.0751528843,36543.855222801,30055.1448798563,15243.9967334903,33879.5368517291,17451.9542129544,11714.6000449342,8285.25695121373
"Acaa2",21550.8622679986,35312.34125034,42122.197090054,21871.1407483242,7656.90669202863,16987.5676869208,11321.4135090124,7422.99261338322,4020.05617459709
"Ctsz",19548.2978836932,24531.6249162589,30757.8711865035,9212.38958793051,34364.3806327872,28833.0936541479,13121.087397371,11836.0892857424,6409.23073640175
"Rps18",23914.705614697,33074.1822232004,33166.7536532281,6570.17904904205,48228.7169879098,18661.9902863479,9692.19897514378,28398.1100389252,12930.3924486452
"Ppia",26549.9168697993,13358.8552223902,13588.8967820222,32177.0873736709,10327.6540861045,15130.6388180061,23347.7920870963,33647.9638573511,22820.5188844628
"Hadh",23917.9751075694,33147.7861106701,42181.6900710724,31795.9993151774,10944.5415060393,27396.2188975461,20613.5897778909,12464.796106925,9855.44359823282
"Cst3",24007.8861615586,29808.0723050726,40514.7200735181,20585.3827770591,38974.363649327,90061.0501423668,34415.6580135508,13368.3723354363,18560.0475856986
"Srebf1",15628.9933029811,27001.6111535922,37327.7627373962,14145.5468900525,29767.9441305365,46334.8655130381,15421.8603931497,6449.56007140723,12583.5640727976
"Gapdh",39587.0196982366,62195.7856186067,77069.0740576753,40857.0582827786,43376.9807932874,31431.6353006636,16242.4637177796,30519.615906539,6319.37065720487
"Me1",39702.2693219864,25529.0326974808,24186.8131065712,178427.638192806,22001.6232846343,7230.72458160887,16478.0231272506,76542.777555719,30959.16202225
"Eif4ebp1",10922.5583132544,21144.3439725007,26445.2133271906,8868.85803375228,21208.631178941,66834.9546563695,19907.7681291486,7902.87511457575,7016.96864044378
"Arhgap45",13642.7763830374,15230.4969323338,28425.9796363908,605.322481317256,41768.0717115655,5489.67270919424,2221.11108639398,16937.1187841782,14361.0594990165
"Tmsb10",18162.850279041,18274.2930679002,17250.6314372516,6403.38398575937,34220.5791734105,9304.92281896142,8048.4225868715,75115.2789762222,18590.0009454309
"Npc2",11857.6332747423,16996.4895248889,29038.4073821683,27091.4948481515,26457.3844461904,54421.6314062918,29233.3510051884,17622.0143792346,17081.2975104939
"Cox5b",24808.0945420627,38938.9600050541,52106.519139786,24233.8867109841,15979.676663345,37616.5699888587,16761.5509982867,15420.0218895854,6194.03949411449
"Atp5d",23680.9368743251,45461.6664136777,72149.8210977828,17292.5610310614,27974.5940465706,61792.8568461571,14909.6257500091,18164.1601163414,5285.19150013205
"Tuba1b",25068.8365986314,34262.8599705001,28282.4965645229,15991.3386168429,33295.2480435083,54040.6857802976,25521.791291596,15930.2767009799,12191.0174110429
"Laptm5",20221.8134153942,24213.1754439411,27535.9179791942,2446.69579583526,32453.2800784621,9160.07657333624,6157.09467373694,14836.8735337058,10554.6180740892
"Rps19",18946.7111951834,27620.4846563985,32219.5320730923,15376.0747079128,48174.5309307534,32063.1649315893,10157.3217363902,45119.5854206687,20198.0234152698
"Col1a1",16328.6647776609,18035.4559636618,45255.4940903554,19903.8426840431,49696.9507289371,158489.313500613,64017.3382771848,20224.9213635511,11731.4698130448
"Cd36",9768.42732931999,6408.04457032048,927.390586463013,80876.8274399396,1280.66662010114,1322.44622255787,42157.4250782746,17205.9137294664,46638.9575957962
"Col4a2",22040.4688256308,27921.910100322,35455.4836288765,26901.5031204388,25650.8458262081,81865.6495648942,35332.1982613107,9655.35741323455,12516.5631365543
"Rpl18",11322.2538168974,17996.9015464158,26559.533173069,5292.1532992536,32179.2236739978,24067.6521730795,6036.31694015362,14426.847345978,7363.00876998263
"Hspa8",35407.7904341739,27046.6747581654,11146.1849731498,27185.3861089398,16131.8144392073,8308.3806490602,27734.336581282,31883.3326346114,18459.9403044881
"Lrp1",12055.4375935186,18212.70614165,26570.0319344252,8770.54836069164,24309.7409115863,64365.3261684602,21818.7973747117,4812.49255151625,9548.8157841312
"Neat1",8567.70607195482,9756.27039011521,5934.13322432371,34091.3644906834,12534.6938756685,25388.6499331812,17135.8763144279,23652.4365698534,26982.4593946339
"Igfbp4",19959.4366123893,32992.567028251,25656.6396964371,12278.7677049683,24909.9556985499,64591.2863116355,23404.3263453693,15198.3040251103,14205.7749761939
"Tmbim6",17723.1034877119,26566.4970161013,42193.3553614681,18826.8546926484,33134.7739511604,61193.1933892688,21162.657346876,12962.9019942388,12221.7590170839
"Rpl10a",20035.4523216711,22564.848929994,23512.5593216962,7671.46830793494,32443.9017224158,22354.1210873337,10565.0536596927,31037.4637954841,14193.9512815627
"Chchd10",26833.5453764744,46649.8434542599,82962.3787656138,23468.3967847928,16160.9915469069,19141.4313593672,9908.91363185712,11002.3693706959,3754.41716855018
"C4b",16482.3309426607,24619.7492985355,27574.4134375002,6472.97397904949,55639.7023436131,111267.988964349,30382.0243437362,10959.848136413,20040.3741535209
"Comt",14725.7958969985,14912.047460016,24520.44041189,9752.54048823003,28679.0127896042,28665.0720092227,9006.07865883003,6602.94023792763,5668.27920618189
"Rps3",27183.3811138143,28869.2472097959,24173.9812871359,10079.5029963868,47105.3983414745,16303.89340757,12009.2469846678,37309.3458522093,21332.3098535531
"Atp5l",21926.036575099,39971.9179632172,54564.3958261729,19955.7590282437,19111.0055432506,32926.4485555154,13100.5294852717,12118.5517706215,6236.6047947867
"Tpi1",25932.800090146,33374.606253689,28855.2623229548,26139.3270034517,12025.1365304859,21030.2264023196,12257.6550892008,14027.4514668209,5691.92659544423
"Tmsb4x",25067.2018521952,12606.7937327339,9086.09468925837,24412.8324080158,16600.7322415226,8709.60474944194,11957.8522044196,96798.0712294721,52344.2843784891
"Sdha",29517.7990246618,29499.6369671043,17364.9512831301,33381.1047178969,10407.8911322784,8421.36072064783,25167.1673078833,11855.8312873737,13534.9773674523
"Por",15046.2061984874,27101.7524970883,29204.0545057881,11704.3741095578,21800.509649419,52815.2865423086,19468.3427580263,8101.81374639924,9223.27005861971
"Slc1a5",43268.4686724862,72260.4913466901,59111.5260224406,56707.0077069051,47335.6890843893,120678.649542617,52067.1952898025,27735.9936765203,44358.5610245983
