"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ntn4 ",-0.0968138906249996,5.61172978125,-0.297153646535837,0.769894142058253,0.817910952170897,-6.87172458174992
"S1pr3 ",0.126097968750001,4.92896855859375,0.296746244809504,0.770199967516839,0.817910952170897,-6.8718506861558
"Spns2 ",-0.173656984375,6.19147395703125,-0.296433032864249,0.770435113717955,0.817910952170897,-6.87194751925693
"Cyp26a1 ",0.318634546875001,7.0147546875,0.295809325838139,0.770903434838027,0.818037476370243,-6.87214004405146
"Myo5c ",-0.1319136875,3.77480691796875,-0.293318807390958,0.772774388360404,0.819549686679029,-6.87290481132197
"Lcp2 ",0.0982880937499999,5.601628625,0.292887365381743,0.773098647346539,0.819549686679029,-6.8730366443769
"Acbd3 ",-0.127342281249998,8.62300851953125,-0.292515887891495,0.773377873345,0.819549686679029,-6.87315000052395
"Sema6b ",-0.0741016250000008,5.80396289453125,-0.279139335408697,0.783453536140511,0.829851552973425,-6.87713689911576
"Zkscan14 ",0.0794436406249996,4.3099677265625,0.2770590103288,0.785024116796112,0.831139406079209,-6.87774033199755
"Cox11 ",0.0984653125000001,7.530601875,0.275147105393924,0.786468386664198,0.832292425453575,-6.87829096666566
"Acly ",-0.159707812500001,13.682540390625,-0.272162381512551,0.788724671788502,0.834303343566799,-6.87914302078014
"Stk26 ",0.093130765625002,5.99580240625,0.270861848329993,0.789708407798972,0.834689088325565,-6.8795114043623
"Utp14b ",0.122173984374999,10.8794985625,0.270738354140556,0.789801839017404,0.834689088325565,-6.87954629386159
"Pde9a ",-0.118238843749999,6.87187700390625,-0.26873642312401,0.791316885411651,0.835913193200856,-6.88010967739278
"Elf4 ",-0.0782384843749995,4.27927846875,-0.267023076793617,0.79261421543433,0.836906312195869,-6.88058855463127
"Mup6 ",-0.22831984375,13.4498410078125,-0.265207219121407,0.793989848744825,0.837981178202308,-6.88109276802733
"Pla2g16 ",0.087650328125001,6.75332463671875,0.264095130008896,0.794832675432487,0.838493002493615,-6.88139987951144
"Plk2 ",-0.0865299687499999,5.86000274609375,-0.258473327357032,0.79909728151425,0.842612480012551,-6.88293278729476
"Aqp4 ",0.103397781250002,6.77157415625,0.255578844249979,0.801295545243446,0.844550365499502,-6.88370926936303
"Vat1 ",0.12239165625,7.10088591796875,0.252966373457684,0.803281102617164,0.84626242060792,-6.88440264704039
"Irx3 ",0.0894180781249991,6.1759522265625,0.247962757573215,0.807087854360152,0.849672064675663,-6.88571091769785
"Gjc3 ",0.0906401406249984,5.741363015625,0.24754624163666,0.807404965659374,0.849672064675663,-6.88581865220726
"1810010H24Rik ",-0.0953862500000007,5.900325375,-0.247282868459568,0.807605500654162,0.849672064675663,-6.88588668255837
"Slc15a3 ",-0.102024812499999,6.00392931640625,-0.244999041134862,0.809345005713188,0.850949144026859,-6.88647358909108
"Sult2a5 ",-0.116269765625,5.06442244921875,-0.244650629547862,0.809610468124442,0.850949144026859,-6.88656264981927
"42622",-0.130049546875,9.553340890625,-0.244258962337214,0.809908916423344,0.850949144026859,-6.88666261725207
"Omd ",0.1406165,6.4403316328125,0.243724972240768,0.810315862482254,0.850995098967244,-6.88679865430452
"H2-Eb1 ",0.0924417031250009,8.0156191640625,0.242685694378482,0.811108040971371,0.85144540322398,-6.88706256861884
"Lrrc32 ",-0.11395759375,4.23007934375,-0.238015557059392,0.814670391836764,0.854801938232664,-6.88823467731109
"Klhdc2 ",-0.0835019687499994,8.911981875,-0.237471722542963,0.815085498371799,0.854854665481255,-6.88836969800472
"Phgdh ",0.140536875,4.75859528515625,0.235569296261644,0.816538056117023,0.855994928627375,-6.88883960938509
"Smg8 ",0.0722500781249993,5.54951147265625,0.228237974195414,0.822142108787267,0.861484329556604,-6.89061536665402
"Mcm4 ",0.076516203125002,5.32423667578125,0.22635448749978,0.82358345367815,0.862528638228054,-6.89106256729095
"Lipn ",-0.0729714062499998,4.53136816015625,-0.225973628865815,0.823874986066746,0.862528638228054,-6.89115254771498
"Naip5 ",0.0726152812499992,5.972177078125,0.223497429883077,0.825771063084039,0.86375511434028,-6.89173389304759
"Rnd2 ",-0.127943390624999,7.19760959375,-0.223480793807792,0.825783805429887,0.86375511434028,-6.8917377772186
"Pdgfd ",-0.0722530156249999,4.99635307421875,-0.222443398711288,0.826578493288714,0.86420053983733,-6.89197941913757
"Epha2 ",0.0959532812499999,5.66102218359375,0.2217821759074,0.827085118513653,0.864344528402091,-6.89213285539837
"Pias1 ",-0.0830557031249999,7.318426703125,-0.218639708251802,0.82949392735692,0.866475377528873,-6.89285585419373
"Mup7 ",0.292883906250001,18.6386460273437,0.216122553731788,0.831424673339555,0.868063372481183,-6.89342758416814
"Opalin ",-0.0839859218750001,4.02737391796875,-0.21569187468872,0.831755130695798,0.868063372481183,-6.89352474614583
"Bhmt2 ",0.0884450781249999,10.265611140625,0.21035351571303,0.835853890019433,0.871952655527841,-6.89471308489108
"Gtf2b ",-0.0968881406250013,8.83936881640625,-0.206924206571208,0.83848946352246,0.874312778385903,-6.89546083308274
"Olfr701 ",0.0724828749999986,5.36000901953125,0.197687276105844,0.84559818075917,0.88133297932328,-6.89741406976972
"Cdc7 ",-0.0653094374999998,4.09423665234375,-0.192784282557038,0.849377122391245,0.884877989223072,-6.89841478685521
"Kptn ",0.0587502500000001,5.00525051953125,0.190079667056981,0.851463302727834,0.886657119240585,-6.89895609924428
"Uty ",-0.138511421874998,7.71692649609375,-0.187158018183674,0.853718161803682,0.888610241273224,-6.89953229245236
"Gclc ",0.078597187499998,13.6111791796875,0.18613542209059,0.8545076857644,0.889037081592357,-6.89973186386492
"Alg3 ",-0.0911986250000014,7.58922563671875,-0.181770984303432,0.857879145831935,0.891606133181292,-6.90057139089648
"Fam110c ",-0.0670474375000012,5.70496074609375,-0.181566657248737,0.858037055032449,0.891606133181292,-6.9006102083089
"Stfa2 ",-0.0635165781249984,4.6849245390625,-0.181461172365497,0.858118578883403,0.891606133181292,-6.90063023097412
"Rac2 ",0.0698830468749989,5.53928968359375,0.177106176474597,0.861485759112813,0.894434740550475,-6.9014467578875
"Slc7a11 ",-0.0769933593750007,5.7545637890625,-0.176952740285939,0.861604442775255,0.894434740550475,-6.90147516557163
"Mndal ",0.0785983906250003,7.8363834140625,0.174211617522356,0.863725285720256,0.896239302233197,-6.90197853205613
"Ugt2b37 ",0.122617890625,9.06390791796875,0.172093136023514,0.865365116630023,0.897543367978816,-6.90236219513332
"Tgm1 ",0.0699856718750009,7.518671484375,0.169596075258679,0.867298800739065,0.899150924837004,-6.90280841342271
"Pbx3 ",-0.0621899765625002,5.53783647460938,-0.169085483431889,0.867694301853005,0.89916309121698,-6.90289885443288
"Pkp2 ",-0.0518895781249995,7.5187818125,-0.168099550068302,0.868458101397177,0.899556733675326,-6.90307272347218
"Pmp22 ",-0.0784238593749995,6.1610722265625,-0.166595670100151,0.86962340985544,0.900365731016923,-6.90333598032212
"Ctps ",0.0576459062500021,5.5972409609375,0.165370960796646,0.87057262586926,0.900950380923885,-6.90354862571468
"Car13 ",0.0536407343750005,5.39116547265625,0.163731536426801,0.871843586127518,0.90148670965718,-6.90383082966352
"Slc22a29 ",0.100174093750001,7.48735886328125,0.163704528972879,0.871864526625887,0.90148670965718,-6.90383545515228
"Sult1e1 ",-0.121354375000001,4.8387601015625,-0.163213660620151,0.872245143317468,0.90148670965718,-6.90391939220937
"Fgl1 ",0.0876228125000011,17.1094205078125,0.161722565559895,0.873401527586659,0.902283853234366,-6.90417282409797
"Mgp ",-0.0894034843750013,5.496120203125,-0.161149715164328,0.873845866927801,0.902345026977451,-6.90426957126612
"Zdhhc20 ",-0.0570077968749985,8.95866643359375,-0.159775477157566,0.874911990041799,0.903047926285434,-6.90450026722358
"Aldh1a7 ",0.0725053125000024,13.1494672617187,0.157969980121268,0.876313056113803,0.904095768592973,-6.9048003653008
"Chsy3 ",0.0581376562499996,5.08096223046875,0.155541424698614,0.878198280654592,0.905297984156222,-6.90519866077504
