,,,,,OA,OA,OA,DGAT1i,DGAT1i,DGAT1i,DGAT1+2i,DGAT1+2i,DGAT1+2i,DGAT2i,DGAT2i,DGAT2i
ID,RT,m/z,Type,Metabolite name,Aml 12_1,Aml 12_2,Aml 12_3,Aml 12_1i-1,Aml 12_1i-2,Aml 12_1i-3,Aml 12_1-2i-1,Aml 12_1-2i-2,Aml 12_1-2i-3,Aml 12_2i-1,Aml 12_2i-2,Aml 12_2i-3
182,19.00297,768.5522,[M+H]+,PE 38:4|PE 18:0_20:4,2924000,3421000,2881000,2531000,2064000,2330000,2255000,2286000,2238000,2393000,3098000,2887000
183,17.02005,766.5393,[M+H]+,PE 38:5,3930000,4838000,4343000,2620000,2364000,2385000,2327000,2162000,2342000,3330000,3993000,3932000
184,16.44892,764.5201,[M+H]+,PE 38:6,133300,153900,128100,153500,129400,153200,155100,155500,136300,107500,137200,127200
185,23.50995,802.6403,[M+H]+,PE 40:1,71580,75250,77670,124700,76770,69540,37710,69590,68370,77700,68000,94090
186,19.08897,794.5709,[M+H]+,PE 40:5,284300,369000,334000,363200,271500,311000,380500,328900,357400,269100,330400,347400
187,17.09172,792.5512,[M+H]+,PE 40:6,532400,813000,670500,629400,544000,559300,542700,502200,717600,421000,533400,639700
188,18.5045,792.5488,[M+H]+,PE 40:6,459700,519500,455300,575900,469300,543400,496100,508600,561300,433400,495400,467200
189,16.54842,790.5352,[M+H]+,PE 40:7,614500,730300,566400,759000,619600,708300,573800,563100,604700,536300,620500,685000
190,24.08475,830.6616,[M+H]+,PE 42:1,44460,46010,35670,71220,45710,53040,63100,95560,81340,41710,48930,45860
191,22.57815,850.6301,[M+Na]+,PE 42:2,12380,20430,21900,21870,18000,13500,18450,9238,2630,9778,18080,14100
192,23.39528,828.651,[M+H]+,PE 42:2,41590,57660,47520,54490,41690,59990,52970,57470,65500,39940,58870,53780
193,22.49265,826.6346,[M+H]+,PE 42:3,36680,43410,47080,23720,20780,20610,13240,8384,9277,27170,33490,34790
194,22.22,732.5828,[M+H]+,PE O-36:1,57490,64900,69030,117400,46940,88410,66980,85260,62040,49750,54540,45380
195,20.22808,730.5793,[M+H]+,PE O-36:2,679900,752300,570700,1020000,804300,899600,593900,555800,546900,539600,624400,744300
196,18.249,726.5372,[M+H]+,PE O-36:4,185900,203200,2303,4845,138200,156700,153000,150100,269900,144200,202500,198200
197,19.90177,702.5413,[M+H]+,PE P-34:1|PE P-16:0_18:1,788600,833100,719300,996100,714600,780700,682300,679500,695600,684500,877600,850200
198,21.96185,730.5644,[M+H]+,PE P-36:1|PE P-18:0_18:1,583700,743600,612000,984300,656400,824800,564800,571500,438400,535500,717000,648300
199,19.95843,728.557,[M+H]+,PE P-36:2|PE P-18:1_18:1,873300,1046000,859000,1263000,964400,1057000,693000,717200,671400,746400,1063000,1050000
200,17.91935,724.5303,[M+H]+,PE P-36:4|PE P-16:0_20:4,1604000,1688000,1447000,1449000,1169000,1257000,1258000,1255000,1273000,1237000,1586000,1633000
201,19.00297,738.5361,[M+H]+,PE P-37:4|PE P-17:0_20:4,38060,104600,101000,106200,106600,123900,87910,101600,105800,99440,98600,103300
202,19.34628,752.5565,[M+H]+,PE P-38:4|PE P-16:0_22:4,332900,382500,611000,369500,261700,224000,322200,323500,341300,298700,586100,324300
203,20.08608,752.5559,[M+H]+,PE P-38:4|PE P-18:0_20:4,27650,73580,215700,329100,311000,340300,267200,258800,262700,226900,53940,325000
204,18.01985,750.5413,[M+H]+,PE P-38:5|PE P-16:0_22:5,2217000,2388000,2131000,2234000,1817000,2013000,1880000,1944000,2001000,1709000,2334000,2359000
205,17.40553,748.525,[M+H]+,PE P-38:6|PE P-16:0_22:6,1563000,1824000,1500000,1723000,1434000,1516000,1513000,1474000,1597000,1322000,1653000,1603000
206,21.5057,780.5861,[M+H]+,PE P-40:4|PE P-18:0_22:4,182300,123600,162300,95490,74100,149600,152300,167000,179000,88550,186300,146500
207,20.17142,778.5679,[M+H]+,PE P-40:5|PE P-18:0_22:5,434800,369300,252900,423800,449900,280500,243000,257300,376500,369400,438700,252100
208,19.54595,776.5573,[M+H]+,PE P-40:6|PE P-18:0_22:6,647800,746700,609900,641400,546000,865000,429500,435400,449000,546300,691000,705500
209,18.12035,776.5564,[M+H]+,PE P-40:6|PE P-18:1_22:5,174300,205200,208500,300400,227600,238200,184400,185400,178300,309400,193800,204500
210,17.49153,774.5389,[M+H]+,PE P-40:7|PE P-18:1_22:6,1528000,1760000,1531000,1842000,1436000,1548000,991400,951300,1004000,1295000,1648000,1581000
211,17.16338,882.5986,[M+NH4]+,PI 36:1,64710,69570,79790,84400,57930,134600,56200,93580,104600,182900,207100,67380
212,17.13472,880.5868,[M+NH4]+,PI 36:2,427000,454000,501400,587800,333800,830900,325200,595300,2500,1234000,1389000,420900
213,15.54145,902.5699,[M+NH4]+,PI 38:5,38310,26980,30010,32240,20640,37100,24400,649.1,28250,388,N/A,39730
214,14.32267,675.5419,[M+H]+,SM 32:1;2O,1255000,1096000,864300,986500,704500,847200,534700,475500,509800,752100,874700,1035000
215,12.69325,673.532,[M+H]+,SM 32:2;2O,65570,82270,91490,47730,92150,65610,45120,72210,30250,34080,43240,70800
216,15.2438,689.5558,[M+H]+,SM 33:1;2O,1245000,1221000,868000,1191000,780400,1009000,640200,593800,652500,659300,772900,1091000
217,13.6852,687.546,[M+H]+,SM 33:2;2O,39210,31780,27190,48520,32090,30330,28670,24310,54510,16430,53380,55000
218,8.3046,677.4638,[M+H]+,SM 33:7;2O,168900,206600,267300,156000,196500,290700,295800,279400,291700,95880,85150,206600
219,16.97707,705.5903,[M+H]+,SM 34:0;2O,12690000,12710000,9501000,12940000,6987000,9157000,5936000,5276000,6967000,7957000,8207000,11670000
220,15.25797,703.5732,[M+H]+,SM 34:1;2O,40840000,40170000,29310000,43960000,25670000,32050000,19430000,16680000,20990000,25160000,26300000,37750000
221,15.48478,703.5644,[M+H]+,SM 34:1;2O,458500,510700,380300,400700,409400,464000,342800,307100,383500,333100,388500,410900
222,14.59183,701.5569,[M+H]+,SM 34:2;2O,3811000,4453000,3559000,3966000,3344000,4099000,3402000,2717000,3233000,2977000,3697000,4090000
223,14.30852,697.5255,[M+H]+,SM 34:4;2O,108400,105800,88030,106100,58890,85500,55380,46370,55210,74780,81930,96330
224,15.54145,715.5742,[M+H]+,SM 35:2;2O,88470,96370,88640,106900,84020,106500,68410,65280,59720,65460,10100,91430
225,17.16338,731.6011,[M+H]+,SM 36:1;2O,625500,579600,446500,768200,386100,571700,265800,252800,314100,385700,386000,592400
226,18.27733,731.6018,[M+H]+,SM 36:1;2O,526300,674600,501300,547200,428200,522000,215000,195900,246000,491200,581400,643400
227,16.47742,729.5882,[M+H]+,SM 36:2;2O,1019000,1356000,924000,1473000,1099000,1333000,838300,749000,892400,936100,1175000,1287000
228,14.57767,723.5388,[M+H]+,SM 36:5;2O,406300,442000,419700,473200,362300,518000,370300,341400,428700,396000,429900,475700
229,16.0656,753.558,[M+H]+,SM 37:5;2O,147000,161500,169800,276500,162100,147500,110000,145700,146300,158200,207200,132100
230,23.26628,777.6445,[M+H]+,SM 38:0;2O,11590,11680,3526,16500,3206,3452,3508,1962,2095,6089,428.3,875.6
231,19.80193,775.6343,[M+H]+,SM 38:1;2O,114600,131500,99520,157300,89650,112200,126800,110000,117000,89190,103200,107300
232,20.5409,759.6356,[M+H]+,SM 38:1;2O,324500,238800,209400,315000,189100,268200,157600,149900,159800,147900,139300,325000
233,18.74582,757.6148,[M+H]+,SM 38:2;2O,98520,93050,79660,146800,90230,104600,58310,57550,4072,82800,12680,12930
234,18.16333,771.5933,[M+H]+,SM 38:3;2O,57460,97940,89120,39340,41540,42950,82830,55680,92210,74890,105200,80840
235,15.8956,767.5746,[M+H]+,SM 38:5;2O,1576000,1507000,1389000,1344000,1258000,1289000,1243000,1264000,1396000,1256000,1318000,1306000
236,16.87673,781.5924,[M+H]+,SM 39:5;2O,105800,97890,81070,112800,82120,92840,86020,61190,65610,79310,102300,88010
237,22.9078,789.6914,[M+H]+,SM 40:0;2O,124400,138500,127600,114500,51050,90530,82920,99330,121500,69670,45160,101400
238,22.49265,787.6675,[M+H]+,SM 40:1;2O,2575000,2860000,2177000,2760000,1206000,1980000,1208000,1241000,1582000,1471000,1254000,2390000
239,20.38442,785.6459,[M+H]+,SM 40:2;2O,561200,693500,503400,504100,356300,562700,380700,352700,283700,422100,526000,511100
240,21.03738,785.6426,[M+H]+,SM 40:2;2O,402300,514500,322800,389300,274200,320700,164100,135800,185500,286300,343100,410400
241,23.0943,801.6846,[M+H]+,SM 41:1;2O,563200,582000,458200,591500,288900,468200,305400,331200,430200,326000,271900,549000
242,21.42053,799.6689,[M+H]+,SM 41:2;2O,204200,283300,223200,179400,190600,226300,150400,130800,133900,180500,220300,255700
243,22.09083,799.6735,[M+H]+,SM 41:2;2O,305100,315400,241400,299400,175500,223100,168200,106100,160700,188100,198200,270200
244,23.7831,817.7128,[M+H]+,SM 42:0;2O,298100,245200,233300,287200,169100,316000,250400,231800,223400,203100,153100,221000
245,22.75015,815.6956,[M+H]+,SM 42:1;2O,1930000,2167000,1755000,2104000,1085000,1648000,1445000,1687000,1976000,1215000,1022000,1758000
246,23.53878,815.6951,[M+H]+,SM 42:1;2O,622700,656500,542200,717400,323600,484600,343800,301300,312100,363600,415100,492400
247,22.77882,813.6827,[M+H]+,SM 42:2;2O,6335000,6929000,4549000,5818000,3123000,4209000,2585000,2249000,2559000,3678000,4144000,5565000
248,22.263,813.6869,[M+H]+,SM 42:2;2O|SM 18:1;2O/24:1,1654000,2020000,1526000,1902000,1281000,1633000,1128000,1043000,1163000,1152000,1466000,1427000
249,20.68257,811.6721,[M+H]+,SM 42:3;2O,1953000,2211000,1745000,1658000,1257000,1464000,1034000,983000,971300,1404000,1841000,1995000
250,18.87482,809.6474,[M+H]+,SM 42:4;2O,155000,190100,130700,161900,107600,144000,80720,85090,88360,114200,136600,134900
251,17.6477,807.6373,[M+H]+,SM 42:5;2O,8019,N/A,16190,11070,6295,4110,4702,3432,N/A,5068,3898,10410
252,16.60542,811.5831,[M+H]+,SM 43:10;2O,252300,285000,222100,199000,183300,277400,187800,178900,36580,192500,182700,184200
253,22.9078,827.705,[M+H]+,SM 43:2;2O|SM 18:2;2O/25:0,131700,89140,143000,127600,106400,98390,58970,53900,60390,60120,86680,161300
254,17.03438,819.6449,[M+H]+,SM 43:6;2O,18580,52540,19290,54340,15080,33440,21380,21680,53350,1949,20010,45340
255,22.87913,841.7038,[M+H]+,SM 44:2;2O,54530,51500,73420,56900,25120,45740,33020,57900,47700,32000,72360,40780
256,23.36662,841.7001,[M+H]+,SM 44:2;2O,55670,64420,58710,45810,48000,62290,35060,28270,27120,25320,57950,54720
257,22.46398,839.6919,[M+H]+,SM 44:3;2O|SM 18:1;2O/26:2,125900,171700,119100,109600,92330,108800,50890,51880,56500,100500,117700,121900
258,22.263,835.6583,[M+H]+,SM 44:5;2O,389100,383200,248500,269500,131200,200900,108800,122300,159400,209600,220900,243700
259,18.81748,845.6582,[M+H]+,SM 45:7;2O,99250,88260,38940,95130,85890,44350,84100,79690,84700,88390,70600,72570
260,16.6484,867.6248,[M+H]+,SM 47:10;2O,26660,39550,32380,17210,21280,22450,16010,22100,19190,22710,27120,25840
261,24.43073,764.6653,[M+NH4]+,TG 44:2|TG 8:0_18:1_18:1,112400,26820,22660,28700,32540,20000,52690,47580,14290,20680,26880,993.5
262,25.51287,782.7263,[M+NH4]+,TG 45:0|TG 13:0_15:0_17:0,148100,82230,104500,45970,137500,63860,160200,175600,142100,142100,45090,86680
263,25.9295,796.7272,[M+NH4]+,TG 46:0|TG 14:0_16:0_16:0,171200,136900,173300,178700,122600,163100,133400,204700,193400,95660,228600,115800
264,25.35353,794.7191,[M+NH4]+,TG 46:1|TG 14:0_16:0_16:1,415100,495100,450500,293500,273500,296100,168300,181100,167400,305400,497200,448500
265,24.93405,792.7076,[M+NH4]+,TG 46:2|TG 14:0_14:1_18:1,279600,317900,320800,210100,184000,193200,98380,118700,101100,222000,352700,285500
266,26.2165,810.7657,[M+NH4]+,TG 47:0|TG 15:0_16:0_16:0,75730,50140,37030,64260,65870,102400,134900,105100,97930,29320,21770,45960
267,25.62785,808.7328,[M+NH4]+,TG 47:1|TG 14:0_15:0_18:1,236500,165500,177800,145800,146400,143600,125600,103800,119000,128800,150400,165600
268,26.51748,824.7638,[M+NH4]+,TG 48:0|TG 16:0_16:0_16:0,380400,291100,934900,350700,273600,494700,225100,230700,359500,194100,229400,216600
269,25.88633,822.7521,[M+NH4]+,TG 48:1|TG 14:0_16:0_18:1,1265000,1340000,1408000,864900,810900,888100,340000,385000,348500,821100,1286000,1133000
270,25.36803,820.7369,[M+NH4]+,TG 48:2|TG 14:0_16:1_18:1,2075000,2255000,2306000,1256000,1132000,1313000,292300,340500,306000,1432000,2307000,2038000
271,24.99138,818.7244,[M+NH4]+,TG 48:3|TG 14:1_16:1_18:1,559900,510500,697300,303700,357000,440500,76290,68540,98230,400400,730700,626800
272,26.15917,836.7673,[M+NH4]+,TG 49:1|TG 15:0_16:0_18:1,356900,371600,417700,286300,304600,314500,176500,185400,147600,181300,376900,326700
273,25.61352,834.7607,[M+NH4]+,TG 49:2|TG 15:0_16:1_18:1,395400,433100,438200,288800,249400,314200,118500,100000,113900,265100,418000,364500
274,25.20837,832.75,[M+NH4]+,TG 49:3|TG 15:1_16:1_18:1,92350,100100,112800,66430,66760,55810,27850,28410,25610,63880,100400,92340
275,27.16328,852.7933,[M+NH4]+,TG 50:0|TG 16:0_16:0_18:0,838400,560100,622200,328200,266000,363600,148300,153400,152300,138100,214800,219400
276,26.47448,850.7837,[M+NH4]+,TG 50:1|TG 16:0_16:0_18:1,1821000,1998000,2281000,1495000,1363000,1534000,641400,678200,666200,1298000,2015000,1746000
277,25.84333,848.7657,[M+NH4]+,TG 50:2|TG 14:0_18:1_18:1,11620000,13320000,13560000,7926000,7266000,7951000,1426000,1645000,1579000,8195000,13440000,12110000
278,25.44037,846.7527,[M+NH4]+,TG 50:3|TG 14:1_18:1_18:1,4806000,6411000,5961000,3716000,3128000,3715000,562200,640000,658500,4027000,6983000,5823000
279,25.12153,844.7388,[M+NH4]+,TG 50:4|TG 16:1_18:1_16:2,878900,1079000,1148000,608100,536800,624900,87080,97330,94170,618700,1175000,1002000
280,24.79005,842.7198,[M+NH4]+,TG 50:5|TG 16:1_18:1_16:3,140700,133500,129800,114200,68370,105800,18810,24100,31960,94380,150000,184000
281,26.60348,864.7934,[M+NH4]+,TG 51:1|TG 16:0_17:0_18:1,516900,550800,596500,410000,414900,452300,90380,99990,103100,331200,561700,481200
282,26.116,862.7823,[M+NH4]+,TG 51:2|TG 15:0_18:1_18:1,2399000,2894000,3033000,1974000,2083000,2248000,363800,450700,463700,1749000,2905000,2569000
283,25.62785,860.7753,[M+NH4]+,TG 51:3|TG 16:1_17:1_18:1,569700,639000,731700,435800,374700,435700,94800,82110,96000,453400,691400,635600
284,27.89442,880.8274,[M+NH4]+,TG 52:0|TG 16:0_18:0_18:0,1077000,655300,421500,118200,93870,127700,65960,71830,39730,66130,82890,95020
285,27.09162,878.8131,[M+NH4]+,TG 52:1|TG 16:0_18:0_18:1,1622000,1909000,2084000,1447000,1327000,1454000,406800,436200,426100,1043000,1764000,1646000
286,26.43148,876.7993,[M+NH4]+,TG 52:2|TG 16:0_18:1_18:1,22640000,25650000,26360000,16740000,16420000,17750000,4068000,4530000,4421000,16640000,25560000,22860000
287,25.85767,874.7824,[M+NH4]+,TG 52:3|TG 16:1_18:1_18:1,34030000,39830000,40290000,29320000,27690000,30130000,5016000,5754000,5686000,25100000,42480000,36950000
288,25.62785,872.7691,[M+NH4]+,TG 52:4|TG 18:1_18:1_16:2,5860000,3924000,4320000,4229000,2207000,4611000,669200,720300,712900,4172000,6858000,6706000
289,25.25187,870.7485,[M+NH4]+,TG 52:5|TG 14:0_18:1_20:4,1706000,2294000,2371000,1469000,1398000,1823000,284600,340900,318700,1323000,2542000,2246000
290,24.91972,868.7325,[M+NH4]+,TG 52:6|TG 14:0_18:1_20:5,349900,441700,551200,400800,347900,354500,80230,98040,85950,297300,631100,511900
291,24.5889,866.7139,[M+NH4]+,TG 52:7|TG 14:1_18:1_20:5,107000,88110,95290,69180,58900,71960,22050,9844,16050,39230,99600,79970
292,27.4356,892.8265,[M+NH4]+,TG 53:1|TG 17:0_18:0_18:1,583200,687600,745600,438900,460700,688100,81310,142200,85420,372000,700900,613600
293,26.57482,890.809,[M+NH4]+,TG 53:2|TG 17:0_18:1_18:1,2581000,3340000,3442000,2181000,2250000,2532000,309200,402000,387200,1918000,3425000,2965000
294,26.7043,890.8085,[M+NH4]+,TG 53:2|TG 17:0_18:1_18:1,916700,1074000,1087000,839900,747400,826000,122500,111000,114900,631700,1016000,880700
295,26.10167,888.7982,[M+NH4]+,TG 53:3|TG 17:1_18:1_18:1,3217000,3849000,4062000,2723000,2676000,3117000,402300,459500,459200,2327000,3878000,3349000
296,25.68535,886.7758,[M+NH4]+,TG 53:4|TG 17:1_18:1_18:2,170900,477900,363000,319800,309300,265000,61800,50420,82030,232100,448400,402600
297,25.51287,884.7665,[M+NH4]+,TG 53:5|TG 15:0_18:1_20:4,183600,262100,309200,216400,256100,289200,60470,81590,89540,75250,270800,241300
298,27.80842,906.8426,[M+NH4]+,TG 54:1|TG 16:0_20:0_18:1,2617000,3060000,3289000,2089000,1999000,2283000,335000,382100,365800,1763000,2987000,2600000
299,27.04863,904.8244,[M+NH4]+,TG 54:2|TG 18:0_18:1_18:1,11230000,15420000,15250000,9528000,9552000,10700000,1510000,1807000,1720000,8241000,14720000,13200000
300,25.88633,902.8097,[M+NH4]+,TG 54:3|TG 18:0_18:1_18:2,6106000,6797000,7033000,5383000,5015000,5526000,785500,881100,891800,4236000,6701000,5822000
301,26.37415,902.8142,[M+NH4]+,TG 54:3|TG 18:1_18:1_18:1,176100000,196500000,196200000,163500000,168100000,178400000,33080000,37840000,36130000,140700000,193600000,180100000
302,25.97267,900.8008,[M+NH4]+,TG 54:4|TG 18:1_18:1_18:2,21510000,24350000,26310000,17620000,17860000,21060000,2656000,2568000,159200,14910000,25170000,21950000
303,25.61352,898.7845,[M+NH4]+,TG 54:5|TG 18:1_18:1_18:3,6482000,7421000,7554000,5063000,4823000,6130000,1284000,1409000,1403000,5064000,8283000,7478000
304,25.26653,896.7699,[M+NH4]+,TG 54:6|TG 16:1_18:1_20:4,2367000,3645000,2681000,2207000,2367000,3235000,742000,821900,647800,1643000,3762000,3303000
305,24.94838,894.7565,[M+NH4]+,TG 54:7|TG 16:1_18:1_20:5,945500,1239000,1231000,799900,794900,1009000,183400,73190,223800,321500,1256000,600300
306,26.66097,916.8341,[M+NH4]+,TG 55:3|TG 18:1_18:1_19:1,1342000,1534000,1615000,1012000,1014000,1171000,164100,193800,173900,807500,1502000,1313000
307,26.20217,914.8148,[M+NH4]+,TG 55:4|TG 17:1_18:1_20:2,376300,567500,477700,445900,336600,351300,77920,56610,107400,309900,626400,569500
308,25.51287,910.7849,[M+NH4]+,TG 55:6|TG 17:1_18:1_20:4,303400,392200,370300,281900,353800,384700,83830,88570,79680,209100,323300,306300
309,27.72243,932.86,[M+NH4]+,TG 56:2|TG 18:0_18:1_20:1,3819000,4714000,4753000,2696000,2588000,2849000,429900,510400,457300,2475000,4452000,3713000
310,26.9483,930.8416,[M+NH4]+,TG 56:3|TG 18:1_18:1_20:1,13760000,18740000,18320000,9678000,9961000,10820000,1648000,1933000,1819000,9625000,18120000,15900000
311,26.48882,928.8277,[M+NH4]+,TG 56:4|TG 18:1_18:1_20:2,6390000,7315000,7840000,4319000,3704000,4430000,784500,879100,774600,4561000,6610000,6232000
312,26.15917,926.814,[M+NH4]+,TG 56:5|TG 18:1_18:1_20:3,16340000,19360000,19580000,12320000,11750000,12750000,2023000,2219000,1963000,11160000,17900000,16080000
313,25.74302,924.7996,[M+NH4]+,TG 56:6|TG 18:1_18:1_20:4,18030000,22720000,22100000,19690000,21340000,24080000,5216000,6111000,6208000,13230000,21490000,19880000
314,25.39687,922.7831,[M+NH4]+,TG 56:7|TG 18:1_18:1_20:5,5570000,7559000,7610000,6564000,6906000,9267000,1325000,1544000,1786000,4273000,7387000,6998000
315,25.10705,920.7687,[M+NH4]+,TG 56:8|TG 16:1_18:1_22:6,1341000,1811000,1858000,1133000,1112000,1360000,251800,290500,287400,973500,1910000,1607000
316,24.73238,918.7555,[M+NH4]+,TG 56:9|TG 18:1_16:3_22:5,155300,199200,216600,140800,135600,176400,35890,17190,41460,114300,232200,196600
317,27.29228,944.8467,[M+NH4]+,TG 57:3|TG 18:1_18:1_21:1,492600,476800,347800,475400,354800,379300,157800,188000,157100,378000,343100,260100
318,26.7043,942.8427,[M+NH4]+,TG 57:4|TG 18:1_18:1_21:2,122300,196200,77970,242800,89790,150500,50560,75820,30870,58580,81340,160800
319,25.97267,938.8058,[M+NH4]+,TG 57:6|TG 18:1_19:1_20:4,121600,312500,192200,160500,171800,221300,72790,25240,66630,173400,207400,175100
320,25.52718,936.796,[M+NH4]+,TG 57:7|TG 17:1_18:1_22:5,237500,525900,379300,204200,197500,254800,33170,42320,47130,199900,355000,346300
321,24.84772,944.77,[M+NH4]+,TG 58:10|TG 18:1_20:4_20:5,283800,290500,407100,296500,259000,389000,105300,114200,119100,168600,410400,310500
322,27.6221,958.87,[M+NH4]+,TG 58:3|TG 18:1_18:1_22:1,1112000,1531000,1522000,783100,773000,810900,118400,142200,151700,656900,1316000,1362000
323,26.57482,956.8472,[M+NH4]+,TG 58:4|TG 18:0_18:1_22:3,314900,368800,335500,206300,259700,274900,84560,45030,111600,208300,461100,193100
324,27.00562,956.8605,[M+NH4]+,TG 58:4|TG 18:1_18:1_22:2,1238000,1533000,1440000,767100,662900,743400,152100,139400,158400,756600,1248000,1151000
325,26.60348,954.8455,[M+NH4]+,TG 58:5|TG 18:1_18:1_22:3,2253000,2507000,2457000,1905000,1720000,1971000,461800,524800,512500,1399000,2061000,1773000
326,26.13033,952.8288,[M+NH4]+,TG 58:6|TG 18:1_18:1_22:4,2902000,3342000,3258000,2823000,2922000,3117000,827500,922800,933500,1942000,2931000,2649000
327,25.77168,950.817,[M+NH4]+,TG 58:7|TG 18:1_18:1_22:5,2419000,8089000,11960000,6450000,6834000,7374000,2088000,2284000,2209000,4744000,10440000,7454000
328,25.57052,948.8004,[M+NH4]+,TG 58:8|TG 18:1_18:1_22:6,9011000,12410000,12460000,7658000,8706000,9563000,1820000,1927000,2025000,6964000,12210000,11160000
329,25.17953,946.7866,[M+NH4]+,TG 58:9|TG 18:1_18:2_22:6,1031000,1335000,1350000,963500,1112000,1304000,291600,351500,354400,811000,1539000,1351000
330,25.987,964.8325,[M+NH4]+,TG 59:7|TG 18:1_19:1_22:5,106000,136600,89910,51100,47450,73110,18490,6340,21020,41260,40560,38630
331,25.20837,972.8028,[M+NH4]+,TG 60:10|TG 18:1_20:4_22:5,510600,574500,609800,700000,820700,613900,246000,188700,303100,510700,668400,574600
332,25.00572,970.782,[M+NH4]+,TG 60:11|TG 18:1_20:4_22:6,364500,669600,664000,484500,529900,687300,160800,201000,189800,347300,716500,614200
333,24.68922,968.7721,[M+NH4]+,TG 60:12|TG 18:1_20:5_22:6,103000,148600,149300,96310,102300,113900,36050,28480,33560,71950,121100,119100
334,27.60777,986.8995,[M+NH4]+,TG 60:3|TG 18:1_20:1_22:1,231000,264300,284600,125700,98400,117900,24090,23410,23020,133200,236700,223200
335,27.5791,984.8799,[M+NH4]+,TG 60:4|TG 18:1_18:1_24:2,134800,332500,264600,77350,58840,87130,8495,15180,9319,164100,561500,132800
336,27.13462,982.8793,[M+NH4]+,TG 60:5|TG 18:1_20:1_22:3,348100,433200,432100,244100,187700,397000,44650,107500,50290,202400,320600,294500
337,26.61782,980.8629,[M+NH4]+,TG 60:6|TG 18:1_18:1_24:4,396800,440700,428800,356900,351400,392300,120400,132400,136000,231800,335400,326200
338,26.2165,978.849,[M+NH4]+,TG 60:7|TG 18:1_18:1_24:5,640600,527400,607900,896600,614200,477100,173100,159800,193500,315800,439900,394900
339,25.51287,974.8138,[M+NH4]+,TG 60:9|TG 18:1_20:4_22:4,181600,240700,239700,183300,235700,353300,71770,82940,76600,121500,238800,217200
340,25.57052,1000.832,[M+NH4]+,TG 62:10|TG 18:1_22:4_22:5,74620,87100,162200,125000,114100,168800,50680,86690,78850,60720,117500,156400
341,25.35353,998.8145,[M+NH4]+,TG 62:11|TG 18:1_22:4_22:6,150400,124400,125200,155000,112300,139400,105800,7899,4441,117400,205600,185900
342,25.22287,998.8082,[M+NH4]+,TG 62:11|TG 18:1_22:5_22:5,145900,188000,112300,136200,178600,113800,71900,80120,5178,172900,177500,174300
343,25.03455,996.7936,[M+NH4]+,TG 62:12|TG 18:1_22:5_22:6,145200,182000,214500,123000,182100,175800,49550,51260,61380,119300,234000,164300
344,24.84772,994.778,[M+NH4]+,TG 62:13|TG 18:1_22:6_22:6,60710,92840,101000,64960,64680,68310,13490,23010,15980,50180,105700,80700
345,24.93405,1016.955,[M+NH4]+,TG 62:2|TG 18:0_18:1_26:1,86870,103500,110900,65660,60170,59780,12570,17760,17970,49150,106500,90560
346,24.89105,1014.938,[M+NH4]+,TG 62:3|TG 18:1_18:1_26:1,782000,841700,717700,615400,614100,653100,133500,157800,160600,584100,784800,555200
347,27.19195,1008.885,[M+NH4]+,TG 62:6|TG 18:1_20:1_24:4,508600,510700,440600,557100,520500,535700,281700,292500,318000,360000,517200,446000
348,26.7618,1006.878,[M+NH4]+,TG 62:7|TG 18:1_20:1_24:5,283100,317600,305800,309400,379800,344300,110500,123900,98490,192400,369000,172400
349,26.64647,1004.856,[M+NH4]+,TG 62:8|TG 18:1_22:1_22:6,95630,116700,102200,76160,80090,117400,15000,16510,19460,60210,140500,88560
350,25.944,1002.851,[M+NH4]+,TG 62:9|TG 18:1_20:4_24:4,132100,82030,90470,64470,14590,83070,37300,48130,47140,1955,140100,127900
351,25.62785,1026.843,[M+NH4]+,TG 64:11|TG 18:1_22:5_24:5,4389,7295,16440,3893,3549,12120,1033,2895,826.2,2247,1434,2041
352,25.44037,1024.831,[M+NH4]+,TG 64:12|TG 18:1_24:5_22:6,4292,5216,10290,2192,7661,13330,1576,224,2311,7590,11780,4507
353,25.03455,1022.819,[M+NH4]+,TG 64:13|TG 20:3_22:4_22:6,10060,11190,476.1,6499,7371,11100,1109,831,721.6,1028,1661,5425
354,24.4884,1018.786,[M+NH4]+,TG 64:15|TG 20:4_22:5_22:6,3902,5485,4945,3045,4795,4188,394.4,1058,1429,597.2,4346,5659
355,27.3926,1034.899,[M+NH4]+,TG 64:7|TG 18:1_18:1_28:5,144700,133500,156300,263500,242700,9622,98270,160900,93890,218400,108700,221600
356,26.93397,782.7603,[M+NH4]+,TG O-46:0|TG O-16:0_14:0_16:0,51700,61380,42930,77780,51900,62310,29730,36680,30250,34610,48890,41300
357,27.6221,810.7874,[M+NH4]+,TG O-48:0|TG O-16:0_16:0_16:0,149100,155000,160400,229300,160700,187400,76600,86680,85780,82610,148700,157500
358,26.83363,808.7719,[M+NH4]+,TG O-48:1|TG O-18:1_14:0_16:0,295800,323100,335500,267800,254900,273200,101800,141700,126400,200300,346900,306500
359,27.5361,836.8037,[M+NH4]+,TG O-50:1|TG O-18:1_16:0_16:0,763000,920900,918200,660800,546700,606100,1397,276800,N/A,471100,850500,858500
360,26.7763,834.7883,[M+NH4]+,TG O-50:2|TG O-18:1_14:0_18:1,1225000,1367000,1364000,658400,570800,623500,205500,234700,222000,808000,1486000,1257000
