conditions,samples
COS7OADGAT,COS7OA_3
COS7OADGAT,COS7OA_2
COS7OADGAT,COS7OA_1
COSOADGAT1i,COSOADGAT1i_3
COSOADGAT1i,COSOADGAT1i_2
COSOADGAT1i,COSOADGAT1i_1
COSOADGAT2i,COSOADGAT2i_3
COSOADGAT2i,COSOADGAT2i_2
COSOADGAT2i,COSOADGAT2i_1
COS7OADGAT1+2i,COS7OADGAT1+2i_3
COS7OADGAT1+2i,COS7OADGAT1+2i_2
COS7OADGAT1+2i,COS7OADGAT1+2i_1
