,,,,,OA,OA,OA,OADGAT1i_2i,OADGAT1i_2i,OADGAT1i_2i,OADGAT1i,OADGAT1i,OADGAT1i,OADGAT2i,OADGAT2i,OADGAT2i
ID,RT,m/z,Type,Metabolite name,cos7_1,cos7_2,cos7_3,cos_1-2i-1,cos_1-2i-2,cos_1-2i-3,cos7_1i-1,cos7_1i-2,cos7_1i-3,cos7_2i-1,cos7_2i-2,cos7_2i-3
40,22.63548,716.6199,[M+NH4]+,DG 42:5|DG 18:1_24:4,26780,33560,26980,72860,70010,76670,39600,64490,40110,21290,22660,26340
41,16.40642,556.5298,[M+NH4]+,DG O-31:1|DG O-15:0_16:1,34140,30310,24990,35720,17430,15630,17440,28570,137100,15290,15420,20340
42,13.31688,556.5255,[M+NH4]+,DG O-31:1|DG O-17:0_14:1,N/A,N/A,N/A,16820,7178,N/A,N/A,23130,N/A,10120,N/A,N/A
43,23.07997,598.5826,[M+NH4]+,DG O-34:1|DG O-18:1_16:0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,23.07997,624.5955,[M+NH4]+,DG O-36:2|DG O-18:1_18:1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,17.86202,780.6314,[M+H]+,DGCC 36:2|DGCC 18:1_18:1,1088000,1211000,1160000,867200,1108000,1033000,776100,1158000,863500,901200,1195000,926600
46,19.0603,764.6313,[M+H]+,DGTS 36:2|DGTS 18:1_18:1,67360,100300,84070,12080,56660,86960,68670,74650,59820,56690,71430,105600
47,16.1366,862.6301,[M+H]+,Hex2Cer 34:1;2O|Hex2Cer 18:1;2O/16:0,116600,143000,158900,139500,137900,156000,192500,260000,173100,91340,79860,108300
48,22.24867,946.7178,[M+H]+,Hex2Cer 40:1;2O|Hex2Cer 18:1;2O/22:0,71960,112100,120400,67140,61320,73110,125300,137000,81590,58630,45110,68980
49,23.26628,974.7526,[M+H]+,Hex2Cer 42:1;2O|Hex2Cer 18:1;2O/24:0,258000,334600,355500,188500,209300,895.6,333600,409000,239500,169400,117200,259200
50,16.66273,700.571,[M+H]+,HexCer 34:1;2O|HexCer 18:1;2O/16:0,214400,285200,282200,281100,263100,277200,357300,459100,295100,155100,150900,203400
51,22.63548,784.6686,[M+H]+,HexCer 40:1;2O|HexCer 18:1;2O/22:0,119400,167100,158200,110200,113800,117800,178300,227100,118900,90710,69700,117300
52,23.15162,798.6804,[M+H]+,HexCer 41:1;2O,43210,66450,67030,37200,38940,46900,57320,65560,50130,40670,34500,45690
53,23.52428,812.6967,[M+H]+,HexCer 42:1;2O|HexCer 18:1;2O/24:0,416500,579800,579800,331600,313000,414600,445300,583600,403100,334200,221800,484900
54,22.46398,810.6797,[M+H]+,HexCer 42:2;2O|HexCer 18:1;2O/24:1,607800,904200,878500,511300,506900,524800,621400,847500,594200,447700,393300,665500
55,22.87913,810.6839,[M+H]+,HexCer 42:2;2O|HexCer 18:2;2O/24:0,584900,858700,856600,463100,544800,520600,616700,822100,630900,424300,400500,632400
56,23.39528,872.7202,[M+H]+,HexCer 44:1;4O,29240,17810,19650,64750,15110,19430,42900,26240,19440,23030,65110,15320
57,23.35228,838.712,[M+H]+,HexCer 44:2;2O,73200,78600,101500,51450,58930,53700,72750,71480,64780,55700,52430,78010
58,5.960866,496.3382,[M+H]+,LPC 16:0,345700,441800,401700,532800,408700,501600,463300,606500,485200,266800,316800,524100
59,6.448017,496.341,[M+H]+,LPC 16:0,84160,110000,121600,153200,124900,148600,117200,144200,133900,74970,91120,147800
60,7.578467,510.3522,[M+H]+,LPC 17:0,24240,35020,27470,38410,30500,32600,35910,48270,37130,19930,23800,43880
61,8.190434,524.369,[M+H]+,LPC 18:0,648500,926000,794900,855100,717700,836000,865500,1216000,873000,460400,604100,924500
62,8.617416,524.3659,[M+H]+,LPC 18:0/0:0,77310,92740,90320,99720,83570,84520,85600,125600,90770,42630,67780,92380
63,6.362017,522.3524,[M+H]+,LPC 18:1,290700,358300,312100,361000,315700,345800,296800,356200,297000,221400,212800,375200
64,6.792,522.3551,[M+H]+,LPC 18:1/0:0,202500,240200,241300,357400,288800,347200,261800,344200,309100,195100,184400,289000
65,10.66583,552.4075,[M+H]+,LPC 20:0/0:0,46490,58170,56670,58200,53500,33630,53840,67480,45490,33900,39060,59360
66,8.617416,546.3533,[M+H]+,LPC 20:3,30520,39960,32960,54410,40630,39850,39610,62880,29250,16860,28300,43540
67,6.792,544.3368,[M+H]+,LPC 20:4,118000,168300,153500,294800,217600,175600,148000,196300,183100,162200,123700,192900
68,4.945917,570.3536,[M+H]+,LPC 22:5,41550,51130,44810,37810,26130,33430,27650,25000,26430,26160,18710,50880
69,4.658933,568.334,[M+H]+,LPC 22:6,59810,51410,39420,31490,19530,39480,22240,27190,23170,28950,13300,36110
70,8.846583,482.3185,[M+H]+,LPE 18:0,14610,23280,19600,14750,14460,15640,14690,25680,20300,13690,14470,15680
71,6.648684,480.3043,[M+H]+,LPE 18:1,28250,37760,45900,57040,45340,48440,36790,54250,47680,29050,32610,51280
72,4.90275,502.2919,[M+H]+,LPE 20:4,110700,164300,231000,226900,176400,187900,125400,201500,198900,118000,115400,234300
73,5.1754,528.3133,[M+H]+,LPE 22:5,66570,82330,62100,110100,68100,72140,44740,73570,62550,49550,55200,60200
74,4.615933,526.2923,[M+H]+,LPE 22:6,50870,50450,73400,53520,34640,53810,37820,46760,47220,47090,46490,46900
75,10.87933,376.3438,[M+NH4]+,MG 18:0,37160,15480,11460,14940,16230,1703,17200,12620,26060,21690,9200,8972
76,10.11187,428.3832,[M+NH4]+,MG 22:2,66790,68100,51890,43450,61830,58040,62010,70290,64050,51380,61650,56390
77,21.56237,802.6356,[M+NH4]+,MGDG 36:1|MGDG 18:0_18:1,1112,49290,53040,33740,45760,36590,48460,58540,3937,40200,42630,63840
78,6.46235,524.3332,[M+H]+,PC 17:0,18120,38290,63970,101200,71880,84410,50170,78600,76650,42450,68960,76810
79,16.19377,706.5323,[M+H]+,PC 30:0,721400,975500,823500,697000,665500,729500,669100,939900,677400,591000,614200,847000
80,17.14905,720.5527,[M+H]+,PC 31:0,630200,873100,864200,660900,638900,679100,527200,860400,684000,472800,585300,842200
81,17.09172,716.5213,[M+H]+,PC 31:2,142700,183500,184400,91420,6779,94010,85270,146100,72560,107300,72970,111800
82,18.20652,734.5657,[M+H]+,PC 32:0|PC 16:0_16:0,5827000,7523000,6322000,5185000,5254000,5502000,5993000,7549000,5248000,4688000,4725000,6494000
83,16.33542,732.5531,[M+H]+,PC 32:1|PC 14:0_18:1,2090000,2531000,2080000,2209000,2079000,2264000,1776000,2515000,1896000,1451000,1614000,2290000
84,18.80315,748.5827,[M+H]+,PC 33:0,291800,413100,404400,283900,294800,314800,371000,487000,282100,245400,284000,360300
85,19.28897,748.587,[M+H]+,PC 33:0,209200,301100,274600,206700,202600,187500,221400,298000,206300,167200,194100,268500
86,17.31955,746.5651,[M+H]+,PC 33:1,1329000,1971000,1880000,1014000,1097000,1140000,1210000,1786000,990700,1033000,1457000,1473000
87,15.78228,744.548,[M+H]+,PC 33:2,3434000,4887000,4043000,2357000,2392000,2482000,2273000,3362000,2294000,2581000,3046000,3610000
88,20.38442,762.6036,[M+H]+,PC 34:0,2665000,3815000,3769000,2318000,2273000,2388000,3032000,3762000,2473000,1977000,2127000,3192000
89,18.30567,760.5831,[M+H]+,PC 34:1|PC 16:0_18:1,24230000,30630000,25930000,24700000,24570000,25070000,22280000,29720000,23100000,20120000,19780000,28320000
90,16.6769,758.5698,[M+H]+,PC 34:2|PC 16:1_18:1,3658000,4326000,3955000,3425000,3325000,3535000,2855000,4087000,3308000,2658000,2659000,4200000
91,16.0231,756.5507,[M+H]+,PC 34:3,N/A,N/A,N/A,106500,195300,120400,N/A,N/A,N/A,N/A,N/A,N/A
92,18.88915,774.5967,[M+H]+,PC 35:1,875600,1098000,865500,887000,816200,808500,714600,980500,792700,618600,708800,979500
93,19.41762,774.5941,[M+H]+,PC 35:1,446300,627700,513700,525600,508200,555200,493100,716300,461800,338000,342400,515300
94,17.46287,772.5802,[M+H]+,PC 35:2,367100,509200,405400,327800,303600,332000,278000,585300,473900,284400,292500,432800
95,16.32125,770.5678,[M+H]+,PC 35:3,176700,266200,221200,179500,127700,4192,117100,168700,108100,143600,144800,183500
96,15.58395,768.559,[M+H]+,PC 35:4,2021000,2606000,2426000,17970,1430000,1531000,1413000,2127000,1439000,1517000,1661000,2181000
97,22.306,790.6318,[M+H]+,PC 36:0,329300,471700,446100,258400,253600,259400,350100,442400,254400,229600,222200,387600
98,20.4984,788.6138,[M+H]+,PC 36:1|PC 18:0_18:1,6579000,8854000,7803000,6367000,6023000,6409000,5755000,8584000,6062000,4963000,5039000,7553000
99,18.43367,786.599,[M+H]+,PC 36:2|PC 18:1_18:1,63980000,82520000,69980000,61230000,59400000,62850000,53180000,72030000,55770000,53060000,50990000,74800000
