,,,,,OA,OA,OA,OADGAT1i_2i,OADGAT1i_2i,OADGAT1i_2i,OADGAT1i,OADGAT1i,OADGAT1i,OADGAT2i,OADGAT2i,OADGAT2i
ID,RT,m/z,Type,Metabolite name,cos7_1,cos7_2,cos7_3,cos_1-2i-1,cos_1-2i-2,cos_1-2i-3,cos7_1i-1,cos7_1i-2,cos7_1i-3,cos7_2i-1,cos7_2i-2,cos7_2i-3
187,17.09172,792.5512,[M+H]+,PE 40:6,846200,1135000,916200,795500,801100,920800,629800,1119000,876200,636900,626900,932900
188,18.5045,792.5488,[M+H]+,PE 40:6,624200,826500,678700,432100,426700,480700,411800,581300,405000,448800,506600,672900
189,16.54842,790.5352,[M+H]+,PE 40:7,865400,1023000,905700,441800,523400,479200,456000,624200,435200,608800,616500,823500
190,24.08475,830.6616,[M+H]+,PE 42:1,35930,59590,64180,36320,31950,38180,39000,47570,26580,41710,70310,54950
191,22.57815,850.6301,[M+Na]+,PE 42:2,23180,29110,22250,2045,4095,13460,15220,13930,5662,13800,15320,18980
192,23.39528,828.651,[M+H]+,PE 42:2,77470,89760,88790,36310,41540,50120,51720,58010,31240,66670,92020,99030
193,22.49265,826.6346,[M+H]+,PE 42:3,10300,15830,15160,995.7,3522,1224,5294,3645,3758,1633,8530,2193
194,22.22,732.5828,[M+H]+,PE O-36:1,753.1,10290,1212,1461,1153,N/A,758.3,1459,2107,625.9,1379,N/A
195,20.22808,730.5793,[M+H]+,PE O-36:2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
196,18.249,726.5372,[M+H]+,PE O-36:4,167300,214500,185800,160500,143700,172200,159100,232500,148200,119200,155400,163800
197,19.90177,702.5413,[M+H]+,PE P-34:1|PE P-16:0_18:1,226700,374800,323600,257400,267300,254300,284700,357100,228500,203900,257400,304600
198,21.96185,730.5644,[M+H]+,PE P-36:1|PE P-18:0_18:1,641.1,3489,N/A,N/A,933.1,2140,1637,3225,998.8,1772,931.7,1335
199,19.95843,728.557,[M+H]+,PE P-36:2|PE P-18:1_18:1,168700,219800,218100,139700,136300,135500,134500,216500,115000,111900,127600,166500
200,17.91935,724.5303,[M+H]+,PE P-36:4|PE P-16:0_20:4,1364000,1797000,1556000,1142000,1198000,1154000,1108000,1573000,1169000,1021000,1060000,1310000
201,19.00297,738.5361,[M+H]+,PE P-37:4|PE P-17:0_20:4,135700,125300,103900,111100,10240,108600,122600,129100,92120,80000,99090,91240
202,19.34628,752.5565,[M+H]+,PE P-38:4|PE P-16:0_22:4,236400,46860,1804,3613,5893,1092,24510,5618,7718,42040,30010,3740
203,20.08608,752.5559,[M+H]+,PE P-38:4|PE P-18:0_20:4,232700,265900,180400,173400,181200,68900,162200,211300,157700,119200,142900,227100
204,18.01985,750.5413,[M+H]+,PE P-38:5|PE P-16:0_22:5,1412000,1886000,1578000,1169000,1204000,1219000,1157000,1553000,25670,1016000,1160000,1491000
205,17.40553,748.525,[M+H]+,PE P-38:6|PE P-16:0_22:6,482600,595400,567800,288400,295200,323200,296500,469400,329000,293400,387200,530900
206,21.5057,780.5861,[M+H]+,PE P-40:4|PE P-18:0_22:4,311400,396300,289400,189300,183000,250700,171200,177700,192800,150800,207600,214800
207,20.17142,778.5679,[M+H]+,PE P-40:5|PE P-18:0_22:5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
208,19.54595,776.5573,[M+H]+,PE P-40:6|PE P-18:0_22:6,328400,456400,375000,255600,269100,260900,231900,349100,251500,237600,286900,315200
209,18.12035,776.5564,[M+H]+,PE P-40:6|PE P-18:1_22:5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
210,17.49153,774.5389,[M+H]+,PE P-40:7|PE P-18:1_22:6,304200,444500,334100,165500,127400,163000,94970,222700,134700,179700,270800,325100
211,17.16338,882.5986,[M+NH4]+,PI 36:1,14850,17870,19820,48850,38590,31020,20690,35350,17650,17150,62780,27600
212,17.13472,880.5868,[M+NH4]+,PI 36:2,105400,145400,114000,277900,241900,196600,144800,191700,98560,104700,392800,155200
213,15.54145,902.5699,[M+NH4]+,PI 38:5,820.2,897.3,888.1,2892,1236,N/A,1921,2196,702.3,N/A,5973,707.6
214,14.32267,675.5419,[M+H]+,SM 32:1;2O,430500,564600,513300,463900,360200,401300,451800,584000,421400,296600,393900,482700
215,12.69325,673.532,[M+H]+,SM 32:2;2O,42710,61550,66410,37350,34020,63750,37080,43740,43970,26970,34090,49240
216,15.2438,689.5558,[M+H]+,SM 33:1;2O,252600,330300,362800,228500,215800,290100,376100,488700,308100,229200,264100,241500
217,13.6852,687.546,[M+H]+,SM 33:2;2O,4818,1132,6913,6916,N/A,5304,2139,11750,2639,4033,2182,27330
218,8.3046,677.4638,[M+H]+,SM 33:7;2O,66580,53780,68960,130000,127300,123700,106200,121600,187500,65470,162200,127800
219,16.97707,705.5903,[M+H]+,SM 34:0;2O,1815000,2877000,2671000,1843000,1738000,1903000,2188000,3177000,2037000,1306000,1367000,2134000
220,15.25797,703.5732,[M+H]+,SM 34:1;2O,7500000,10970000,9853000,6999000,6802000,7337000,9021000,11320000,7405000,5759000,6270000,8353000
221,15.48478,703.5644,[M+H]+,SM 34:1;2O,52160,80650,72020,53370,56590,62730,47220,77860,46560,34980,39930,62070
222,14.59183,701.5569,[M+H]+,SM 34:2;2O,489200,773800,604900,578800,500500,507700,517000,760700,516400,357100,446800,548900
223,14.30852,697.5255,[M+H]+,SM 34:4;2O,41640,45310,47560,59270,34620,40140,45670,61010,39590,600.2,1071,7314
224,15.54145,715.5742,[M+H]+,SM 35:2;2O,31010,42490,42660,30730,29630,30400,28850,50150,30040,23140,29690,36430
225,17.16338,731.6011,[M+H]+,SM 36:1;2O,764400,1303000,1122000,593700,550200,580800,901100,1005000,635200,626300,672800,864300
226,18.27733,731.6018,[M+H]+,SM 36:1;2O,121000,183800,171900,131100,119600,129100,122600,182800,126200,93560,107900,139000
227,16.47742,729.5882,[M+H]+,SM 36:2;2O,688100,928200,779000,727200,671100,638700,645800,856800,633500,497100,576200,764000
228,14.57767,723.5388,[M+H]+,SM 36:5;2O,50660,72900,56110,61720,53290,46920,49760,66230,48800,34070,40280,73140
229,16.0656,753.558,[M+H]+,SM 37:5;2O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
230,23.26628,777.6445,[M+H]+,SM 38:0;2O,50820,85510,90430,48210,44990,5616,70530,81720,52530,49310,42420,70470
231,19.80193,775.6343,[M+H]+,SM 38:1;2O,40590,64620,64090,36010,48390,3206,38240,55850,44850,33760,17900,47910
232,20.5409,759.6356,[M+H]+,SM 38:1;2O,24510,190500,178200,94850,91720,31230,149000,181200,93230,84780,95330,136900
233,18.74582,757.6148,[M+H]+,SM 38:2;2O,82030,129900,105100,48310,71010,34250,72620,2972,65300,68190,34300,94090
234,18.16333,771.5933,[M+H]+,SM 38:3;2O,42770,48440,48460,18610,18940,34480,12170,33630,29130,5102,16520,49160
235,15.8956,767.5746,[M+H]+,SM 38:5;2O,1988000,2370000,1937000,1667000,1534000,1586000,1575000,1968000,1513000,1485000,1583000,2026000
236,16.87673,781.5924,[M+H]+,SM 39:5;2O,11540,36060,66060,43940,38230,53950,32430,71730,54650,15680,48020,35200
237,22.9078,789.6914,[M+H]+,SM 40:0;2O,32620,67220,66990,33000,32700,29910,57220,47630,639.5,18620,34340,54100
238,22.49265,787.6675,[M+H]+,SM 40:1;2O,804700,1600000,1488000,655900,663800,9184,1206000,1259000,775600,600900,711400,1070000
239,20.38442,785.6459,[M+H]+,SM 40:2;2O,122900,146000,149600,112200,9629,97580,106800,178600,99550,89460,92760,124900
240,21.03738,785.6426,[M+H]+,SM 40:2;2O,177900,260500,250400,7518,172800,154100,185500,255000,153900,124200,159700,190000
241,23.0943,801.6846,[M+H]+,SM 41:1;2O,203800,425400,437500,196800,198100,176700,331100,361600,212800,194000,208500,336300
242,21.42053,799.6689,[M+H]+,SM 41:2;2O,51330,83320,72930,1434,3744,51590,54970,74610,N/A,29170,8268,61320
243,22.09083,799.6735,[M+H]+,SM 41:2;2O,179700,295000,303200,156900,142200,147200,193000,208800,147100,129100,153600,217300
244,23.7831,817.7128,[M+H]+,SM 42:0;2O,180900,374900,407800,172500,185100,144500,313600,301200,193000,144800,181200,254000
245,22.75015,815.6956,[M+H]+,SM 42:1;2O,1224000,2631000,2732000,1216000,1157000,1022000,2153000,2059000,1278000,1021000,1202000,2078000
246,23.53878,815.6951,[M+H]+,SM 42:1;2O,313200,440400,531200,154600,203400,175900,234000,255000,177900,251900,255900,380700
247,22.77882,813.6827,[M+H]+,SM 42:2;2O,5354000,8748000,8604000,3155000,2950000,3036000,3973000,5214000,3114000,4018000,4347000,6447000
248,22.263,813.6869,[M+H]+,SM 42:2;2O|SM 18:1;2O/24:1,467000,649200,663200,388600,452900,407500,471900,561600,457900,385200,463400,525000
249,20.68257,811.6721,[M+H]+,SM 42:3;2O,558600,841300,777700,419200,64830,447100,442200,676300,429300,445000,488100,711600
250,18.87482,809.6474,[M+H]+,SM 42:4;2O,62590,90670,83660,81850,71080,73520,67590,105800,71820,48970,52050,74570
251,17.6477,807.6373,[M+H]+,SM 42:5;2O,34480,41960,36280,124200,117700,159000,104600,169600,114400,23440,28990,35410
252,16.60542,811.5831,[M+H]+,SM 43:10;2O,477500,650900,492900,389800,334800,985.2,388500,367400,29080,23320,353300,18920
253,22.9078,827.705,[M+H]+,SM 43:2;2O|SM 18:2;2O/25:0,134400,191000,189600,119900,79500,112700,126800,178200,113200,90700,145800,132700
254,17.03438,819.6449,[M+H]+,SM 43:6;2O,N/A,1532,1256,2033,N/A,N/A,N/A,N/A,866.1,N/A,1505,7400
255,22.87913,841.7038,[M+H]+,SM 44:2;2O,108900,242900,215300,66950,89940,89020,125900,161100,91920,127400,98190,182800
256,23.36662,841.7001,[M+H]+,SM 44:2;2O,1189,5283,2676,2819,628.8,1158,1113,1321,N/A,2696,2522,846
257,22.46398,839.6919,[M+H]+,SM 44:3;2O|SM 18:1;2O/26:2,208200,293300,243400,84040,76480,84080,97720,141400,92020,145000,147400,196300
258,22.263,835.6583,[M+H]+,SM 44:5;2O,312300,551100,500800,223800,190300,203900,260500,314200,189500,326100,302700,462700
259,18.81748,845.6582,[M+H]+,SM 45:7;2O,35660,43710,12490,19630,59440,60400,61560,73650,22920,59490,64270,14680
260,16.6484,867.6248,[M+H]+,SM 47:10;2O,15830,24920,18360,19970,19490,16510,18470,25900,21940,14560,15530,21490
261,24.43073,764.6653,[M+NH4]+,TG 44:2|TG 8:0_18:1_18:1,45610,52230,454.5,4483,N/A,1264,1164,1080,428.8,1494,969.5,577
262,25.51287,782.7263,[M+NH4]+,TG 45:0|TG 13:0_15:0_17:0,77090,57030,152800,190000,230400,190800,81590,110600,107400,186300,194300,145600
263,25.9295,796.7272,[M+NH4]+,TG 46:0|TG 14:0_16:0_16:0,10040,126700,206200,284000,379900,324000,381200,395400,521900,9691,22700,4305
264,25.35353,794.7191,[M+NH4]+,TG 46:1|TG 14:0_16:0_16:1,153500,170500,139500,230800,53240,191400,179300,200000,151900,147900,127600,166000
265,24.93405,792.7076,[M+NH4]+,TG 46:2|TG 14:0_14:1_18:1,111000,144600,124000,111100,100200,102000,96300,78360,102500,112900,67430,105800
266,26.2165,810.7657,[M+NH4]+,TG 47:0|TG 15:0_16:0_16:0,1495,80980,76390,160900,156600,148100,138000,119900,151400,119700,136600,10690
267,25.62785,808.7328,[M+NH4]+,TG 47:1|TG 14:0_15:0_18:1,61670,59740,112600,149600,140500,104400,179900,136600,138900,141400,115900,97120
268,26.51748,824.7638,[M+NH4]+,TG 48:0|TG 16:0_16:0_16:0,270900,294900,438000,467000,917800,942600,1334000,2320000,2687000,398400,206500,307200
269,25.88633,822.7521,[M+NH4]+,TG 48:1|TG 14:0_16:0_18:1,340500,391600,411100,401000,343500,412300,411100,425600,462500,374800,167700,467500
270,25.36803,820.7369,[M+NH4]+,TG 48:2|TG 14:0_16:1_18:1,260400,295000,311500,236600,242400,228200,253300,227300,228100,263600,196900,266600
271,24.99138,818.7244,[M+NH4]+,TG 48:3|TG 14:1_16:1_18:1,69210,84860,77780,76000,73320,80180,61030,79610,64590,68220,60580,80900
272,26.15917,836.7673,[M+NH4]+,TG 49:1|TG 15:0_16:0_18:1,159600,189200,208400,15760,142600,190900,153600,159800,N/A,2288,132100,N/A
273,25.61352,834.7607,[M+NH4]+,TG 49:2|TG 15:0_16:1_18:1,97800,118600,7531,120100,125100,125100,119000,10990,121000,98860,81350,127400
274,25.20837,832.75,[M+NH4]+,TG 49:3|TG 15:1_16:1_18:1,23890,6573,26700,29360,21480,757.5,27130,5520,24390,1148,22860,1568
275,27.16328,852.7933,[M+NH4]+,TG 50:0|TG 16:0_16:0_18:0,218700,217000,254500,241700,270900,318600,358600,496200,800100,158900,31610,208900
276,26.47448,850.7837,[M+NH4]+,TG 50:1|TG 16:0_16:0_18:1,768100,876800,934900,888700,828700,877300,904900,1193000,1379000,708700,170800,931100
277,25.84333,848.7657,[M+NH4]+,TG 50:2|TG 14:0_18:1_18:1,1523000,1947000,1933000,714600,702800,845800,676000,763500,772400,1222000,331000,1788000
278,25.44037,846.7527,[M+NH4]+,TG 50:3|TG 14:1_18:1_18:1,330400,456700,375200,198000,166500,240900,191900,211400,205700,294500,120700,422500
279,25.12153,844.7388,[M+NH4]+,TG 50:4|TG 16:1_18:1_16:2,81820,123600,103900,62280,49400,73390,56420,42280,N/A,98230,42290,132200
280,24.79005,842.7198,[M+NH4]+,TG 50:5|TG 16:1_18:1_16:3,5488,6124,9793,4226,1114,7681,4367,14880,1244,7078,4411,1839
281,26.60348,864.7934,[M+NH4]+,TG 51:1|TG 16:0_17:0_18:1,127000,173000,153200,60550,54490,71830,62620,121400,46310,99500,N/A,152900
282,26.116,862.7823,[M+NH4]+,TG 51:2|TG 15:0_18:1_18:1,650600,783600,849800,238800,223100,317700,232000,258600,208100,493200,97270,568000
283,25.62785,860.7753,[M+NH4]+,TG 51:3|TG 16:1_17:1_18:1,110400,123000,133500,70070,65170,74720,57650,71510,67810,73250,30020,127100
284,27.89442,880.8274,[M+NH4]+,TG 52:0|TG 16:0_18:0_18:0,2558,1236,3539,1388,3033,1619,N/A,1281,N/A,1439,504.5,1202
285,27.09162,878.8131,[M+NH4]+,TG 52:1|TG 16:0_18:0_18:1,841000,1054000,1115000,597600,463400,659800,507400,590400,586500,604700,80690,1083000
286,26.43148,876.7993,[M+NH4]+,TG 52:2|TG 16:0_18:1_18:1,6532000,7797000,7509000,2293000,1777000,2384000,1814000,2031000,1879000,4819000,689100,7530000
287,25.85767,874.7824,[M+NH4]+,TG 52:3|TG 16:1_18:1_18:1,4224000,5429000,5261000,1039000,842400,1092000,951200,978900,925300,2890000,564600,4865000
288,25.62785,872.7691,[M+NH4]+,TG 52:4|TG 18:1_18:1_16:2,262300,1462,929200,1596,N/A,1518,51510,300500,773.6,461700,180200,105700
289,25.25187,870.7485,[M+NH4]+,TG 52:5|TG 14:0_18:1_20:4,524700,768400,696200,224600,135000,255500,88500,219900,190400,367200,150500,544700
290,24.91972,868.7325,[M+NH4]+,TG 52:6|TG 14:0_18:1_20:5,96910,143100,148500,62500,28210,41100,37560,45540,25740,81270,25530,160700
291,24.5889,866.7139,[M+NH4]+,TG 52:7|TG 14:1_18:1_20:5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
292,27.4356,892.8265,[M+NH4]+,TG 53:1|TG 17:0_18:0_18:1,229900,269500,276000,78400,59650,82150,61860,69350,63410,149900,N/A,261600
293,26.57482,890.809,[M+NH4]+,TG 53:2|TG 17:0_18:1_18:1,1113000,1265000,1369000,300500,201800,264200,219000,316300,198000,722200,46360,1190000
294,26.7043,890.8085,[M+NH4]+,TG 53:2|TG 17:0_18:1_18:1,205100,255700,253500,68920,51360,76880,65030,45490,45150,140100,25700,244000
295,26.10167,888.7982,[M+NH4]+,TG 53:3|TG 17:1_18:1_18:1,822400,1004000,973500,244000,183200,246400,171600,195100,181500,561100,66220,929000
296,25.68535,886.7758,[M+NH4]+,TG 53:4|TG 17:1_18:1_18:2,67840,219200,320200,79770,57880,93530,60480,57850,54580,166500,22140,158000
297,25.51287,884.7665,[M+NH4]+,TG 53:5|TG 15:0_18:1_20:4,159500,212000,191300,94910,79540,38820,79550,N/A,N/A,119700,N/A,189100
298,27.80842,906.8426,[M+NH4]+,TG 54:1|TG 16:0_20:0_18:1,1160000,1508000,1381000,262800,204200,314900,207900,235300,224200,765400,43770,1500000
299,27.04863,904.8244,[M+NH4]+,TG 54:2|TG 18:0_18:1_18:1,5821000,7845000,7864000,1220000,831700,1363000,918800,1027000,935700,3753000,162600,6881000
300,25.88633,902.8097,[M+NH4]+,TG 54:3|TG 18:0_18:1_18:2,1432000,1727000,1661000,348000,223700,324900,253800,246700,7548000,928500,137700,1681000
301,26.37415,902.8142,[M+NH4]+,TG 54:3|TG 18:1_18:1_18:1,65990000,81390000,77000000,10830000,7850000,11450000,7909000,8980000,7863000,46280000,17010,73500000
302,25.97267,900.8008,[M+NH4]+,TG 54:4|TG 18:1_18:1_18:2,6261000,7763000,7632000,1437000,1050000,1411000,1013000,1079000,1120000,4098000,656300,7237000
303,25.61352,898.7845,[M+NH4]+,TG 54:5|TG 18:1_18:1_18:3,2459000,2961000,3146000,1042000,786400,958100,783200,844600,778300,1822000,292500,3116000
304,25.26653,896.7699,[M+NH4]+,TG 54:6|TG 16:1_18:1_20:4,1220000,1539000,1438000,427000,243300,311400,176800,384000,350900,754500,255800,1471000
305,24.94838,894.7565,[M+NH4]+,TG 54:7|TG 16:1_18:1_20:5,164300,463300,450600,1055,106800,125800,70460,63050,50690,234800,1780,460600
306,26.66097,916.8341,[M+NH4]+,TG 55:3|TG 18:1_18:1_19:1,706600,873900,817800,205100,149900,169300,121200,147800,109900,409900,26590,854100
307,26.20217,914.8148,[M+NH4]+,TG 55:4|TG 17:1_18:1_20:2,367800,476400,391500,147200,98360,177300,112600,149400,96640,245600,26380,424600
308,25.51287,910.7849,[M+NH4]+,TG 55:6|TG 17:1_18:1_20:4,261000,322300,289300,107000,91640,154000,40150,83680,44710,314600,41580,320400
309,27.72243,932.86,[M+NH4]+,TG 56:2|TG 18:0_18:1_20:1,1956000,2505000,2354000,381000,242400,414800,301400,328200,288500,1200000,54720,2383000
310,26.9483,930.8416,[M+NH4]+,TG 56:3|TG 18:1_18:1_20:1,8497000,11370000,11630000,1625000,1135000,1833000,1212000,1351000,1152000,5301000,203100,10050000
311,26.48882,928.8277,[M+NH4]+,TG 56:4|TG 18:1_18:1_20:2,880200,2971000,1101000,830200,237300,389100,255600,295000,260500,1663000,295900,2883000
312,26.15917,926.814,[M+NH4]+,TG 56:5|TG 18:1_18:1_20:3,6219000,8675000,7717000,1690000,1408000,1555000,1070000,1282000,1168000,3680000,570600,7308000
313,25.74302,924.7996,[M+NH4]+,TG 56:6|TG 18:1_18:1_20:4,13400000,17890000,16760000,3126000,2346000,3313000,2311000,2541000,2289000,9718000,2051000,16750000
314,25.39687,922.7831,[M+NH4]+,TG 56:7|TG 18:1_18:1_20:5,4020000,5460000,5142000,762900,534100,797200,503700,611200,501600,2595000,729300,4940000
315,25.10705,920.7687,[M+NH4]+,TG 56:8|TG 16:1_18:1_22:6,843700,1149000,1141000,218600,163000,244600,158300,189000,158900,563300,223300,1099000
316,24.73238,918.7555,[M+NH4]+,TG 56:9|TG 18:1_16:3_22:5,131700,183800,146900,42440,25960,48360,27470,35980,28840,53040,42210,184400
317,27.29228,944.8467,[M+NH4]+,TG 57:3|TG 18:1_18:1_21:1,284400,253700,209800,48760,60530,69520,62960,65630,54340,200400,37150,230200
318,26.7043,942.8427,[M+NH4]+,TG 57:4|TG 18:1_18:1_21:2,100900,112900,161000,137200,38310,140000,102000,121700,34750,101900,10280,133100
319,25.97267,938.8058,[M+NH4]+,TG 57:6|TG 18:1_19:1_20:4,325500,583500,509500,150700,2710,7366,110800,1884,N/A,219600,N/A,4389
320,25.52718,936.796,[M+NH4]+,TG 57:7|TG 17:1_18:1_22:5,588.4,276300,293100,N/A,1159,754.1,N/A,1253,N/A,1224,629.3,2698
321,24.84772,944.77,[M+NH4]+,TG 58:10|TG 18:1_20:4_20:5,396200,519400,656100,137700,100000,161500,94720,116100,82190,238900,139000,508300
322,27.6221,958.87,[M+NH4]+,TG 58:3|TG 18:1_18:1_22:1,594900,792500,819100,121800,49720,207500,104600,103900,104200,331900,9526,705800
323,26.57482,956.8472,[M+NH4]+,TG 58:4|TG 18:0_18:1_22:3,226100,303000,296600,72010,229000,69050,38090,40950,63820,108500,N/A,191200
324,27.00562,956.8605,[M+NH4]+,TG 58:4|TG 18:1_18:1_22:2,525400,553100,625100,215100,317500,257000,119300,195200,224500,391000,25980,949500
325,26.60348,954.8455,[M+NH4]+,TG 58:5|TG 18:1_18:1_22:3,2159000,2939000,2404000,830000,561100,894400,533600,703100,615700,1396000,201000,2628000
326,26.13033,952.8288,[M+NH4]+,TG 58:6|TG 18:1_18:1_22:4,2916000,3642000,3372000,782100,593900,838200,582000,655000,615400,1950000,456800,3447000
327,25.77168,950.817,[M+NH4]+,TG 58:7|TG 18:1_18:1_22:5,11750000,12150000,11550000,2942000,129400,207300,2463000,2832000,2349000,6405000,1388000,11610000
328,25.57052,948.8004,[M+NH4]+,TG 58:8|TG 18:1_18:1_22:6,12780000,16600000,15930000,2378000,1699000,2422000,1624000,1948000,1747000,8830000,2395000,15770000
329,25.17953,946.7866,[M+NH4]+,TG 58:9|TG 18:1_18:2_22:6,1692000,2046000,2198000,463600,334500,531700,301600,381500,335600,1132000,405200,2182000
330,25.987,964.8325,[M+NH4]+,TG 59:7|TG 18:1_19:1_22:5,177600,201900,50690,79870,64580,109500,1159,81930,98330,61220,N/A,310500
331,25.20837,972.8028,[M+NH4]+,TG 60:10|TG 18:1_20:4_22:5,2298000,2738000,3049000,775800,535000,843600,485900,641100,533700,1581000,477200,2620000
332,25.00572,970.782,[M+NH4]+,TG 60:11|TG 18:1_20:4_22:6,1675000,2240000,2123000,357400,234000,398100,235600,281200,256600,1088000,548900,2062000
333,24.68922,968.7721,[M+NH4]+,TG 60:12|TG 18:1_20:5_22:6,266000,429500,335200,57880,46050,70320,47050,41150,46590,175000,126000,401200
334,27.60777,986.8995,[M+NH4]+,TG 60:3|TG 18:1_20:1_22:1,198000,239600,289100,66970,5314,3696,1823,2406,6928,110600,N/A,228500
335,27.5791,984.8799,[M+NH4]+,TG 60:4|TG 18:1_18:1_24:2,49990,255000,246200,68810,48070,92290,55740,66980,58120,289800,N/A,554200
336,27.13462,982.8793,[M+NH4]+,TG 60:5|TG 18:1_20:1_22:3,715500,1560000,626500,235600,206700,529400,168700,233700,38670,407800,4126,866000
337,26.61782,980.8629,[M+NH4]+,TG 60:6|TG 18:1_18:1_24:4,1388000,1713000,1492000,497300,334200,450500,295900,589900,344000,953200,121600,1721000
338,26.2165,978.849,[M+NH4]+,TG 60:7|TG 18:1_18:1_24:5,833600,1148000,1009000,261100,181700,301400,210400,261600,211000,593200,88330,1003000
339,25.51287,974.8138,[M+NH4]+,TG 60:9|TG 18:1_20:4_22:4,530900,799200,719900,184000,126000,184600,149600,153500,115200,372200,149400,732900
340,25.57052,1000.832,[M+NH4]+,TG 62:10|TG 18:1_22:4_22:5,951700,1145000,1131000,816500,560200,769200,496500,533900,449400,649800,182400,1339000
341,25.35353,998.8145,[M+NH4]+,TG 62:11|TG 18:1_22:4_22:6,1078000,955900,1353000,481300,N/A,542400,333800,29750,370700,369000,15250,1364000
342,25.22287,998.8082,[M+NH4]+,TG 62:11|TG 18:1_22:5_22:5,1035000,894200,740800,435600,382100,478400,306600,452000,319800,662200,257400,1240000
343,25.03455,996.7936,[M+NH4]+,TG 62:12|TG 18:1_22:5_22:6,820500,1040000,1206000,275900,187400,250900,184600,222300,N/A,496600,1395,1022000
344,24.84772,994.778,[M+NH4]+,TG 62:13|TG 18:1_22:6_22:6,496900,565300,502800,58600,59120,62130,41860,42670,61050,304900,206100,620900
345,24.93405,1016.955,[M+NH4]+,TG 62:2|TG 18:0_18:1_26:1,1781,2418,2487,N/A,2065,788.5,1256,407.6,N/A,1912,N/A,4213
346,24.89105,1014.938,[M+NH4]+,TG 62:3|TG 18:1_18:1_26:1,618300,750100,615300,160900,108600,168300,116600,145400,115400,421000,18350,651300
347,27.19195,1008.885,[M+NH4]+,TG 62:6|TG 18:1_20:1_24:4,549800,768400,511100,270800,201700,286600,223100,178600,182700,512800,156400,628200
348,26.7618,1006.878,[M+NH4]+,TG 62:7|TG 18:1_20:1_24:5,49950,428900,N/A,101900,79920,122800,44980,101600,62200,221400,82060,378100
349,26.64647,1004.856,[M+NH4]+,TG 62:8|TG 18:1_22:1_22:6,53970,87960,78510,17330,N/A,1311,N/A,10580,2742,104100,N/A,1822
350,25.944,1002.851,[M+NH4]+,TG 62:9|TG 18:1_20:4_24:4,688800,129900,843100,1243,366900,567500,349500,440000,373800,470100,N/A,78340
351,25.62785,1026.843,[M+NH4]+,TG 64:11|TG 18:1_22:5_24:5,368500,635300,190400,333700,237400,359100,66380,210400,183800,83790,28940,31760
352,25.44037,1024.831,[M+NH4]+,TG 64:12|TG 18:1_24:5_22:6,N/A,515200,1677,N/A,N/A,N/A,N/A,N/A,915.8,N/A,N/A,N/A
353,25.03455,1022.819,[M+NH4]+,TG 64:13|TG 20:3_22:4_22:6,141100,123800,160100,41750,37670,66310,32500,48020,33400,47530,60250,115800
354,24.4884,1018.786,[M+NH4]+,TG 64:15|TG 20:4_22:5_22:6,77620,85970,75090,1098,N/A,N/A,1100,13020,N/A,50490,1136,2000
355,27.3926,1034.899,[M+NH4]+,TG 64:7|TG 18:1_18:1_28:5,308700,660800,383800,215200,203200,27440,164500,212300,194600,462200,N/A,607200
356,26.93397,782.7603,[M+NH4]+,TG O-46:0|TG O-16:0_14:0_16:0,602,1353,361,N/A,1374,513.1,1507,583.1,N/A,N/A,N/A,N/A
357,27.6221,810.7874,[M+NH4]+,TG O-48:0|TG O-16:0_16:0_16:0,N/A,664.5,521.6,N/A,360.6,N/A,N/A,293.8,406.6,594.6,N/A,N/A
358,26.83363,808.7719,[M+NH4]+,TG O-48:1|TG O-18:1_14:0_16:0,N/A,1946,1945,N/A,1599,20510,684.3,1322,1914,N/A,1036,N/A
359,27.5361,836.8037,[M+NH4]+,TG O-50:1|TG O-18:1_16:0_16:0,N/A,N/A,766.8,N/A,1539,1273,912.4,N/A,N/A,1493,856.2,1098
360,26.7763,834.7883,[M+NH4]+,TG O-50:2|TG O-18:1_14:0_18:1,885.6,68100,2364,32940,1793,8059,1403,3130,795.4,41890,1016,3967
361,27.4356,862.8162,[M+NH4]+,TG O-52:2|TG O-18:1_16:0_18:1,146700,174100,176300,77820,41140,67810,49370,55550,53520,83440,N/A,181300
362,26.7763,860.803,[M+NH4]+,TG O-52:3|TG O-18:1_16:1_18:1,69020,92360,83210,27330,10870,40590,19410,31260,27630,15970,998.8,82470
363,27.36395,888.8309,[M+NH4]+,TG O-54:3|TG O-18:1_18:1_18:1,130100,139800,166200,3925,977.2,11340,9487,3325,2635,2642,600.1,18490
364,27.42127,912.8323,[M+NH4]+,TG O-56:5|TG O-18:0_16:0_22:5,17990,29420,47690,35140,21430,50740,2570,17580,1835,32700,478.2,57550
365,27.12028,912.8364,[M+NH4]+,TG O-56:5|TG O-18:1_18:1_20:3,112300,104400,92070,39240,39500,86590,42680,53220,17360,48520,N/A,90910
