conditions,samples
OA,cos7_1
OA,cos7_2
OA,cos7_3
OADGAT1i_2i,cos_1-2i-1
OADGAT1i_2i,cos_1-2i-2
OADGAT1i_2i,cos_1-2i-3
OADGAT1i,cos7_1i-1
OADGAT1i,cos7_1i-2
OADGAT1i,cos7_1i-3
OADGAT2i,cos7_2i-1
OADGAT2i,cos7_2i-2
OADGAT2i,cos7_2i-3
