gene_symbol,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
Ppp2r1b,14.68,13.16,14.4,21.43,21.21,22.3,10.03,9.37,11.4
Hmgn5,6.67,9.76,8.4,14.04,13.24,18.1,2.19,2.88,3.23
Cdca5,8.84,9.37,9.42,7.22,8.04,8.39,1.28,1.01,0.91
Rspry1,9.51,9.52,9.67,11.42,10.9,11.72,13.11,12.18,11.99
Gm12963,0.16,0.28,0.34,0.51,0.45,0.31,1.3,1.76,1.75
Syne2,2.07,2,1.97,1.38,1.07,1.06,0.89,1.04,0.97
Ehmt2,39.97,40.97,39.82,41.74,47.21,42.23,45.02,45.82,45.65
Marf1,11.78,11.62,12.41,13.46,12.4,11.96,12.35,12.94,11.75
Nudt2,12.06,12.97,12.69,8.58,11.18,10.28,8.17,8.22,7.71
Vps45,5.51,4.43,4.8,5.65,5.92,6.64,5.78,6.45,5.34
Clu,0.26,0.63,0.51,0.88,1,1.17,4.93,4.85,5.28
Dpy19l1,29.29,29.56,30.79,30.12,28.15,30.77,24.22,23.93,22.12
Gm15411,0.47,0.4,0.47,0.52,0.12,0.24,1.02,0.83,0.9
Celsr3,0.12,0.11,0.11,0.14,0.09,0.14,0.13,0.04,0.11
Szrd1,34.59,33.23,33.04,38.57,37.34,39.85,35.06,32.58,30.13
Nrcam,7.33,6.98,7.21,12.75,12.11,11.56,3.23,2.79,3.18
Dand5,1.65,0.8,1.8,1.8,1.72,1.28,2.18,2.09,1.97
Zfp641,0.46,0.46,0.42,0.23,0.15,0.1,0.36,0.52,0.26
Usp34,19.03,20.59,20.82,22.92,21.42,21.9,15.98,16.83,16.96
Dsn1,7.71,7.18,6.92,6.38,5.58,6.11,3.95,4.22,3.99
Gtf2f2,12.04,11.34,12.54,11.42,12.7,13.88,7.24,7.31,5.5
Cnih4,15.01,12.48,14.08,9.47,9.01,9.91,10.24,9.78,9.98
Gm10130,2.33,3.15,2.52,2.87,2.83,4.05,2.22,1.89,2.83
Pianp,0.03,0.03,0.03,0,0.03,0.03,0.12,0.15,0.16
Dus3l,10.1,8.74,10.85,6.96,6.48,7.31,8.46,8.87,7.69
Pcdhb8,0.03,0.03,0.05,0.03,0.13,0.08,0.08,0.05,0.06
Tbx6,0.14,0.18,0.21,0.11,0.11,0.18,0.35,0.57,0.51
Xpo6,31.61,29.27,30.45,29.23,28.82,29.21,22.1,23.4,23.62
Cntln,4.86,5.71,4.89,7.11,6.46,7.52,4.22,4.89,5.05
Kbtbd8,0.7,0.46,0.36,0.55,0.54,0.48,0.14,0.16,0.11
Noxo1,0.2,0.18,0.26,0.69,0.72,0.64,0.89,1.08,0.91
Bmp7,0.02,0,0,0.02,0.03,0.03,0.02,0.02,0
Lbp,2.3,2.14,1.92,30.53,40.25,34.59,107.47,125.1,119.29
Lrrc42,26.2,23.65,25.9,15.42,13.88,14.75,19.39,17.79,16.9
Foxm1,34.96,33.55,33.69,16.38,16.16,15.53,3.42,3.55,4.2
Slc12a7,2.2,2.28,2.28,0.7,0.83,0.81,1.42,1.6,1.53
Pilra,0.44,0.36,0.46,0,0.05,0.05,0.44,0.25,0.13
Gm715,0.1,0.33,0.42,0.16,0.58,0.16,0.21,0.36,0.17
Akt3,8.24,8.12,7.64,3.85,3.69,3.68,7.12,9.55,8.35
Plppr1,0,0,0,0,0,0,0,0,0.02
Ik,46.13,56.8,46.56,55.68,55.52,60.21,50.27,52.86,52.32
Aqp8,0.04,0.04,0.08,0,0,0,0.08,0.04,0.14
Hist1h1a,0.09,0.48,0.28,0.09,0,0.37,0.09,0,0.1
Mrpl58,22.25,22.11,19.59,17.96,18.63,19.99,16.12,12.08,15.87
Wfikkn1,0.51,0.51,0.31,0.89,0.94,0.52,0.46,0.44,0.39
Camk1d,1.4,1.32,1.42,0.61,0.59,0.81,0.72,0.52,0.58
Klhl26,34.71,27.85,34.86,30.53,29.5,30.57,18.82,18.99,19.09
Rac1,243.29,235.01,236.67,207.21,211.36,205.62,185.66,187.2,181.26
Setdb2,2.92,3,3,2.91,2.71,2.4,1.87,1.8,1.72
Eif3e,112.92,118.43,117.57,151.71,147.92,154.36,137.01,136.75,128.69
Fn3k,0,0,0,0.12,0,0,0.01,0.15,0.09
Ttbk1,0.24,0.21,0.21,0.03,0.06,0.05,0.07,0.04,0.01
Snrpb2,26.33,25.29,26.55,23.66,22.8,23.64,16.34,15.19,16.17
Bid,6.75,6.84,5.94,3.6,2.83,3.56,5.4,5.45,5
Vstm4,0.62,0.48,0.59,1.11,1.58,1.04,5.02,5.11,4
Ube2l3,88.51,87.25,83.63,81.07,85.84,88.96,80.13,79.94,73.32
Rbp1,8,7.21,6.76,4.8,5.8,5.04,15.9,14.42,14.41
Piezo2,1.76,1.97,2,0.22,0.19,0.15,1.18,1.78,1.67
Prss16,0.14,0.2,0.08,0.54,0.48,0.33,0.03,0.11,0.12
Abca9,2,2.33,1.94,2.15,2.87,2.09,10.52,12.13,10.4
Entpd4,5.33,3.9,3.36,3.92,6.04,4.87,6.17,5.31,3.56
F2,0.03,0.03,0,0,0,0,0,0,0
Pcdhgb2,8.21,8.05,7.83,10.66,11.69,10.24,13.01,12.78,13.46
Rsrc1,16.69,18.08,15.73,15.21,14.93,17.16,17.03,17.02,17.07
Inhba,100.84,99.28,112.97,15.61,10.48,13.96,13.56,13.47,16.1
Zfp563,0.86,0.91,0.93,1.05,0.94,0.99,1.28,1.51,1.36
Gm29720,0,0,0.24,0.24,0,0,0,0,0.26
Tst,3.11,2.25,2.18,1.92,1.47,1.69,4.15,5.59,5.11
Eno2,1.82,1.72,1.84,4.1,3.64,3.55,8.47,9.25,8.01
Cacnb3,16.34,15.81,15.6,10.75,12.39,13.33,24.07,23.38,23.74
Slc10a6,0.7,0.44,0.87,26.04,29.78,28.52,7.26,6.37,7.14
Atg16l1,8.53,8.46,8.61,9.69,10.74,10.31,8.55,8.2,8.23
Rab3gap1,10.58,10.54,10.5,14.98,16.2,16.36,13.2,14.02,13.6
Csrnp2,3.98,3.85,4.25,2.88,3.13,3.7,2.84,2.78,2.81
Sfswap,18.04,19.82,19.44,20.34,19.67,18.41,14.27,14.88,14.33
