,UD,UD,UD,D2D,D2D,D2D,D7D,D7D,D7D
Metabolite.name,I1_0,I2_0,I3_0,I1_2,I2_2,I3_2,I1_7,I2_7,I3_7
SM 41:0;2O,27723,18488,14762,12550,14790,15234,30927,23296,38484
SM 41:1;2O,24964,18656,21598,46745,28500,17116,106023,91740,128118
SM 41:3;2O,15953,14221,18851,13863,12162,9652,16307,25137,26877
SM 41:4;2O,47491,22123,21204,29422,27559,21557,26234,17228,40268
SM 41:8;2O,63960,43625,40572,44062,61474,24827,70313,37164,40339
SM 42:1;2O,22743,25375,54677,107392,88235,50161,69839,11445,94243
SM 42:1;2O|SM 18:1;2O/24:0,161740,107427,150197,168127,240254,119399,748988,674298,910399
SM 42:1;2O|SM 27:1;2O/15:0,26774,25164,22009,62228,54321,42312,206262,190293,262533
SM 42:2;2O|SM 14:0;2O/28:2,163104,109629,129106,157886,149543,189304,987866,904348,1136382
SM 42:2;2O|SM 18:1;2O/24:1,31584,29523,38896,44649,80058,62043,219715,274765,258192
SM 42:2;2O|SM 18:2;2O/24:0,1151,6109,11177,20868,17920,6063,40091,34719,55327
SM 42:3;2O,1578,1495,7960,26743,15173,7490,70564,38094,65872
SM 42:3;2O|SM 18:2;2O/24:1,43530,25612,25941,67908,68092,53685,190079,28787,168814
SM 42:3;2O|SM 19:3;2O/23:0,22485,27139,34278,67770,66657,53488,195244,168647,195667
SM 42:5;2O,5160,45326,37372,63211,78307,30851,63160,24744,28495
SM 42:6;2O,29570,30982,19228,54357,42390,24848,57657,59583,61691
SM 42:7;2O,34047,7100,6478,23713,24908,6396,67133,48245,65709
SM 42:8;2O,38889,14114,20808,38795,42549,19055,55225,67574,107370
SM 42:8;2O|SM 20:3;2O/22:5,30637,11375,8669,9091,7983,3138,22283,8728,20622
SM 42:9;2O,8341,370,1756,2747,6775,5384,12725,11927,60127
SM 43:10;2O,16461,1039,2570,1085,289,1476,854,1067,8976
SM 43:4;2O|SM 15:3;2O/28:1,1923,20313,25068,70053,61052,6217,17059,12764,25836
SM 43:5;2O|SM 17:1;2O/26:4,15796,2081,11673,6317,9181,10337,13644,24814,18127
SM 43:6;2O,8358,7826,3497,8633,8425,18960,8444,7499,40081
SM 43:6;2O|SM 21:0;2O/22:6,120648,6984,38452,50987,60557,14016,27906,34862,69191
SM 43:7;2O,22295,29834,17315,22619,26860,57144,22727,23233,132017
SM 43:7;2O|SM 19:3;2O/24:4,36964,5742,3845,3889,2623,3977,6351,5289,16534
SM 44:10;2O,5437,562,131,166,4402,1584,1589,137,12077
SM 44:11;2O,11626,1295,2326,1712,2612,1865,1044,3045,6643
SM 44:3;2O,3043,3016,1591,18620,16660,17119,1462,385,1336
SM 44:4;2O,5080,4885,7385,12530,2344,25062,6960,8842,10271
SM 44:4;2O|SM 14:3;2O/30:1,16948,6273,12210,36642,35361,19008,67093,55641,95069
SM 44:5;2O,148152,24258,43509,44608,56326,57082,55176,36435,114614
SM 44:5;2O|SM 14:0;2O/30:5,31755,17832,27738,81779,63213,50648,316409,281288,401183
SM 44:6;2O|SM 18:2;2O/26:4,5122,6613,8360,14852,11051,11713,24031,33376,34253
SM 44:7;2O,49480,12051,27055,41402,49059,29480,25117,24657,46156
SM 44:8;2O,63689,25049,4770,21050,33660,3716,2990,9154,11841
SM 44:8;2O|SM 16:1;2O/28:7,56099,1652,3279,5459,3016,4810,6821,1876,20569
SM 44:9;2O,96551,8329,3229,18315,18992,12189,10159,7957,78564
SM 44:9;2O|SM 14:3;2O/30:6,58571,18,1015,579,150,0,0,185,8574
SM 45:10;2O,22668,118,800,319,1331,209,945,30,5193
SM 45:7;2O|SM 17:0;2O/28:7,65313,1894,7473,2786,5682,6916,3683,3676,46949
SM 46:11;2O,69098,1863,4214,4356,2893,4271,8177,6255,45211
SM 46:12;2O,186017,4429,22468,36592,31829,20733,31527,41212,57571
SM 46:12;2O|SM 14:3;2O/32:9,28973,20748,10521,3825,18464,13733,20995,5594,80786
SM 46:5;2O|SM 14:3;2O/32:2,45810,26164,29486,15822,30828,11137,37929,42184,15712
SM 46:9;2O,44053,4583,4133,3134,2989,3711,5125,3492,22424
SM 47:2;2O,3451,1121,4278,18155,7905,9688,3260,2314,1783
SM 47:9;2O|SM 15:2;2O/32:7,13867,246,705,4579,4201,538,3568,1319,3468
SM 48:11;2O,118467,20398,17300,22849,17376,17873,17677,15273,33075
SM 48:5;2O,3205,10961,5012,7719,1307,8959,5629,9867,487
SM 49:12;2O|SM 15:3;2O/34:9,33063,722,1276,1533,657,444,1200,163,10526
SM 53:11;2O|SM 19:2;2O/34:9,52810,4047,2172,10055,5950,1213,2174,5029,26478
SM 59:0;2O,42442,24621,8219,17124,17017,20972,13986,28025,42560
SM 60:7;2O|SM 28:0;2O/32:7,3012,12364,16065,7969,6213,13651,10788,15833,13099
SPB 18:0;3O,554603,553480,578746,595861,565437,546220,597447,571878,595095
SPB 22:0;3O,141630,118254,109873,131377,123996,110422,106548,103541,122587
TG 24:0|TG 8:0_8:0_8:0,53192,5691,8979,22721,19673,28193,21569,20962,30266
TG 32:4|TG 8:0_8:0_16:4,32009,25224,19159,23771,25795,19181,24848,14442,24367
TG 33:0|TG 11:0_11:0_11:0,37437,5044,7344,6194,1954,4868,536,3277,29952
TG 33:0|TG 8:0_11:0_14:0,22479,21076,36681,24101,32980,8929,19319,3420,29043
TG 33:1|TG 8:0_8:0_17:1,57199,13057,3999,5762,13437,4674,4860,3319,53836
TG 35:0|TG 10:0_11:0_14:0,101231,6409,4092,18798,9854,16444,2195,14641,68592
TG 35:0|TG 8:0_8:0_19:0,67757,6041,3160,12774,7187,4860,5670,9015,27232
TG 35:2|TG 8:0_8:0_19:2,72887,1937,1899,1736,7012,5731,4611,7779,22528
TG 36:2|TG 8:0_8:0_20:2,7206,7744,1653,10765,4084,5448,11263,4143,2789
TG 37:0|TG 10:0_10:0_17:0,92756,68467,52065,68572,44194,100956,75950,83760,76366
TG 37:0|TG 9:0_9:0_19:0,176090,149020,118383,172403,157864,148837,139691,170153,258208
TG 37:1|TG 8:0_10:0_19:1,64660,9908,9911,29338,18557,13918,11171,17070,50513
TG 37:1|TG 8:0_16:0_13:1,301573,200096,172108,195045,201263,176190,143956,186026,255246
TG 37:2|TG 10:0_10:0_17:2,192403,48066,68147,76797,110213,52332,47890,54880,118719
TG 37:2|TG 9:0_13:1_15:1,182969,179153,160666,161877,169708,163854,119515,150876,157009
TG 37:2|TG 9:0_14:1_14:1,26118,26419,23677,50679,51232,41923,27322,24256,48805
TG 37:3|TG 10:0_11:0_16:3,193789,33165,42994,72453,34511,31225,39739,22407,93903
TG 38:0|TG 8:0_8:0_22:0,275479,162010,118145,124683,193635,169474,104024,154522,294064
TG 38:0|TG 9:0_9:0_20:0,38787,55726,46099,53262,73316,71637,70417,60275,53717
TG 38:1|TG 9:0_10:0_19:1,33412,88290,147738,109061,166636,108335,99772,99994,59760
TG 38:2|TG 8:0_11:0_19:2,6561,31859,43936,36578,70591,37040,35173,28392,30251
TG 38:2|TG 9:0_10:0_19:2,3333,25909,42727,37861,14727,34457,29070,28898,22963
TG 38:2|TG 9:0_14:1_15:1,23387,26825,27269,25038,24122,35239,19958,39219,30164
TG 38:2|TG 9:0_9:0_20:2,33123,74833,111303,99271,133585,100584,92587,66384,49491
TG 38:3|TG 9:0_9:0_20:3,7209,5231,27298,27345,36723,30091,24534,22962,11852
TG 38:4|TG 8:0_8:0_22:4,47691,53253,26195,15008,37493,41334,33953,28530,17532
TG 39:0|TG 13:0_13:0_13:0,142213,85860,68548,96015,72298,119614,65847,78617,98918
TG 39:1|TG 12:0_12:0_15:1,13647,24119,4146,2875,9987,9558,6019,3923,22711
TG 39:2|TG 9:0_12:0_18:2,315211,273118,153285,184731,180970,246801,159428,224960,305144
TG 39:2|TG 9:0_9:0_21:2,44055,36100,40870,71423,58916,46590,53546,33503,55507
TG 39:3|TG 11:0_12:0_16:3,137948,182078,167792,158999,165943,187141,134213,174230,157978
TG 39:3|TG 9:0_10:0_20:3,69762,58850,60447,52949,60892,74054,36979,60641,56088
TG 39:3|TG 9:0_12:0_18:3,120232,52613,150011,162254,164933,196249,142814,165532,168414
TG 39:4|TG 9:0_10:0_20:4,259577,235555,242433,193375,234509,260839,176028,190227,211977
TG 40:0|TG 10:0_12:0_18:0,136116,8377,21961,29022,22090,29034,19955,33280,93153
TG 40:0|TG 10:0_14:0_16:0,77947,54738,89996,88389,154143,86102,121321,58297,98702
TG 40:0|TG 12:0_12:0_16:0,154543,104582,39495,68792,41816,51633,40245,48610,111408
TG 40:0|TG 8:0_16:0_16:0,189234,150812,130432,124796,135939,144139,106242,136946,138530
TG 40:1|TG 11:0_11:0_18:1,35220,131665,173189,165568,192760,149324,129452,113151,108068
TG 40:2|TG 11:0_11:0_18:2,62699,101596,140260,98840,173084,135226,111212,67371,115704
TG 40:2|TG 14:0_13:1_13:1,54172,66265,53471,70688,74248,77293,74976,78054,83179
TG 40:2|TG 8:0_10:0_22:2,60348,66780,69594,14573,81390,18116,75531,63211,86379
TG 40:2|TG 8:0_14:1_18:1,43366,102410,129222,109890,164316,112917,110791,114087,81168
TG 40:2|TG 8:0_16:0_16:2,33334,29949,23823,7707,5625,28101,2685,21192,15192
TG 40:2|TG 9:0_11:0_20:2,19558,25350,25475,36024,46275,31554,26179,29579,11287
TG 40:3|TG 13:1_13:1_14:1,5348,21612,49682,31462,51356,55974,3908,68046,110684
TG 40:3|TG 9:0_13:1_18:2,42955,89580,137890,121341,153397,96399,87071,74393,63132
TG 40:3|TG 9:0_15:1_16:2,126364,113556,88964,141232,132878,87419,194034,74303,140346
TG 40:5|TG 9:0_9:0_22:5,251098,19228,22391,23212,24310,27035,17869,22679,83378
TG 40:6|TG 8:0_8:0_24:6,89076,15684,4124,31795,19863,27521,34190,21969,65810
TG 41:0|TG 8:0_9:0_24:0,97577,54116,47016,45046,59803,61389,42962,47636,65141
TG 41:2|TG 8:0_12:0_21:2,92021,70818,79913,115254,201608,107534,194633,125504,93662
TG 41:2|TG 8:0_14:0_19:2,83272,73437,81245,25740,65537,59099,24520,35670,57186
TG 41:2|TG 9:0_13:0_19:2,10366,29539,31542,55473,36411,42431,39024,29757,8923
TG 41:2|TG 9:0_15:1_17:1,56130,104754,79972,63560,66387,81675,58248,80995,49248
TG 41:3|TG 8:0_13:1_20:2,60662,50973,34209,7794,50305,68223,67646,66210,29980
TG 41:3|TG 8:0_15:1_18:2,25515,16655,43538,35941,66703,62576,17461,108617,51014
TG 41:3|TG 8:0_17:0_16:3,75517,32049,33108,40910,43794,30250,18230,27989,80814
TG 41:4|TG 9:0_16:2_16:2,15743,17174,13593,6184,14045,16681,4138,13503,12185
TG 42:0|TG 12:0_14:0_16:0,262891,167741,330152,207741,260561,303336,242859,156341,337875
TG 42:1|TG 8:0_16:0_18:1,164821,256948,409585,432871,528052,333029,361542,272332,360916
TG 42:2|TG 10:0_14:0_18:2,84752,32991,97046,121538,43507,35377,36472,56168,108181
TG 42:2|TG 8:0_14:1_20:1,14080,4648,14799,27489,30303,29565,18036,7104,38122
TG 42:2|TG 8:0_16:0_18:2,72262,204857,290132,398521,406875,290080,345896,188554,125619
TG 42:2|TG 8:0_16:1_18:1,6510,30912,84710,93364,115135,31476,84370,58945,25034
TG 42:3|TG 11:0_11:0_20:3,11027,30462,45010,52256,58230,35206,27712,26732,17692
TG 42:3|TG 9:0_15:1_18:2,16354,11399,6859,19051,6461,6192,18446,9703,17098
TG 42:4|TG 9:0_16:2_17:2,147299,122161,101416,32776,66408,144685,89371,115758,96657
TG 42:6|TG 8:0_8:0_26:6,4542,9242,2749,4149,10212,26694,6458,2805,3739
TG 42:7|TG 8:0_8:0_26:7,19379,10586,9416,8370,1997,10551,5103,7408,14939
TG 43:0|TG 13:0_13:0_17:0,9038,10150,13423,15219,18480,12865,47555,40626,69068
TG 43:0|TG 13:0_14:0_16:0,226717,217907,133433,149468,129156,182992,189725,199892,222218
TG 43:0|TG 13:0_15:0_15:0,96682,31156,86048,47427,40664,49963,73038,27948,64313
TG 43:1|TG 11:0_15:0_17:1,82352,66696,50883,120451,67752,60948,23049,23242,35215
TG 43:1|TG 15:0_15:0_13:1,179106,97912,111823,81639,115123,118813,108951,118321,152540
TG 43:1|TG 9:0_16:0_18:1,41286,14710,48619,114892,51581,47695,129786,91272,110411
TG 43:2|TG 11:0_15:0_17:2,203786,61621,48356,62926,67485,72573,42198,56341,169009
TG 43:2|TG 13:0_15:1_15:1,487426,326029,314509,217025,289317,361708,232195,340473,353585
TG 43:2|TG 17:0_13:1_13:1,45642,59888,47054,35600,19205,46459,28092,56378,59408
TG 43:6|TG 8:0_9:0_26:6,13189,7727,5975,7216,6282,9280,4747,6696,10116
TG 44:0|TG 13:0_15:0_16:0,33626,85793,26538,71932,21969,37875,48854,66258,29037
TG 44:0|TG 14:0_14:0_16:0,262971,133385,395062,189806,365298,221949,161964,285716,248394
TG 44:1|TG 12:0_14:0_18:1,250947,348202,534508,527191,616533,461178,475157,418574,326553
TG 44:1|TG 12:0_16:0_16:1,33469,70932,81378,87696,101659,83799,79085,66719,54109
TG 44:1|TG 14:0_14:0_16:1,9324,91878,172984,176306,175437,101411,129287,124928,126939
TG 44:2|TG 10:0_16:0_18:2,189047,315666,534887,596103,654655,394684,533260,390710,401724
TG 44:2|TG 10:0_16:1_18:1,72484,75577,149200,124027,175831,80186,217619,74779,80497
TG 44:2|TG 12:0_14:0_18:2,80734,80917,147956,159502,175348,80186,200729,118337,66696
TG 44:3|TG 14:0_14:1_16:2,16907,9831,7679,17999,6830,16304,18703,11688,42194
TG 44:3|TG 8:0_18:1_18:2,121746,176388,204425,370813,189393,226617,305012,187625,198709
TG 44:4|TG 8:0_18:2_18:2,54128,36061,29273,58659,57555,33989,57979,31434,37141
TG 44:7|TG 8:0_20:3_16:4,86673,60524,19713,47270,58500,59185,64182,47253,65982
TG 44:7|TG 8:0_8:0_28:7,107257,107796,107998,69683,81229,104415,64103,142028,87127
TG 45:0|TG 11:0_12:0_22:0,23253,7726,19206,22552,9624,29829,15807,39885,39847
TG 45:0|TG 12:0_12:0_21:0,33590,3411,8165,19574,16547,19450,12195,13301,28174
TG 45:0|TG 14:0_15:0_16:0,274262,190608,130292,160025,145547,166756,238744,286195,206312
TG 45:1|TG 11:0_16:0_18:1,142504,160193,250163,236647,150249,228497,88304,293011,52604
TG 45:1|TG 15:0_15:0_15:1,207445,165846,122048,125889,191270,347721,322847,474521,378758
TG 45:1|TG 16:0_16:0_13:1,8998,6081,2872,19478,14036,9614,80709,66739,68859
TG 45:1|TG 8:0_11:0_26:1,16340,9080,13844,21037,18659,21840,46414,42719,58721
TG 45:1|TG 8:0_16:0_21:1,17819,10493,19362,16481,4954,11323,4876,24723,15375
TG 45:1|TG 8:0_23:0_14:1,18490,4157,2908,15087,11212,8789,30169,24062,30723
TG 45:2|TG 10:0_18:0_17:2,26443,9406,9327,33560,11122,34369,29239,28765,121734
TG 45:2|TG 11:0_17:1_17:1,270568,133660,233058,206510,111825,179355,108681,145957,243590
TG 45:2|TG 13:0_15:1_17:1,86943,38222,49033,38802,55430,59151,43519,50807,57984
TG 45:2|TG 15:0_14:1_16:1,58079,88774,73365,94473,25581,82247,156911,118037,81810
TG 45:2|TG 19:0_13:1_13:1,104862,46369,29995,34040,55275,48531,44572,39132,33960
TG 45:2|TG 8:0_11:0_26:2,6270,5236,29129,13866,21534,5027,14475,6558,3595
TG 45:2|TG 8:0_13:0_24:2,17206,2889,1533,712,1114,337,1022,1270,9975
TG 45:2|TG 9:0_18:1_18:1,297456,98367,78630,123637,127104,129899,98567,102082,237249
TG 45:3|TG 14:1_15:1_16:1,79288,15924,18061,19057,17467,17284,12679,14851,47902
TG 45:3|TG 9:0_15:1_21:2,47736,14742,13029,20085,13899,19053,8534,16287,47345
TG 45:6|TG 8:0_17:2_20:4,4551,11728,14472,20434,15930,11229,13466,6749,9650
TG 46:0|TG 10:0_13:0_23:0,14680,27274,39141,26261,30470,25882,41356,20790,8217
TG 46:0|TG 14:0_16:0_16:0,287576,666118,697988,553494,429001,491701,433318,436657,576961
TG 46:0|TG 8:0_13:0_25:0,18721,46776,95933,126523,109873,69627,38540,32403,52502
TG 46:0|TG 8:0_19:0_19:0,24820,49551,80239,114812,116088,55046,51296,10678,30637
TG 46:1|TG 12:0_14:0_20:1,72062,210833,164266,187830,296682,260993,331742,211738,196530
TG 46:1|TG 12:0_16:0_18:1,69523,42741,86404,81536,72759,65331,69433,51753,37404
TG 46:1|TG 14:0_14:0_18:1,11796,30207,43781,56222,74059,56394,41832,35365,71045
TG 46:1|TG 14:0_16:0_16:1,1002605,1761609,2448208,1934827,2724830,1840703,1772989,1671035,1281260
TG 46:1|TG 9:0_9:0_28:1,17494,12214,5036,28413,29792,26492,70123,79076,112444
TG 46:2|TG 12:0_16:0_18:2,755844,1036446,1587324,1840466,1505527,1087877,1584239,1180943,1090729
TG 46:2|TG 12:0_16:1_18:1,41224,123011,86948,182129,60207,53123,128422,46805,78665
TG 46:2|TG 14:0_14:1_18:1,79061,879521,1386533,1517108,1272338,998149,1262426,945862,890745
TG 46:3|TG 10:0_18:1_18:2,153623,374855,618820,681292,601773,216608,765974,399375,412228
TG 46:3|TG 12:0_16:1_18:2,18306,22410,201461,167462,150976,103192,199824,57671,26020
TG 46:3|TG 9:0_21:1_16:2,97934,127746,92487,194419,181972,168893,176331,168299,186506
TG 46:4|TG 10:0_18:2_18:2,24488,51446,115016,277948,100453,65570,202589,41561,116463
TG 46:4|TG 11:0_17:2_18:2,39840,23007,6157,34444,22961,8758,9645,16146,27861
TG 46:4|TG 11:0_19:0_16:4,12415,15617,2502,12737,16441,10064,19763,15227,19794
TG 46:4|TG 12:0_16:1_18:3,26921,88605,107383,46952,106561,9213,142383,77732,28120
TG 46:4|TG 14:1_16:1_16:2,69135,31297,20409,45701,41942,38865,37435,27093,54314
TG 46:4|TG 8:0_18:1_20:3,48197,33963,38468,34194,17864,42521,31727,45628,91095
TG 46:4|TG 9:0_16:2_21:2,6608,5284,26575,38408,17113,5732,19128,19139,10435
TG 46:4|TG 9:0_21:0_16:4,4125,8018,30883,64139,12278,27062,47529,3553,5874
TG 46:5|TG 8:0_8:0_30:5,24050,3401,12537,6980,22794,18595,18637,17278,27752
TG 46:6|TG 13:1_13:1_20:4,814,2928,17881,7104,14616,7816,6899,4756,6059
TG 47:0|TG 14:0_16:0_17:0,169952,96972,95212,89468,159842,181722,167068,176256,156878
TG 47:0|TG 15:0_16:0_16:0,246600,197988,264780,211840,221645,166464,249128,341203,221341
TG 47:0|TG 9:0_18:0_20:0,10399,9509,57931,67392,93995,28372,73336,47574,12402
TG 47:1|TG 11:0_16:0_20:1,28667,25991,38861,74377,57588,42759,156786,130646,197105
TG 47:1|TG 14:0_15:0_18:1,28871,48987,36546,54538,45831,46950,41538,56247,48250
TG 47:1|TG 14:0_16:0_17:1,182780,207039,84826,105213,67193,169820,92084,383286,74018
TG 47:1|TG 15:0_16:0_16:1,184921,82962,422252,62409,82879,142491,77662,79257,73068
TG 47:1|TG 16:0_16:0_15:1,25462,128911,428418,419560,401934,185651,433578,436601,232495
TG 47:2|TG 10:0_13:0_24:2,38661,23358,18863,20766,92087,62819,75216,73582,100845
TG 47:2|TG 12:0_14:0_21:2,228166,127019,81549,120029,94577,62769,34422,11263,15946
TG 47:2|TG 14:0_16:0_17:2,71982,290099,343979,160517,317887,122334,392658,530570,437774
TG 47:2|TG 16:0_14:1_17:1,30246,19066,44877,65926,21601,21570,93924,116547,28842
TG 47:2|TG 16:0_15:1_16:1,241247,142372,339924,339452,381545,267765,453208,518179,419755
TG 47:2|TG 17:0_15:1_15:1,17657,16086,9353,44488,37155,35100,72255,80403,96577
TG 47:3|TG 13:1_16:1_18:1,37097,73048,113261,179548,118745,21319,99473,151703,19548
TG 47:3|TG 15:0_14:1_18:2,11782,69581,18891,100883,16808,14668,106949,199313,85828
TG 47:3|TG 15:0_15:1_17:2,56659,92102,186444,114694,161890,90262,94256,40361,86745
TG 47:3|TG 15:1_15:1_17:1,1312,907,9641,14983,2803,3101,49177,39444,56081
TG 47:4|TG 10:0_13:0_24:4,29145,5523,16065,14769,16578,18588,4951,19687,9879
TG 47:4|TG 11:0_18:2_18:2,17740,8088,11937,13513,24975,15209,46073,30985,42225
TG 47:4|TG 15:1_15:1_17:2,12984,1663,3797,1791,8391,257,3346,3405,8757
TG 47:7|TG 10:0_13:1_24:6,930,8145,3030,16149,7058,2043,18999,8622,11367
TG 47:7|TG 8:0_19:2_20:5,8647,12470,12609,15872,5178,11431,16970,16579,9446
TG 47:7|TG 8:0_21:2_18:5,30682,10091,9483,12396,14673,7473,8631,18544,14462
TG 48:0|TG 10:0_10:0_28:0,143811,277192,647742,758202,639463,384628,588369,346967,264822
TG 48:0|TG 12:0_15:0_21:0,21410,142242,142478,153200,145584,105332,143638,85301,85386
TG 48:0|TG 13:0_17:0_18:0,35783,57527,70073,63434,75528,46952,57136,38635,55654
TG 48:0|TG 14:0_14:0_20:0,30208,56564,101595,187131,74797,73965,65104,14377,7226
TG 48:0|TG 14:0_16:0_18:0,550128,1361461,1837127,1589176,1756664,1283009,1390627,1534389,906973
TG 48:0|TG 16:0_16:0_16:0,274734,120935,933253,754425,944436,535276,734856,543126,417305
TG 48:1|TG 10:0_18:0_20:1,26850,83194,43126,110675,71949,59115,61195,39851,42655
TG 48:1|TG 14:0_16:0_18:1,1305234,2334022,3834037,3264726,4333743,2681850,3579082,2505770,1782506
TG 48:1|TG 14:0_18:0_16:1,218630,928648,1603393,991463,1182614,1113729,1055752,788035,851569
TG 48:1|TG 15:0_19:0_14:1,14633,12067,50583,21805,46678,35444,20364,32010,21893
TG 48:2|TG 11:0_13:1_24:1,55014,23136,17190,23744,12605,29803,20133,23047,22457
TG 48:2|TG 14:0_14:1_20:1,12616,10703,42770,105087,33968,10257,8521,14685,58467
TG 48:2|TG 14:0_16:1_18:1,1498231,4230269,6866003,6387675,6774719,4214930,6298936,4172908,3393650
TG 48:2|TG 14:0_18:0_16:2,28237,7137,35055,45720,7725,8675,48096,14766,44046
TG 48:2|TG 16:0_15:1_17:1,14531,40131,29414,56030,18909,64019,40028,21056,44318
TG 48:2|TG 9:0_22:0_17:2,21172,8366,66446,19008,45207,26637,72989,30115,17689
TG 48:3|TG 12:0_15:1_21:2,109534,42563,42576,47281,48770,45489,33824,36706,88905
TG 48:3|TG 12:0_18:1_18:2,11634,4814,18812,10816,10991,27237,20707,5755,19107
TG 48:3|TG 14:0_16:1_18:2,688990,1861014,3066368,3569227,3053119,2220714,3419032,2067661,1892948
TG 48:4|TG 14:1_16:1_18:2,344005,491406,1144084,1465018,1042274,965691,1356728,999861,625912
TG 48:5|TG 12:0_18:2_18:3,29878,50299,96278,96689,96728,27661,75003,64640,26099
TG 48:5|TG 14:1_16:2_18:2,241159,122897,105386,131454,102806,55510,74080,103663,113324
TG 48:5|TG 9:0_19:2_20:3,150880,40891,46869,57648,64628,21787,49879,39526,94644
TG 48:6|TG 13:0_19:2_16:4,5645,24637,12741,38198,30585,71696,28696,22058,90091
TG 48:6|TG 15:1_15:1_18:4,18070,17283,16884,25840,28199,19126,33724,29693,31326
TG 48:6|TG 16:2_16:2_16:2,106654,83999,79120,100528,104537,105051,180427,183294,291358
TG 48:6|TG 9:0_19:1_20:5,2966,7731,9868,10329,16110,44645,24998,16757,33643
TG 48:7|TG 16:2_16:2_16:3,39541,17415,31811,83732,64508,48450,170715,138237,182542
TG 48:8|TG 16:2_16:3_16:3,10610,17003,41599,43002,37065,22713,45061,3912,34094
TG 48:8|TG 9:0_9:0_30:8,41645,5184,3909,3782,10614,9488,1927,2737,10398
TG 48:9|TG 12:0_18:4_18:5,14371,10289,9738,51778,32993,18356,27213,29040,36720
TG 49:0|TG 10:0_13:0_26:0,127127,326084,240229,271640,277931,213591,684892,398105,180027
TG 49:0|TG 14:0_17:0_18:0,118414,167907,168718,155972,94817,123043,147148,136395,121238
TG 49:0|TG 15:0_15:0_19:0,18380,15237,4830,14271,6106,8841,9827,22546,10918
TG 49:0|TG 15:0_16:0_18:0,307932,387580,923856,902691,598200,471563,1027481,608978,395283
TG 49:0|TG 16:0_16:0_17:0,25981,26595,45767,24969,25717,17492,17807,9001,21416
TG 49:1|TG 15:0_16:0_18:1,42524,89161,142986,102013,114398,92246,111454,95015,51536
TG 49:1|TG 15:0_18:0_16:1,33769,11631,29855,41652,29909,25337,58490,52476,57029
TG 49:1|TG 16:0_16:0_17:1,384198,656494,949417,665773,886633,659091,708213,532063,453642
TG 49:2|TG 10:0_19:1_20:1,85088,132326,58751,124398,72736,111419,149793,153946,139684
TG 49:2|TG 15:0_17:0_17:2,95958,45242,54261,56126,70631,58832,57800,48003,86473
TG 49:2|TG 16:0_15:1_18:1,362094,808392,1071618,842827,972263,380206,450120,881673,643204
TG 49:2|TG 16:0_16:0_17:2,266637,151275,268618,228960,1021098,693255,947768,830942,134037
TG 49:2|TG 17:0_15:1_17:1,54793,63602,88389,86013,107134,100211,88711,82294,34989
TG 49:2|TG 19:0_15:1_15:1,20244,17012,92151,22502,104981,100211,94801,56125,49443
TG 49:3|TG 13:0_18:1_18:2,14915,62930,97008,78520,76393,62746,82918,80620,49734
TG 49:3|TG 13:1_18:1_18:1,94988,324787,482716,564901,100134,335201,149247,459209,374756
TG 49:3|TG 15:0_16:1_18:2,210301,378294,526181,574781,612874,367066,624798,484376,254708
TG 49:3|TG 15:0_18:1_16:2,10854,58014,17611,68837,6696,10435,18880,45133,34086
TG 49:3|TG 17:0_15:1_17:2,19305,214227,63601,291844,165330,53943,142820,148607,251830
TG 49:4|TG 15:1_15:1_19:2,118471,204032,408036,442408,472241,257167,375831,184075,178889
TG 49:5|TG 15:1_16:1_18:3,101835,89502,291840,196376,336953,143872,146962,36945,72471
TG 49:5|TG 15:1_17:2_17:2,93621,104253,296968,493428,395305,131730,412481,65867,129142
TG 49:6|TG 13:1_16:2_20:3,113890,16375,31749,35114,52610,23578,65465,38591,61824
TG 49:6|TG 17:0_14:1_18:5,16538,9405,16517,8842,7527,8384,14736,4487,9172
TG 49:8|TG 9:0_20:4_20:4,207790,9205,6770,7512,5682,10219,9499,3165,61769
TG 49:9|TG 13:1_16:4_20:4,38999,633,34,1182,826,2030,6,260,6919
TG 50:0|TG 13:0_14:0_23:0,133464,325410,569832,694445,286930,473578,529657,360474,299549
TG 50:0|TG 14:0_14:0_22:0,115584,325476,404927,380358,427719,312659,416684,308080,196738
TG 50:0|TG 16:0_16:0_18:0,325847,729601,877604,580249,678693,641345,570881,577900,280962
TG 50:1|TG 12:0_24:0_14:1,113594,176281,350668,407162,414180,184563,462562,162878,114019
TG 50:1|TG 14:0_17:0_19:1,30529,1683,936,7637,1547,6460,4964,3078,4698
TG 50:1|TG 14:0_18:0_18:1,1127987,1865549,1922589,1620245,2078659,2828474,2265446,1509437,1734354
TG 50:1|TG 14:0_22:0_14:1,17683,145808,444745,60956,50634,130995,374364,122320,72154
TG 50:1|TG 16:0_16:0_18:1,2306540,9766248,13963646,10752646,12189563,8594077,11245353,8665579,4685342
TG 50:1|TG 16:0_18:0_16:1,502794,1043582,2038746,2631560,1885867,934875,2175194,1081642,657326
TG 50:1|TG 18:0_18:0_14:1,333366,1018286,1212848,1115317,1189349,848411,1187722,1014863,651787
TG 50:2|TG 13:0_17:0_20:2,28707,140187,99675,325564,363983,293382,64447,97709,50023
TG 50:2|TG 14:0_16:0_20:2,59854,582553,805499,899200,890846,709328,657626,562414,561210
TG 50:2|TG 14:0_16:1_20:1,187431,2083533,978918,3043542,3338962,2367509,2984392,2243381,1612591
