"gene","R_log2FC_avg","R_n","R_up_pct","R_down_pct","P_log2FC_avg","P_n","P_up_pct","P_down_pct","P_R","p_value"
"LPCAT3",0.0946696320105996,107,0.14018691588785,0.0654205607476635,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.444226765230587,4.13509212792436e-05
"MBOAT2",0.0946696320105996,107,0.14018691588785,0.0654205607476635,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.444226765230587,4.13509212792436e-05
"LPCAT4",0.0946696320105996,107,0.14018691588785,0.0654205607476635,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.444226765230587,4.13509212792436e-05
"LPCAT2",0.0946696320105996,107,0.14018691588785,0.0654205607476635,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.444226765230587,4.13509212792436e-05
"LPCAT1",0.0946696320105996,107,0.14018691588785,0.0654205607476635,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.444226765230587,4.13509212792436e-05
"LPCAT3",0.0946696320105996,107,0.14018691588785,0.0654205607476635,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.444226765230587,4.13509212792436e-05
"MBOAT2",0.0946696320105996,107,0.14018691588785,0.0654205607476635,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.444226765230587,4.13509212792436e-05
"LPCAT4",0.0946696320105996,107,0.14018691588785,0.0654205607476635,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.444226765230587,4.13509212792436e-05
"LPCAT2",0.0946696320105996,107,0.14018691588785,0.0654205607476635,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.444226765230587,4.13509212792436e-05
"LPCAT1",0.0946696320105996,107,0.14018691588785,0.0654205607476635,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.444226765230587,4.13509212792436e-05
"LPCAT3",-0.00962059365200569,11,0.181818181818182,0.181818181818182,-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.243931021591429,0.489603058122563
"MBOAT1",-0.00962059365200569,11,0.181818181818182,0.181818181818182,-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.243931021591429,0.489603058122563
"LPCAT4",-0.00962059365200569,11,0.181818181818182,0.181818181818182,-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.243931021591429,0.489603058122563
"LPCAT3",0.0416147019740598,89,0.134831460674157,0.101123595505618,0.0865748344213652,90,0.211111111111111,0.1,0.0449601324473054,0.669146039179623
"MBOAT2",0.0416147019740598,89,0.134831460674157,0.101123595505618,0.0865748344213652,90,0.211111111111111,0.1,0.0449601324473054,0.669146039179623
"MBOAT1",0.0416147019740598,89,0.134831460674157,0.101123595505618,0.0865748344213652,90,0.211111111111111,0.1,0.0449601324473054,0.669146039179623
"LPCAT4",0.0416147019740598,89,0.134831460674157,0.101123595505618,0.0865748344213652,90,0.211111111111111,0.1,0.0449601324473054,0.669146039179623
"LPCAT3",0.0416147019740598,89,0.134831460674157,0.101123595505618,0.0865748344213652,90,0.211111111111111,0.1,0.0449601324473054,0.669146039179623
"MBOAT2",0.0416147019740598,89,0.134831460674157,0.101123595505618,0.0865748344213652,90,0.211111111111111,0.1,0.0449601324473054,0.669146039179623
"MBOAT1",0.0416147019740598,89,0.134831460674157,0.101123595505618,0.0865748344213652,90,0.211111111111111,0.1,0.0449601324473054,0.669146039179623
"LPCAT4",0.0416147019740598,89,0.134831460674157,0.101123595505618,0.0865748344213652,90,0.211111111111111,0.1,0.0449601324473054,0.669146039179623
"LPCAT3",-0.00962059365200569,11,0.181818181818182,0.181818181818182,-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.243931021591429,0.489603058122563
"MBOAT1",-0.00962059365200569,11,0.181818181818182,0.181818181818182,-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.243931021591429,0.489603058122563
"LPCAT4",-0.00962059365200569,11,0.181818181818182,0.181818181818182,-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.243931021591429,0.489603058122563
"CEPT1",-0.641791286589959,93,0.021505376344086,0.483870967741935,0.538896397241187,99,0.404040404040404,0.0606060606060606,1.18068768383115,1.12414521511311e-20
"CEPT1",-0.641791286589959,93,0.021505376344086,0.483870967741935,0.0865748344213652,90,0.211111111111111,0.1,0.728366121011324,8.10087098231971e-10
"EPT1",-0.641791286589959,93,0.021505376344086,0.483870967741935,0.0865748344213652,90,0.211111111111111,0.1,0.728366121011324,8.10087098231971e-10
"PEMT",0.0865748344213652,90,0.211111111111111,0.1,0.538896397241187,99,0.404040404040404,0.0606060606060606,0.452321562819821,0.000132770547331769
"AGPAT1",-0.37922123201313,13,0.0769230769230769,0.384615384615385,-0.0792700083958075,37,0.108108108108108,0.189189189189189,0.299951223617323,0.373853318309039
"AGPAT2",-0.37922123201313,13,0.0769230769230769,0.384615384615385,-0.0792700083958075,37,0.108108108108108,0.189189189189189,0.299951223617323,0.373853318309039
"AGPAT6",-0.37922123201313,13,0.0769230769230769,0.384615384615385,-0.0792700083958075,37,0.108108108108108,0.189189189189189,0.299951223617323,0.373853318309039
"LCLAT1",-0.37922123201313,13,0.0769230769230769,0.384615384615385,-0.0792700083958075,37,0.108108108108108,0.189189189189189,0.299951223617323,0.373853318309039
"LPCAT4",-0.37922123201313,13,0.0769230769230769,0.384615384615385,-0.0792700083958075,37,0.108108108108108,0.189189189189189,0.299951223617323,0.373853318309039
"AGPAT5",-0.37922123201313,13,0.0769230769230769,0.384615384615385,-0.0792700083958075,37,0.108108108108108,0.189189189189189,0.299951223617323,0.373853318309039
"AGPAT3",-0.37922123201313,13,0.0769230769230769,0.384615384615385,-0.0792700083958075,37,0.108108108108108,0.189189189189189,0.299951223617323,0.373853318309039
"AGPAT4",-0.37922123201313,13,0.0769230769230769,0.384615384615385,-0.0792700083958075,37,0.108108108108108,0.189189189189189,0.299951223617323,0.373853318309039
"LPCAT1",-0.37922123201313,13,0.0769230769230769,0.384615384615385,-0.0792700083958075,37,0.108108108108108,0.189189189189189,0.299951223617323,0.373853318309039
"AGPAT9",-0.37922123201313,13,0.0769230769230769,0.384615384615385,-0.0792700083958075,37,0.108108108108108,0.189189189189189,0.299951223617323,0.373853318309039
"PNPLA6",0.0946696320105996,107,0.14018691588785,0.0654205607476635,-0.912154786259948,20,0,0.8,-1.00682441827055,2.19908231801588e-07
"PLA2G16",-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.00962059365200569,11,0.181818181818182,0.181818181818182,0.243931021591429,0.489603058122563
"PLA2G4E",-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.00962059365200569,11,0.181818181818182,0.181818181818182,0.243931021591429,0.489603058122563
"PLA2G4F",-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.00962059365200569,11,0.181818181818182,0.181818181818182,0.243931021591429,0.489603058122563
"PLA2G4D",-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.00962059365200569,11,0.181818181818182,0.181818181818182,0.243931021591429,0.489603058122563
"PLA2G4A",-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.00962059365200569,11,0.181818181818182,0.181818181818182,0.243931021591429,0.489603058122563
"PLA2G16",-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.912154786259948,20,0,0.8,-0.658603171016513,0.00824854702398612
"PLA2G4E",-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.912154786259948,20,0,0.8,-0.658603171016513,0.00824854702398612
"PLA2G4F",-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.912154786259948,20,0,0.8,-0.658603171016513,0.00824854702398612
"PLA2G4D",-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.912154786259948,20,0,0.8,-0.658603171016513,0.00824854702398612
"PLA2G4A",-0.253551615243435,27,0.222222222222222,0.259259259259259,-0.912154786259948,20,0,0.8,-0.658603171016513,0.00824854702398612
