"gene","R_log2FC_avg","R_n","R_up_pct","R_down_pct","P_log2FC_avg","P_n","P_up_pct","P_down_pct","P_R","p_value"
"LPCAT3",1.1783712549922,15,0.533333333333333,0.133333333333333,1.36938244204165,33,0.727272727272727,0.0909090909090909,0.191011187049445,0.665824407130466
"MBOAT2",1.1783712549922,15,0.533333333333333,0.133333333333333,1.36938244204165,33,0.727272727272727,0.0909090909090909,0.191011187049445,0.665824407130466
"LPCAT4",1.1783712549922,15,0.533333333333333,0.133333333333333,1.36938244204165,33,0.727272727272727,0.0909090909090909,0.191011187049445,0.665824407130466
"LPCAT2",1.1783712549922,15,0.533333333333333,0.133333333333333,1.36938244204165,33,0.727272727272727,0.0909090909090909,0.191011187049445,0.665824407130466
"LPCAT1",1.1783712549922,15,0.533333333333333,0.133333333333333,1.36938244204165,33,0.727272727272727,0.0909090909090909,0.191011187049445,0.665824407130466
"LPCAT3",1.1783712549922,15,0.533333333333333,0.133333333333333,1.36938244204165,33,0.727272727272727,0.0909090909090909,0.191011187049445,0.665824407130466
"MBOAT2",1.1783712549922,15,0.533333333333333,0.133333333333333,1.36938244204165,33,0.727272727272727,0.0909090909090909,0.191011187049445,0.665824407130466
"LPCAT4",1.1783712549922,15,0.533333333333333,0.133333333333333,1.36938244204165,33,0.727272727272727,0.0909090909090909,0.191011187049445,0.665824407130466
"LPCAT2",1.1783712549922,15,0.533333333333333,0.133333333333333,1.36938244204165,33,0.727272727272727,0.0909090909090909,0.191011187049445,0.665824407130466
"LPCAT1",1.1783712549922,15,0.533333333333333,0.133333333333333,1.36938244204165,33,0.727272727272727,0.0909090909090909,0.191011187049445,0.665824407130466
"LPCAT3",1.97897288841715,4,0.75,0,2.1649722565717,23,1,0,0.185999368154558,0.84601785912433
"MBOAT2",1.97897288841715,4,0.75,0,2.1649722565717,23,1,0,0.185999368154558,0.84601785912433
"MBOAT1",1.97897288841715,4,0.75,0,2.1649722565717,23,1,0,0.185999368154558,0.84601785912433
"LPCAT4",1.97897288841715,4,0.75,0,2.1649722565717,23,1,0,0.185999368154558,0.84601785912433
"LPCAT3",1.97897288841715,4,0.75,0,2.1649722565717,23,1,0,0.185999368154558,0.84601785912433
"MBOAT2",1.97897288841715,4,0.75,0,2.1649722565717,23,1,0,0.185999368154558,0.84601785912433
"MBOAT1",1.97897288841715,4,0.75,0,2.1649722565717,23,1,0,0.185999368154558,0.84601785912433
"LPCAT4",1.97897288841715,4,0.75,0,2.1649722565717,23,1,0,0.185999368154558,0.84601785912433
"CEPT1",0.334608566447676,39,0.384615384615385,0.0512820512820513,1.36938244204165,33,0.727272727272727,0.0909090909090909,1.03477387559397,0.00037496917313234
"CEPT1",0.334608566447676,39,0.384615384615385,0.0512820512820513,2.1649722565717,23,1,0,1.83036369012403,7.43845036928775e-15
"EPT1",0.334608566447676,39,0.384615384615385,0.0512820512820513,2.1649722565717,23,1,0,1.83036369012403,7.43845036928775e-15
"PEMT",2.1649722565717,23,1,0,1.36938244204165,33,0.727272727272727,0.0909090909090909,-0.795589814530057,0.00194978942913975
"PNPLA6",1.1783712549922,15,0.533333333333333,0.133333333333333,1.00287620408962,14,0.928571428571429,0,-0.175495050902579,0.667306010860723
"PLA2G16",2.03456344407913,7,0.714285714285714,0,1.00287620408962,14,0.928571428571429,0,-1.03168723998951,0.160132504040802
"PLA2G4E",2.03456344407913,7,0.714285714285714,0,1.00287620408962,14,0.928571428571429,0,-1.03168723998951,0.160132504040802
"PLA2G4F",2.03456344407913,7,0.714285714285714,0,1.00287620408962,14,0.928571428571429,0,-1.03168723998951,0.160132504040802
"PLA2G4D",2.03456344407913,7,0.714285714285714,0,1.00287620408962,14,0.928571428571429,0,-1.03168723998951,0.160132504040802
"PLA2G4A",2.03456344407913,7,0.714285714285714,0,1.00287620408962,14,0.928571428571429,0,-1.03168723998951,0.160132504040802
"PLA2G16",3.00447737062794,6,1,0,1.00287620408962,14,0.928571428571429,0,-2.00160116653832,0.00571516703305138
"PLA2G4F",3.00447737062794,6,1,0,1.00287620408962,14,0.928571428571429,0,-2.00160116653832,0.00571516703305138
"PLA2G4D",3.00447737062794,6,1,0,1.00287620408962,14,0.928571428571429,0,-2.00160116653832,0.00571516703305138
"PLA2G4A",3.00447737062794,6,1,0,1.00287620408962,14,0.928571428571429,0,-2.00160116653832,0.00571516703305138
"PLA2G16",1.36938244204165,33,0.727272727272727,0.0909090909090909,1.1783712549922,15,0.533333333333333,0.133333333333333,-0.191011187049445,0.665824407130466
"PLA2G4F",1.36938244204165,33,0.727272727272727,0.0909090909090909,1.1783712549922,15,0.533333333333333,0.133333333333333,-0.191011187049445,0.665824407130466
"PLA2G4D",1.36938244204165,33,0.727272727272727,0.0909090909090909,1.1783712549922,15,0.533333333333333,0.133333333333333,-0.191011187049445,0.665824407130466
"PLA2G4A",1.36938244204165,33,0.727272727272727,0.0909090909090909,1.1783712549922,15,0.533333333333333,0.133333333333333,-0.191011187049445,0.665824407130466
"PLA2G6",1.36938244204165,33,0.727272727272727,0.0909090909090909,1.1783712549922,15,0.533333333333333,0.133333333333333,-0.191011187049445,0.665824407130466
"PLA2G16",1.36938244204165,33,0.727272727272727,0.0909090909090909,1.00287620408962,14,0.928571428571429,0,-0.366506237952024,0.182382618073462
"PLA2G4F",1.36938244204165,33,0.727272727272727,0.0909090909090909,1.00287620408962,14,0.928571428571429,0,-0.366506237952024,0.182382618073462
