"subclass","cos7_1","cos7_2","cos7_2i-1","cos7_2i-2","cos7_2i-3","cos7_3"
"TG(16:2)",114706.666666667,41687.3333333333,186643.333333333,74163.3333333333,79300,344366.666666667
"TG(16:3)",45729.3333333333,63308,20039.3333333333,15540.3333333333,62079.6666666667,52231
"TG(17:0)",515663.333333333,588176.666666667,385966.666666667,80220,583366.666666667,650333.333333333
"TG(17:1)",543342.8,807066.666666667,454091.333333333,62323.1,653932.666666667,800366.666666667
"TG(18:0)",3623429,4706946.66666667,2352776.66666667,156269.066666667,4373922.33333333,4692033.66666667
"TG(18:1)",140567776.2,177445651.666667,97032672.3333333,9570550.46666667,162665788.333333,168197940.933333
"TG(18:2)",3150946.66666667,3918400,2108333.33333333,407113.333333333,3752666.66666667,3937066.66666667
"TG(18:3)",819666.666666667,987000,607333.333333333,97500,1038666.66666667,1048666.66666667
"TG(19:1)",403233.333333333,553100,230240,8863.33333333333,389663,459330
"TG(20:0)",386666.666666667,502666.666666667,255133.333333333,14590,5e+05,460333.333333333
"TG(20:1)",3988750,5623966.66666667,2584533.33333333,166802,4844600,5136900
"TG(20:2)",416000,1149133.33333333,636200,107426.666666667,1102533.33333333,497500
"TG(20:3)",2157466.66666667,2967733.33333333,1258683.33333333,210283.333333333,2504903.33333333,2656390
"TG(20:4)",7185740,9275890,5098096.66666667,1271505.33333333,8427709.66666667,9116830
"TG(20:5)",1647803.33333333,2338433.33333333,1108323.33333333,340536.666666667,2156933.33333333,2244133.33333333
"TG(21:1)",94800,84566.6666666667,66800,12383.3333333333,76733.3333333333,69933.3333333333
"TG(21:2)",33633.3333333333,37633.3333333333,33966.6666666667,3426.66666666667,44366.6666666667,53666.6666666667
"TG(22:1)",282290,373353.333333333,182200,3175.33333333333,312040.666666667,395570
"TG(22:2)",175133.333333333,184366.666666667,130333.333333333,8660,316500,208366.666666667
"TG(22:3)",1033533.33333333,1600666.66666667,637433.333333333,68375.3333333333,1228400,1109033.33333333
"TG(22:4)",1872566.66666667,2221966.66666667,1129510,288033.333333333,2332900,2245333.33333333
"TG(22:5)",6309099.46666667,6852840,3625871.33333333,879531.833333333,6699436,6477505.33333333
"TG(22:6)",6807230,8839876.66666667,4521136.66666667,1396210.33333333,8486407.33333333,8601092.33333333
"TG(24:2)",16663.3333333333,85000,96600,NA,184733.333333333,82066.6666666667
"TG(24:4)",875533.333333333,870433.333333333,645366.666666667,92666.6666666667,809180,948733.333333333
"TG(24:5)",417350,909133.333333333,299463.333333333,66443.3333333333,470953.333333333,400359
"TG(26:1)",206693.666666667,250839.333333333,140970.666666667,6116.66666666667,218504.333333333,205929
"TG(28:5)",102900,220266.666666667,154066.666666667,NA,202400,127933.333333333
"TG(8:0)",15203.3333333333,17410,498,323.166666666667,192.333333333333,151.5
