"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3"
"SM(38:2)",41300000,39500000,72200000,43900000,17900000,54200000
"SM(38:3)",6849348.784,10028714.132,14909422.148,12048712.845,5786906.37,14711913.748
"SM(38:4)",28500000,38300000,42900000,43600000,32100000,31900000
"SM(40:1)",4.27e+08,3.26e+08,4.47e+08,3.68e+08,1.71e+08,3.67e+08
"SM(40:2)",2.29e+08,1.87e+08,3.29e+08,2.51e+08,9.9e+07,3.23e+08
"SM(40:3)",23700000,30300000,52400000,49400000,17400000,60700000
"SM(42:1)",3.34e+08,3.09e+08,4.66e+08,3.75e+08,2.29e+08,2.61e+08
"SM(42:2)",3.493e+09,4.48e+09,6.4e+09,2.579e+09,1.5e+09,3.79e+09
"SM(42:3)",5.07e+08,4.43e+08,7.9e+08,5.4e+08,2.07e+08,7.49e+08
"SM(42:4)",24800000,21600000,32400000,49700000,21400000,73300000
"SM(42:5)",33600000,22600000,40600000,1.42e+08,52900000,2e+08
"SM(42:6)",40500000,20200000,34300000,1.23e+08,4.7e+07,1.75e+08
