"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3"
"DG(16:0)",144531701.337625,22999324.744,54851468.0392875,39318234.0148571,22635411.3127143,94085714.2857143
"DG(16:1)",55950000,4448236.7145,6980440.1695,10706855.023,4442019.8665,13458444.98125
"DG(18:0)",124712447.399333,62800935.8490833,299625396.756083,81072821.9215833,36765817.7581667,221024967.838917
"DG(18:1)",204314549.277167,124612115.496667,185751094.480056,380744270.605833,193002965.949533,735460495.370917
"DG(18:2)",10557699.0366667,9052578.34883333,12928428.92805,56932839.0319833,9958523.68778333,312700000
"DG(18:3)",1559275.23175,1815075.5305,1811106.778,2843699.362,1293963.5649,78850000
"DG(20:0)",8958500.39566667,4198645.992,13258627.3976667,6833830.0211,3333543.81656667,39904798.8813333
"DG(20:1)",53350000,68400000,106450000,196800000,108500000,283500000
"DG(20:3)",16950000,15950000,19550000,40650000,21325683.6775,83800000
"DG(20:4)",54890077.207,50031779.2106667,72294412.7686667,96200000,48583250.642,238433333.333333
"DG(20:5)",2671686.918,2297331.779,2130477.095,14500000,8197464.848,27100000
"DG(22:0)",NA,2169.63,NA,614608.9146,42445.653,27900000
"DG(22:1)",26800000,30500000,47200000,1.16e+08,57100000,1.43e+08
"DG(22:3)",1755549.247,1423487.142,2348102.26,15700000,7794340.321,32300000
"DG(22:4)",13611972.1395,9905758.904,16645725.5725,74193059.7075,35653205.2475,161292608.7115
"DG(22:5)",17400000,13305056.3885,20050000,54450000,25136449.3805,117300000
"DG(22:6)",28042147.416,26623691.0675,40150000,73402340.1865,34407728.589,154650000
"DG(24:1)",7970834.871,11700000,20600000,1.4e+07,5251559.526,7072026.714
"LPC(14:0)",6866427.247,2700369.782,3487795.143,5090550.249,2686395.707,359088.661
"LPC(16:0)",1752050000,56598781.301,428600000,107785658.8095,56687945.532,109733841.2435
"LPC(16:1)",19300000,8254216.1275,13292980.3445,11194634.2797,5698707.9689,11688157.8472
"LPC(18:0)",922650000,79783671.979,303380047.818,184643594.8875,108294022.2325,206204150.838
"LPC(18:1)",91250000,53550000,84850000,177500000,95050000,207950000
"LPC(18:2)",3305897.0592,1703290.4508,2562956.5901,4293898.26,1580558.46675,4631268.6825
"LPC(20:0)",11697000.50875,2832028.01425,5315832.1354,6992966.35,3632008.645,8607933.723
"LPC(20:1)",7426657.858,4336767.083,7020249.8825,9799904.764,4868741.957,9728823.112
"LPC(20:3)",1312410.633,3444089.492,3826492.708,9657205.77,4327025.408,9412542.283
"LPC(20:4)",22800000,16200000,24700000,42700000,18600000,46900000
"LPC(20:5)",1448935.512,1397053.967,2253985.359,7260174.128,2019554.761,5342064.976
