"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"PG(44:12)",1.3e+07,25800000,3.1e+07,66800000,2.41e+08,36700000
"PG(44:9)",65025.254,185232.382,332762.153,968822.628,1704470.699,846128.906
"PI(32:3)",511405.407,1037411.941,242652.5991,347405.4261,88708.4958,1291908.59
"PI(34:1)",4597537.29,6192618.89,9445028.037,5052452.587,1936266.8901,8703686.185
"PI(34:2)",605249.058,826072.391,1545206.079,321712.842,191006.3133,389967.671
"PI(36:1)",38100000,39900000,73800000,15100000,11100000,21200000
"PI(36:2)",5666968.648,6771872.0015,6668277.933,3585468.6688,2390226.0358,4509954.2714
"PI(36:3)",4531838.368,7221225.888,7847146.653,14474134.041,22653199.236,19534159.903
"PI(36:4)",2515796.799,3306336.362,4998042.315,3260706.611,3006030.932,4209807.732
"PI(38:1)",NA,21041.73,114065.241,14345.964,NA,57515.8518
"PI(38:2)",1103544.612,1321481.492,2467523.238,596922.324,480535.511,1131531.368
"PI(38:3)",4636913.941,6752181.289,8857628.373,4712431.29,4302432.965,7541955.775
"PI(38:4)",73283221.075,85103819.2142,141070768.785,45395325.5464,33674836.407,52277294.8964
"PI(38:5)",70200000,89900000,109800000,113900000,115500000,137500000
"PI(38:6)",3050621.216,3694910.346,6056700.507,6791030.165,8990582.209,8154160.445
"PI(40:4)",436538.004,567221.117,625919.6199,518814.921,119682.69,515269.456
"PI(40:5)",6685152.939,8964002.4162,13009499.903,6641978.622,6272638.7721,10969320.381
"PI(40:6)",6432082.125,12378118.527,11158236.728,14320673.458,13832535.031,19875348.249
"PI(40:7)",2866899.388,3426418.556,5319648.008,2954245.12,3644517.268,2856477.479
"PI(40:9)",2395923.079,3651025.01,3356953.314,2378362.626,3009045.012,2074496.837
"PS(22:0)",340618.809,781109.598,491093.446,28402.4838,24824.696,394201.42
"PS(24:0)",NA,NA,NA,355233.54,1220147.128,103580.411
"PS(24:1)",20836.752,19724.3016,16862.742,23505.1161,7100.8938,7821.6072
"PS(26:0)",NA,4642.4202,19389.1932,980664.186,2019123.073,92936.246
"PS(26:1)",4519808.202,8521678.285,7827756.491,3254142.129,854603.208,5945809.393
"PS(26:2)",4638303.387,10100000,9885774.408,3629783.28,1134836.211,8090515.543
"PS(28:0)",NA,15027.2688,NA,29837.157,595338.0924,41964.581
"PS(34:2)",2411102.055,2556519.032,3421536.704,2256844.477,1633446.223,2075573.734
"PS(36:1)",564148.356,921833.603,1461718.297,856985.437,7065338.551,3295698.338
"PS(36:2)",4626339.804,4943883.3875,11719651.134,3343891.1903,3614232.2036,4730592.2721
"PS(36:3)",38648061.614,47713716.083,51647003.135,35770739.22,40506451.202,37011430.196
"PS(36:4)",9755169.438,16100000,17100000,10800000,15100000,9786618.129
"PS(38:1)",42272497.14,76770045.603,94445116.59,49211926.239,8.3e+07,52559120.924
"PS(38:3)",70400000,1.02e+08,1.08e+08,6e+07,62600000,59700000
"PS(38:4)",132748633.433,153826694.662,163704354.76,100362784.454,118055428.001,113460684.49
"PS(38:5)",12022975.919,20231359.555,23502723.318,10917711.32,14566652.017,9737727.588
"PS(38:6)",6428743.981,11300000,12800000,6599017.515,11800000,7388998.381
"PS(38:7)",24300000,34700000,36800000,2.4e+07,32900000,20600000
"PS(40:1)",18200000,33800000,38700000,1.7e+07,27100000,16200000
"PS(40:4)",15939117.111,24427070.362,27951755.022,13591139.665,18911858.845,15073751.445
"PS(40:6)",60062533.947,81477996.483,89809382.872,55622173.645,75320273.3306,57961913.5589
"PS(40:7)",30114624.1746,52204532.1507,56992115.4275,34026954.94,54900000,32677487.859
"PS(40:8)",33936159.183,47439203.133,53432443.533,33422745.656,49023868.976,28384068.246
"PS(40:9)",7575467.186,11500000,12500000,5065758.44,7665674.966,4180985.782
"PS(42:10)",7903464.487,12500000,13700000,4416905.258,5974487.807,3060035.643
"PS(42:6)",2499419.356,4238888.009,4990197.231,2800479.698,4299553.955,3092266.279
"PS(42:7)",8411023.343,14300000,15100000,10100000,14300000,9598258.026
"PS(42:8)",12861411.692,22210660.424,24400000,15083117.77,23548592.945,13645772.059
"PS(42:9)",23585549.095,36300000,35200000,22345228.218,3.3e+07,21641173.232
"PS(44:8)",1442232.038,1054895.126,1871731.301,1082552.536,1509542.803,2442940.218
"SM(30:1)",3167490.204,3107325.203,4336974.113,2305294.746,5898350.169,5897392.732
"SM(32:0)",34400000,26300000,39100000,24600000,44600000,52800000
"SM(32:1)",325277036.279,306970672.246,407246542.741,263670311.752,505423107.51,520630276.246
"SM(32:2)",8240675.461,9149582.903,12800000,6345959.08,15800000,16200000
"SM(34:0)",4.84e+08,3.01e+08,4.86e+08,3.01e+08,5.79e+08,6.82e+08
"SM(34:1)",8207500000,7032185224.933,10555427384.447,5832058863.632,10613848666.43,12374794812.958
"SM(34:2)",378045563.053,326119117.436,353960538.669,207736739.192,408300000,452500000
"SM(34:5)",704600.408,365922.725,330619.898,988177.993,427757.993,161194.073
"SM(36:0)",25300000,13600000,23300000,13800000,25500000,31800000
"SM(36:1)",6.08e+08,3.87e+08,7.15e+08,4.75e+08,7.85e+08,9.19e+08
"SM(36:2)",3.26e+08,3.36e+08,66200000,2.37e+08,5.7e+08,9.5e+07
"SM(36:3)",3639312.701,8718369.29,1.1e+07,1841946.755,9118252.93,17200000
"SM(36:5)",9579141.652,7283628.825,488868.3663,1002428.315,3239702.912,15900000
"SM(38:1)",83600000,53100000,99300000,59800000,1.17e+08,1.32e+08
"SM(38:2)",41300000,39500000,72200000,33800000,83500000,1.12e+08
"SM(38:3)",6849348.784,10028714.132,14909422.148,7811780.206,17475140.978,19977589.798
"SM(38:4)",28500000,38300000,42900000,40400000,47300000,44900000
"SM(40:1)",4.27e+08,3.26e+08,4.47e+08,3.37e+08,4.85e+08,5.94e+08
"SM(40:2)",2.29e+08,1.87e+08,3.29e+08,1.86e+08,3.76e+08,4.46e+08
"SM(40:3)",23700000,30300000,52400000,27100000,59500000,77500000
"SM(42:1)",3.34e+08,3.09e+08,4.66e+08,3.54e+08,5.67e+08,6.82e+08
"SM(42:2)",3.493e+09,4.48e+09,6.4e+09,2.685e+09,6.402e+09,6.812e+09
"SM(42:3)",5.07e+08,4.43e+08,7.9e+08,4.28e+08,6.64e+08,1.14e+09
"SM(42:4)",24800000,21600000,32400000,22800000,46700000,45300000
"SM(42:5)",33600000,22600000,40600000,20200000,43700000,51700000
"SM(42:6)",40500000,20200000,34300000,16700000,30900000,38400000
"SM(44:2)",66200000,65400000,89100000,66700000,103600000,119100000
"SM(44:3)",1.04e+08,1.03e+08,1.67e+08,91500000,1.82e+08,2.1e+08
