"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1+2i_1","COS7OADGAT1+2i_2","COS7OADGAT1+2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"PE(22:1)",52574987.2736,53910433.724,75191446.074,51222117.46125,25876627.1106,60887410.162,29843253.204,56683814.1627,33575862.5941,54722911.6851,80037005.36705,96721158.30665
"PE(22:2)",7e+06,7350000,12850000,16300000,7950000,24700000,9450000,22800000,9250000,7650000,14400000,15500000
"PE(22:3)",14661514.7035,20544868.7905,29238222.5665,15641250.37545,14812450.1075,23767254.8905,24828288.057,19482410.127,24048087.3625,16875470.735,26136738.7105,17828685.1935
"PE(22:4)",166251156.731,194688492.9325,257754909.573,261086053.623,139135134.5355,371522261.206,219685419.352,359283772.6,204708630.198,153972725.951,246682670.648,247753108.044
"PE(22:5)",677162914.46535,748471326.2077,1065015313.34195,1042549250.3682,490548472.726,1416960751.0993,728675444.9915,1450576962.027,710543994.0464,635295080.13035,1080323507.469,1118713981.11575
"PE(22:6)",615378394.209,668359493.0915,959872965.261,757946379.3815,411182945.797,1080636917.0033,528069158.7288,962832262.8605,505369327.427,539459790.627,875594778.379,911781238.706
"PE(23:1)",638938.578,995246.1935,1279913.4095,272762.861,663762.725,897739.274,760729.979,300894.333,898621.26,376859.638,664528.2795,364212.3785
"PE(24:0)",4855793.1875,5983404.2865,8863740.163,9362108.9425,3382018.906,1553742.201,3169066.694,1593792.0385,4357039.675,7359483.005,11977110.588,12531843.522
"PE(24:1)",13440117.8,18678767.2585,21660972.772,7613245.748,9485120.59,15018146.2645,6954816.1935,3565595.1935,5609874.0035,3599864.465,5245903.707,3627375.284
"PE(24:2)",2315649.7105,4473401.9115,4217064.337,2059386.4635,2610985.5675,3252328.594,1559578.4675,1201406.195,1456786.785,1599974.828,2167294.8975,2401782.317
"PE(26:1)",1155521.86,1622172.2855,1877504.4055,524942.3305,728403.8835,1312176.9985,924505.0725,401606.552,205980.42,287284.634,240010.8885,394742.2385
"PG(14:0)",3465183.73,5809201.019,7604740.057,2447487.7825,3396913.0425,2914792.8235,11959925.777,6479459.62,6206929.7535,4110580.8535,7604389.0475,7245078.6365
"PG(15:0)",2298538.774,2932915.313,3580361.446,364048.96375,1819525.073,902516.154,6507881.348,3154741.103,3341506.6575,2379822.7745,3481497.959,2940915.2125
"PG(16:0)",93436616.8015,135504463.13725,183301102.06855,81794073.43815,89052905.65085,103539259.36305,214419259.81965,111436982.20875,115043007.8157,91289417.5886,113155455.85555,103945478.862
"PG(16:1)",1012610.565,2269300.95675,3222110.05255,2574797.65115,1053862.24735,1892788.32405,3234545.83215,1516399.61925,2387699.1582,1412206.2281,2145410.96305,1744519.7245
"PG(17:0)",821925.561,1080460.4965,1950879.1725,1211297.1945,767227.9305,1271673.0825,1579219.009,324633.2225,729396.47,772386.4695,888846.0515,NA
"PG(17:1)",139766.6665,537843.834,676386.661,319420.4427,291389.4265,401739.7715,40161.43425,7705.6405,80883.8859,22889.59395,75337.54035,11313.5645
"PG(18:0)",12929246.0075,20667151.59,22127712.6355,13582699.548,11663638.4105,16705174.682,17994447.2115,7710472.3865,12563681.0735,8312516.631,12653196.519,8918354.0415
"PG(18:1)",251997300.9785,370474319.759,469766166.229,316104380.60895,244685054.0805,326078767.2815,363139267.06725,191955107.08185,314214032.5089,215769006.4949,306864990.08965,223835050.4535
"PG(18:2)",4723677.23905,7756439.9005,10514814.8845,10182596.71685,5453159.2745,9343644.897,6172716.24605,11765575.2265,6849384.5575,3244432.3677,5279446.644,4379011.5154
"PG(20:1)",865729.9695,1514957.201,1776438.277,985151.813,935123.0225,1322853.8975,2287407.659,401174.98635,1151866.7935,485381.57745,223518.7953,673699.4765
"PG(20:2)",116016.2225,488269.429,675897.4475,321056.908,277089.3305,559825.759,915722.5595,414869.577,854646.9765,605351.3625,1038525.57,471931.466
"PG(20:3)",3477840.49375,5706589.2655,7192651.2089,7449732.2072,4788733.4445,10265813.8275,7176960.8725,8730768.8015,8254976.6935,3375817.33175,7463323.262,4433562.9543
"PG(20:4)",15906469.16575,16235842.2405,19554662.1801,15688357.4247,8363531.8066,25241456.6445,13558706.011,26697861.23955,13152872.825,13268377.5896,23973557.05,28065361.0568
"PG(20:5)",1408158.065,2571814.281,3104500.5477,4267861.39,2640019.8795,7082583.059,5544094.141,5911281.6025,6428937.6655,3052555.5385,5250491.4175,3373287.835
"PG(22:4)",2606595.5825,3919859.808,6654125.736,4614575.0065,3175865.0391,4945820.0675,11394548.2795,5166953.05605,12578426.923,6832762.22585,12170208.8595,6927958.332
"PG(22:5)",5511428.32955,4863301.318,8446592.2315,18169796.45035,9118637.1565,27657454.4685,13157229.59255,28643614.3335,14426515.3915,5648836.9777,9810347.309,10456702.2284
"PG(22:6)",46484074.939,78991915.7125,102917147.306,95497290.35,61202404.9695,113693026.4585,154481673.457,104018313.958,284537158.566,115661339.1025,321524603.1735,86610998.851
"PI(12:0)",255702.7035,518705.9705,121326.29955,250375.2505,113674.2675,712911.0345,740067.3015,381333.2685,239783.63805,173702.71305,44354.2479,645954.295
"PI(15:0)",399771.0115,780005.473,726101.891,528556.5935,300804.5755,351128.709,378269.878,313658.1985,113141.889,21175.4676,23480.5992,386390.4
"PI(16:0)",3122766.355,3627498.966,6746520.006,1523870.8505,2096284.6405,1809422.995,19850000,6019185.088,1993331.3735,2768391.643,2165933.6215,3829394.4315
"PI(16:1)",302624.529,413036.1955,772603.0395,44683.311,20215.4409,131256.1775,2504319.97,488286.584,145628.5155,160856.421,95503.15665,194983.8355
"PI(17:0)",1152835.297,1440638.1615,3472002.0535,447540.2015,1407732.4485,284394.3086,10750000,3573487.9445,228825.868,1440644.975,698549.3095,1271973.562
"PI(18:0)",76345501.498,87705171.5515,133796189.5605,41722957.3865,68474997.7275,47708109.60045,207064929.3105,87933830.327,35529286.6655,49122617.7295,41357674.1395,57620472.207
"PI(18:1)",51532713.1359,63140996.2057,98272524.7465,31428571.09355,44576740.1221,37512228.578,287493303.949,119529856.777,64736611.6482,67065183.0446,68497588.3417,87025317.323
"PI(18:2)",5757554.714,7181226.539,8429465.544,3598558.0335,5000381.58,3392566.24245,28007011.4975,11811394.798,10841804.855,8893892.739,13114802.529,10997511.575
"PI(20:0)",218269.002,294131.4235,369992.43045,210900.8932,240127.8547,295071.7249,1326434.654,669038.5577,159725.62875,266580.4425,59841.345,286392.6539
"PI(20:1)",881443.2225,1733491.1015,1933591.7285,5801233.666,2414989.585,440569.6935,6427592.61,2484402.834,1226463.019,1971673.766,1719878.7505,3454023.1265
"PI(20:3)",2343052.4999,3125308.0336,3880351.46005,3453210.904,3114080.7245,1776128.3055,7889313.6587,2898016.1672,1233185.6391,1534257.38825,560713.0199,2202629.0777
"PI(20:4)",62693804.7975,77757798.736,119045054.07545,41215809.9405,59464151.789,52723634.673,263305741.071,110035861.925,62376497.26125,71347826.112,65718800.4405,88788314.0255
"PI(20:5)",12387009.1945,14045566.8335,13504829.582,5375464.81335,13123938.7875,5396155.363,7114655.839,8439589.988,12840083.6315,14322092.595,15466722.889,13474647.99
"PI(22:4)",504667.096,386629.1256,1014605.05,191769.6255,419786.7975,56311.967,3829104.8815,1284434.0145,65418.53625,574878.6915,408748.82955,742733.2955
"PI(22:5)",4029558.722,4945599.4025,7478835.146,2055515.039,3489994.805,3009761.349,16600000,6630872.9385,3285787.2285,3574310.51,3657105.5845,4641343.577
"PI(22:6)",3128170.4915,5979290.866,5550422.014,7110320.11,3988252.024,1470797.4285,5741771.456,1686083.734,2511534.8235,6136046.7945,6329380.1265,8578238.7395
"PS(18:0)",170309.4045,390554.799,245546.723,2276003.2455,16882.173,222508.975,255310.3165,66531.4365,NA,14201.2419,12412.348,197100.71
"PS(18:1)",1284073.1458,881892.34935,6944779.71475,727683.9069,56689.4031,328937.2818,27164438.678,190134.7104,900201.99015,210231.8168,629521.8699,533464.13355
"PS(22:4)",1442232.038,1054895.126,1871731.301,6081801.842,3257629.111,1e+07,4889537.954,10900000,4880113.302,1082552.536,1509542.803,2442940.218
"PS(22:5)",81266.9735,88998.2415,104691.436,NA,7308.4731,71371.2475,2962435.739,79751.1882,22502.50905,61086.8225,60136.6653,80956.77945
"PS(22:6)",57312.0873,152266.07535,496057.71375,35902.2072,NA,159912.392,2502002.939,7144.9248,NA,NA,NA,NA
"PS(4:0)",170309.4045,390554.799,245546.723,2276003.2455,16882.173,222508.975,255310.3165,66531.4365,NA,14201.2419,12412.348,197100.71
"SM(15:1)",6564131.314,5806526.423,8477783.293,9034145.181,4738634.757,12200000,5420965.597,11800000,7066127.41,4586505.305,9724387.758,11200000
"SM(16:0)",7.01e+09,5.1e+09,8.35e+09,9.24e+09,4.3e+09,1.05e+10,5.3e+09,1.05e+10,6.33e+09,4.72e+09,9.1e+09,1.11e+10
"SM(24:1)",2651800000,3352100000,4943600000,1962700000,811700000,2494100000,1095100000,2313800000,1239500000,2456300000,5645700000,6708600000
"SM(d16:0)",6564131.314,5806526.423,8477783.293,9034145.181,4738634.757,12200000,5420965.597,11800000,7066127.41,4586505.305,9724387.758,11200000
"SM(d18:1)",9.57e+09,8.34e+09,1.314e+10,1.11e+10,5.065e+09,1.29e+10,6.34e+09,1.27e+10,7.51e+09,7.06e+09,1.457e+10,1.758e+10
"SM(d19:1)",42800000,64900000,92200000,59300000,25800000,5.3e+07,2.1e+07,70600000,25400000,66800000,1.04e+08,1.44e+08
"SM(d20:1)",4.9e+07,47200000,61400000,43400000,20900000,41100000,34100000,43200000,34100000,49500000,71700000,84600000
"SPH(d16:1)",35500000,21800000,18600000,14400000,9064710.286,17800000,11200000,29400000,12200000,12900000,14300000,9543792.827
"SPH(d18:0)",12700000,8775022.337,10900000,26300000,13800000,24300000,16600000,23200000,21100000,8621897.063,1.3e+07,13400000
"SPH(d18:1)",14800000,9209775.627,7724662.154,8393716.637,3022585.326,23100000,9355636.372,33400000,NA,4554238.18,6271872.443,2964372.931
"SPH(d20:1)",16300000,14500000,11400000,12100000,6641550.393,5.5e+07,11800000,23700000,10700000,6579382.542,9569489.326,8584293.844
"SPH(d20:2)",1229071.48,1000855.954,1114154.665,474806.065,545805.958,37400000,755728.529,4095056.526,112730.884,924336.209,21372.294,830148.949
"SPH(d22:0)",3.6e+08,1.97e+08,2.51e+08,4.27e+08,2.56e+08,3.99e+08,2.59e+08,2.32e+08,3.47e+08,2.48e+08,4.45e+08,2.18e+08
"SPH(d22:2)",7291124.31,4246903.196,6031221.842,2948672.93,2837384.274,6746099.543,3818450.508,5786037.405,2302280.73,6239897.46,7187466.643,5465378.934
"SPH(d24:0)",4973213.785,717796.517,1073404.488,527455.287,837497.467,1019374.853,1331793.819,2177472.095,926476.427,521941.7,791909.556,622932.642
"SPH(t16:0)",4.15e+08,2.91e+08,4.47e+08,9.98e+08,4.39e+08,6.74e+08,3.6e+08,4.8e+08,4.34e+08,5.25e+08,6.74e+08,6.75e+08
"SPH(t17:0)",6432379.382,5227995.22,6719598.508,16400000,6537194.146,9007218.831,6305807.248,8181460.87,9067897.027,9622113.289,10700000,11100000
"SPH(t18:0)",1.51e+08,91100000,1.7e+08,3.59e+08,1.58e+08,2.39e+08,1.41e+08,1.65e+08,7.9e+07,1.94e+08,2.46e+08,2.27e+08
"SPH(t20:0)",77300000,49900000,78700000,1.89e+08,70600000,1.08e+08,69200000,85600000,71900000,94100000,1.18e+08,1.04e+08
"SPH(t20:1)",351147.204,59209.562,22440.075,0.338,287130.151,10600000,135105.805,1327544.876,74026.949,139392.7419,45136.596,134405.876
"TG(10:0)",26150384.1796667,17910280.4855,28772928.2493333,10491061.7383333,3716599.83,30377107.4483333,3844348.56813333,29833333.3333333,2754347.48616667,19597827.4291667,27634507.325,34359285.5100333
"TG(10:1)",40729545.683,1516052.24033333,3229249.62323333,478146.448,88093.6373333333,3529382.1626,138186.001033333,10465949.1403333,67564.2118333333,1928559.237,3274230.351,5056682.95766667
"TG(10:4)",87611.2233333333,133507.527666667,274394.351666667,121843.676666667,76532.744,6633333.33333333,104636.983333333,6900000,215391.286666667,200127.379,168464.391666667,294458.684
"TG(11:4)",10717.0266,230512.916,33482.905,78112.3106,68265.3965,24533333.3333333,306889.324666667,29066666.6666667,60248.392,37531.0742,30676.625,488754.093333333
"TG(12:0)",80112185.493,29937583.2810667,40732485.8579333,24147513.0367333,22104857.8989333,90610644.4257667,28770752.9996,204062410.512133,26056531.606,37401633.358,35376044.9473333,34566651.7013667
"TG(12:2)",4366666.66666667,11996.4,38606.0976666667,NA,NA,77292.149,13599.238,74102.522,NA,0.206666666666667,NA,NA
"TG(13:0)",1882869.30033333,1516052.03566667,2849610.76233333,410060.875666667,33878.3546666667,2231317.94,102052.1347,3633333.33333333,20208.0214,1928559.231,3259713.406,5033333.33333333
"TG(14:0)",1721667298.48733,981805466.126133,1294513350.52567,495232358.777333,419956931.306667,896061105.044667,396537990.603267,718717044.8384,400113082.517667,1041447527.64833,1364649137.25633,1600057694.88223
"TG(14:1)",4466666.66666667,0.102333333333333,46428.5886666667,NA,13062.935,222619.9632,NA,2230214.93033333,NA,NA,NA,NA
"TG(14:2)",15066666.6666667,20200000,24366666.6666667,11533333.3333333,6833333.33333333,39666666.6666667,7333333.33333333,3.9e+07,7400000,18133333.3333333,28833333.3333333,3.7e+07
"TG(15:0)",418933333.333333,320009774.511433,429595773.826,187853315.192833,158265542.959333,222542566.354333,149449147.4623,215985706.651667,155513848.782833,355173477.791667,464423745.842,538831553.543333
"TG(16:0)",6641736299.58533,3250467942.68297,3995153269.13547,1655560897.36723,1218570141.8816,2165046465.81273,1140463561.63737,1820067319.99603,1170332070.22427,3410573491.03127,4550307755.21313,5311435070.32273
"TG(16:1)",2606739097.10367,2505462294.64097,3418678540.32807,894847744.548333,651051481.993333,1389946036.81667,617606948.492167,1555892170.101,653216099.252667,2736844312.17233,3841816068.97647,4545840991.447
"TG(16:2)",98328.2499333333,364020.443666667,307877.256666667,199955.987266667,144798.1405,31166666.6666667,411526.308,35966666.6666667,275639.678666667,237658.4532,199141.016666667,783212.777333333
"TG(17:0)",223850204.042667,206202299.917333,281021363.654333,71906749.9583333,47647827.2686667,73111287.178,42476544.6853333,64160358.111,46750246.0153333,223323633.182,328910556.256,398984573.036
"TG(17:1)",612742729.436667,675180012.195,883133333.333333,284438659.701,182319393.088667,298541663.21,147638651.128667,242217853.939333,179566413.839,683348038.143333,1032533333.33333,1201766666.66667
"TG(18:0)",2276322340.01333,1918617891.22967,2418732464.85903,581917388.433,362072958.5716,465941894.337867,333384929.036333,335254251.821,336038516.691,1965501369.0368,2805126459.96233,3370976312.66533
"TG(18:1)",87070285541.5959,88248234645.1953,111571072915.351,29799970078.6129,18277395176.9749,31069627544.7651,16952428942.6071,22901642991.4058,18852732137.3352,92664520893.0776,128743243613.593,140532569613.397
"TG(18:2)",2880097298.42327,3220161526.32317,4353381103.995,1065594510.70103,671592716.371867,4240368307.65393,694186856.048233,4252499242.613,650637141.233433,3380913144.2508,4477806342.14673,5658063106.17833
"TG(18:3)",188452293.790667,126037529.972667,195109295.6566,85893211.5694,62075463.4806667,373937546.3251,58970702.533,380663553.752867,64834815.0782,162829161.9913,220275880.639933,248507217.387567
"TG(19:0)",51400000,45193247.1173333,65173825.4,17434074.0063333,15682618.832,12165103.8066667,12223862.435,10781423.5576667,14044241.892,50219264.935,86979093.7953333,96024514.7302
"TG(19:1)",433476551.666,479300000,653568353.284,178345766.192667,97208243.6813333,145302987.047,90049110.64,114257897.428667,108328872.475,518428181.706667,797800000,933666666.666667
"TG(20:0)",44333333.3333333,57666666.6666667,77666666.6666667,3.9e+07,20566666.6666667,5.5e+07,22133333.3333333,35666666.6666667,23266666.6666667,6.7e+07,94666666.6666667,102333333.333333
"TG(20:1)",2210833994.854,2510803243.59933,3400366666.66667,966312038.373333,530960677.3261,991678842.781667,502809657.352667,679742796.567333,547233222.180333,2798391494.74,4045666666.66667,4553916065.176
"TG(20:2)",380333333.333333,444666666.666667,5.55e+08,1.95e+08,116666666.666667,2.04e+08,114333333.333333,1.45e+08,1.1e+08,4.5e+08,622666666.666667,666333333.333333
"TG(20:3)",1952410526.745,2143943190.95533,3103120055.48767,1405673639.354,807600403.410333,1350937543.308,718231163.643667,1081610600.58167,887228572.569,2855068245.76933,3901633017.44933,4179733973.34953
"TG(20:4)",3896307921.66467,3960768281.59567,5046233333.33333,1940534745.01567,1160130377.108,2205439232.26483,983556185.797333,1773495271.54133,1252245655.474,4429033667.70917,6006100000,6477029870.27233
"TG(20:5)",797366666.666667,978400000,1375066666.66667,490300000,256100000,628766666.666667,249366666.666667,457500000,286966666.666667,1133500000,1609300000,1858300000
"TG(21:1)",79766666.6666667,93500000,139366666.666667,28966666.6666667,16233333.3333333,25433333.3333333,16366666.6666667,20833333.3333333,16700000,104266666.666667,162666666.666667,198366666.666667
"TG(22:0)",9226818.954,26407361.341,19519191.4522667,16536153.9275,1892428.60136667,4307289.02266667,3030851.44033333,2841711.33546667,2049227.00933333,5630158.699,18970982.2941667,52066666.6666667
"TG(22:1)",1236333333.33333,1340113949.233,2064405029.43167,256833333.333333,153156384.617333,184566666.666667,148033333.333333,110733333.333333,140833333.333333,1.427e+09,2489293699.06933,2910666666.66667
"TG(22:2)",185100000,199066666.666667,271033333.333333,41045766.1926667,23617532.7953333,37136320.3803333,28616433.421,22391230.762,31962205.8083333,210100000,326400000,374633333.333333
"TG(22:3)",381233333.333333,546700005.742,738458614.65,213600000,127366666.666667,170200000,96433333.3333333,118966666.666667,106266666.666667,610333333.333333,9.21e+08,816333333.333333
"TG(22:4)",2682139677.29767,2803935280.33813,3709952612.42533,1942741561.32833,1078310764.76433,1937400000,1015271307.1956,1456652444.51607,1110288808.926,3189418107.87367,4757537732.83833,5232254513.01623
"TG(22:5)",3959433333.33333,4437333333.33333,5812766666.66667,2396434899.75267,1319446563.33733,2687016696.95833,1264562685.021,2005569270.209,1435312570.35,5063100000,7030866666.66667,7763166666.66667
"TG(22:6)",1232012488.9441,1456138493.785,2049489105.16833,791727275.448533,436701249.379333,989392222.148333,395947494.2643,717800959.334,484239993.0165,1642203073.66933,2527201434.87667,2598810716.533
"TG(23:0)",3217281.56866667,2254936.06733333,4166666.66666667,873134.778666667,524403.05,1161534.78633333,505349.568666667,105887.796666667,115793.829,152296.2325,11866666.6666667,5833333.33333333
"TG(24:0)",21533333.3333333,24600000,30766666.6666667,32133333.3333333,4903578.15133333,282862.128833333,6498747.98066667,646647.952,1451325.27333333,9534799.43066667,28166666.6666667,36233333.3333333
"TG(24:1)",66848301.226,101113949.233,135471696.098333,110766666.666667,23108335.1903333,15347117.3023333,11358225.4453333,7672101.51966667,11745307.522,65152867.3858333,149727032.402667,2.14e+08
"TG(24:2)",28166666.6666667,37366666.6666667,50300000,34959821.81,8532197.13296667,12379482.0156667,7185051.461,8300000,7134376.646,29011774.4893333,57433333.3333333,76600000
"TG(25:1)",1107036.02166667,5666666.66666667,6733333.33333333,11666666.6666667,1491495.47833333,NA,NA,NA,NA,725460.780333333,8e+06,14733333.3333333
"TG(26:1)",18987532.7463333,84066666.6666667,85333333.3333333,156966666.666667,8190927.25736667,3929655.55526667,2952539.58856667,2282599.32766667,247761.519666667,1096172.4412,83643896.0136667,160666666.666667
"TG(29:0)",NA,38936.511,0.336,NA,190601.599,6233333.33333333,110006.087,3866666.66666667,NA,NA,NA,NA
"TG(29:1)",1572551.77166667,7333333.33333333,8833333.33333333,15500000,402798.723333333,276150.761,75708.3603333333,257066.017666667,NA,42674.2636666667,10266666.6666667,17533333.3333333
"TG(30:0)",1046611.29033333,1195083.237,611443.819666667,771836.837,1005273.388,76582.5776666667,479624.009,NA,194510.838333333,216254.3725,530876.988333333,994717.726333333
"TG(4:0)",25057337.3833333,11373930.9395,17789336.9682333,2556100.84883333,2385508.46473333,19028165.0234667,1709943.64033333,18913909.2806333,3262816.09083333,14466125.9988,25259168.0933333,29290074.8015333
"TG(6:0)",56833333.3333333,530838.1119,1387244.38116667,400085.481233333,659355.357,3131256.2507,262950.6536,4442543.32883333,360354.0396,464965.018466667,563863.770666667,336243.780166667
"TG(8:0)",73661340.597,32457978.5913333,24020735.7242333,8383453.82966667,4798881.34396667,68142863.5067333,11936213.9606,122653880.662333,14364966.9193333,12485186.4155333,19457317.9716667,18754099.2355
"TG(9:0)",153930289.190333,1756798.44346667,4749581.4942,1083219.3845,1766724.99613333,1953620.562,1041343.605,1577004.66283333,1205536.654,343987.6463,842995.491833333,1949536.69466667
