"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1+2i_1","COS7OADGAT1+2i_2","COS7OADGAT1+2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"Cer(t18:1)",98889781.4036,124213228.7443,143535212.434,146682667.1165,77788079.027,393846727.171,117543796.4376,329093187.917,104994928.367,103558593.5399,163090196.872,177819594.795
"Cer(t20:0)",2318169.143,2196870.105,1621597.789,3679425.894,2052312.78,2324526.479,2030374.828,2190972.383,2906012.723,2457605.963,3717120.244,2722587.455
"Cer(t20:1)",16200000,23200000,35800000,17500000,6269813.537,4936156.801,10500000,5115545.672,1.1e+07,20800000,37800000,41300000
"ChE(0:0)",29400000,334519.8615,919964.724,4073663.559,1916397.897,743979.423,824093.7975,460599.957,306611.0886,NA,294591.572,1160729.03
"ChE(20:4)",26900000,26500000,36900000,29500000,12800000,20700000,11200000,13900000,14900000,33600000,5.5e+07,61400000
"ChE(20:5)",14900000,1.3e+07,17300000,15900000,7710759.938,17700000,6674257.593,12400000,8133489.237,17700000,22300000,28300000
"ChE(22:5)",20500000,18100000,28900000,20900000,10400000,20300000,10900000,13100000,12300000,20900000,35100000,43500000
"ChE(22:6)",50300000,53600000,62100000,8.7e+07,44200000,1e+08,44700000,6.4e+07,50800000,60800000,72900000,84400000
"DG(15:0)",3802109.155,898972.4955,1571688.961,3017949.939,1589806.7255,6850000,1823988.0595,4810874.5305,2355296.9155,881457.5515,1677174.7715,1976327.4425
"DG(16:0)",578126805.3505,80497636.604,219405872.15715,137613819.052,79223939.5945,329300000,127850193.023,354400000,114569758.177,80110159.722,104056975.914,116747777.9817
"DG(16:1)",55950000,4448236.7145,6980440.1695,10706855.023,4442019.8665,13458444.98125,11065248.759,11608499.31625,4103102.4795,5966152.058,11289228.3135,20933252.9005
"DG(17:0)",9991289.043,4614660.5864,9287706.6745,7598210.6025,3943358.084,18562391.1795,6433041.8445,13883069.3155,5365397.4114,4552068.992,5991238.22625,7050509.2081
"DG(17:1)",3667042.1635,1683450.3575,2611683.7395,3976249.322,2275575.2335,7500000,2568954.059,7700000,2923376.4315,1714975.812,2487734.172,3107077.527
"DG(18:0)",751015973.439,377005746.0149,1802040087.211,486685142.132,220708556.995,1327712198.213,434732077.685,1888851541.175,329585581.2679,350604750.0525,488716900.70925,572302880.3916
"DG(18:1)",1859635499.934,1132761306.2635,1686696060.8475,3448793977.5435,1748649534.3158,6662862556.37725,2107333561.4395,5448979888.89625,2205139577.51445,1123283959.768,1889939462.32,2472210753.1185
"DG(18:2)",31673097.11,27157735.0465,38785286.78415,170798517.09595,29875571.06335,1089100000,41839836.21075,557389087.884,31843756.06195,24492938.233,47413743.19185,53455333.0171
