"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3"
"Cer(14:0)",28200000,23400000,39600000,49400000,121400000,59400000
"Cer(15:0)",20400000,14500000,23700000,23200000,39800000,28200000
"Cer(16:0)",458560545.053,354910298.6642,560125542.365,574861176.586,1396022785.564,688866357.9666
"Cer(17:0)",14486530.324,11315931.411,16338841.662,14539364.791,38400000,16560148.877
"Cer(18:0)",65019201.493,39410536.931,63643213.191,53831587.382,136943689.487,63028787.857
"Cer(18:1)",19975415.069,28535473.749,30803045.688,80775199.853,148598755.048,83965546.761
"Cer(18:2)",0.069,NA,NA,NA,NA,1467007.009
"Cer(19:0)",3850354.364,5910016.236,9474699.106,5723323.091,5567783.629,4141841.097
"Cer(20:0)",29600000,12159297.054,14961416.227,12834447.472,18608827.786,13511858.536
"Cer(20:1)",1489957.363,395425.2516,2050247.413,2424096.18,4544070.248,2625202.296
"Cer(22:0)",227373255.122,116289312.803,162053800.247,122755238.135,236993261.083,121324812.86
"Cer(22:1)",27400000,30400000,47400000,35800000,75400000,3.9e+07
"Cer(23:0)",46749694.376,27791797.832,37257354.753,23072107.584,19858896.113,64600000
"Cer(24:0)",336797124.823,323931860.368,358767450.27,301764708.027,816427981.246,326415349.264
"Cer(24:1)",957798916.827,1124400497.216,1638600000,639469400.036,977730135.777,636360747.111
"Cer(24:3)",742041.807,865048.5237,2360090.459,2682306.313,3910082.724,3669941.331
"Cer(24:4)",1053394.235,953309.061,2216853.837,12138720.42,49200000,14043962.1376
"Cer(24:5)",354816.703,623451.222,1121031.323,9902318.122,29300000,11800000
"Cer(25:0)",10355380.3012,12729199.8959,14711506.973,12942421.4675,40691111.301,366757830.57
"Cer(25:1)",2547096.072,4243257.91,4762409.927,3287636.915,1500162.671,4124480.221
"Cer(26:0)",25854746.4676,31681515.1753,18404456.37,37838654.083,79370301.2088,61380519.651
"Cer(26:1)",18456715.4164,18350712.1101,25067878.6494,10095980.6113,4313567.6517,16818828.0585
"Cer(26:2)",1701200.684,2880342.2417,3560105.755,2597953.6719,1289901.494,7830220.696
