"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3"
"Cer(28:0)",19400000,8113669.37,9296072.884,6949586.005,11100000,15300000
"Cer(30:0)",14700000,6837045.672,7953968.87,6053213.475,8513927.335,12900000
"Cer(32:0)",127100000,66400000,85100000,72600000,134900000,116700000
"Cer(32:1)",14100000,11700000,19800000,24700000,60700000,29700000
"Cer(34:0)",348283866,228439684.9022,340424816.781,334371001.79,775087848.29,427287321.0356
"Cer(34:1)",261722689.183,204292958.587,325616502.48,318632258.998,792915499.871,384356273.861
"Cer(34:2)",13770786.883,14041209.909,20815470.184,27536338.601,58900000,30948927.976
"Cer(36:0)",116347451.293,56765325.97,67004540.096,52633523.411,105852879.037,69538498.499
"Cer(36:1)",41428785.985,33485815.086,47119293.36,74424687.142,156232532.217,83309742.201
"Cer(36:2)",8866750.771,11677942.317,11124251.431,36152969.595,69600000,40049484.096
"Cer(36:3)",NA,1272810.072,1370763.097,5578284.263,6725325.948,6849645.617
"Cer(36:8)",20166.1356,7487.0478,67873.8168,3574213.365,1400458.205,145265.8614
"Cer(38:0)",100586103.887,52026143.674,62525655.638,40287956.509,61900484.789,51645254.147
"Cer(38:1)",21743007.542,12345104.5372,20295669.524,17454271.177,21215869.0095,17759994.613
"Cer(40:0)",151010287.27,81501173.487,101421214.086,81690593.033,163945340.211,82519536.282
"Cer(40:1)",121253626.1445,66582398.7045,99337052.9919,71853236.852,127529708.7393,79792109.368
"Cer(40:2)",22399631.86,24162841.238,38640799.89,26744726.878,53511808.292,29623512.59
"Cer(42:0)",165708052.968,175010925.8767,162707397.7644,167284155.665,515429208.4927,108541119.895
"Cer(42:1)",574725711.5051,614650974.3565,880714296.6102,395965028.645,694680968.2681,379414645.601
"Cer(42:2)",530600000,623900000,899900000,347353626.294,5.59e+08,351230129.703
"Cer(42:3)",64783585.995,72600000,95900000,49548700.931,88600000,54616548.679
"Cer(42:4)",742041.807,865048.5237,2360090.459,2682306.313,3910082.724,3669941.331
"Cer(42:5)",1169836.197,982253.307,2083823.076,14163196.05,46100000,16378312.65
"Cer(42:6)",354816.703,1024816.083,1386363.248,17415834.126,46676466.746,20162372.9676
"Cer(44:0)",14818344.448,26396994.242,13898142.975,32427278.075,78061821.795,75591713.026
