"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COS7OADGAT1.2i_1","COS7OADGAT1.2i_2","COS7OADGAT1.2i_3","COSOADGAT1i_1","COSOADGAT1i_2","COSOADGAT1i_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"DG(36:5)",167472.9529,1058119.726,426746.217,903537.445,515975.928,106100000,550378.959,65200000,205797.596,738480.308,296753.3016,231750.442
"DG(38:0)",11600000,5385974.059,27700000,4922602.231,2636393.149,2214396.644,10300000,6976817.091,7101687.313,3981658.292,5039433.774,2226095.899
"DG(38:1)",14200000,6154783.18,10600000,15200000,6871517.755,34500000,8939221.925,19700000,9355165.462,7070348.155,10200000,5030662.157
"DG(38:2)",96875501.187,125055180.737,193475882.193,356378887.8323,199492720.5457,5.37e+08,240860277.169,408700000,233359288.362,85633066.233,198812463.314,247558737.099
"DG(38:3)",2.7e+07,28400000,4e+07,52600000,25351367.355,135600000,33939647.247,99200000,30931948.764,28800000,43900000,52600000
"DG(38:4)",118800000,117300000,1.62e+08,168300000,88100000,3.77e+08,98500000,2.87e+08,97800000,121700000,206900000,2.78e+08
"DG(38:5)",58600000,45900000,69200000,1.76e+08,87700000,4.63e+08,90200000,3.26e+08,93400000,52500000,98100000,1.26e+08
"DG(38:6)",2671686.918,2297331.779,2130477.095,14500000,8197464.848,27100000,6749848.701,25500000,8655806.536,1925224.714,2466464.989,3032299.067
"DG(40:2)",26800000,30502169.63,47200000,116614608.9146,57142445.653,170900000,71469016.2935,112778175.768,68359515.0609,27700000,47518269.7681,63048742.6202
"DG(40:4)",8479493.526,5535004.95,8939553.405,21086119.415,10400750.816,34885217.423,14116857.162,30960126.628,14490290.693,5607331.15,19457823.495,11060164.989
"DG(40:5)",31300000,24710112.777,39700000,153700000,74472898.761,342600000,87115456.773,329200000,98347774.938,27121302.271,51500000,58300000
"DG(40:6)",32284294.832,24947382.135,3.8e+07,104004680.373,47515457.178,227300000,61139525.884,220100000,63398263.878,27862552.966,46900000,5.9e+07
"DG(40:7)",47800000,45900000,69400000,1.41e+08,65800000,2.94e+08,88600000,2.59e+08,88500000,48700000,84300000,1.05e+08
"DG(42:2)",7970834.871,11700000,20600000,1.4e+07,5251559.526,7072026.714,6845646.935,9098024.042,6440736.193,12800000,20700000,26200000
"LPC(14:0)",6866427.247,2700369.782,3487795.143,5090550.249,2686395.707,359088.661,3225886.872,293317.1958,NA,4649979.267,977345.523,4166719.545
"LPC(16:0)",3504100000,113197562.602,857200000,215571317.619,113375891.064,219467682.487,236162872.206,6.63e+08,186817793.243,86776679.539,150226443.579,147156887.677
"LPC(16:1)",38600000,16508432.255,26585960.689,22389268.5594,11397415.9378,23376315.6944,12934826.8157,22302004.5324,16304828.925,16973701.325,21918096.944,24034211.2482
"LPC(18:0)",1845300000,159567343.958,606760095.636,369287189.775,216588044.465,412408301.676,259087275.179,651348824.099,316241820.816,146691156.359,277360353.288,260645859.46
"LPC(18:1)",182500000,107100000,169700000,3.55e+08,190100000,415900000,211500000,391300000,260800000,136200000,245500000,284800000
"LPC(18:2)",6611794.1184,3406580.9016,5125913.1802,8587796.52,3161116.9335,9262537.365,3196458.9769,6370311.607,3662397.3342,3387532.2388,6303017.5495,8525008.866
"LPC(20:0)",23394001.0175,5664056.0285,10631664.2708,13985932.7,7264017.29,17215867.446,8022496.4535,20354463.87,10984667.98,4757801.972,9385553.6437,9329598.74
"LPC(20:1)",14853315.716,8673534.166,14040499.765,19599809.528,9737483.914,19457646.224,10959929.471,21605213.627,13148227.574,8777878.429,11789485.782,16856739.795
"LPC(20:3)",1312410.633,3444089.492,3826492.708,9657205.77,4327025.408,9412542.283,4040032.153,8042640.712,5090691.748,3359647.522,5213468.967,5889281.093
"LPC(20:4)",22800000,16200000,24700000,42700000,18600000,46900000,21600000,39200000,28700000,21600000,38600000,38100000
"LPC(20:5)",1448935.512,1397053.967,2253985.359,7260174.128,2019554.761,5342064.976,2961157.718,5199478.319,NA,1690269.26,3874084.494,3890177.647
"LPC(22:0)",21700000,1475201.96,6529739.978,3986901.904,2169977.741,3986900.603,1917128.223,11100000,2934388.366,1218289.838,2976792.238,3009190.958
"LPC(22:1)",4454805.026,2177717.086,4408972.899,6513600.944,2956577.538,10500000,5514386.737,10900000,4717559.334,2085525.601,3942884.956,4327354.528
"LPC(22:5)",2774369.803,8601664.357,1190663.938,25600000,10400000,22700000,4807173.428,2886739.889,15100000,7458011.732,16600000,17900000
"LPC(22:6)",4902186.712,7629013.119,1110321.799,21700000,10800000,20700000,9952216.3,17600000,11600000,8388315.704,12600000,14200000
"LPC(24:0)",25456.665,73890.7227,115302.583,6895398.982,NA,66549.3117,106886.083,32948.703,87327.679,34636.243,2072119.825,33147.223
"LPC(24:1)",1547213.741,274432.681,2220872.487,2315267.205,847756.157,526214.895,1147123.61,666337.9251,321279.2775,186894.369,356439.6507,2859927.489
"LPC(28:0)",23600000,14800000,22300000,41900000,16500000,40100000,25400000,35600000,30100000,16700000,27900000,32700000
"LPC(28:1)",5017172.86,1182092.526,2134919.242,1835393.262,667961.074,1817067.19,1330116.468,2518546.347,1217708.588,853966.775,1686450.895,2135217.022
"LPC(32:1)",21500000,18500000,31100000,43100000,16300000,33700000,19500000,33800000,19300000,2.3e+07,42100000,39600000
"LPC(34:1)",74700000,60600000,1.24e+08,1.31e+08,5.4e+07,1.11e+08,69200000,1.16e+08,77400000,63100000,1.33e+08,1.65e+08
"LPE(16:0)",6045390.745,3806722.206,7289170.34,11900000,5100960.073,9681520.972,6359496.954,10200000,8976036.394,3905788.379,6937611.349,7480065.899
"LPE(16:1)",1744984.123,3314493.505,3794483.105,2155747.241,1746615.031,2694601.857,2965521.393,1540562.411,3176506.86,1969820.549,3262482.585,1808884.395
"LPE(18:0)",30900000,5075462.623,13900000,14100000,7348037.652,11800000,7539809.474,13900000,9553315.549,5470031.912,9193809.953,10500000
"LPE(18:1)",20400000,17300000,30300000,57300000,27400000,60700000,35300000,61100000,42200000,20500000,3.5e+07,38900000
"LPE(20:3)",3714.1548,938877.99,1223416.306,128852.3619,453137.4,792819.948,1505993.774,433455.444,1225845.075,729804.044,1390814.657,923454.873
"LPE(20:4)",1.7e+07,35400000,40800000,21200000,17500000,29700000,45900000,18200000,38200000,2.2e+07,41700000,28300000
"LPE(20:5)",1400551.999,2927832.743,3314195.851,1528026.517,1340332.099,2262937.618,4559733.894,1608246.827,4456356.95,2155844.31,4426966.029,2856781.085
"LPE(22:4)",4442302.269,3777701.69,6613896.389,9982764.377,3901541.518,10400000,5158985.867,10400000,7282282.7,3471785.116,7324499.184,8123547.151
"LPE(22:5)",17500000,14200000,25200000,36600000,1.6e+07,38500000,21800000,4.5e+07,25400000,13200000,31100000,31900000
"LPE(22:6)",6145012.201,13300000,14400000,8323001.832,6495197.689,11300000,11500000,5157927.838,10800000,6336581.499,10100000,6531470.117
"LPG(16:0)",19704.449,14874.427,3595.4055,2130380.903,15117.231,25966.0992,14657.421,8587.7952,83681.5875,58286.7567,655687.244,28041.0996
"LPG(18:1)",26659.7568,1128754.562,950915.62,3920391.75,626886.366,892420.724,1218185.303,1130931.295,1602483.492,2102850.126,2243391.468,1664339.473
"LPI(18:0)",NA,NA,NA,1396112.051,NA,NA,NA,NA,NA,NA,6796.497,NA
"MG(18:0)",8873594.144,1045044.923,7509021.918,1601736.958,700567.759,3444438.105,7395530.515,3882995.462,2444011.209,1533616.955,1385394.083,1400410.635
"MG(18:3)",100045.02,1362702.67,62134.7313,390572.354,178419.1683,80300000,54547.8909,13200000,52691.7882,75305.4525,392274.3825,377582.5713
"PA(38:5)",4.23e+08,4.29e+08,6.2e+08,6.65e+08,3.61e+08,6.58e+08,4.24e+08,6.7e+08,4.79e+08,4.22e+08,7.2e+08,7.37e+08
"PC(16:0)",3499637.716,3472064.237,2366189.826,12600000,9844218.603,6905911.37,4834314.999,3656314.911,9689881.153,4212727.43,9433209.657,11500000
"PC(18:0)",34700000,71037.7656,1064645.899,NA,20920.484,50939.618,98472.791,342412.8378,40794.9669,NA,NA,NA
"PC(18:1)",61300000,41247.585,542420.781,NA,NA,NA,NA,3461102.94,NA,NA,NA,NA
"PC(20:0)",15600000,813985.551,6074039.476,NA,NA,NA,1469210.449,2529441.392,92751.517,NA,14415.0552,NA
"PC(20:1)",3211060.699,3019896.303,3544172.363,21200000,10900000,24300000,10500000,24200000,16700000,4496846.142,5804095.737,6265349.896
"PC(24:0)",28200000,2949797.342,10400000,203813.903,45304.717,70026.684,4408081.053,9186492.145,1644611.635,131217.777,552502.266,38600.692
"PC(24:1)",3.2e+07,706100.023,3269257.801,NA,NA,39295.504,322778.873,6922243.122,752270.233,NA,NA,7313.353
"PC(26:0)",4805040.251,761765.898,2990159.191,NA,11261.0082,167140.327,562744.048,2320480.37,188870.942,NA,30898.195,15021.2946
"PC(26:1)",414044.7552,38797.974,272987.931,9237.9,73492.905,NA,NA,254618.205,125335.545,NA,NA,NA
"PC(28:0)",51100000,2.7e+07,4.1e+07,5.8e+07,25488841.76,61200000,39200000,62600000,42700000,27400000,48600000,55900000
"PC(30:0)",1128018470.849,813200000,1236800000,1211200000,588300957.566,1280500000,856200000,1301990629.323,842600000,724900000,1297900000,1449300000
"PC(30:1)",140217171.8832,126056858.7874,192710374.9205,210458345.9018,103347187.1275,259093739.6507,146143439.7014,242619936.8781,150191747.844,108935419.147,186393007.071,216519865.8698
"PC(32:0)",6004300000,4944800000,6731500000,6663800000,3851100000,7353700000,4811200000,6448700000,4.814e+09,4764700000,7325300000,7586700000
"PC(32:1)",3120277684.227,2865442176.3537,4486021374.8894,4225065466.0201,2180319636.7227,5115542287.2428,2967838980.801,4953532995.3508,2891464255.417,2354786780.861,4280189574.349,5126915092.7587
"PC(32:2)",87990878.762,78842761.155,116903162.64,172366129.832,80027561.721,331800000,1.73e+08,344932290.969,133700000,112996584.912,197347614.425,131897584.53
"PC(32:3)",863066.805,771569.956,1094119.371,6608141.812,5801541.611,12300000,5854719.359,4458025.161,7599549.027,176366.157,848045.181,1764636.093
"PC(32:4)",6153177.151,2952878.411,4549150.958,5348176.262,2432700.768,9452830.581,4257275.007,8357282.183,4361945.514,2703533.196,3879147.279,5549623.206
"PC(34:0)",324802615.6,456200000.238,532676735.377,481600000,314740965.103,465214635.6675,363787021.601,374913235.306,476223215.748,272738122.154,485700000,374600000
"PC(34:1)",21039700000,19656600000,2.5057e+10,2.6432e+10,1.6726e+10,2.8049e+10,20231200000,2.6735e+10,21472400000,18404100000,2.586e+10,2.8044e+10
"PC(34:2)",6.163e+09,5.838e+09,7.116e+09,5.694e+09,4.356e+09,1.1227e+10,6.743e+09,9678600000,6.704e+09,5.331e+09,8.764e+09,9.46e+09
"PC(34:3)",2.3e+08,200300000,266300000,473500000,214100000,392800000,267800000,424300000,351200000,213900000,288800000,305200000
"PC(34:4)",58600000,50100000,74300000,133500000,65172916.442,162200000,87300000,168300000,9.4e+07,45100000,77600000,89300000
"PC(34:5)",17271324.893,11766297.929,17482776.154,17730385.383,7630625.832,26900000,14764871.857,31300000,15843757.557,8513031.541,13520083.561,14806802.078
"PC(34:6)",2.7e+07,31500000,54100000,43400000,16700000,37600000,30200000,4.5e+07,2.5e+07,33700000,43800000,50500000
"PC(36:0)",103090743.448,66600000,97745503.018,1.13e+08,37400000,160100000,60885478.25,160200000,64600000,73300000,130033137.966,136301379.053
"PC(36:1)",4510519876.13,3500100000,5550100000,6105733239.785,3066365789.125,7934900000,4017800000,8199963246.378,4281500000,3364076837.924,5.879e+09,6238646161.243
"PC(36:2)",5235861270.0102,7335701258.6983,8584434304.8606,6129420461.0521,5497844245.0075,7804685202.968,6886617443.63,5197572406.6125,7069039112.749,5291190455.48,7282800000,6159371232.036
"PC(36:3)",2862800000,3135200000,5048800000,4627100000,2151878628.2047,5217500000,3050100000,5093200000,3060400000,2635700000,5203100000,5877900000
"PC(36:4)",1902149801.468,1850257270.952,2376393487.205,2272459071.348,1433826769.1861,2791200000,1680787667.9818,2.738e+09,1885251580.529,1695077533.484,2364985068.405,2503866988.677
"PC(36:5)",789600000,680800000,895400000,919100000,588700000,1169116237.73,720526249.895,1131900000,718200000,753300000,877700000,892200000
"PC(36:6)",1675842807.757,1462755299.522,1852400000,2031500000,1261135085.726,2488778148.15,1457800000,2822063478.465,1528100000,1849729163.398,1804500000,1959500000
"PC(36:7)",5573010.939,3009730.556,6182416.115,7619021.528,3285164.604,10700022.161,5765210.843,10794071.53,5467987.151,2041065.065,3328763.28,4968043.831
"PC(38:0)",1650675.48,1216413.061,1876588.653,6003695.783,2514529.368,8249382.997,3723992.268,9022399.473,4462743.161,963120.404,2456449.972,3397576.15
"PC(38:1)",87819412.77,89451599.196,120287980.292,262077523.9474,32957339.938,412227960.824,58310554.907,318896956.7598,163702674.4193,134941744.8823,173885612.2888,123374506.7137
"PC(38:2)",1.51e+09,1177600000,2.341e+09,2148300000,882400000,3.401e+09,1325900000,3466700000,1149700000,1198900000,2529700000,2961800000
"PC(38:3)",419802021.196,443033405.887,706920594.506,826573019.645,357832779.6,942498983.547,548603577.117,963682623.291,567372237.337,392964349.59,766613195.371,828499841.818
"PC(38:4)",1115600000,1112800000,1.59e+09,1498300000,758200000,1739400000,1072600000,1835300000,1.285e+09,1083500000,1829600000,1.868e+09
"PC(38:5)",2453100000,2227500000,3459847232.37,4105100000,1906300000,5156900000,2798400000,6019600000,3159500000,1948600000,3603400000,4010500000
"PC(38:6)",679182585.963,6.55e+08,981800000,825969438.019,367844902.433,1203722590.499,659069384.65,1302042985.765,670355961.185,537870047.862,1002899696.732,1025355195.418
"PC(38:7)",269600000,285400000,441700000,255200000,104600000,299700000,185700000,343614490.441,167600000,215244361.248,392300000,443344897.413
"PC(38:8)",2246120.681,2401087.374,4009230.824,7012841.493,2840785.48,6805517.245,4363962.064,5650627.018,5238254.807,2220220.611,3754476.846,4500879.673
"PC(40:1)",1278427.382,27400000,47100000,39900000,14100000,26300000,18500000,17100000,2.5e+07,1677944.861,1533678.12,6281853.578
"PC(40:10)",19800000,NA,1824197.658,NA,NA,NA,180664.06,811479.4635,NA,NA,NA,NA
"PC(40:2)",277617630.942,246401421.24,398254482.408,4.84e+08,195548996.478,759577711.158,304812881.712,740418907.458,293033766.389,241026281.774,505815730.361,544630130.754
"PC(40:3)",30200000,27600000,52200000,69500000,2.3e+07,85700000,42500000,97100000,36200000,21200000,48400000,59100000
"PC(40:4)",76660371.203,7.9e+07,110300000,147429481.799,67069906.193,211900000,90800000,212993515.945,111900000,72259034.543,144800000,145286605.261
"PC(40:5)",453900000,426800000,695400000,1225400000,472360344.443,1473600000,747400000,1570800000,8.14e+08,463700000,850700000,899400000
"PC(40:6)",484200000,507400000,760500000,1098600000,579700000,1614200000,896400000,1645700000,946700000,453300000,837800000,770700000
"PC(40:7)",650600000,543400000,898900000,2055900000,836200000,2479400000,1210200000,2620400000,1249700000,488400000,938500000,1.111e+09
"PC(40:8)",128500000,116500000,198800000,155100000,62200000,211700000,110800000,224800000,98700000,106400000,1.86e+08,237100000
"PC(40:9)",1121895.564,762072.436,1218570.029,5799421.942,2564368.967,8707086.453,3625282.729,9142321.206,3980076.381,710559.581,1056917.466,1475674.65
"PC(42:10)",15300000,11100000,1.8e+07,47700000,24200000,68800000,3.5e+07,69500000,3.6e+07,10700000,18200000,19400000
"PC(42:11)",626602.456,690326.067,782717.074,4780147.257,2570119.39,8577560.535,3820953.803,9038232.691,4839596.598,527179.124,782941.841,1458659.76
"PC(42:2)",72800000,112800000,158800000,76900000,41700000,78700000,49200000,57986866.874,51800000,89608965.152,1.63e+08,191320461.434
"PC(42:3)",8038663.412,15800000,25500000,21900000,5955568.484,30600000,16700000,33400000,3754542.149,9024957.439,12500000,26300000
"PC(42:4)",33904529.851,31828874.848,56300000,60300000,31100000,84900000,39100000,1.02e+08,43600000,32064024.951,61300000,62600368.742
"PC(42:5)",71300000,61300000,1.07e+08,281400000,123100000,409300000,171900000,442800000,161538078.271,58300000,113400000,137100000
"PC(42:6)",168717608.246,153302573.596,2.52e+08,585600000,280400000,734900000,355600000,774600000,353100000,141351543.891,269400000,325600000
"PC(42:7)",25700000,21159988.608,3.4e+07,30648498.597,10480377.223,41200000,17842281.895,45400000,16457767.895,18105934.959,38600000,45300000
"PC(42:8)",NA,260610.198,993632.2071,971485.5414,720302.4228,1710540.343,180279.5112,1761841.515,510127.3092,85004.5824,594980.196,85279.245
"PC(42:9)",6832452.743,5163916.18,9203474.934,24600000,6948969.547,40500000,12200000,46400000,16800000,5386866.416,11500000,11800000
"PC(44:10)",1368686.276,884539.225,1507861.18,7334600.85,2222231.383,7716156.295,3307569.153,9183040.703,3635476.731,914068.283,1943544.639,2232258.652
"PC(44:11)",3742431.711,2604714.059,3835293.843,9304080.597,4477974.506,15300000,7321192.79,14400000,5996593.941,2311775.666,4875884.683,5259929.487
"PC(44:12)",1832794.325,1679858.787,3025757.482,5241603.007,2336747.167,8089039.446,4082360.589,7533305.439,3238152.165,1721285.139,2521464.387,3256565.857
"PC(44:4)",486695.218,1444982.626,1775154.774,10100000,4023900.054,10900000,6141664.021,8764935.564,2712996.367,1023837.867,1502307.042,3481420.69
"PC(44:5)",7230672.966,6086707.185,9127732.731,33700000,14900000,50900000,21100000,62300000,21500000,5134010.897,9349541.429,10900000
"PC(44:6)",19152380.867,18088808.031,2.9e+07,4.5e+07,16898747.904,59200000,26873044.183,57386203.433,22696157.381,15346315.117,30200000,38300000
"PC(44:8)",544097.477,1805136.504,2651992.346,13200000,5714528.294,21100000,8034021.948,24800000,8420187.529,2131238.11,3677301.304,3891434.014
"PC(44:9)",38100000,28700000,53400000,1.37e+08,53300000,1.34e+08,78300000,1e+08,86200000,2.6e+07,5.9e+07,68800000
"PE(20:3)",12400000,8272440.584,13300000,1.8e+07,7618751.433,13500000,7031664.711,12800000,8284058.581,9859494.477,19900000,2.3e+07
"PE(30:0)",3220874.538,4677647.64,4643529.322,2593221.748,2751835.968,4799853.063,4260377.043,2153497.881,3020509.595,2248907.94,3117614.246,2575358.054
"PE(32:0)",71739499.414,58527936.648,84167707.896,108094392.833,57876957.777,90576424.617,64167167.647,98057532.027,63794798.182,71496940.011,99923988.517,112752865.511
"PE(32:1)",83666777.581,47969701.564,121433447.27,83476156.766,51127804.98,131532076.174,96114424.956,115073986.245,63798306.822,85029914.261,122039941.8725,86854469.971
"PE(32:2)",12266522.896,15390250.398,19723737.566,9589824.82,11818440.551,25300000,16569072.213,22037827.3902,15502644.86,11496052.621,18774785.308,16931925.846
"PE(34:0)",44821514.709,45253993.806,62988824.557,75556894.121,43259609.824,71599046.652,47838675.152,68095859.424,52187368.516,56280704.387,73230372.401,83499988.511
"PE(34:1)",814444510.5688,916727580.015,1248700000,1470328866.781,652302465.417,1498872000.048,877844844.051,1491886362.393,924448445.551,900188495.625,1335534683.72,1661766204.262
"PE(34:2)",241362872.018,264528308.81,290726479.696,297993210.113,187766787.642,373600958.811,298279896.996,302387888.377,266358129.372,241839315.859,375223989.513,362182117.889
"PE(34:3)",10352297.659,12406532.611,16928306.852,12659894.365,7381858.972,18367154.256,13405106.687,14615699.809,14440671.85,10537006.714,14568519.359,14556544.839
"PE(34:4)",606152.084,575841.288,860110.153,2765311.582,1242985.238,3850207.672,1134836.353,3931809.901,1376286.102,534266.396,1172638.321,942610.712
"PE(34:5)",2001669.911,3617572.657,3696295.056,3099096.072,2470155.272,4119770.682,3662759.661,1551626.183,3924563.07,3041224.374,5028521.835,2435416.895
"PE(36:0)",18018221.617,16417413.823,24708664.083,26134661.037,12033995.492,28064072.917,15822537.018,33759142.831,17905421.179,16299577.931,27921823.76,31308504.705
"PE(36:1)",1044288417.521,995571464.754,1486548184.842,1602685401.519,747945962.677,2011630096.749,922752836.172,2131171180.427,1040048104.985,1029167803.392,1628907570.179,1911913549.215
