"subclass","COS7OA_1","COS7OA_2","COS7OA_3","COSOADGAT2i_1","COSOADGAT2i_2","COSOADGAT2i_3"
"PC(14:1)",194100000,142300000,232700000,166400000,290500000,292200000
"PC(15:0)",1360352971.312,1898975485.654,2143100000,1432753005.8705,1977850000,1691300000
"PC(16:0)",3619622472.533,4913574437.20435,5809491141.78235,3282594478.58315,4383723918.5079,4152064370.05265
"PC(16:1)",574710500.464,915037500.24235,1102190757.31035,627048899.3945,898244635.5405,693601048.2305
"PC(17:0)",131200000,1.26e+08,173500000,107250000,186500000,188500000
"PC(17:1)",8.4e+07,9e+07,1.32e+08,9.3e+07,151500000,1.69e+08
"PC(18:0)",978284838.799,1106678635.476,1516796743.6025,868044634.6775,1478392534.2025,1353327645.913
"PC(18:1)",9028326406.0275,12538295061.6355,14691316573.9956,9414759876.43075,13228074035.1755,11145323084.503
"PC(18:2)",952050000,1413900000,1667650000,880600000,1083700000,958350000
"PC(18:3)",288600000,301250000,294400000,296550000,2.51e+08,260650000
"PC(18:4)",7074900.734,10078635.476,15896743.6025,9588766.742,16942534.2025,17733494.3385
"PC(19:0)",9200000,418157.2818,2316910.5745,7900000,2957249.435,167060.38875
"PC(19:1)",90702971.312,69825485.654,125550000,74536047.606,143550000,150750000
"PC(20:0)",35830185.6015,29050000,44500000,25279517.2715,52400000,50943302.6305
"PC(20:1)",740900000,590350000,1.141e+09,583082551.0265,1225550000,1438428929.047
"PC(20:2)",415250000,375050000,575950000,302500000,540150000,616450000
"PC(20:3)",65950000,99400000,120500000,90700000,149050000,120350000
"PC(20:4)",359988989.7245,494601286.798,551723616.185,358355289.217,585600000,429593302.6305
"PC(20:5)",9813737.7345,1.9e+07,20600000,26200000,4.1e+07,30250000
"PC(21:1)",15250000,16350000,25950000,21800000,33600000,40550000
"PC(22:1)",1168521.856,2176510.218,2121231.35,734013.32815,1600671.3249,602318.73385
"PC(22:2)",3208804.123,4401286.798,5850000,3525771.9455,5800000,7900000
"PC(22:3)",551010.598,692408.127,711314.7305,466220.5935,570876.0915,516452.7735
"PC(22:4)",34450000,38950000,56150000,58100000,88950000,74500000
"PC(22:5)",246077555.247,262050000,373950000,278385023.931,454099848.366,478377597.709
"PC(22:6)",38450000,49150000,66050000,31755737.901,63100000,59672448.7065
"PC(24:1)",6950000,12600000,12900000,2954482.576,5e+06,2660230.717
"PC(26:1)",19550000,20350000,21050000,14250000,32250000,27350000
"PC(8:0)",11800000,7400000,11150000,8350000,13950000,16350000
"PE(14:0)",13337592.933,7748444.818,27701819.7375,12181260.97,29045126.2835,14858984.383
"PE(14:1)",3610016.7815,5392328.2175,5560016.311,3928964.6955,6801653.5715,4083671.3705
"PE(15:0)",6561324.705,10296646.093,10798314.2575,5720816.661,7596436.1625,6815713.428
"PE(16:0)",1279221592.4445,1263241841.47,1856204156.4295,1212801031.774,1953726776.6375,2231584700.618
"PE(16:1)",352099069.9655,476035482.7655,551733167.6895,364534239.2935,521345883.233,375115764.13525
"PE(16:2)",1112909.1775,1755092.559,1955972.3875,1652865.618,2719589.1315,1557833.1585
"PE(17:0)",69833508.6335,70431383.1015,102147423.062,69499136.2225,112325326.422,123690889.71
"PE(17:1)",12750000,12750000,19750000,12050000,20500000,25550000
"PE(18:0)",1468998300.9145,1382508903.5555,2037858390.08715,1385723329.8645,2245764365.8535,2558882318.9315
"PE(18:1)",5047412830.41035,5236204593.409,7900597171.5,4906870703.21465,8352718774.84945,9424699977.6059
"PE(18:2)",429914469.1625,647379170.0337,746359977.87265,413281781.068,604366968.5465,378292169.215
"PE(18:3)",766836.5055,1050679.734,1152182.0995,519590.96,513619.1915,477007.07355
"PE(19:0)",8782537.9695,12950000,16100000,7345215.379,10294428.8595,7893973.918
"PE(19:1)",8800000,8400000,15100000,9450000,13900000,18300000
"PE(20:0)",39708847.3865,52526464.7285,50822410.65,29667015.5465,47481383.5095,50085938.07
"PE(20:1)",124581626.2385,142629524.2945,200117104.5545,138353049.9735,224784463.6775,219465901.6865
"PE(20:2)",2.28e+08,2.42e+08,360500000,2.35e+08,4.03e+08,455500000
"PE(20:3)",214480043.97545,215531083.04735,329015304.5066,188096537.12145,325572763.78855,359314537.06215
"PE(20:4)",1940350831.0095,2104799459.04115,2926627704.16165,1841782503.525,3041374241.0875,3028048292.3895
"PE(20:5)",73955138.113,102263005.4375,126450000,83367234.7105,126250000,95334977.4075
"PE(21:0)",265147.79535,530678.1605,467867.654,230111.502,143331.9513,286939.0315
"PE(21:1)",1523647.0925,2404683.2695,3465763.1785,1142078.2495,1532468.182,1052721.9485
"PE(22:0)",1829511.5345,2777042.6115,3416422.82,1171451.41965,2557713.18365,1257303.52485
"PE(22:1)",52574987.2736,53910433.724,75191446.074,54722911.6851,80037005.36705,96721158.30665
"PE(22:2)",7e+06,7350000,12850000,7650000,14400000,15500000
"PE(22:3)",14661514.7035,20544868.7905,29238222.5665,16875470.735,26136738.7105,17828685.1935
"PE(22:4)",166251156.731,194688492.9325,257754909.573,153972725.951,246682670.648,247753108.044
"PE(22:5)",677162914.46535,748471326.2077,1065015313.34195,635295080.13035,1080323507.469,1118713981.11575
"PE(22:6)",615378394.209,668359493.0915,959872965.261,539459790.627,875594778.379,911781238.706
"PE(23:1)",638938.578,995246.1935,1279913.4095,376859.638,664528.2795,364212.3785
"PE(24:0)",4855793.1875,5983404.2865,8863740.163,7359483.005,11977110.588,12531843.522
"PE(24:1)",13440117.8,18678767.2585,21660972.772,3599864.465,5245903.707,3627375.284
"PE(24:2)",2315649.7105,4473401.9115,4217064.337,1599974.828,2167294.8975,2401782.317
"PE(26:1)",1155521.86,1622172.2855,1877504.4055,287284.634,240010.8885,394742.2385
"PG(14:0)",3465183.73,5809201.019,7604740.057,4110580.8535,7604389.0475,7245078.6365
"PG(15:0)",2298538.774,2932915.313,3580361.446,2379822.7745,3481497.959,2940915.2125
"PG(16:0)",93436616.8015,135504463.13725,183301102.06855,91289417.5886,113155455.85555,103945478.862
"PG(16:1)",1012610.565,2269300.95675,3222110.05255,1412206.2281,2145410.96305,1744519.7245
"PG(17:0)",821925.561,1080460.4965,1950879.1725,772386.4695,888846.0515,NA
"PG(17:1)",139766.6665,537843.834,676386.661,22889.59395,75337.54035,11313.5645
"PG(18:0)",12929246.0075,20667151.59,22127712.6355,8312516.631,12653196.519,8918354.0415
"PG(18:1)",251997300.9785,370474319.759,469766166.229,215769006.4949,306864990.08965,223835050.4535
"PG(18:2)",4723677.23905,7756439.9005,10514814.8845,3244432.3677,5279446.644,4379011.5154
"PG(20:1)",865729.9695,1514957.201,1776438.277,485381.57745,223518.7953,673699.4765
"PG(20:2)",116016.2225,488269.429,675897.4475,605351.3625,1038525.57,471931.466
"PG(20:3)",3477840.49375,5706589.2655,7192651.2089,3375817.33175,7463323.262,4433562.9543
"PG(20:4)",15906469.16575,16235842.2405,19554662.1801,13268377.5896,23973557.05,28065361.0568
"PG(20:5)",1408158.065,2571814.281,3104500.5477,3052555.5385,5250491.4175,3373287.835
"PG(22:4)",2606595.5825,3919859.808,6654125.736,6832762.22585,12170208.8595,6927958.332
"PG(22:5)",5511428.32955,4863301.318,8446592.2315,5648836.9777,9810347.309,10456702.2284
"PG(22:6)",46484074.939,78991915.7125,102917147.306,115661339.1025,321524603.1735,86610998.851
"PI(12:0)",255702.7035,518705.9705,121326.29955,173702.71305,44354.2479,645954.295
"PI(15:0)",399771.0115,780005.473,726101.891,21175.4676,23480.5992,386390.4
"PI(16:0)",3122766.355,3627498.966,6746520.006,2768391.643,2165933.6215,3829394.4315
"PI(16:1)",302624.529,413036.1955,772603.0395,160856.421,95503.15665,194983.8355
"PI(17:0)",1152835.297,1440638.1615,3472002.0535,1440644.975,698549.3095,1271973.562
"PI(18:0)",76345501.498,87705171.5515,133796189.5605,49122617.7295,41357674.1395,57620472.207
"PI(18:1)",51532713.1359,63140996.2057,98272524.7465,67065183.0446,68497588.3417,87025317.323
"PI(18:2)",5757554.714,7181226.539,8429465.544,8893892.739,13114802.529,10997511.575
"PI(20:0)",218269.002,294131.4235,369992.43045,266580.4425,59841.345,286392.6539
"PI(20:1)",881443.2225,1733491.1015,1933591.7285,1971673.766,1719878.7505,3454023.1265
"PI(20:3)",2343052.4999,3125308.0336,3880351.46005,1534257.38825,560713.0199,2202629.0777
"PI(20:4)",62693804.7975,77757798.736,119045054.07545,71347826.112,65718800.4405,88788314.0255
"PI(20:5)",12387009.1945,14045566.8335,13504829.582,14322092.595,15466722.889,13474647.99
"PI(22:4)",504667.096,386629.1256,1014605.05,574878.6915,408748.82955,742733.2955
"PI(22:5)",4029558.722,4945599.4025,7478835.146,3574310.51,3657105.5845,4641343.577
"PI(22:6)",3128170.4915,5979290.866,5550422.014,6136046.7945,6329380.1265,8578238.7395
"PS(18:0)",170309.4045,390554.799,245546.723,14201.2419,12412.348,197100.71
"PS(18:1)",1284073.1458,881892.34935,6944779.71475,210231.8168,629521.8699,533464.13355
"PS(22:4)",1442232.038,1054895.126,1871731.301,1082552.536,1509542.803,2442940.218
"PS(22:5)",81266.9735,88998.2415,104691.436,61086.8225,60136.6653,80956.77945
"PS(22:6)",57312.0873,152266.07535,496057.71375,NA,NA,NA
"PS(4:0)",170309.4045,390554.799,245546.723,14201.2419,12412.348,197100.71
"SM(15:1)",6564131.314,5806526.423,8477783.293,4586505.305,9724387.758,11200000
"SM(16:0)",7.01e+09,5.1e+09,8.35e+09,4.72e+09,9.1e+09,1.11e+10
"SM(24:1)",2651800000,3352100000,4943600000,2456300000,5645700000,6708600000
"SM(d16:0)",6564131.314,5806526.423,8477783.293,4586505.305,9724387.758,11200000
"SM(d18:1)",9.57e+09,8.34e+09,1.314e+10,7.06e+09,1.457e+10,1.758e+10
"SM(d19:1)",42800000,64900000,92200000,66800000,1.04e+08,1.44e+08
"SM(d20:1)",4.9e+07,47200000,61400000,49500000,71700000,84600000
"SPH(d16:1)",35500000,21800000,18600000,12900000,14300000,9543792.827
"SPH(d18:0)",12700000,8775022.337,10900000,8621897.063,1.3e+07,13400000
"SPH(d18:1)",14800000,9209775.627,7724662.154,4554238.18,6271872.443,2964372.931
"SPH(d20:1)",16300000,14500000,11400000,6579382.542,9569489.326,8584293.844
"SPH(d20:2)",1229071.48,1000855.954,1114154.665,924336.209,21372.294,830148.949
"SPH(d22:0)",3.6e+08,1.97e+08,2.51e+08,2.48e+08,4.45e+08,2.18e+08
"SPH(d22:2)",7291124.31,4246903.196,6031221.842,6239897.46,7187466.643,5465378.934
"SPH(d24:0)",4973213.785,717796.517,1073404.488,521941.7,791909.556,622932.642
"SPH(t16:0)",4.15e+08,2.91e+08,4.47e+08,5.25e+08,6.74e+08,6.75e+08
"SPH(t17:0)",6432379.382,5227995.22,6719598.508,9622113.289,10700000,11100000
"SPH(t18:0)",1.51e+08,91100000,1.7e+08,1.94e+08,2.46e+08,2.27e+08
"SPH(t20:0)",77300000,49900000,78700000,94100000,1.18e+08,1.04e+08
"SPH(t20:1)",351147.204,59209.562,22440.075,139392.7419,45136.596,134405.876
"TG(10:0)",26150384.1796667,17910280.4855,28772928.2493333,19597827.4291667,27634507.325,34359285.5100333
"TG(10:1)",37749535.967,1516052.24033333,3229249.62323333,1928559.237,3274230.351,5056682.95766667
"TG(10:4)",87611.2233333333,133507.527666667,274394.351666667,200127.379,168464.391666667,294458.684
"TG(11:4)",10717.0266,230512.916,33482.905,37531.0742,30676.625,488754.093333333
"TG(12:0)",80112185.493,29937583.2810667,40732485.8579333,37401633.358,35376044.9473333,34566651.7013667
"TG(12:2)",4366666.66666667,11996.4,38606.0976666667,0.206666666666667,NA,NA
"TG(13:0)",1882869.30033333,1516052.03566667,2849610.76233333,1928559.231,3259713.406,5033333.33333333
"TG(14:0)",1721667298.48733,981805466.126133,1294513350.52567,1041447527.64833,1364649137.25633,1600057694.88223
"TG(14:1)",4466666.66666667,0.102333333333333,46428.5886666667,NA,NA,NA
"TG(14:2)",15066666.6666667,20200000,24366666.6666667,18133333.3333333,28833333.3333333,3.7e+07
"TG(15:0)",418933333.333333,320009774.511433,429595773.826,355173477.791667,464423745.842,538831553.543333
"TG(16:0)",6641736299.58533,3250467942.68297,3995153269.13547,3410573491.03127,4550307755.21313,5311435070.32273
"TG(16:1)",2606739097.10367,2505462294.64097,3418678540.32807,2736844312.17233,3841816068.97647,4545840991.447
"TG(16:2)",98328.2499333333,364020.443666667,307877.256666667,237658.4532,199141.016666667,783212.777333333
"TG(17:0)",223850204.042667,206202299.917333,281021363.654333,223323633.182,328910556.256,398984573.036
"TG(17:1)",612742729.436667,675180012.195,883133333.333333,683348038.143333,1032533333.33333,1201766666.66667
"TG(18:0)",2276322340.01333,1918617891.22967,2418732464.85903,1965501369.0368,2805126459.96233,3370976312.66533
"TG(18:1)",87070285541.5959,88248234645.1953,111571072915.351,92664520893.0776,128743243613.593,140532569613.397
"TG(18:2)",2877117288.70727,3220161526.32317,4353381103.995,3380913144.2508,4477806342.14673,5658063106.17833
"TG(18:3)",188452293.790667,126037529.972667,195109295.6566,162829161.9913,220275880.639933,248507217.387567
"TG(19:0)",51400000,45193247.1173333,65173825.4,50219264.935,86979093.7953333,96024514.7302
"TG(19:1)",433476551.666,479300000,653568353.284,518428181.706667,797800000,933666666.666667
"TG(20:0)",44333333.3333333,57666666.6666667,77666666.6666667,6.7e+07,94666666.6666667,102333333.333333
"TG(20:1)",2210833994.854,2510803243.59933,3400366666.66667,2798391494.74,4045666666.66667,4553916065.176
"TG(20:2)",380333333.333333,444666666.666667,5.55e+08,4.5e+08,622666666.666667,666333333.333333
"TG(20:3)",1952410526.745,2143943190.95533,3103120055.48767,2855068245.76933,3901633017.44933,4179733973.34953
"TG(20:4)",3896307921.66467,3960768281.59567,5046233333.33333,4429033667.70917,6006100000,6477029870.27233
"TG(20:5)",797366666.666667,978400000,1375066666.66667,1133500000,1609300000,1858300000
"TG(21:1)",79766666.6666667,93500000,139366666.666667,104266666.666667,162666666.666667,198366666.666667
"TG(22:0)",9226818.954,26407361.341,19519191.4522667,5630158.699,18970982.2941667,52066666.6666667
"TG(22:1)",1236333333.33333,1340113949.233,2064405029.43167,1.427e+09,2489293699.06933,2910666666.66667
"TG(22:2)",185100000,199066666.666667,271033333.333333,210100000,326400000,374633333.333333
"TG(22:3)",381233333.333333,546700005.742,738458614.65,610333333.333333,9.21e+08,816333333.333333
"TG(22:4)",2682139677.29767,2803935280.33813,3709952612.42533,3189418107.87367,4757537732.83833,5232254513.01623
"TG(22:5)",3959433333.33333,4437333333.33333,5812766666.66667,5063100000,7030866666.66667,7763166666.66667
"TG(22:6)",1232012488.9441,1456138493.785,2049489105.16833,1642203073.66933,2527201434.87667,2598810716.533
"TG(23:0)",3217281.56866667,2254936.06733333,4166666.66666667,152296.2325,11866666.6666667,5833333.33333333
"TG(24:0)",21533333.3333333,24600000,30766666.6666667,9534799.43066667,28166666.6666667,36233333.3333333
"TG(24:1)",66848301.226,101113949.233,135471696.098333,65152867.3858333,149727032.402667,2.14e+08
"TG(24:2)",28166666.6666667,37366666.6666667,50300000,29011774.4893333,57433333.3333333,76600000
"TG(25:1)",1107036.02166667,5666666.66666667,6733333.33333333,725460.780333333,8e+06,14733333.3333333
"TG(26:1)",18987532.7463333,84066666.6666667,85333333.3333333,1096172.4412,83643896.0136667,160666666.666667
"TG(29:0)",NA,38936.511,0.336,NA,NA,NA
"TG(29:1)",1572551.77166667,7333333.33333333,8833333.33333333,42674.2636666667,10266666.6666667,17533333.3333333
"TG(30:0)",1046611.29033333,1195083.237,611443.819666667,216254.3725,530876.988333333,994717.726333333
"TG(4:0)",25057337.3833333,11373930.9395,17789336.9682333,14466125.9988,25259168.0933333,29290074.8015333
"TG(6:0)",56833333.3333333,530838.1119,1387244.38116667,464965.018466667,563863.770666667,336243.780166667
"TG(8:0)",70681330.881,32457978.5913333,24020735.7242333,12485186.4155333,19457317.9716667,18754099.2355
"TG(9:0)",153930289.190333,1756798.44346667,4749581.4942,343987.6463,842995.491833333,1949536.69466667
