"subclass","cos_1-2i-1","cos_1-2i-2","cos_1-2i-3","cos7_1","cos7_2","cos7_3"
"TG(18:1)",31611782.3333333,22005501.5333333,31117988.3666667,140567776.2,177445651.666667,168197940.933333
"TG(18:2)",776123.333333333,555360,787043.333333333,3150946.66666667,3918400,3937066.66666667
"TG(18:3)",347333.333333333,262133.333333333,319366.666666667,819666.666666667,987000,1048666.66666667
"TG(19:1)",145223.333333333,72396.6666666667,95388.6666666667,403233.333333333,553100,459330
"TG(20:0)",87600,68066.6666666667,104966.666666667,386666.666666667,502666.666666667,460333.333333333
"TG(20:1)",893756.666666667,623678,1063432,3988750,5623966.66666667,5136900
"TG(20:2)",325800,111886.666666667,188800,416000,1149133.33333333,497500
"TG(20:3)",590330,495056.666666667,569300,2157466.66666667,2967733.33333333,2656390
"TG(20:4)",1862483.66666667,1420030,2078462,7185740,9275890,9116830
"TG(20:5)",340678.333333333,271720,398640,1647803.33333333,2338433.33333333,2244133.33333333
"TG(21:1)",16253.3333333333,20176.6666666667,23173.3333333333,94800,84566.6666666667,69933.3333333333
"TG(21:2)",45733.3333333333,12770,46666.6666666667,33633.3333333333,37633.3333333333,53666.6666666667
"TG(22:1)",68700,18344.6666666667,70835.6666666667,282290,373353.333333333,395570
"TG(22:2)",71700,105833.333333333,85666.6666666667,175133.333333333,184366.666666667,208366.666666667
"TG(22:3)",379203.333333333,332266.666666667,497616.666666667,1033533.33333333,1600666.66666667,1109033.33333333
"TG(22:4)",768550,439256.666666667,800236.666666667,1872566.66666667,2221966.66666667,2245333.33333333
"TG(22:5)",2073012.66666667,875622,1211740.03333333,6309099.46666667,6852840,6477505.33333333
"TG(22:6)",1470019.33333333,939953.333333333,1550633.66666667,6807230,8839876.66666667,8601092.33333333
"TG(24:2)",22936.6666666667,16023.3333333333,30763.3333333333,16663.3333333333,85000,82066.6666666667
"TG(24:4)",256447.666666667,300933.333333333,434866.666666667,875533.333333333,870433.333333333,948733.333333333
"TG(24:5)",232233.333333333,166340,261100,417350,909133.333333333,400359
"TG(26:1)",53633.3333333333,36888.3333333333,56362.8333333333,206693.666666667,250839.333333333,205929
"TG(28:5)",71733.3333333333,67733.3333333333,9146.66666666667,102900,220266.666666667,127933.333333333
"TG(8:0)",1494.33333333333,NA,421.333333333333,15203.3333333333,17410,151.5
