"subclass","I1_0","I1_2","I1_7","I2_0","I2_2","I2_7","I3_0","I3_2","I3_7"
"SM(d17:1)",15796,6317,13644,2081,9181,24814,11673,10337,18127
"SM(d18:0)",34998,127906,770993,52119,142806,593284,75185,75114,902788
"SM(d18:1)",804164,1029564,4640918,587851,1176728,3786441,709096,848135,5759851
"SM(d18:2)",183742,337034,552956,166532,283192,239382,170471,208207,510737
"SM(d19:0)",862709,419779,629999,312765,883161,857546,369793,175077,832648
"SM(d19:2)",52810,10055,2174,4047,5950,5029,2172,1213,26478
"SM(d19:3)",59449,71659,201595,32881,69280,173936,38123,57465,212201
"SM(d20:3)",30637,9091,22283,11375,7983,8728,8669,3138,20622
"SM(d21:0)",124828,61792,59369,11107,73134,70173,41938,23339,134465
"SM(d21:1)",52559,63168,119693,24514,63975,87415,32918,42676,231436
"SM(d23:2)",109150,15338,61753,48093,67148,11269,44876,62841,68847
"SM(d23:3)",11669,1202,32048,18,1709,24151,615,1201,48469
"SM(d25:0)",15437,18066,80714,5768,17773,73221,10887,16956,128239
"SM(d27:1)",26774,62228,206262,25164,54321,190293,22009,42312,262533
"SM(d28:0)",3012,7969,10788,12364,6213,15833,16065,13651,13099
"TG(10:0)",1148565.66666667,2110662.66666667,2063016,1145508,1890687.33333333,1353367,1872920.33333333,1179227.66666667,1462835
"TG(11:0)",769475.333333333,1234226.66666667,925139,644669.333333333,1284628.66666667,1166021,1132384,1193368,780574.666666667
"TG(12:0)",1350072.66666667,2698829.33333333,2419618.66666667,1619891.33333333,2738814.66666667,1722939,2238443,2023662,1741362.66666667
"TG(13:0)",1099698.66666667,2121587,2315663.33333333,1874622.66666667,2085032.33333333,2042610,2132221.66666667,2275971.66666667,1410505.33333333
"TG(13:1)",999524.666666667,819872,659559.666666667,623431.333333333,686446.333333333,760485.666666667,805545,684234.666666667,870634.333333333
"TG(14:0)",7162571.66666667,25249303.3333333,24110233.3333333,16665731.6666667,27379060.3333333,18067796.3333333,23707802.6666667,18128323,13454426.6666667
"TG(14:1)",1034389.33333333,4647730.33333333,4270954.66666667,2445963.33333333,4314228,2841846.66666667,3608185,2970897,2329094.66666667
"TG(15:0)",3385816.33333333,11924121,10965938,7289481,10498352.3333333,7461447.33333333,9912869,9073088,5154803
"TG(15:1)",1842280.33333333,4479162,3112750.33333333,2267096,3767207.66666667,2720209,3233791.66666667,2716093.66666667,2497201.66666667
"TG(16:0)",19452763,68704775.6666667,72886848.6666667,55589685.6666667,71985316.3333333,54276177,75486834.3333333,54970631,36284806.3333333
"TG(16:1)",6863113,34815619.6666667,37474795.6666667,22574734.3333333,33217861.6666667,21860195,29375691.6666667,25200954.3333333,17854795.6666667
"TG(16:2)",1477195.33333333,3980274.33333333,2266378.66666667,2048508,3021735.66666667,2200042.33333333,3148318,2509014,2459192.33333333
"TG(16:3)",431590.666666667,732867.666666667,509335.333333333,425304,758966.333333333,397355.666666667,528390.333333333,457819.666666667,485815
"TG(16:4)",257489.333333333,330402.666666667,295558.666666667,166309.333333333,298411.666666667,169507,272815.666666667,258471.333333333,218633
"TG(17:0)",1839814.66666667,7013670,6565169,5999468.33333333,7017238,5068286.66666667,7588096.33333333,5853595,3956492.33333333
"TG(17:1)",2788893,8755852.66666667,7221532,4097749,7191074,4625966,7524615.33333333,4854160.66666667,3990451.66666667
"TG(17:2)",2252746.66666667,4238739.66666667,4785625.33333333,2430566.33333333,4915980.66666667,3133086.66666667,4612728.66666667,3176703.33333333,2759738
"TG(18:0)",5178499,18042795,19590775.3333333,16572492,18950211.6666667,16045087.3333333,22025882,17214955.3333333,9729186
"TG(18:1)",36739474.3333333,149213178,157943949.666667,137583711.666667,146667874.666667,124047902.666667,157970945,132667691.666667,77159302.6666667
"TG(18:2)",17366843,74490890.6666667,70456601.3333333,56522313.6666667,69307042.3333333,49245837,63100523.6666667,56963675.6666667,36109461
"TG(18:3)",4178951.33333333,10290648.3333333,9450571,6609580.33333333,10502718,6030826.33333333,9298988.33333333,7911307,5466555
"TG(18:4)",1556222,2275298.33333333,1390699.66666667,1718363.66666667,2888257.33333333,1608381.66666667,2019382.66666667,1963036.33333333,2122725.66666667
"TG(18:5)",217966.666666667,191447,231946.666666667,160204,183529.666666667,146616,208429,161995.666666667,198237.333333333
"TG(19:0)",701427.666666667,3078484.66666667,2037154.33333333,2363472,3155226,2645945.33333333,3149287,2753885,1749040.33333333
"TG(19:1)",2838445.66666667,6500181,5418595.33333333,4842796.66666667,6204565.33333333,5443395.33333333,6214634.33333333,5533589.66666667,4000840
"TG(19:2)",1354163,2433610.33333333,2172565,1602191.66666667,2730472.66666667,1748730,2475647.33333333,2126954.33333333,1640826
"TG(20:0)",668567.666666667,2499916.66666667,2397348.33333333,1976804.33333333,2863084.33333333,1842401.33333333,3001282.33333333,2200911,1210344.33333333
"TG(20:1)",1807537.66666667,8487656.66666667,8339424,4909829,6641375.66666667,5872223.33333333,7660521,7382434.66666667,3823082.66666667
"TG(20:2)",1817786,7702822,6229995,5444044.33333333,7134274,4453664,5531002.33333333,5562187.33333333,3615006.66666667
"TG(20:3)",4519338.66666667,15981957.3333333,15899119,12022098.3333333,15929916.6666667,10563746,16039742,12082343.3333333,8300538.33333333
"TG(20:4)",3185038.33333333,4001874,3548947,2678415.33333333,3967672.33333333,2646263,4361719.66666667,3039902.33333333,2446852.66666667
"TG(20:5)",3626849.66666667,839544.666666667,785239,601767,895089,596620,822135,744416.333333333,2150064.66666667
"TG(21:0)",499455,1189633.33333333,1008921.66666667,759042.666666667,2723267.33333333,1715866.33333333,1196174.33333333,873595.666666667,656647.666666667
"TG(21:1)",403369,1364239,1160000.33333333,789817,1424398.33333333,956911.666666667,1208656.33333333,991075.333333333,644544.666666667
"TG(21:2)",2450130,2976435.33333333,1910991.66666667,1129413.66666667,2699228.66666667,1476408.66666667,2210622.33333333,2155333.66666667,2032873.66666667
"TG(22:0)",1033116.66666667,3113256.33333333,2712461.66666667,841928.333333333,3232854.66666667,1792578.66666667,2642653,1057411,1316048.33333333
"TG(22:1)",77557.3333333333,289746,148134,134610.333333333,228776.333333333,199778.666666667,260151,185545,230576.333333333
"TG(22:2)",96114.3333333333,184949.666666667,138450,117849.666666667,195906.666666667,143145,181746.666666667,131145.666666667,82463.6666666667
"TG(22:3)",147873,527643,295623,399017.333333333,348257.333333333,304238.333333333,404530.333333333,367568,198323.333333333
"TG(22:4)",1275844,1519271.33333333,1201098.66666667,1056129.33333333,1602084.33333333,892907,1438392.33333333,1176607,1069748.66666667
"TG(22:5)",1055495.33333333,1158332.66666667,1179507,982018.666666667,1612787.33333333,785243.666666667,1152584.33333333,946370,965057
"TG(22:6)",2448650,922403.333333333,797738,593953.333333333,1026800.33333333,568897,1090391.66666667,714628.666666667,1465691.33333333
"TG(23:0)",130321.333333333,611894.333333333,543177.666666667,347778,391154,339958.333333333,520051.666666667,435023,305800.333333333
"TG(24:0)",1386686,5655432.66666667,5527419.33333333,4388704.33333333,5627798.66666667,3962652,4891841.33333333,4684192,2625394.66666667
"TG(24:1)",282910.333333333,149937.333333333,98074,83547.6666666667,128072.333333333,99877.3333333333,109283,118218.333333333,215339
"TG(24:2)",56156.6666666667,173593,172585.333333333,127059.333333333,283017.666666667,113068,217293.666666667,192618.333333333,115379
"TG(24:3)",257433.333333333,676516,198413,472136.333333333,431598.333333333,489975.333333333,582264.666666667,556447,649189.333333333
"TG(24:4)",95073,102766,69783.6666666667,67571,106694.666666667,73677,72699.3333333333,76143.3333333333,108027.666666667
"TG(24:5)",207838.666666667,376256.666666667,440684.666666667,103966,102199,372156.666666667,603139,429658,250664.666666667
"TG(24:6)",372635.333333333,283065.666666667,233540.666666667,165929.666666667,217559.666666667,209854,261990.333333333,220407,282407.666666667
