"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","QC-1","QC-2","QC-3","QC-4","QC-5","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"TG(24:2)",569333333.333333,7.48e+08,714666666.666667,8.44e+08,6.43e+08,868333333.333333,812333333.333333,1.14e+09,684666666.666667,589333333.333333,714666666.666667,560333333.333333,6.64e+08,577666666.666667,8.42e+08,5.5e+08,742666666.666667,6.42e+08,4.95e+08,571333333.333333,629666666.666667
"TG(25:0)",376333333.333333,406666666.666667,3.43e+08,457333333.333333,341666666.666667,2.97e+08,508333333.333333,363333333.333333,3.51e+08,356666666.666667,331666666.666667,361333333.333333,359333333.333333,2.7e+08,3.15e+08,3.54e+08,278666666.666667,379666666.666667,2.69e+08,2.41e+08,3.5e+08
"TG(25:1)",1.4e+08,143333333.333333,143333333.333333,166666666.666667,1.3e+08,1.4e+08,1.7e+08,146666666.666667,1.5e+08,146666666.666667,143333333.333333,163333333.333333,1.5e+08,1.2e+08,1.6e+08,1.5e+08,123333333.333333,143333333.333333,216666666.666667,123333333.333333,156666666.666667
"TG(26:0)",3.2e+08,3.96e+08,269666666.666667,379333333.333333,2.92e+08,245666666.666667,403333333.333333,3.24e+08,287333333.333333,2.93e+08,274333333.333333,286333333.333333,293333333.333333,221666666.666667,2.5e+08,213162669.333333,209340959.666667,308666666.666667,205478678.333333,202503721.666667,272111815
"TG(26:1)",7.3e+08,806666666.666667,636666666.666667,693333333.333333,6.4e+08,7.1e+08,736666666.666667,766666666.666667,646666666.666667,7.9e+08,603333333.333333,6.4e+08,8.1e+08,526666666.666667,853333333.333333,5e+08,6.5e+08,5.5e+08,536666666.666667,483333333.333333,586666666.666667
"TG(27:0)",20333333.3333333,23666666.6666667,17666666.6666667,25333333.3333333,15333333.3333333,16333333.3333333,2.4e+07,19333333.3333333,18333333.3333333,19666666.6666667,16666666.6666667,17333333.3333333,19666666.6666667,12666666.6666667,1.7e+07,1.4e+07,1.2e+07,1.8e+07,11666666.6666667,12666666.6666667,15333333.3333333
"TG(27:1)",116666666.666667,108333333.333333,106666666.666667,127666666.666667,93333333.3333333,89666666.6666667,1.58e+08,120333333.333333,105333333.333333,104333333.333333,102333333.333333,1.12e+08,107333333.333333,85666666.6666667,1.03e+08,9.2e+07,9.4e+07,99666666.6666667,81333333.3333333,73333333.3333333,101666666.666667
"TG(28:0)",33333333.3333333,5e+07,26666666.6666667,36666666.6666667,2.5e+07,2.3e+07,4e+07,32666666.6666667,29666666.6666667,2.9e+07,27666666.6666667,28333333.3333333,29666666.6666667,20333333.3333333,2.5e+07,2e+07,2e+07,29666666.6666667,1.9e+07,17333333.3333333,2.5e+07
"TG(28:1)",183333333.333333,1.8e+08,166666666.666667,187666666.666667,155666666.666667,141333333.333333,193666666.666667,166666666.666667,158666666.666667,1.6e+08,1.52e+08,167333333.333333,1.61e+08,1.04e+08,173333333.333333,139333333.333333,1.45e+08,143333333.333333,127333333.333333,108666666.666667,156666666.666667
"TG(29:0)",30333333.3333333,34333333.3333333,28666666.6666667,39333333.3333333,2.4e+07,24666666.6666667,4e+07,32666666.6666667,2.9e+07,3e+07,25333333.3333333,28666666.6666667,27666666.6666667,16938486,24327684.3333333,22044153,21640520,25666666.6666667,12781486.3333333,16914278.3333333,23315121.6666667
"TG(29:1)",79666666.6666667,68666666.6666667,74666666.6666667,1e+08,65666666.6666667,63666666.6666667,96666666.6666667,73333333.3333333,7.8e+07,74333333.3333333,7.5e+07,77666666.6666667,81666666.6666667,5.7e+07,7.3e+07,6.9e+07,6e+07,71333333.3333333,53333333.3333333,4.6e+07,7.5e+07
"TG(30:0)",9.6e+07,1.21e+08,99333333.3333333,123666666.666667,8e+07,81333333.3333333,122333333.333333,94666666.6666667,91333333.3333333,1.06e+08,8e+07,8.8e+07,94666666.6666667,59333333.3333333,80333333.3333333,70666666.6666667,76666666.6666667,8.5e+07,61333333.3333333,56333333.3333333,77333333.3333333
"TG(30:1)",2.84e+08,312333333.333333,276532639.333333,376666666.666667,257886992,2.77e+08,4.05e+08,288333333.333333,297666666.666667,3.1e+08,2.89e+08,3.21e+08,284333333.333333,229666666.666667,315666666.666667,2.56e+08,270666666.666667,281666666.666667,2.07e+08,2.03e+08,310333333.333333
"TG(4:0)",7325228707,7507950335.66667,7198110031.66667,7321333333.33333,9447666666.66667,7390666666.66667,7204333333.33333,7869225563,9143333333.33333,9014145069.33333,7937666666.66667,8.473e+09,8620798544.66667,7676657192.33333,8361666666.66667,8935655886,7.791e+09,8012338568.33333,8825930296,7630661381,9980666666.66667
"TG(6:0)",4925666666.66667,5357836369.33333,5973333333.33333,5345393172.66667,6742333333.33333,7.196e+09,5314729786.33333,7.173e+09,6420666666.66667,6.174e+09,6113666666.66667,6120666666.66667,6.372e+09,6865333333.33333,7.103e+09,6338339303.33333,7596666666.66667,6259675771,6117406924.33333,5145652750.33333,7433533414
"TG(8:0)",120333333.333333,132333333.333333,1.62e+08,147666666.666667,180333333.333333,2.38e+08,1.39e+08,2.29e+08,164666666.666667,168666666.666667,1.71e+08,160333333.333333,1.8e+08,179333333.333333,218666666.666667,1.33e+08,2.16e+08,129666666.666667,1.45e+08,1.29e+08,167333333.333333
"TG(9:0)",553333333.333333,559666666.666667,677666666.666667,5.94e+08,7.67e+08,876666666.666667,663666666.666667,7.66e+08,691333333.333333,677333333.333333,654666666.666667,693333333.333333,6.73e+08,7.7e+08,866666666.666667,600333333.333333,8e+08,594666666.666667,710333333.333333,619333333.333333,759666666.666667
