"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"PE(18:1)",2811100990.5,2560541544,2354582488,2448156679.5,3254128639.5,1721592699,3187134897.5,2787988877,590023115.5,1338738939,1162429158.5,1307641720.5,1368117390,1464051838.5,1666327419,1182220801.5
"PE(18:2)",1658409449.5,1421980579.5,1296824965,1363234465,1766396890,924604105.5,1652888763,1472602232,392894518,645498847.5,733381879,795254395,794653070,897461544,931726133,746578353
"PE(18:3)",26700137,26765719.5,26655172.5,29036113.5,31896890,17479232.5,31388763,26154712,7979719,15929329.5,14921056,15530700,16468044.5,16520635.5,15564170.5,14253133.5
"PE(19:0)",10134970.5,9131483.5,8372928,10245616,12492870,7493557,12028401.5,9851021.5,3395386.5,6740389.5,6407659,6816113,6184964,5593747.5,6271070,6436856.5
"PE(20:1)",44385153,37051479,34159358,32613327.5,47005472,24971941.5,45516304.5,41358644,10769823.5,21559392.5,20085905,23542527,24525592,26390058,31425651,20137860.5
"PE(20:3)",24500000,2e+07,20500000,20500000,2.7e+07,1.6e+07,24500000,2.9e+07,7e+06,1e+07,1.2e+07,1.3e+07,1.3e+07,1.5e+07,17500000,11500000
"PE(20:4)",1057055807.5,853736247.5,819525831.5,834968198.5,1137092850,582082271.5,1018833031.5,1039640434,196284974.5,334760610,401003864,448808082,445795990.5,486667867.5,597617715,404553951
"PE(20:5)",87687772.5,70215706.5,62425660.5,65903905,90353587.5,44752158,84993855.5,82918102,13086687.5,22500338,31515311.5,35241143,37188785,34257012.5,41755570,32734684.5
"PE(22:1)",1000809.5,1682038,1108685.5,833009,1325000,681565,2049944,696877.5,437506,143436,619562,482347,557576,684244,648051,557793
"PE(22:4)",2.6e+07,18500000,1.8e+07,1.7e+07,24500000,1.4e+07,21500000,2.6e+07,8e+06,1.1e+07,1.3e+07,11500000,1.2e+07,1.9e+07,21500000,1.2e+07
"PE(22:5)",428500000,352500000,3.29e+08,3.59e+08,4.38e+08,248500000,437500000,4.46e+08,7e+07,124500000,158500000,1.79e+08,1.93e+08,1.97e+08,240500000,158500000
"PE(22:6)",882555807.5,786340004,765195493.5,806468198.5,976592850,549644979.5,947833031.5,867640434,169705604,403734318,366815586,420423589,458199804,456794918.5,533968090,395000056.5
"PE(24:0)",2182277,1819981.5,1421021.5,1767378,1668573,1038273,1906133,1293888.5,505120.5,607358,714466,924786.5,1146093.5,1267834.5,1246708,998650
"PE(O)(18:0)",2.3e+07,20500000,1.7e+07,20500000,20500000,13500000,22500000,20500000,4249976,1.1e+07,12500000,1.2e+07,13500000,15500000,1.9e+07,1.2e+07
"PE(O)(20:0)",1368014.5,1743758.5,1353340,391562,1517804,1394711.5,1655277,1336529.5,260362,615139.5,737637.5,842816.5,1018975,1123803,1314088.5,870377
"PE(O)(20:4)",1368014.5,1743758.5,1353340,391562,1517804,1394711.5,1655277,1336529.5,260362,615139.5,737637.5,842816.5,1018975,1123803,1314088.5,870377
"PE(O)(22:6)",2.3e+07,20500000,1.7e+07,20500000,20500000,13500000,22500000,20500000,4249976,1.1e+07,12500000,1.2e+07,13500000,15500000,1.9e+07,1.2e+07
"PE(P)(16:0)",912411943,825500000,668164141.5,802257395.5,864325731.5,547521274,908902952,809458710.5,166644587.5,526195080.5,429088148,456546922.5,492709115.5,568024560,682807144,465503437.5
"PE(P)(16:1)",3.6e+07,39500000,29730880,37500000,39500000,27500000,4.3e+07,4e+07,9702054.5,21282337,24621716.5,24702463,26209115.5,27262700.5,3.1e+07,24360405.5
"PE(P)(18:0)",524911943,510500000,347433261.5,424257395.5,458325731.5,286021274,498902952,362458710.5,101948568,269912743.5,201966431.5,213844459.5,2.41e+08,284261859.5,340307144,259143032
