"subclass","Cold-1","Cold-2","Cold-3","Cold-4","Cold-5","Cold-6","Cold-7","Cold-8","RT-1","RT-2","RT-3","RT-4","RT-5","RT-6","RT-7","RT-8"
"TG(20:4)",1.744e+10,18095666666.6667,19708333333.3333,17905333333.3333,20043333333.3333,18924333333.3333,20194666666.6667,1.8793e+10,22190333333.3333,20692333333.3333,20804333333.3333,21092333333.3333,20486333333.3333,22178432961.6667,21691333333.3333,20937333333.3333
"TG(20:5)",864666666.666667,953244472.666667,1095666666.66667,8.68e+08,1179333333.33333,1.243e+09,990333333.333333,1.142e+09,1.668e+09,1704666666.66667,1522666666.66667,1841666666.66667,1571666666.66667,1.706e+09,1629333333.33333,1814333333.33333
"TG(21:0)",2196666666.66667,2836666666.66667,2386666666.66667,2556666666.66667,2596666666.66667,2006666666.66667,2.55e+09,2106666666.66667,1603333333.33333,2143333333.33333,2216666666.66667,1946666666.66667,2873333333.33333,2186666666.66667,2033333333.33333,2.69e+09
"TG(21:1)",646666666.666667,6.3e+08,636666666.666667,716666666.666667,733333333.333333,713333333.333333,6.2e+08,906666666.666667,593333333.333333,8.2e+08,786666666.666667,723333333.333333,646666666.666667,736333333.333333,593333333.333333,7.7e+08
"TG(22:0)",6333333.33333333,5666666.66666667,5e+06,6e+06,5333333.33333333,73333333.3333333,13666666.6666667,6666666.66666667,11666666.6666667,4666666.66666667,5e+06,5333333.33333333,143333333.333333,6333333.33333333,3666666.66666667,96666666.6666667
"TG(22:1)",1833333333.33333,1133333333.33333,1.1e+09,1266666666.66667,1166666666.66667,1133333333.33333,1.5e+09,1033333333.33333,1733333333.33333,2066666666.66667,1166666666.66667,1166666666.66667,1333333333.33333,1533333333.33333,1633333333.33333,2033333333.33333
"TG(22:2)",4.12e+08,407333333.333333,708333333.333333,453333333.333333,4.43e+08,1.488e+09,1223666666.66667,5.31e+08,1.102e+09,1306666666.66667,1014333333.33333,1.004e+09,408333333.333333,394333333.333333,952666666.666667,363666666.666667
"TG(22:3)",26666666.6666667,22666666.6666667,2.9e+07,1.9e+07,2.9e+07,29666666.6666667,27666666.6666667,2.8e+07,24666666.6666667,3.2e+07,24666666.6666667,3.1e+07,17666666.6666667,39666666.6666667,2.8e+07,28333333.3333333
"TG(22:4)",5784333333.33333,7141333333.33333,7.103e+09,8431666666.66667,6.086e+09,9929666666.66667,8882333333.33333,7720666666.66667,7.33e+09,8054333333.33333,6536333333.33333,6.315e+09,7.179e+09,8323333333.33333,7.938e+09,5922666666.66667
"TG(22:5)",1494666666.66667,1318666666.66667,1868666666.66667,2034333333.33333,1762333333.33333,2.338e+09,1.96e+09,2.406e+09,1764990525.66667,1801333333.33333,1375666666.66667,1787333333.33333,1452333333.33333,1457333333.33333,1258666666.66667,1518333333.33333
"TG(22:6)",10279333333.3333,12175333333.3333,12500333333.3333,11246333333.3333,13864333333.3333,12296666666.6667,1.1731e+10,12358333333.3333,1.2245e+10,11795333333.3333,9217672636.66667,12146666666.6667,10284456377.6667,10453666666.6667,10316601611,12180666666.6667
"TG(23:0)",1096666666.66667,1.22e+09,9.8e+08,1266666666.66667,1039666666.66667,1.07e+09,1.2e+09,1.02e+09,943333333.333333,996333333.333333,9.37e+08,865333333.333333,1.18e+09,910333333.333333,837666666.666667,1036666666.66667
"TG(23:1)",361666666.666667,374666666.666667,389666666.666667,420666666.666667,382666666.666667,3.68e+08,638333333.333333,383333333.333333,329333333.333333,632666666.666667,4.16e+08,361666666.666667,613666666.666667,593666666.666667,339666666.666667,409666666.666667
"TG(24:0)",1492333333.33333,2106666666.66667,1290666666.66667,1916666666.66667,1442333333.33333,1402666666.66667,1936666666.66667,1653333333.33333,1148666666.66667,1276666666.66667,1142333333.33333,1.174e+09,1875666666.66667,1.18e+09,1164333333.33333,1.423e+09
"TG(24:1)",4.845e+09,5.489e+09,5235333333.33333,5460333333.33333,6650333333.33333,4801333333.33333,6518666666.66667,6.681e+09,4266666666.66667,5125333333.33333,4498666666.66667,5220333333.33333,6476333333.33333,4589333333.33333,5612333333.33333,5.584e+09
"TG(24:2)",569333333.333333,7.48e+08,714666666.666667,8.44e+08,6.43e+08,868333333.333333,812333333.333333,1.14e+09,577666666.666667,8.42e+08,5.5e+08,742666666.666667,6.42e+08,4.95e+08,571333333.333333,629666666.666667
"TG(25:0)",376333333.333333,406666666.666667,3.43e+08,457333333.333333,341666666.666667,2.97e+08,508333333.333333,363333333.333333,2.7e+08,3.15e+08,3.54e+08,278666666.666667,379666666.666667,2.69e+08,2.41e+08,3.5e+08
"TG(25:1)",1.4e+08,143333333.333333,143333333.333333,166666666.666667,1.3e+08,1.4e+08,1.7e+08,146666666.666667,1.2e+08,1.6e+08,1.5e+08,123333333.333333,143333333.333333,216666666.666667,123333333.333333,156666666.666667
"TG(26:0)",3.2e+08,3.96e+08,269666666.666667,379333333.333333,2.92e+08,245666666.666667,403333333.333333,3.24e+08,221666666.666667,2.5e+08,213162669.333333,209340959.666667,308666666.666667,205478678.333333,202503721.666667,272111815
"TG(26:1)",7.3e+08,806666666.666667,636666666.666667,693333333.333333,6.4e+08,7.1e+08,736666666.666667,766666666.666667,526666666.666667,853333333.333333,5e+08,6.5e+08,5.5e+08,536666666.666667,483333333.333333,586666666.666667
"TG(27:0)",20333333.3333333,23666666.6666667,17666666.6666667,25333333.3333333,15333333.3333333,16333333.3333333,2.4e+07,19333333.3333333,12666666.6666667,1.7e+07,1.4e+07,1.2e+07,1.8e+07,11666666.6666667,12666666.6666667,15333333.3333333
"TG(27:1)",116666666.666667,108333333.333333,106666666.666667,127666666.666667,93333333.3333333,89666666.6666667,1.58e+08,120333333.333333,85666666.6666667,1.03e+08,9.2e+07,9.4e+07,99666666.6666667,81333333.3333333,73333333.3333333,101666666.666667
"TG(28:0)",33333333.3333333,5e+07,26666666.6666667,36666666.6666667,2.5e+07,2.3e+07,4e+07,32666666.6666667,20333333.3333333,2.5e+07,2e+07,2e+07,29666666.6666667,1.9e+07,17333333.3333333,2.5e+07
"TG(28:1)",183333333.333333,1.8e+08,166666666.666667,187666666.666667,155666666.666667,141333333.333333,193666666.666667,166666666.666667,1.04e+08,173333333.333333,139333333.333333,1.45e+08,143333333.333333,127333333.333333,108666666.666667,156666666.666667
"TG(29:0)",30333333.3333333,34333333.3333333,28666666.6666667,39333333.3333333,2.4e+07,24666666.6666667,4e+07,32666666.6666667,16938486,24327684.3333333,22044153,21640520,25666666.6666667,12781486.3333333,16914278.3333333,23315121.6666667
"TG(29:1)",79666666.6666667,68666666.6666667,74666666.6666667,1e+08,65666666.6666667,63666666.6666667,96666666.6666667,73333333.3333333,5.7e+07,7.3e+07,6.9e+07,6e+07,71333333.3333333,53333333.3333333,4.6e+07,7.5e+07
"TG(30:0)",9.6e+07,1.21e+08,99333333.3333333,123666666.666667,8e+07,81333333.3333333,122333333.333333,94666666.6666667,59333333.3333333,80333333.3333333,70666666.6666667,76666666.6666667,8.5e+07,61333333.3333333,56333333.3333333,77333333.3333333
"TG(30:1)",2.84e+08,312333333.333333,276532639.333333,376666666.666667,257886992,2.77e+08,4.05e+08,288333333.333333,229666666.666667,315666666.666667,2.56e+08,270666666.666667,281666666.666667,2.07e+08,2.03e+08,310333333.333333
"TG(4:0)",7325228707,7507950335.66667,7198110031.66667,7321333333.33333,9447666666.66667,7390666666.66667,7204333333.33333,7869225563,7676657192.33333,8361666666.66667,8935655886,7.791e+09,8012338568.33333,8825930296,7630661381,9980666666.66667
"TG(6:0)",4925666666.66667,5357836369.33333,5973333333.33333,5345393172.66667,6742333333.33333,7.196e+09,5314729786.33333,7.173e+09,6865333333.33333,7.103e+09,6338339303.33333,7596666666.66667,6259675771,6117406924.33333,5145652750.33333,7433533414
"TG(8:0)",120333333.333333,132333333.333333,1.62e+08,147666666.666667,180333333.333333,2.38e+08,1.39e+08,2.29e+08,179333333.333333,218666666.666667,1.33e+08,2.16e+08,129666666.666667,1.45e+08,1.29e+08,167333333.333333
"TG(9:0)",553333333.333333,559666666.666667,677666666.666667,5.94e+08,7.67e+08,876666666.666667,663666666.666667,7.66e+08,7.7e+08,866666666.666667,600333333.333333,8e+08,594666666.666667,710333333.333333,619333333.333333,759666666.666667
"TG(O)(12:0)",10333333.3333333,13333333.3333333,19333333.3333333,2.4e+07,20666666.6666667,43333333.3333333,14666666.6666667,4e+07,26333333.3333333,4e+07,6666666.66666667,2.9e+07,5e+06,5666666.66666667,8333333.33333333,8666666.66666667
"TG(O)(14:0)",30666666.6666667,4.6e+07,40333333.3333333,5.1e+07,4.3e+07,67666666.6666667,40333333.3333333,73333333.3333333,55333333.3333333,72666666.6666667,37333333.3333333,54333333.3333333,34666666.6666667,3.5e+07,45666666.6666667,39333333.3333333
"TG(O)(16:0)",1038333333.33333,1.298e+09,1.149e+09,1495666666.66667,1325666666.66667,1415333333.33333,1233666666.66667,1437333333.33333,1.016e+09,1.384e+09,1142666666.66667,1187666666.66667,1.087e+09,1171666666.66667,1205333333.33333,1.127e+09
"TG(O)(18:0)",340333333.333333,428333333.333333,384666666.666667,4.42e+08,422666666.666667,370333333.333333,4.85e+08,3.95e+08,280333333.333333,424666666.666667,384666666.666667,386333333.333333,379666666.666667,355333333.333333,378666666.666667,363666666.666667
"TG(O)(18:1)",906333333.333333,1115333333.33333,8.76e+08,1197333333.33333,1.08e+09,9.99e+08,1059333333.33333,9.17e+08,653666666.666667,955333333.333333,889333333.333333,880666666.666667,976666666.666667,833666666.666667,863333333.333333,9.52e+08
"TG(O)(18:2)",510333333.333333,510666666.666667,4.96e+08,6.16e+08,5.96e+08,535333333.333333,6.64e+08,5.36e+08,356666666.666667,5.4e+08,470666666.666667,428333333.333333,4.4e+08,4.98e+08,4.6e+08,414666666.666667
"TG(O)(20:0)",150333333.333333,170666666.666667,155333333.333333,172666666.666667,166666666.666667,1.42e+08,1.91e+08,1.41e+08,106333333.333333,1.77e+08,164333333.333333,1.56e+08,157333333.333333,130333333.333333,1.45e+08,152666666.666667
"TG(O)(20:1)",9666666.66666667,14666666.6666667,1.1e+07,13333333.3333333,1.2e+07,8333333.33333333,14666666.6666667,10666666.6666667,5e+06,7333333.33333333,10666666.6666667,10333333.3333333,11333333.3333333,6e+06,1e+07,1e+07
"TG(O)(22:6)",312666666.666667,4.16e+08,415333333.333333,5.2e+08,441333333.333333,516666666.666667,429333333.333333,515666666.666667,414333333.333333,5.45e+08,394666666.666667,448333333.333333,363333333.333333,401333333.333333,430666666.666667,3.77e+08
"TG(P)(12:0)",413333333.333333,453333333.333333,406666666.666667,416666666.666667,423333333.333333,386666666.666667,443333333.333333,346666666.666667,4.5e+08,456666666.666667,493333333.333333,316666666.666667,426666666.666667,4.8e+08,4.7e+08,383333333.333333
"TG(P)(14:0)",160333333.333333,170333333.333333,1.19e+08,1.66e+08,155333333.333333,1.07e+08,162666666.666667,1.43e+08,145666666.666667,173333333.333333,1.7e+08,146333333.333333,1.07e+08,1.62e+08,154333333.333333,120333333.333333
"TG(P)(16:0)",130333333.333333,183666666.666667,162333333.333333,192666666.666667,178666666.666667,173666666.666667,1.76e+08,189666666.666667,122333333.333333,146666666.666667,146666666.666667,1.13e+08,1.37e+08,158666666.666667,1.21e+08,130333333.333333
"TG(P)(16:1)",3.75e+08,506666666.666667,473333333.333333,396666666.666667,4.91e+08,390333333.333333,393333333.333333,276333333.333333,396666666.666667,409333333.333333,503333333.333333,4.2e+08,306666666.666667,513333333.333333,403333333.333333,486666666.666667
"TG(P)(18:0)",1.83e+08,250666666.666667,2.13e+08,2.66e+08,2.47e+08,2.38e+08,245666666.666667,249333333.333333,168333333.333333,1.93e+08,202333333.333333,168666666.666667,192333333.333333,209333333.333333,173666666.666667,186333333.333333
"TG(P)(18:1)",309333333.333333,2.87e+08,387333333.333333,4e+08,441666666.666667,407666666.666667,4.03e+08,2.83e+08,409333333.333333,4.43e+08,405666666.666667,382333333.333333,305333333.333333,400666666.666667,3.16e+08,399333333.333333
"TG(P)(18:2)",3.8e+08,4.3e+08,456666666.666667,4.4e+08,4.7e+08,473333333.333333,506666666.666667,368666666.666667,3.5e+08,526666666.666667,5.1e+08,3.4e+08,446666666.666667,4.7e+08,383333333.333333,466666666.666667
"TG(P)(18:3)",701666666.666667,8.2e+08,9.6e+08,8.2e+08,954333333.333333,853666666.666667,876666666.666667,5.77e+08,8.2e+08,999333333.333333,1033333333.33333,8e+08,723333333.333333,9.7e+08,766666666.666667,9.8e+08
"TG(P)(18:4)",798333333.333333,666666666.666667,816666666.666667,7.6e+08,8.61e+08,733666666.666667,1.01e+09,456333333.333333,816666666.666667,862666666.666667,976666666.666667,766666666.666667,716666666.666667,993333333.333333,9.2e+08,963333333.333333
"TG(P)(20:0)",36666666.6666667,46666666.6666667,33333333.3333333,46666666.6666667,46666666.6666667,36666666.6666667,46666666.6666667,36666666.6666667,3e+07,27666666.6666667,4e+07,36666666.6666667,4e+07,33333333.3333333,36666666.6666667,4e+07
"TG(P)(20:1)",196666666.666667,1.3e+08,2.1e+08,196666666.666667,233333333.333333,173333333.333333,263333333.333333,1.1e+08,2.4e+08,2.1e+08,2.3e+08,1.9e+08,146666666.666667,246666666.666667,263333333.333333,213333333.333333
"TG(P)(20:3)",286666666.666667,3.5e+08,446666666.666667,356666666.666667,4.6e+08,383333333.333333,3.7e+08,216666666.666667,356666666.666667,396666666.666667,4.7e+08,326666666.666667,276666666.666667,4.7e+08,293333333.333333,4.3e+08
"TG(P)(20:4)",186666666.666667,193333333.333333,206666666.666667,2e+08,213333333.333333,1.7e+08,176666666.666667,166666666.666667,213333333.333333,223333333.333333,2.1e+08,2e+08,133333333.333333,193333333.333333,2e+08,2.1e+08
"TG(P)(22:4)",6.6e+08,753333333.333333,583333333.333333,6.3e+08,693333333.333333,586666666.666667,673333333.333333,543333333.333333,696666666.666667,726666666.666667,736666666.666667,436666666.666667,586666666.666667,716666666.666667,676666666.666667,523333333.333333
"TG(P)(22:5)",4.6e+08,4.6e+08,436666666.666667,503333333.333333,433333333.333333,373333333.333333,506666666.666667,396666666.666667,463333333.333333,493333333.333333,563333333.333333,443333333.333333,466666666.666667,543333333.333333,536666666.666667,4.5e+08
"TG(P)(22:6)",1.6e+07,20333333.3333333,17333333.3333333,26666666.6666667,21666666.6666667,27666666.6666667,2.3e+07,2.3e+07,1.6e+07,18666666.6666667,15666666.6666667,1.9e+07,15333333.3333333,17333333.3333333,1.6e+07,1.6e+07
