"","D0_1","D0_2","D0_3","D2_1","D2_2","D2_3","D4_1","D4_2","D4_3","D6_1","D6_2","D6_3","D8_1","D8_2","D8_3","D10_1","D10_2","D10_3"
"TG(18:1_18:2_22:6)",-1.15645896387272,-0.475991339623048,-0.199637769492744,3.13732056354824,0.8427049626437,0.981195799968793,0.178935440015221,-0.487465374514492,-0.834048115249526,1.01274787076894,-0.454346458657307,-0.312633711475612,-0.293604892335551,-0.55466309280031,-0.604847932169488,0.380261280231374,-0.646513973260825,-0.512954293724653
"TG(16:0_12:0_14:0)",-0.93974654140022,-0.904856495231759,-0.86198906648184,-0.612000924019473,-0.510563928237404,0.504984741761919,-0.656241042405736,-0.55934926029968,-0.587302285037292,-0.303256174107518,-0.410126385199114,-0.423362398543903,0.189809643644206,0.177646148936699,3.0638225019874,0.974126856434033,0.871526244379192,0.986878363820487
"TG(16:0_8:0_16:0)",-0.555803556046349,-0.535556359908366,-0.54031936387928,-0.464855011222005,-0.478913191265087,-0.465115196652234,-0.502557371107199,-0.478613521848164,-0.513581703204747,0.0989933867665895,-0.407615026605659,-0.356345928474374,0.275051164991263,0.0202513815906314,-0.0391917969076361,3.65131834722264,0.366477621736517,0.926376124813456
"TG(20:0e_18:1_18:1)",-1.62493824365965,-1.25532216630145,-1.56110701021302,0.209649355380151,-0.0915471146874737,0.168903677560923,0.320959632873174,2.78151433478501,0.0491526356432865,0.140273897562394,1.24676228002766,-0.281607157925592,-0.375656369765418,-0.384004094024867,0.0814264546854503,0.0879715065321371,0.66113806643425,-0.17356968490696
"TG(16:1_16:1_16:1)",-0.716572151410922,-0.70304410156284,-0.703221451799858,-0.639703654961702,-0.608264265022295,-0.675545496494307,0.155883278469511,-0.374072578375041,-0.509288596837061,-0.239328664776122,0.619491466000643,-0.420753591531012,-0.109408823549428,0.26826323733308,-0.126649447321538,0.938048628674977,3.47960695740413,0.364559255759788
"PE(14:0_20:5)",-0.890870597878619,-0.882479001890994,-0.592773291866361,-0.789233291802342,-0.798584170755452,-0.834331325333513,-0.613095084928086,0.148016135586106,0.243705657020139,0.123626083118696,-0.04807732424495,0.0851675695348504,0.383454009578049,0.588494178692887,3.46348806914913,0.366233406809193,-0.0572248002389264,0.10448377945019
"ChE(18:1)",-1.45613131398683,-1.0293303102787,-1.33054222700723,-0.273846081735527,-0.505691067557969,-0.327256076359148,-0.179577614215012,1.99954306277571,-0.328065754821972,0.460911658893757,1.75434602518558,-0.343571573658598,-0.463621294031158,-0.42010624388354,-0.404291302680163,0.562241788897308,1.6829387348247,0.6020495896388
"Hex1Cer(t18:1_16:1)",-1.01638012421756,-1.03834857994312,-1.1847856029486,-0.91958561109624,-0.971489624699015,-1.18265618355832,2.48851494924644,-0.381649356062931,0.205749139916998,0.916983532792395,0.978805117273964,-0.26777457479686,0.512567750291202,0.625468735438184,0.537831508923417,0.80907523564533,0.413705618260753,-0.526031930466038
"PE(32:1)",-0.672088594526641,-1.14433085959603,-1.13335721430502,-0.89133061469275,-0.922117527543295,-0.816578747375719,2.58083409955984,-0.434249304963592,0.988013326587535,0.601355947175564,-0.215863926487239,-0.244553793395648,0.111374877102383,-0.199804973225434,0.0458287532723004,1.76477206457694,0.216927044630762,0.365169443206039
"TG(18:0_18:1_22:5)",-1.47104702077676,-0.891054725232522,-0.812775025404575,0.830962155101636,1.04619726103141,2.35415712150254,0.409105642329475,-0.545495313446124,-0.464577659175765,-0.360893624769394,-0.154301375849157,1.64566361600642,-0.652036638005557,-0.246196711866653,-0.0087129782938055,-0.810889827870217,-0.75844571573193,0.890340820450978
"TG(16:0_14:0_16:0)",-1.04847752400032,-0.924711304110805,-0.947472668392099,-0.57419983569492,0.61205170012392,-0.612306253773727,-0.582272172869127,-0.340960008536818,-0.410060254517246,-0.428706990732414,-0.403213310243871,-0.418819369533422,0.152833765192973,3.05623524054784,0.140571776182165,0.906467826898104,0.743694257758845,1.07934512570093
"SM(d38:3)",0.659181077055151,3.80584086032719,0.602397877539788,-0.304899255992399,-0.346712319370943,-0.348869515726382,-0.288132318390292,-0.327598144492698,-0.352688773177622,-0.350450446753368,-0.345852343834677,-0.352716407752989,-0.304899255992399,-0.346712319370943,-0.348869515726382,-0.350450446753368,-0.345852343834677,-0.352716407752989
"PE(16:1_16:1)",-0.907570559646341,-0.854852218379555,-0.889169377451733,-0.802323297769699,-0.815267571728764,-0.829306743119625,-0.369926102899729,0.108744623155838,0.428047119448466,-0.0499317088426785,-0.231685140491449,-0.214574290846961,0.4017476953457,0.143441984319588,3.34291508483763,0.429426081266441,0.737965453912224,0.372318968890645
"DG(38:4e)",-0.981114545814708,-1.02565529294193,-0.954590304956419,-0.640468647984948,-0.968682709157634,-0.916452931714599,-0.184496093926059,-0.412271505550381,-0.400282000069391,-0.0659083785192345,-0.0450284232593891,1.70088273123873,0.0272582629149382,0.991750335466882,1.3317208429764,-0.0315385723139164,0.158638029823875,2.41623920378778
"TG(4:0_14:0_16:0)",0.0827136624381222,-0.640388449186362,-0.628511243816641,-0.643858131922966,-0.23654117981262,-0.640189722541916,-0.641507737674858,-0.640388449186362,-0.545012179735291,-0.582753731931325,-0.597786243466857,-0.639664290182501,-0.164530542939908,2.90680538054873,0.236214247076398,0.605258024668551,0.968335028442521,1.80180555922328
"LPE(18:2e)",-1.49211249578773,-1.19247595297233,-1.40186420242387,-0.791377933397483,-0.635012585333058,-0.358138379485658,0.314142111458815,0.146997874163891,0.105156021952616,-0.076162756802868,-0.121509999181755,1.37215716916867,-0.18932504732494,0.743592795873295,1.06804641168712,-0.156991853910191,0.130580537792067,2.53429828452341
"Cer(d18:2_14:0)",-0.986050694253398,-1.32826638444985,-1.21316961966329,-0.61401817068331,-0.711791397768132,-0.753689681408231,2.01316158547435,-0.623440266304813,-0.543142739581338,0.706759129625801,0.0668563292096508,-0.599584464806705,0.601356012967649,0.470399671898861,0.114024687830738,2.05601428713369,0.592022383771244,0.752559331007081
"Cer(d38:2)",-0.938665442464656,-0.779011798059806,-0.923086389975667,-0.484774608364608,-0.47907178592624,-0.624267665918524,-0.214307874618303,-0.476906121090553,-0.945745239673523,-0.242168713718233,1.39969025783529,-0.302071295520451,0.43329507306563,0.562769648790406,-0.0693029342819603,0.519840525155703,3.08556683463653,0.478217530128966
"DG(32:3e)",-0.883563978461726,-0.835494798423428,-0.846687213105059,-0.629854601705278,-0.0448399552702838,-0.664830501759661,-0.509015828526762,-0.303276336633137,-0.426011707184531,-0.338552470988396,-0.299455810624286,-0.379848034727481,0.185539337175356,3.27902291606346,0.0810891779085377,0.795563271085113,0.91280376508272,0.907412770094844
"SM(d44:1)",-0.978614249401766,-0.913680683263821,-0.934122476835238,-0.574566659141491,0.296920445260885,-0.636027140707585,-0.539755855511983,-0.221582891432523,-0.719013265431119,-0.283641634954109,-0.200929701944646,-0.325089396090423,0.150845350342474,3.17995847845086,0.109784839992652,0.699747246710867,0.890230258028547,0.999537335928421
