"subclass","DGAT_1.2i_001","DGAT_1.2i_002","DGAT_1.2i_003","OA_001","OA_002","OA_003"
"PE(22:5)",110208802.170062,147746788.656705,126332323.319886,137379159.130752,152773132.291995,141099291.223495
"PE(22:6)",93999483.9636821,117578791.497907,108778805.363321,135476050.314621,148447914.004714,122515049.909271
"PE(24:0)",358652.899,330470.897,214213.285,236509.72,148068.2895,397017.93
"PE(24:1)",442483.935,1155916.956,272438.4498,176805.0294,691663.666,732490.387
"PE(32:1)",88997.981,325179.849,96347.224,97665.37,161960.262,359138.103
"PG(12:0)",267632.908,319974.163,401278.97,366881.018,367567.998,610113.613
"PG(14:0)",3078235.6715,4597191.835,4234199.226,5194173.6275,4783768.5995,7117806.1025
"PG(16:0)",25074846.2503667,34861936.5334444,32934118.1519333,33421087.9063333,35468266.1474444,34178366.6781111
"PG(16:1)",3213563.0793,5169048.789675,4344224.18395,4057190.4275,4253791.225425,4526822.8285
"PG(18:0)",12454639.728,28605635.8009,20701178.564,31414614.146,28940111.537,33529393.203
"PG(18:1)",29420549.3468667,40151562.5698333,36489935.2103222,38882740.4541111,41181026.3943444,39986476.2276667
"PG(18:2)",814994.3465,1034711.56866667,940093.9853,1852655.89523333,1915174.555,1793427.36416667
"PG(18:3)",27984.5616,51827.095,36483.9438,208736.959,190256.7372,121533.589
"PG(20:0)",2184476.964,3234923.34,2605192.392,3015256.034,3332954.051,3143651.48
"PG(20:1)",1111468.309,1770653.945,1075862.033,1234308.203,1382445.289,1397020.424
"PG(20:2)",4571198.132,4437968.133,3992396.191,4574698.874,4592737.762,4448588.627
"PG(20:3)",524361.710866667,685488.662333333,532890.197666667,419444.391733333,822023.2965,786411.0492
