"subclass","OA_01","OA_02","OA_03","X1i_2i_01","X1i_2i_02","X1i_2i_03"
"DG(44:0)",NA,843593.5,NA,1222493,443524.5,NA
"DG(44:10)",18155270,12172962,14612035.5,9606857.5,13587800,16491189.5
"DG(44:11)",52144640,69758176,61349876,8252378.5,34076964,83327744
"DG(44:12)",129484530.5,149460133,68441815,75759172.5,72495760,83759342
"DG(44:3)",32038692,41440640,48558472,12248315,6978732,4367709.5
"DG(44:4)",6498581.5,6277181,7085137,3567589,3007866,703472.5
"DG(44:6)",51650899,50681427,42434818,36724989.5,51439579,39227393
"DG(44:7)",65462661,86114899,84529135,40843369.5,31497897,21138766.5
"DG(44:8)",12453909,13005086.5,7718149,12233273.5,14639070,13257909
"DG(8:0)",1948154530.5,1775883406,1942798481,1204477944.5,1719870630.5,1689014145.5
"FA(14:0)",4836360,4551558,5061350,1038655,2545952,2627508
"FA(14:1)",1774016,648489,NA,1140234,2512624,1995778
"FA(16:0)",243259024,236588624,269836160,121642488,183232416,166443264
"FA(16:1)",3603561,3575607,3667602,1803085,2258435,2071002
"FA(16:4)",1982268,7575810,9735491,2291688,2717818,2173212
"FA(18:0)",270245664,230245008,272842720,122649112,176951152,173745888
"FA(18:1)",187874752,149510192,174898304,67613856,87657312,89998960
"FA(18:2)",189862592,180907792,191805600,49913176,106010288,141345568
"FA(18:3)",6692176,8628194,8630219,1218899,3222140,5118996
"FA(18:4)",3698775,5669318,7528882,755580,727864,1233527
"FA(20:0)",3274726,4671060,5293832,1383226,1803298,1859285
"FA(20:1)",9786502,5429453,5880222,1426843,2902660,3795805
"FA(20:3)",2216662,1553152,1305780,882307,1190858,422200
"FA(20:4)",78911512,68853496,61224428,36599740,40269316,35600776
"FA(20:5)",6295875,5267508,5255752,4763693,3967313,4639898
"FA(22:0)",1066471,1075133,1140749,525590,770772,616614
"FA(22:1)",1061218,472446,386834,501857,1143135,484803
"FA(22:4)",2486014,1644004,2027936,1620344,2236752,1221118
"FA(22:5)",13532191,12184867,12913208,7408595,8861064,6202764
"FA(22:6)",91503792,83625856,88352216,48958108,61632052,46301656
"FA(24:0)",3258782,2183696,2731412,713164,1420074,1004347
"FA(24:1)",3862501,1981378,1848520,72060,56656,418860
"FA(24:2)",1289587,720029,499890,NA,244590,528061
"FA(24:3)",1224292,1157997,876887,47814,385558,653019
"FA(24:5)",248708,252792,262424,255650,51862,97501
"FA(24:6)",2780112,1560830,2230641,NA,514876,721010
"FA(26:0)",1949605,2002477,2777477,420752,470512,606786
"FA(26:1)",9087318,7426354,4921843,503373,3037946,3844985
"FA(26:2)",2047602,1669136,950653,574056,1137447,1300608
"FA(26:3)",3104359,1912616,2969143,501594,1503269,1402862
"FA(26:4)",575795,795080,388949,18010,215314,512302
"FA(26:5)",3763528,1004500,955708,125551,691763,429859
"FA(26:6)",2715659,280769,170284,NA,248066,1376
"FA(26:7)",148197,621295,484126,NA,NA,7820
"FA(28:0)",3390948,3578081,2273688,1095797,3233916,2067970
"FA(28:1)",8704625,9067746,8568925,3047684,8923828,7194128
"FA(28:2)",6304896,2856190,5305560,1090579,4586338,2723875
"FA(28:3)",3000093,1979204,3692029,375246,994310,2215781
"FA(28:4)",1288630,539246,3287766,94582,728280,126766
"FA(28:7)",160354016,145417280,150138832,45668180,61955924,65623804
"FA(30:0)",5608590,6023212,7602119,3048751,3162808,3646940
"FA(30:1)",18733574,9569033,10437474,4073914,9705555,6814396
"FA(30:2)",11838264,4899594,7188659,972585,7540836,4746760
"FA(30:3)",3747272,4003153,2162440,314718,1700099,2354296
"FA(30:4)",3704585,2809952,3219722,110622,297118,1224733
"FA(30:5)",3567866,1885791,1638031,701818,1603449,1342877
"FA(32:0)",4527908,5026222,5391282,4205902,4348533,5592604
"FA(32:1)",8640338,3206889,2501070,980196,6243525,3393920
"FA(32:2)",6479444,4496604,6270995,1808694,4034127,4272469
"FA(32:3)",2355333,2237942,2278804,226193,1645792,1563608
"FA(32:4)",2011661,678155,614435,205770,464776,929229
"FA(32:5)",659864,1302803,746148,24946,593880,501897
"FA(32:9)",1706083,1709616,2570384,427768,551273,488230
"FA(34:0)",6872420,7584318,6245838,7165002,6146224,6345002
"FA(34:2)",2667186,3135951,1893638,347592,965020,844708
"FA(34:5)",23109944,31260640,26369432,21507096,23703742,27369986
"FA(36:0)",5750660,8446185,9019636,6690344,5693855,8273410
"FA(36:1)",4407085,4209580,3539233,1288504,1055961,2841744
"FA(36:10)",1037649,1137039,1595790,244741,169471,479326
"FA(36:2)",4857004,2018425,2540638,1539834,2020920,1309306
"FA(36:5)",43588568,59520164,66190116,42855860,42966888,65089236
"FA(38:0)",4095425,5639864,4412058,6773717,7059010,3884204
"FA(38:2)",245717,115053,468209,431138,417744,832076
"FA(38:5)",37005624,55363404,42555980,46329844,55160556,51538628
"FA(40:0)",6316653,4738574,5377079,5939677,5086900,6205241
"FA(40:5)",150520928,122467656,115679320,90220544,104219576,79368168
"FA(40:6)",1315271,1543180,2067880,186342,1276254,840501
"FA(42:0)",8027718,4456920,5303339,5349160,4961676,4586714
"FA(42:12)",39220,15003,139848,478295,109111,229180
"FA(42:5)",115588040,84557280,83681232,56608968,78626744,52067028
"FA(42:8)",2612195,2347234,2752524,2033605,2415436,1737068
"FA(44:0)",3546166,3236060,2256411,4445114,2387246,2627614
"FA(44:1)",54127,11000,341343,NA,NA,NA
"FA(44:12)",50095,NA,51784,267228,1947,14226
"FA(44:5)",38311216,32243424,33485342,23538056,31536424,22535062
"LPA(12:0)",889792,1077767,700519,102214,303025,352701
"LPA(14:0)",9356847,10858954,9175095,1468446,4545174,3641920
"LPA(14:1)",5246926,6466782,6565249,227421,1590473,4244238
"LPA(18:1)",1632082,673677,1141119,34353,457631,4668624
"LPA(18:2)",1630375,1005179,2195656,120590,885844,1582164
"LPA(20:0)",82187448,90127832,78768384,56217176,75395776,58792472
"LPA(20:2)",3064803,3007770,2778570,3499754,3050834,3184864
"LPA(20:4)",396165,123718,158322,77579,281931,3087296
"LPA(22:1)",4576904,4182933,4866592,155256,2511852,2738596
"LPA(22:4)",1453374,1112570,1558540,1076583,1651544,660363
"LPA(22:5)",151937,276235,127767,402040,5565,292583
"LPA(24:0)",3584931,3806179,3981672,2353713,3452341,2752281
"LPA(24:1)",2221543,2527256,2980801,2451464,3152778,2195288
"LPC(14:0)",86161,294377,63016,144290,180756,374194
"LPC(16:0)",181033952,190575744,198123792,107923464,378066688,144141040
"LPC(16:1)",20517180,22790148,22664304,15742748,61927712,23159222
"LPC(16:2)",2694714,2819214,2863034,3709180,1997109,3835965
"LPC(16:4)",10518108,8527984,8979661,1766334,5920237,4776363
"LPC(18:0)",220587776,255097328,230663760,138045760,654547328,192259616
"LPC(18:1)",523612497,495289033,588287775,327521298,959024293,488162784
"LPC(18:2)",11420814,11608069,11343199,7934957,38269806,8957657
"LPC(18:4)",830848,1017579,559201,544369,1633572,736829
"LPC(18:5)",146303,797805,229861,743492,102110,719798
"LPC(20:0)",13279073,11855093,11473968,16705296,17541654,12287652
"LPC(20:1)",26813768,29912492,34319116,37102564,87907864,58948200
"LPC(20:3)",NA,NA,19906,NA,3009523,NA
"LPC(20:4)",994241,1011657,1248342,610916,3894541,1025834
"LPC(22:0)",11758914,11710004,6829538,8304016,7949530,5019862
"LPC(22:1)",4714898,5467798,5354836,14830813,20353438,23332792
"LPC(22:4)",533401,175873,NA,2292045,14170710,4117349
"LPC(22:5)",5936387,8007404,5827704,3462006,90892784,5950470
"LPC(22:6)",NA,1259,528,NA,7237306,230821
"LPC(24:1)",1797231,2493106,2532525,2367516,4069288,1785698
"LPC(24:2)",78290344,78385736,77888208,83711832,93393472,87602880
"LPC(24:4)",3349459,2141411,3772160,3024364,4111078,2260893
"LPC(24:6)",3667540,3820960,4577192,3833005,4257440,5590916
"LPC(26:0)",10819843,11003113,10906650,13075643,16129673,14131365
"LPC(26:2)",26581626,18799732,23674792,5590526,21529186,14164362
"LPC(26:3)",11386969,9091717,5049988,4983534,6167772,11396678
"LPC(26:4)",25824236,15701778,13459045,3084767,17169788,16694945
"LPC(26:5)",8029236,3917355,6321530,7336023,8992217,3772797
"LPC(26:6)",NA,NA,NA,1689415,2014095,1292528
"LPC(26:7)",NA,NA,167115,2170536,2116471,987331
"LPC(28:0)",209460315,187334941,220126702,272867852,273180388,269068986
"LPC(28:1)",28945687,35064599,35533616,57455485,66287438,59403328
"LPC(28:3)",40964020,29853960,40435476,14933307,32049904,28420728
"LPC(28:5)",3080612,3393312,2801222,681729,2145942,3549506
"LPC(30:0)",1598853164,1752253896,1722834688,1531688840,1877929656,1797451320
"LPC(30:1)",1146671164,1246864836,1251551232,1058540552,1277322904,1169181912
"LPC(30:2)",111276086,104469269,101489820,150064999,194064024,159504724
"LPC(30:3)",40423,121547,105965,182935,131947,245503
"LPC(30:5)",6151996,7733708,3461157,3757163,2514126,5027618
"LPC(30:7)",3363163,3437237,2777904,2365538,2276215,2471087
"LPC(32:0)",6284722688,6481831680,6491329664,6214816960,7373180928,6942402752
"LPC(32:1)",6492018800,6954336304,7037735200,5504507920,6880369392,6564047200
"LPC(32:2)",3298470320,3512541872,3607831888,4679757984,5754009536,4898234256
"LPC(32:3)",173086756,130848051,122604504,45251380,107929086,152566937
"LPC(32:4)",47605770,43259314,46500255,76490163,82449289,88622140
"LPC(32:5)",165158685,194558687,173209168,182194865,167677843,150738007
"LPC(32:7)",8387546,4988642,3034788,831072,4980756,4665444
"LPC(32:9)",17282568,12362747,13232533,11001230,13619525,15042730
"LPC(34:0)",2356638144,2618458560,2608375296,2727698944,3334371072,2955112384
"LPC(34:1)",20836445952,23447208704,22543783936,19603890560,21894857984,19468649216
"LPC(34:2)",7918189120,8951975200,8651740160,9257897344,11256415168,9906717664
"LPC(34:3)",411810720,437647832,396397972,344309288,470381168,390421664
"LPC(34:4)",4822598,4008875,5294906,2776598,3890914,4284115
"LPC(34:5)",230957760,253886018,244971619,177138469,226861544,196755494
"LPC(34:6)",48122846,49377151,46056572,31888973,44893192,36849679
"LPC(34:7)",21323984,16601170,20791590,19288308,15554361,16771851
"LPC(34:8)",1974598,1920369,1937092,12114755,9800731,9687857
"LPC(34:9)",1694989,2193224,2187348,21473206,21557800,23044208
"LPC(36:0)",476685380,469982288,467058560,431566268,571401928,528573200
"LPC(36:1)",1311796416,1589200960,1471523264,1462641664,1675258304,1441739392
"LPC(36:10)",60558136,56801252,38032888,377705,9452955,36310820
"LPC(36:2)",7824778704,8677125684,8183611612,8944284192,9587697088,8604225812
"LPC(36:3)",493942544,581226272,537449024,625704960,647181920,574743688
"LPC(36:4)",27449623,26009658,28677692,9963099,23598941,28489866
"LPC(36:5)",5693677288,6343935968,5733340320,4150670744,5014971824,4333669144
"LPC(36:6)",767445718,817256172,733623552,597479198,655961654,605334844
"LPC(36:7)",119422880,142495160,128689268,116624092,130568748,118592840
"LPC(36:8)",95476998,94425644,88937342,99179649,81043572,78904515
"LPC(36:9)",19765566,19983244,23743608,20731230,21985084,16745993
"LPC(38:0)",210554564,216021532,223709400,239231751,308060515,274322528
"LPC(38:1)",265865402,293678280,260016832,347050494,437683086,371147090
"LPC(38:10)",21183212,27937236,20246238,21831456,15710904,12867575
"LPC(38:2)",230184416,255933416,280164640,357250496,425717760,361742432
"LPC(38:4)",1735147440,1980727840,1861102384,1721465552,1999801344,1728022304
"LPC(38:5)",5368097088,5864655616,5764319424,5594370880,6152088960,5357645952
"LPC(38:6)",4012497144,4477975768,4208839720,3764664176,4580276624,4466330144
"LPC(38:7)",1778957608,1973968576,1798969420,1617107972,1622632692,1568965704
"LPC(38:8)",34178754,31274012,32792623,36631300,28343834,27116736
"LPC(38:9)",3832157,4158014,5557721,5225305,5116786,3780381
"LPC(40:1)",424033056,474903552,426573392,430165424,501835456,447764912
"LPC(40:11)",4016535,4473310,937159,8444401,3989924,4300206
"LPC(40:2)",173315584,149571282,142738218,104145452,145918792,149719218
"LPC(40:3)",244168208,299594112,277999000,176342648,229088548,252340568
