"subclass","OA_01","OA_02","OA_03","X2i_01","X2i_02","X2i_03"
"DG(16:0)",18205744,18279004,17901344,19088108,18153618,19486090
"DG(18:0)",19608948,22300290,18396952,17290300,18746132,19395352
"DG(20:0)",4719036,4931338,3469068,3784636,4406333,3945949
"DG(24:0)",31903772,19197830,26851182,15095673,33645872,15877740
"DG(24:1)",8314124,10299637,12456914,6112167,8476443,8150710
"DG(24:3)",1695201920,1591692800,1888516992,1361942528,1464268288,1237190912
"DG(26:1)",6734506,6674029,2247578,6515588,4549249,4122316
"DG(26:2)",86212528,83198256,87573184,83689536,89724792,95042112
"DG(26:3)",21731684,21567834,22319776,20706082,19576124,19147474
"DG(26:4)",178054240,175753232,180207184,163317872,157564112,159255920
"DG(28:2)",43295925,36308609,52351954,50271134,53176380,38247056
"DG(28:3)",3633081,1609172,3104924,8827397,11234265,4467054
"DG(30:0)",302049888,250119328,271768384,265267216,210401008,209204480
"DG(30:1)",84521112,82982000,55624542,84367468,64448804,77061364
"DG(30:2)",1174724480,582687424,897394624,578106176,630340672,410736416
"DG(30:3)",5070071,7077946,4777772,7232732,3586531,2340950
"DG(30:4)",17998932,15597111,25041270,33349782,15350138,11978586
"DG(30:6)",485200800,405318720,430747456,452867488,249742704,489402432
"DG(32:0)",304163184,223896288,288292824,198693464,160720384,144339912
"DG(32:1)",328223262,252179464,232280006,236005341,186502214,181437734
"DG(32:2)",121857808,72771384,91014400,76277624,64882776,60002760
"DG(32:3)",35322456,28668378,30312517,27450462,38643196,36590745
"DG(32:7)",8513218,10480782,24726496,9060625,11522130,6327886
"DG(34:0)",200245296,220820788,316932830,152565090,134795741,120525977
"DG(34:1)",2051566844,1528676200,1862182476,1640947448,1472041896,1313484408
"DG(34:2)",4843508106,3519703360,4382800288,3755350952,3221544295,2759534566
"DG(34:3)",795445724,490904388,633610500,473279573,462283982,424159628
"DG(34:4)",27013146,22792204,27671684,20658410,9121146,8271924
"DG(34:7)",237006928,216214224,177002672,110083056,258103696,257516256
"DG(36:0)",148785600,179467596,245975956,148164194,146451460,124633424
"DG(36:1)",3208406272,2567629760,2980637120,2806064960,2472333376,2160056704
"DG(36:2)",14919561454,13716056627,16353113963,14746772620,12778854492,11647770280
"DG(36:3)",3842025088,2617479968,3348081088,2590916576,2116235968,1879182752
"DG(36:4)",1331426352,1005980870,1069697184,959923950,847212916,879407402
"DG(36:5)",1235133968,1001605312,1314773040,1035975868,988959044,1237809002
"DG(36:6)",83959656,93617728,92807472,90103712,90689048,84585840
"DG(36:7)",101704440,93429384,102661992,55115464,119161608,100650064
"DG(38:1)",94154478,97682038,96335059,23752134,77156004,77972695
"DG(38:10)",24209384,16719517,11714984,9290550,8474379,10452960
"DG(38:2)",1681640880,1517251824,1714628928,1578777952,1466900700,1285824488
"DG(38:3)",642159624,526213984,628956420,492101970,438231940,421966550
"DG(38:4)",713563688,684300322,862908340,848402440,704221901,655221148
"DG(38:5)",739852290,670456043,780905990,760276863,697614006,622187738
"DG(38:6)",101226602,84334722,77638886,88441607,67416895,74140790
"DG(38:7)",52028782,42768593,34896021,29059406,31237114,23522772
"DG(38:8)",32657031,23408433,18616413,16823147,9648383,17759160
"DG(38:9)",4733442,1890516,2144198,1359144,1918488,1749555
"DG(40:0)",200948496,215607376,188859280,108939868,136453160,174029432
"DG(40:1)",207481032,235857200,217211608,84494328,126195632,149405880
"DG(40:10)",63346408,32556528,18320372,16999392,18005178,26586274
"DG(40:11)",510887,702657,838503,225642,1657797,929878
"DG(40:2)",707281818,777651626,797127314,841742782,809195930,774204915
"DG(40:3)",34017908,29501068,27058500,27901970,19843398,18463670
"DG(40:4)",337161522,301558502,288460910,261985602,204472158,193557108
"DG(40:5)",450626064,424242368,513641624,477110272,453188864,370008608
"DG(40:6)",2360174260,1319465196,1038782292,939348944,1067999876,1115334536
"DG(40:7)",610254420,600971512,705602400,626828868,548888860,492425888
"DG(40:8)",68781528,81518640,49003816,43569080,63026452,29935666
"DG(40:9)",33096744,14345789,8425139,12085185,13260196,16587029
"DG(42:0)",7455139,7445434,9636252,2896790,8699240,8144877
"DG(42:2)",44938416,40567040,35718088,36394048,31239004,26687592
"DG(42:4)",15136774,20223998,12875549,2614443,8957752,12780736
"DG(42:5)",12354347,9111379,8557931,11224085,11105626,10752602
"DG(42:6)",28100834,30830690,28789950,27648070,32851002,30881624
"DG(42:7)",136671044,130921756,125182192,111402892,79667416,86635360
"DG(42:9)",26138552,19653628,30748692,25345866,18192188,18634336
"DG(44:7)",466907402,445400368,461877726,389559502,334628694,321578322
"DG(44:8)",125983592,110674056,127920512,93485128,75744824,82764000
"DG(44:9)",108648968,82268120,102455512,65853272,43785316,51725684
"DG(46:1)",3943888,4962517,5941173,5922076,12672327,18987446
"DG(46:7)",164260270,154144932,180939510,153936022,143649470,123779134
"DG(46:8)",64114512,67980168,67147640,53652348,58617580,57363036
"DG(46:9)",5893052,6180677,8014546,5172536,4540020,4000494
"DG(48:0)",NA,757312,478060,1012206,5271873,3001016
"DG(48:1)",5623321,3291734,7127334,6490392,21808668,14880971
"DG(48:2)",19768014,20326716,26352122,25089054,47751836,58497804
"DG(48:3)",8674468,7051498,11298951,6995727,1301816,13090819
"DG(48:7)",87231792,82319664,82477240,75794512,80047208,79704352
"DG(50:0)",650400,NA,984105,843254,4504167,2283425
"DG(50:1)",12197240,15946083,21416332,19219674,74117840,53390508
"DG(50:2)",36416904,51553756,57606808,49496152,151046464,126563168
"DG(50:3)",8641200,12664896,12220920,10248555,27991676,28304206
"DG(50:7)",28926048,58469656,22954874,43027484,46691308,65330804
"DG(50:8)",71626986,63099215,68323704,54901956,72297350,61240827
"DG(52:1)",4065453,6034756,7572071,5218024,35313584,24340710
"DG(52:10)",4969264,4943520,NA,2894964,683148,706923
"DG(52:11)",104289280,139516352,122699752,21920882,57040392,73724888
"DG(52:2)",130211328,153769216,222715056,174849152,719641152,506358176
"DG(52:3)",84749114,108151884,129904918,113519964,343302872,281609608
"DG(52:8)",15465371,21498718,14453635,16536351,17916642,19187840
"DG(54:10)",20022124,15585823,17759834,18842264,12070846,12668115
"DG(54:14)",13995659,18373630,65137380,3331928,36450328,47185588
"DG(54:2)",8825266,11765308,18869424,14336728,85558056,55489504
"DG(54:3)",213732144,242027600,325125248,272756768,1019863872,775055040
"DG(54:4)",21154427,21626362,24550462,24947874,71217202,60107200
"DG(54:5)",26905020,35058244,40287348,36072636,94280976,71915560
"DG(54:6)",45208690,63016002,51877720,57362460,84702702,68940132
"DG(54:8)",9442447,4511455,982663,3925359,5998600,10232283
"DG(56:10)",11319152,3816581,11464237,11583230,1720749,5381646
"DG(56:12)",54608344,35121204,36175436,22753580,21753702,21695464
"DG(56:13)",32583554,24185390,21222414,17816256,31990566,22201986
"DG(56:3)",2843655,3747607,8310043,3803873,32018228,21435772
"DG(56:5)",11482833,8926116,11036531,10343711,31601036,26322862
"DG(56:6)",132964478,146714821,169042735,146374649,328320358,264321314
"DG(56:7)",102701104,134936512,128573912,123589472,209288272,153393648
"DG(58:6)",47249775,52350256,49387196,42085284,70842528,61047095
"DG(58:7)",113380316,128220684,145332672,133116096,305371108,260544412
"DG(58:8)",59062692,91991512,96435912,83661248,148713136,132809824
"DG(58:9)",47688872,57506448,37003556,36379540,63105180,64751116
"DG(60:17)",9974234,17594206,10666348,7687896,24240950,4747550
"DG(60:6)",2175946,1203888,5227922,2383605,22945062,11417736
"DG(60:7)",4671749,8221986,4614934,4466126,4763936,3836128
"DG(62:13)",12589919,14389605,12310378,746427,8068228,7266880
"DG(62:14)",15134910,21625316,17747756,22300766,17542306,17521526
"DG(62:17)",41551312,23249836,2499740,7657134,7584336,11046936
"DG(62:6)",7751938,10880233,4147677,3846682,4246980,5052664
"DG(62:7)",4404361,6150176,6759408,2326390,4842558,3875970
"DG(64:15)",13409436,13221513,14302506,1997526,6983798,6569422
"DG(64:18)",6925501952,6043212288,4809676800,4727871488,3494353920,5555923456
"DG(66:17)",9148154,12535275,5721970,7333741,14439533,16172598
"DG(66:18)",26666570,25906366,17566178,15494679,20819574,18632834
"DG(68:15)",NA,NA,NA,NA,217967,200934
"DG(70:15)",15016484,24467592,6299130,10958348,23090302,11900860
"DG(70:16)",71993120,138312352,34952596,92186680,92312480,99330320
"DG(80:21)",25982440,31481902,14620530,5380375,23750960,17153958
"DG(82:19)",13985722,11716523,7055696,2656163,8817753,10346369
"DG(82:21)",32094086,42709296,21473190,6794776,47246876,37141428
"FA(14:0)",4836360,4551558,5061350,1836988,2181910,2199335
"FA(14:1)",1774016,648489,NA,1644587,1820835,2476461
"FA(16:0)",243259024,236588624,269836160,199812992,199309680,205055904
"FA(16:1)",3603561,3575607,3667602,1182888,2198317,1342826
"FA(16:4)",1982268,7575810,9735491,10693009,1648559,7181490
"FA(18:0)",270245664,230245008,272842720,222628864,185002464,196801776
"FA(18:1)",187874752,149510192,174898304,122196832,126475160,98910160
"FA(18:2)",189862592,180907792,191805600,72328064,101432400,116562936
