"subclass","1i_01","1i_02","1i_03","1i_2i_01","1i_2i_02","1i_2i_03","2i_01","2i_02","2i_03","OA_01","OA_02","OA_03"
"TG(10:0)",189631919.333333,223049489.666667,223266880.666667,114719036.333333,187880727.333333,183103022.666667,251983440,315039407.333333,284182500,281239038,258477205,243580000.666667
"TG(12:0)",30091442.6666667,25368732.3333333,17946505.3333333,32233236.6666667,59007669.3333333,86002966.3333333,42472895.6666667,46254113,39185171.3333333,45836320.3333333,46259310,58710657.6666667
"TG(14:0)",3015176228.33333,3329126030.66667,3582478564.66667,1456754866.66667,1513741797,1459511085.66667,2725089439,4080611915.66667,3985253035.33333,2591162771,2983246531.66667,2638621688.66667
"TG(14:1)",604766260.666667,675086950,792710477.666667,399257769.333333,379944568.333333,287056385.666667,535771844,780167196.333333,730577910,526826654,582860195.333333,516585000.333333
"TG(16:0)",12732567779.6667,13265944607.3333,14428791378.6667,5266465447,5055373828.66667,4446166975,8285139469.33333,12743135738.3333,11631171678.3333,6794445069,8286980596,8241570848.33333
"TG(16:1)",25462668872.6667,28592395895.3333,32827008435.3333,7867790056.66667,6499774928.66667,5736543326.33333,18607189969,26964801336.6667,24914497409.3333,15164460320.3333,18375928491,17277443132
"TG(16:2)",28385243.3333333,30588937.3333333,19182200.3333333,41847225.3333333,57164721.3333333,56960611,54884335,60874216,57040062.3333333,61705272.3333333,64802838.6666667,63116386.6666667
"TG(16:3)",176496182,180857110.666667,165036256.666667,193351291.666667,167556251.666667,194739074.666667,221289974.666667,238854377.333333,193435219.333333,245711971,240912678,326280083
"TG(16:4)",700128773,504269545.333333,564331471,583998285.666667,1207650854.66667,1504548878.66667,1264328289.33333,1152447393.33333,940593149.666667,1476554112,1469368075.66667,1598310009.66667
"TG(18:0)",19614241953,21756516405.6667,24699685737.6667,5530231247,4428350903,3439670209.33333,9634552154,17254925925,15718958749.6667,8165856624.33333,9870838515.33333,10189740524.6667
"TG(18:1)",248745289416,278619808154.667,309427659062.667,69417273903,54231672453.3333,42190199469.3333,147068651598.333,219924572743.333,205362970722,124755695015.333,153334788414.333,149636186914.667
"TG(18:2)",19856237470,20114780479.3333,21048811851,15239842191.6667,16429553760.6667,16991963980.6667,19599403424.6667,23991301374,22704546816.6667,18250357738,19896287669.3333,19921875749.6667
"TG(18:3)",2041433623,2174877657.33333,2418547708.33333,1334739906.66667,1484303488.33333,1529860302,2266041750,2785597090.33333,2492071564.33333,2098361400,2276014491.33333,2202779333
"TG(18:4)",10459188,4311744.66666667,4132083,6833444.66666667,30885854,34632604.6666667,33282347,37011152,23357946,37523514.6666667,54757032,30649112
"TG(18:5)",522206687.666667,545798459,519697754.333333,923001501.333333,1406520673.33333,2401059451.66667,755893514.666667,1480021483,733989953.666667,1418293226,1566140100.33333,808007452.666667
"TG(20:0)",9668485.66666667,12272954.6666667,10638407.6666667,10235814.6666667,19755294.3333333,15926624,10873439,16509794,16716042.6666667,23222090.6666667,15111136.6666667,11774737.3333333
"TG(20:1)",12279819209.3333,14034850493.6667,16860870402,2849493331.66667,1859343875.33333,1253540869.33333,4248727974.33333,9447527737,8211037296.66667,3676838363,4668439324.33333,5069766474.66667
"TG(20:2)",552997368,384117302.666667,605523740.666667,225034646.666667,184810929.333333,156941744,387720998,538102410.666667,489837606.666667,353673754.666667,425087488,414687741.333333
"TG(20:3)",2591348673.66667,3007842991.33333,3459463603.66667,1447429111.33333,1322912266,1111769650,1477234602.33333,2413355864.66667,2340836338.66667,1978101953.33333,1842358559.33333,1501986778
"TG(20:4)",2539023383.33333,3014788561.33333,3581700775.33333,1028139656.33333,1002747086,967181183.333333,2060206444.66667,2910448574.33333,2473455237.33333,1812586970.66667,2127040060.66667,1843994114.33333
"TG(20:5)",1059850400.66667,1202413676.33333,1423592493.33333,631739243.333333,675782592,559026332.666667,957286392,1308354777,1196419028.33333,952621215,984521526.333333,834687419
"TG(22:0)",25705154.6666667,15071130,23847964.6666667,23745470,25993798.6666667,27884020,25539491.6666667,31998187.3333333,30519335.3333333,31412832,27716862,33844852
"TG(22:1)",1215742646,1456684927.33333,1808158291.33333,265526485,167067933.666667,97358993.3333333,361720685.333333,1083176105.33333,822947632.666667,291416463,354621951.333333,428860980.333333
"TG(22:2)",27878616,29572752,29549005.3333333,29070104,40707424,48208976,40220456,40072010.6666667,39015520,53664309.3333333,56965941.3333333,47611402.6666667
"TG(22:3)",547155402.666667,614339500.666667,686881991.666667,333405862.333333,313212752,279684111.666667,323987017,533788197,488782487.333333,322540402,348837480.666667,363435236.333333
"TG(22:4)",13187959117.6667,15066683586,17505949857,4795299062.66667,3762943630.66667,2974189612.66667,7921981479,11697732557.3333,10449108434,6709409614.66667,8027702976.33333,7595820252
"TG(22:5)",18778602525.6667,21978417889.3333,25209189216,6749441072.33333,5607890225,4421220439.33333,10960185030.3333,15539987853,14153065187,10010810613,11854457492.6667,10838332537
"TG(22:6)",8569558903.66667,9740764662.66667,12082272767,2446994033.66667,2105100754,1684841930,6798630168,8844029821.66667,7816082081,5513055642,6765400889.33333,6045277120.33333
"TG(24:0)",18940278.6666667,17188226,13257985.6666667,13669059.3333333,16170640.6666667,24605375,17312411.3333333,20682733.3333333,20111498,11086804.3333333,10934874.6666667,11457269.3333333
"TG(24:1)",8634445.66666667,9193545.33333333,11810653.6666667,6950461.33333333,9078868,7454366,4530774.33333333,8440452.66666667,4819115.33333333,2851103,3629509.33333333,3939654.66666667
"TG(24:2)",52941059.3333333,64911119.3333333,74859354,14823705.3333333,13005123,8858392.33333333,72541070.6666667,117372208,105491592,55036789.3333333,62725208,57714513.3333333
"TG(24:4)",49070310,62045289.3333333,73271046.6666667,29252980,18929306.6666667,13994677.3333333,14819538.6666667,37466980,28916474.6666667,18005646,19379093.3333333,19637349.3333333
"TG(24:5)",67544629.3333333,74036797.3333333,108910398.666667,41690196,29919562.6666667,22660571.3333333,31842247.3333333,60779688,52173396,34909026,34708174,37399191.3333333
"TG(24:6)",26185742.3333333,49037660.3333333,45305190.3333333,89282756.6666667,80041611.3333333,66721368,37237115.6666667,59384601.3333333,85135699,96201444,75021002,29862168.6666667
"TG(26:1)",158099.333333333,675691,526425,810948.666666667,383750.333333333,752444,329985.666666667,1088903,457831.333333333,408.666666666667,224969.666666667,159283
"TG(26:4)",6313078.66666667,6595818,8676329.33333333,5697976.66666667,2961186.33333333,5633841.33333333,4250074.33333333,4494535,5193201.33333333,3874121,4554148,4266530
"TG(26:5)",114875,NA,NA,502314.666666667,14009.6666666667,1375738.66666667,40582.6666666667,576488,560798.666666667,125456,235317.333333333,164577
"TG(26:6)",1645313.66666667,2031344.66666667,1858072,1767846.66666667,1803181.33333333,8928655.33333333,1964092,2075297.33333333,1845716,2131346,2048260.66666667,1718586.66666667
"TG(26:7)",343204756.333333,451150896.666667,381923187.333333,607768738.333333,596608433.666667,586709840,185704953,268392848,346493718.666667,568014470.333333,355721297.666667,129202352
"TG(28:3)",6289582.66666667,7448961.33333333,13605997.3333333,6790742,9596449.33333333,7680452.66666667,7673687.33333333,6644226,5177783.33333333,5155035.66666667,5704724,6440530
"TG(28:4)",5645527.33333333,4447499.33333333,7500228,9569708.66666667,7598174.66666667,8313288,7618525.33333333,9831676.66666667,5723925.33333333,7387608,9918306,2595190.66666667
"TG(28:5)",3590991.33333333,3815140.66666667,1559643,3045879.33333333,1657038.66666667,5463901,4336801.66666667,4357223,6969536.66666667,1531983.33333333,3182461,897800.666666667
"TG(28:6)",5296335,6653712.66666667,8356305.33333333,7029474.66666667,4242570.33333333,11354888,13470366.6666667,14946850.6666667,10996078.6666667,11586841.3333333,15261685.3333333,11660653.3333333
"TG(28:7)",5788236.33333333,7838889,8439981.33333333,13459295.3333333,8771828.33333333,11872741.6666667,11997673.3333333,13596502.6666667,6551222.66666667,14471059.3333333,16799498,9836777
"TG(30:2)",5083380.33333333,5633311.33333333,7262018,5383351.66666667,5986920,5683818.66666667,5228832.33333333,4968130,4824688.66666667,4416031,5158018.66666667,4686966.33333333
"TG(30:5)",19400485.3333333,24326570.6666667,20096320,16995970.6666667,16038153.3333333,24668573.3333333,14189008,20120845.3333333,36827373.3333333,33033418.6666667,21676528,21564540
"TG(30:8)",43091994.6666667,21779016,23197669.3333333,47117721,180168372.666667,375335696.333333,134606228.333333,126225323.333333,79471944.6666667,220710940,199767161.333333,144023717.333333
"TG(32:2)",1735155.33333333,2543840,3115740.66666667,1475310,2327078,4056053.33333333,3055967,2968528.66666667,2883578,5394148.66666667,5698437.33333333,5425398
"TG(32:3)",406768.333333333,236779.333333333,329797,1349491,4417367,2318062,1886693.66666667,3141442,2974907.66666667,4373371.66666667,4788793.33333333,5399501
"TG(32:4)",7306162,7846691.33333333,9616674.66666667,7419526,8298844.66666667,9854490,8771310,7858492.66666667,7644754.66666667,8050988.66666667,7642046,9943569.33333333
"TG(32:7)",15179341.3333333,23153296,15333113.3333333,26074986.6666667,18759549.3333333,20478900,10854961.3333333,12139485.3333333,40948784,46587354.6666667,37798981.3333333,14446989.3333333
"TG(32:9)",131898852.333333,44177529.3333333,57597375.6666667,51833916.6666667,162043830,91499412.3333333,326381926.666667,293425338,230088263.666667,290356551.333333,316026588.333333,493606029.333333
"TG(34:1)",8572206,5434891.33333333,5255777,5156272.66666667,6308386,6429010.66666667,8297757.33333333,10601582.6666667,9519733.33333333,5771960,9361088,5425868
"TG(34:3)",4865758.33333333,6777892.66666667,6516081.33333333,10408.3333333333,10246,2625.66666666667,1984428.66666667,2041892,1550884,NA,2243538,2074126
"TG(34:5)",13328716,13136200,16908865.3333333,11439489.3333333,16427341.3333333,14991348,13736826.6666667,16799401.3333333,14254662.6666667,12602780,15446780,15209438.6666667
"TG(34:9)",15809347,14970214.6666667,7750310.66666667,22889534,47213545.3333333,58228419.3333333,41583640,34707653.6666667,33728783.3333333,62781726.6666667,48831388.6666667,54630207
"TG(36:0)",121075754.666667,125760256,134978848,31838157.3333333,21964585.3333333,14303449.3333333,69757525.3333333,108114474.666667,83109322.6666667,56584640,69097296,72329429.3333333
"TG(36:1)",1277756.33333333,1463453.33333333,1401812.33333333,1477128.33333333,1471939.33333333,1465328.33333333,1443652.66666667,949834.333333333,1135344.33333333,1536276,1221319.66666667,2027433.33333333
"TG(36:10)",234527208,212654648.666667,227143469,554546723.666667,1130873643.33333,2104269352.66667,702435526.666667,1389309621.66667,662474134,1327299813.66667,1458531650.66667,752359667.333333
"TG(36:2)",5740322,726992,1159561,3865881.33333333,3203367,5799004,8975180.66666667,2114912.66666667,4861407.66666667,8083629.33333333,6904864,18760118.6666667
"TG(36:3)",45967071.3333333,61949137,59660010.6666667,20322194.6666667,14929664.3333333,18380123.6666667,27251801,67709592,29558121,30898284,31429206.3333333,39486950.6666667
"TG(36:4)",18627552,20572469.3333333,11484944,29180565.3333333,47710042.6666667,55019856,36560624,34675413.3333333,37469269.3333333,43951096,48213856,44333629.3333333
"TG(38:1)",2060775,1885517,2064698,728114.666666667,954093.333333333,945319,1866.33333333333,1715250.66666667,1364707.66666667,337234,532812.666666667,704936
"TG(38:10)",94942059.6666667,68111802.3333333,74699603.6666667,74829846.3333333,132087337.333333,87591806.3333333,200632207,196298706,173822275.666667,238766663.666667,261923410.666667,269228506
"TG(38:2)",17077472,19723969.3333333,25280664,5169204.66666667,4173465,3514814.33333333,14744746.6666667,21750420,13143121.3333333,7204606.66666667,17341873.3333333,17821313.3333333
"TG(38:4)",4627169.33333333,9816168.66666667,4828282.66666667,5670049.66666667,4959247.66666667,3611639.66666667,4000429.33333333,2678016.33333333,5837544.66666667,6780837.33333333,9993412.66666667,5541708
"TG(38:7)",120326412.666667,146288756,202608224,51179810.3333333,67403276.3333333,57439971.3333333,156622507.333333,238629035.666667,200880998,161290756,191052005.666667,123195647.333333
"TG(38:8)",16207073,25852135.6666667,21049619.3333333,37477929.6666667,41651817.3333333,44032893.3333333,17582064,30764435.3333333,43860713.3333333,55478881.3333333,41167315,13193255
"TG(38:9)",5616939.33333333,7686663,5737480.33333333,8116180.66666667,13831352.6666667,17247013,11956394.6666667,9707671,10187685.3333333,16703414,13193509.6666667,15309381.3333333
"TG(8:0)",2125123052.33333,2265647009.66667,2400610790.33333,2496543358,3584376066,4660688080.66667,3220045402,4426166709,3576584404.66667,4531334364.66667,4639120097.66667,3618340873
