"subclass","1i_01","1i_02","1i_03","1i_2i_01","1i_2i_02","1i_2i_03","2i_01","2i_02","2i_03","OA_01","OA_02","OA_03"
"PE(40:10)",150644,137923,1887675,128436.5,1679707,1354446.5,1594030.5,1632583.5,1848009,1600322,1736862.5,1954423.5
"PE(40:11)",1772570,2030276,590923.5,2208928.5,148470.5,436396.5,NA,NA,NA,NA,NA,NA
"PE(40:5)",474028.5,277998.5,214914,712971,960659,2437038,804042.5,1102232.5,2221696,2211739.5,1878060.5,2186450
"PE(40:6)",68230,82463.5,82604,116294,582036,786746,278550.5,633532.5,468301,639677.5,1033296,1153937.5
"PE(40:8)",344160.5,527069,265245.5,1128307.5,2198757,2558319,893372,1582366.5,1933606.5,2945778,2850987,2130122.5
"PE(42:12)",3434501,3586176.5,4282590,4496654,4875699.5,9979133.5,3239161,3236283.5,2576492.5,3960599,3775680,3400837.5
"PE(42:2)",288346,370999,541069,149477,546586,178037,158724,489937.5,492986.5,160796,274257.5,566045
"PE(42:7)",273411.5,299937,416503.5,374461,210186,360369,537677.5,579647,395240,189231,673936.5,507535
"PE(42:9)",560220,757234,769356.5,585964.5,868272,2552967,470815.5,839232,1057039,1338396,1961823,1633623
"PE(44:1)",367875,12416.5,31173.5,8994,NA,NA,122994.5,121199,NA,8399.5,NA,50840
"PE(44:10)",NA,NA,74567,527633,883510,1583855,82504,852124,751486,1215133.5,1441241,625464
"PE(44:11)",133092.5,40006,77532,578446.5,1555034.5,1815085,404418.5,1194764,1195896,1611078,2011913,1400723.5
"PE(44:12)",468481228.5,508149260.5,526554290.5,428228912,561216742,536642063,538931354.5,511675371.5,536636527,522860722.5,601786845.5,589991381.5
"PE(44:2)",139752.5,125371,186035.5,116747.5,NA,NA,NA,NA,21927.5,NA,21800,35423
"PE(44:6)",414207.5,627129,421917,366502,887049.5,1265501,459755.5,393536.5,480650,923509.5,711894.5,1196173
"PE(44:7)",936321.5,870758.5,1047513.5,486395.5,1345388.5,633806.5,960155,2322410.5,2034941,1451435.5,1184005,2004525
"PE(44:8)",110120,107373.5,306320.5,302349,550582,814243.5,294049,859199.5,715114,710792.5,380136.5,854642
"PE(44:9)",NA,22835,68207.5,343241.5,527622,1759202,157296,572614,904971,1046154,1559017.5,1230718
"PE(8:0)",247463074.5,155646774,174150292.5,164132608,212499611.5,220231570.5,294885609,306135478.5,190660472,257079814.5,297175510,303616715.5
"PG(10:0)",20517558,24052885,24620447.5,23088413,25315220.5,24162578,8863670.5,9929788,8856733,11541483.5,11016578,10985848
"PG(12:0)",34126794,38517315,48689436.5,39807701.5,47975222,51549986.5,36375035.5,52074954.5,47925309.5,60681887.5,52889633.5,45306355.5
"PG(14:0)",24731860,21743906.5,41411589,22355475,33666994,33328572.5,30330380,33660678.5,35339850.5,35118318.5,36162778.5,45943307
"PG(14:1)",48780589.5,14141796,58378400,44868641.5,49384171.5,47101808,49098712,49859851,14834034.5,34445986.5,47317807,46839873
"PG(16:0)",534177671,522079710,779785481,432486699.5,601763859,584016803.5,534292529.5,531502597,544278596.5,597500963.5,609152725.5,630839894
"PG(16:1)",32471852.5,33811082.5,50823200.5,29464594.5,46767678.5,41824872,41479056.5,42908955.5,36304596.5,48706592.5,44712435.5,46117787.5
"PG(16:2)",2012888.5,1670614,1506707.5,2351248.5,1323179,986320.5,1971715.5,2693909.5,2258207,2149290,2420688.5,2015868
"PG(16:3)",2309787.5,2725197.5,2132506,2416902.5,2396025,2876085,2391475,3185824.5,2595827.5,2392811,2515075.5,2296811
"PG(16:4)",22806701.5,25223402.5,27695579.5,14267986,25130394.5,24379644.5,25943470,26593605,25431632,15307377.5,23671077.5,21209266.5
"PG(18:0)",30917697.5,32789161.5,43217716,27356931.5,42363259,42699695,33815162,37577856,38691334.5,42426124,47924305,46252635
"PG(18:1)",1232869134.5,1301945720.5,1757108974,1052109357,1386790431,1283237571,1273643653.5,1269524642,1222744123.5,1266842662,1334589621.5,1333532493.5
"PG(18:2)",7350939.5,7718584,10086878,8854729,16904287,26061753,14314073.5,19795762.5,21168319.5,25546255.5,31095260,28616056.5
"PG(18:3)",28433343,31823431,38496390,29306505,27674488,23719580.5,26519267,25588807.5,21101361.5,23126469,21620762,21707374.5
"PG(18:4)",559470,1580799.5,1399074.5,1433327.5,1223570,1529113.5,1315852,1527815,1559378.5,1667778,1411150,1341238.5
"PG(18:5)",760268,1170460.5,1381756.5,1307736.5,879489.5,1393745.5,1367728,1286463.5,1548205.5,1501410.5,1440333,1511606
"PG(2:0)",33993308,32582003.5,40334073.5,38003839,38982489.5,49484534.5,37563841.5,45091284,44294855,54798940,46194357.5,45188444
"PG(20:0)",13365812,14417718,18832796,12806953,21367374,16594906,14473833,14601363,11812501,13058163,12212419,12114535
"PG(20:1)",1995742.5,1767964,816831,3214356,3117851,2998738.5,1380284,3522305,3367183,3611182,3111466.5,3744594.5
"PG(20:2)",12036809,13257382,14995602.5,15692842.5,20735208,25621968,15165830.5,17796278.5,22290995.5,24405965,25946431.5,21564478
"PG(20:3)",3382268,3379810,4847791.5,3392458,4104117,3761710.5,3374595.5,3578994,2950383,3115353.5,3392721.5,3774630
"PG(20:4)",48798489.5,54105024,79259496.5,74021981.5,76062169,79192071.5,46269670,48336780.5,40405275.5,40308937.5,50686015.5,46789713.5
"PG(20:5)",24935639,22875710,21785414,22012146,22035455,21123229,23681435,21490080,20255362,20351134,18717763,19105854.5
"PG(22:0)",3883205,3134262,3710432.5,6293822.5,8624255,15829577,5714415.5,8128886.5,12776489,13929017,11885257,11974445
"PG(22:1)",41481928,53398220,53762188,45256648,55368872,54518488,50507500,49776968,44184868,43108124,51219276,41069372
"PG(22:2)",4408146,5885818,4219320.5,15595713.5,54893517,58153990,7687789.5,26628965,21528153,28735582,32317006,27037201
"PG(22:3)",7897445.5,9162909.5,11240867.5,10871526,12217011.5,12045154,4046829.5,4426165,3247279,4208256.5,4640839.5,4185945.5
"PG(22:4)",11978414,11213905,15838461,18192300,19610792.5,21113165,9679908,13311197.5,9878871,8399108.5,10224868.5,9407835.5
"PG(22:5)",75460111,80138178.5,91875913.5,92629713,111004675.5,108191817,67809263,69645811.5,61936314.5,77163106,75003013,70492140
"PG(22:6)",250931485.5,278204433.5,343558259.5,305273276.5,360495775.5,327193680,229483715.5,232126773.5,207145708,229440516,234252295.5,223944467.5
"PG(24:0)",9456000.5,14785374,21143792.5,6188756.5,16128584.5,15313058,33063314,29412848,33982035.5,41907042.5,44673306,36784033
"PG(24:1)",1555072,1261118.5,1869002,1652429,1688160.5,1793765.5,2025755,1886161.5,2059513,2065734,1895299.5,2251066
"PG(24:2)",48471641,13592014.5,57540375,44655022,48800576.5,46792504,48223562.5,49300303,14659034.5,34194902.5,47122786,45862566
"PG(24:4)",17164572.5,23988493,23156291,24554642.5,22655072.5,18680989,9734177,11126944,9526896,8119116.5,8057344.5,8104599
"PG(26:0)",505089.5,297268,457488.5,451893.5,90611.5,260818,169846,228999,234239.5,127646,225560.5,114026
"PG(26:1)",27214711.5,35166774.5,46382459,22949003.5,37355756,42728999.5,50344643.5,51568922,52183967,60937259.5,71801797.5,61272429
"PG(26:2)",40815676.5,36038210.5,45838625,32009586.5,39928789.5,48500931,34067185.5,53236354,58483276,51616127.5,68124955,55377584
"PG(26:4)",128769466.5,142227524.5,144359112,129955207,164348620,172513497.5,125080912,138565842.5,138473553.5,136006252.5,160640923.5,142727619.5
"PG(4:0)",7717004,7028293.5,9750332.5,7676357.5,10474150.5,14775171.5,8156782,10027153,7549713.5,10601856,7917893,10073461
"PG(6:0)",11782616.5,10822554.5,11010228.5,11031784.5,9378338.5,9094673,1150927.5,1106695.5,1685822,1402762,2041453,2405261
"PG(8:0)",6531832.5,7349389.5,7954000,8188995.5,9500037,8766493,2249557,1843147.5,2167816,1236096.5,1755576.5,2207557
"PI(10:0)",5845756,5545789.5,5645278.5,5045155.5,4768562,4792638,5763022.5,5404935,5062211,4902454,4804964.5,5076088
"PI(12:0)",863547.5,750857.5,1019583.5,315278.5,1440323.5,1210561,825327,667659,1003198.5,251280.5,891795.5,484469.5
"PI(14:0)",5188692,4884821.5,8306395.5,3736230,4088631,2943932.5,4822680.5,5700916.5,5097722,5420718.5,4056224.5,7117421
"PI(14:1)",4461384,4860944,8432588.5,2344414,6010867.5,4631485,3189743,4087168.5,4386185.5,4363338.5,3908949.5,4928576.5
"PI(16:0)",22177288.5,25300134.5,66460720.5,15163709,35343052,19052750.5,37474494.5,64612498.5,71332236.5,38329148.5,39867428,83089235
"PI(16:1)",10877925,12054381.5,22202170,6649083,17571587,11241406.5,11676401,23367937.5,25072583,15043854.5,13396430.5,23522032
"PI(16:2)",1271436.5,1344896.5,1036994,636733.5,875610.5,717891.5,671551.5,932786.5,743839,531945,565257,1114980.5
"PI(16:3)",2426396,2374055,2412599,2175103,2015612.5,1787659,2498411.5,2494661,2150621,2528219,2719585.5,2220731.5
"PI(16:4)",2363002,3418586,4156175,3052468.5,3137222,3190882,3584134.5,3429463,3624852,4757298.5,4572614,5145795
"PI(18:0)",942962848,790158322.5,1869625409,622650217.5,1721564302,943151092.5,989847866,1736037566,1808889761.5,1097207044,1039634927.5,2052255695
"PI(18:1)",1036813686.5,882058479,2206337893.5,754322871.5,2172391927.5,1179304865,1273896495,2304582701,2404892580,1427025622.5,1372921073.5,2686258661.5
"PI(18:2)",25789836.5,21878400,61373915.5,15705881.5,65251758,31738857.5,30957429,42407346,42110140.5,30000442.5,33411771,60092044.5
"PI(18:3)",265563,136603.5,301389.5,266175,241318.5,180746,49396,460608.5,414993.5,192992,293409,565602.5
"PI(18:5)",3612406.5,3174982,6809016.5,2421954,6371021,3147842.5,3514266,7532237.5,7715872,3753607.5,3509355,8052035.5
"PI(2:0)",21435922.5,20186397,23671150,22747489.5,23750325,24026259,22859954,24149466.5,16852423.5,13325069.5,20859920,21252200.5
"PI(20:0)",181911,42622,131105.5,223116.5,1230773.5,437790,151430,550114,641433.5,438599.5,300519,993324
"PI(20:1)",7244023,6202807,14038684,5259074,15912541,8385608,10896659.5,20431304.5,20451043,10113762,9634283.5,23691897
"PI(20:2)",10743648,9916354,16305545.5,9069954.5,13697460,9659319.5,13022320.5,17273325,16644956,12763285.5,11913345.5,17461703.5
"PI(20:3)",40718304,32853135,77139005,31584157.5,85979988.5,51165035.5,42234801,73675266.5,76477817.5,49453994.5,48229566,88175042
"PI(20:4)",641080493,560423461,1152325699,441672198,1084488890,668199387.5,618279218,960956774.5,999473506,705630128.5,688430805,1087781393.5
"PI(20:5)",35001136,34317645,58128443.5,30400092.5,64134653,37031423,32435160,43702433,46033308.5,39604115.5,36856410.5,49910441
"PI(22:0)",19336,90230,111394,113184,102369.5,NA,33344.5,NA,NA,NA,NA,NA
"PI(22:1)",273060.5,239573.5,498623,308645,910667,536762,111984,112949,125740,88734,120512.5,113008.5
"PI(22:2)",46237.5,28131,3134.5,76637,139660,179056.5,67259.5,123674.5,260176,90871.5,412340,272832
"PI(22:3)",3832842,3660109,9993422,2629123.5,5208586,2499657,3913023,6187463,4649960,4355919.5,2456783.5,6991262
"PI(22:4)",16299149,14065927.5,32510301,16336499,40329063,25162531.5,17682186,31526217,30340991,20716525.5,19879769.5,34534343
"PI(22:5)",37223483.5,33814896,69978140,26859078.5,66663765.5,42214430,41018566.5,61479284,62470482.5,47190684,46211734,72028278.5
"PI(22:6)",27524302.5,27235652.5,53573092.5,20384405.5,45010685,28281896,31383788.5,44689026,44337909.5,34108073,37098136.5,51673717.5
"PI(24:2)",116631,117604,168119.5,75903,270309,186517.5,NA,NA,NA,NA,9205.5,8668.5
"PI(24:4)",1045418.5,959873.5,1072881,940391.5,1573424,1948432.5,1221175.5,3224276,871912,1260106,1997068.5,1481691
"PI(26:1)",8191609,7048943,15373981,4568580,12267645.5,7393913,6462334,12056258,12230175,8156816,8756697,16423729
"PI(26:2)",12031101.5,13092923.5,14220956,10701896.5,12390005,11884215.5,13033513,13343938,12913434,14367684.5,13278824,13748093.5
"PI(26:4)",27911277,28560451,31950067.5,26558778.5,39635360.5,32445068,38492199,45980068,49528844.5,48553279.5,42820012.5,44500153.5
"PI(4:0)",19353567.5,17953082,20815324,20564060.5,20856437,19412519.5,20849614.5,20605790,14330275,10405859,16620442.5,18173718.5
"PI(6:0)",1551454.5,2088298.5,2100641.5,1662192,3574889,4659580,1618479,2912142.5,2709422.5,4501311.5,5173936.5,4089303.5
"PI(8:0)",8088425.5,7050408,15896605.5,5576951.5,12369744,7183993,7914081,13205080.5,12932455,9033250.5,9262817,17113903.5
"PS(10:0)",4790.5,NA,21555,156057.5,1250137,2376564.5,473136.5,1465239,849618,1833457.5,2143369,1957228
"PS(14:1)",867389.5,920534,537798.5,1300477.5,3446911,3851458,2188911,2036500,1927460.5,4561462,2464622,2344448
"PS(16:0)",30656,865457.5,4698545,45712,4613592.5,1357003,2845973,11562782,8957529,3061236.5,3379229,26329628
"PS(16:1)",1016208.5,1204222,2522263,854579.5,1620852.5,851565,1717636.5,2871660.5,2460554.5,1359527.5,2164782,4477999.5
"PS(16:3)",17266502,18515667.5,20146188.5,17116772,18397528,16263932.5,19150209.5,18968423.5,19066407.5,17113628.5,18534168,18865553
"PS(16:4)",13019453.5,14089236,14119840,11921379,12346204,11067636.5,12026955.5,11985042.5,12424916.5,11327544,12753750,11430965.5
"PS(18:0)",389033,2477914,22551492.5,64044.5,34045701,6572897.5,10248675.5,44771270,33635927.5,10015186,12340149,111049656
"PS(18:1)",17154807.5,31102336,121131879,12311399.5,116463417,36321199,57016261,179339204,142918073.5,64656643,69463317.5,412514248
"PS(18:3)",479538.5,537412,734863,386306,466861.5,439697.5,336827.5,425191,435787.5,432283.5,367016.5,501283.5
"PS(18:4)",596417.5,2133110.5,2672532,722365,1752356,1468037,1825630,1118645,1021687.5,587075,527018,924519
"PS(18:5)",17756301,17966396,17824918,14495443,13833680,12618645,16844940,16438467.5,16396091.5,16060555,16652658.5,16860603.5
"PS(2:0)",7495085.5,8654502,9028624.5,7592841.5,19608244.5,15260878,12613956,13480143.5,13868305,16007773.5,14458166.5,13559202.5
"PS(20:0)",702552,666878.5,1299807,602185,1372830,1365476.5,676025,657900,1175589.5,546479.5,325413,670811
"PS(20:2)",478806.5,493302.5,691360.5,211943.5,2071035.5,696077,945011.5,861346.5,708923,966828,894252.5,882863
"PS(20:3)",5394157.5,4603586,4248147.5,5293237.5,7398575.5,3726115,6381381.5,7645071,7071994.5,6365287.5,5892227.5,8925866
"PS(20:4)",1493322,1434028,3207392.5,841777,2764358.5,1426232,1920170,1063883,2464428,1335347,2021694,1815417
"PS(20:5)",4440003.5,4869205,3339482,4237365.5,2658893,4264603.5,4252869,3059510,3559266.5,3097642.5,3146720.5,3652933
"PS(22:2)",773515,918316.5,1010628,579025,3365933,815719,1599544.5,1436462,1524527,932825,970405,788256.5
"PS(22:3)",2556177,3872215,3210893,2620764,5046471,3622597.5,4111225,4027530,4809299,4703099.5,4263131.5,3795259
"PS(22:4)",1073069.5,1119384.5,1099953.5,1201253,2140800.5,1236844,994529,987746,1095363.5,739295,854795.5,1095047.5
"PS(22:5)",700831,2796390.5,12060632,23762.5,6653486,1964493.5,5690449.5,17804924,14038242,7270856.5,6580992.5,45606792
"PS(22:6)",17228564,17666507.5,20463637.5,15733210,17286428.5,15648720,18421415,15999672.5,15999244,14726094.5,15967361,15138194
"PS(24:2)",1183711.5,905058,1024666,1140382.5,1346119,1021740.5,1241235.5,1507766.5,1487236,1054464,1380501,1579654
"PS(24:4)",60607183.5,64735745,63595978,58541339.5,65212480,58557124,37883045.5,38461185,39046346.5,38879229,37656395,37690356
"PS(26:4)",40112723,45669775.5,41270859.5,40716407.5,45908649.5,42633222,15911747,16081247,16698396,16659523,15868061,14586245
"PS(6:0)",917253,738648,722474,898412.5,1182100,1235939,1270577,1162602,1210659,1390271,1390334.5,1234503.5
"PS(8:0)",51045,38411,NA,297978,570857,794862,577507,483036,848405,1039799,1100652.5,819556
"SM(10:0)",9845217,9738260,17039354,8087202,12781942,12471729,9428770,10354127,7594300,10173082,10871515,8948584
"SM(14:0)",266879512,300843504,389269196,250386336,286887672,256888948,245335380,269754148,223311680,241236348,241056508,237420088
"SM(14:1)",3364326,3535786,5077784,3320244,3648886,4155444,3603288,4245080,3726048,4188214,4431968,4405844
"SM(16:0)",6979954192,7796075504,9609838800,6553474368,8273917152,7354174208,7311821344,7558521408,6421521664,7049350296,7524766576,7160968312
"SM(16:1)",643304960,820473600,1049924128,713981344,857255424,795838240,668900672,663982944,656767072,618306048,639248576,747255552
"SM(18:0)",195604520,230242808,307391024,186877816,232295680,223233840,223370548,215972448,190250596,190960532,197996180,211431920
"SM(18:1)",316410601,331815319,412280430,346234316,380107726,356271366,300711741,310492538,270953116,307408098,307867158,294965840
"SM(18:4)",7052780,3416461,4169625,16940236,57855936,41626100,30082538,23819718,32679474,60450068,53152048,55442548
"SM(20:0)",44462092,56536944,66650180,41645204,57694424,49823132,31704176,74672000,58247588,54527344,51855088,63009356
"SM(20:2)",68152720,81460896,91257048,77874080,96465168,86199968,87790480,91431512,70355672,91790704,96544008,82423200
"SM(20:3)",8683407,7152302,6619623,12309550,8078002,7173088,2976058,3814705,4282358,5378254,6522465,1906954
"SM(22:0)",1105228272,1243008048,1583968080,1094444936,1437079568,1279146672,1438997344,1505950384,1368748816,1448549504,1539892080,1497928928
"SM(22:1)",526158432,608769952,705830528,486182864,551483344,506790592,653950016,703437040,648219808,617005600,699275200,650315840
"SM(22:5)",6877823,9674321,10949569,23730892,29260180,27403594,4245864,3720127,3604976,3615230,4005013,5258204
"SM(24:0)",128911938,153358238,175242456,165849808,215994860,169199180,161151888,205000756,190018356,137485748,150753400,170218892
"SM(24:1)",831729960,915692600,1223854472,746039624,944265184,914390304,1174177284,1407005616,1243365216,1293072752,1324391312,1384845728
"SM(24:2)",621261120,713629056,856653376,559910784,702474112,569261760,818668224,841732352,740456512,800593216,873759040,802882816
"SM(24:4)",517503232,598080320,785806432,868499584,1127132224,984260768,462307952,495275552,436760704,438623776,461102688,499458528
"SM(26:1)",68289832,78985512,92840560,70302016,92759320,81137496,81891512,89068272,84161928,79229552,85505808,86144464
"SM(26:2)",60466104,65580188,78640864,55421236,71002400,11918327,91692456,92555856,101657728,96331560,103675960,98309208
"SM(26:3)",18109232,20215632,30748974,20271722,25197322,22158726,20508756,22318110,18703388,18734722,20713588,20234258
"SM(26:4)",4575650,4243495,5783992,9039420,8446939,8245264,1531726,1827595,2039170,1898966,1853042,1556670
"SM(26:5)",15192809,16928680,18992624,20447594,27905964,34498940,27174134,24561728,16964096,25817700,23662986,20522608
"SM(26:6)",9679598,20522504,26483546,36086428,38520332,39972152,213298,NA,NA,4346191,NA,NA
"SM(26:7)",8155081,11342311,2473632,4973545,22492292,31449654,34075408,16721070,26946410,42542732,34722924,25375768
"SM(28:1)",166419792,194914928,207179632,183751024,196135104,181781120,181915936,214683024,177290016,196680704,202221648,190045680
"SM(28:2)",14032639,16133841,16574519,13082952,13354522,13143353,16833780,18957522,16089451,17554670,16990962,15223344
"SM(d10:0)",14032639,16133841,16574519,13082952,13354522,13143353,16833780,18957522,16089451,17554670,16990962,15223344
"SM(d14:0)",137892368,157752656,220271216,145246592,176064384,176220416,179571760,162638160,134776496,158753952,160980272,162297440
"SM(d14:3)",166419792,194914928,207179632,183751024,196135104,181781120,181915936,214683024,177290016,196680704,202221648,190045680
"SM(d16:1)",2741454592,3142942720,3807637760,2476031488,3334072320,2949804544,2632270592,2870277888,2351686656,2678865152,2928757504,2712342016
"SM(d16:2)",4575650,4243495,5783992,9039420,8446939,8245264,1531726,1827595,2039170,1898966,1853042,1556670
"SM(d18:0)",360144784,386599824,552199216,377451904,475195168,420136672,412497120,430096576,381264192,360228600,378686960,406583704
"SM(d18:1)",5793098472,6522577939,8115248692,5698846568,6829375548,6188165099,6028650872,6383062358,5627596934,5797777469,5949577594,6072545364
"SM(d18:2)",3051599544,3466599614,4252760709,3349827031,4357472164,3788689134,4236127432,4406143980,3954829120,4345824276,4704242050,4385875624
"SM(d20:0)",57712152,72490152,87119808,41631224,56231296,47013424,43798788,53334288,55474100,32206580,37015908,49134480
"SM(d22:0)",313269473,342684436,507346074,268240898,316070902,281545809,344927490,321133295,306152476,258670778,288925691,332484360
"SM(d24:0)",2742049,1895619,4341046,2695780,4424446,3713686,3331789,3475866,3791484,3202250,3154142,4004608
"SM(d26:0)",3364326,3535786,5077784,3320244,3648886,4155444,3603288,4245080,3726048,4188214,4431968,4405844
